Block,Time Block,RIHAND2,RIHAND1,RSTPSU7,RSTPSU1TO6,RAPPD,RIHAND3,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA3,CHAMERA2,CHAMERA1,BSIUL,BRBCL,KKNP,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,KHSTPP-II,KHSTPP-I,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,AURY_CRF,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,KGSU1AND2,KGSU3AND4,NNTPP,NAPP,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,NTPL,PARBATI3,PARBATI2,RAPPC,RAPPB,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SALAL,SEWA2,SINGRAULI,SASAN,TANDA2,TEHRI,TALST2,TANAKPUR,TALA,KKNPPU2,KOTESHWR,KOLDAM,JHAJJAR,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
16,03:45-04:00,120.34,93.92,0,0,20.92,91.89,10.58,18.12,57.48,95.25,33.84,47.15,27.14,12.6,15.5,0,0,0,0,0,0,0,0,143.26,43.98,0,0,37.41,49.59,0,17.94,0,0,0,2.14,36.8,0,23.16,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,76.68,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,165.99,8.34,0,0,0,0,0

17,04:00-04:15,120.34,93.92,0,0,20.92,126.34,10.58,14.54,57.48,95.25,33.84,47.15,27.14,12.6,19.24,0,0,0,0,0,0,0,0,143.26,43.98,0,0,28.55,49.59,0,13.71,0,0,0,2.14,36.8,0,17.8,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,6.06,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

18,04:15-04:30,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,27.14,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,23.91,49.59,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,6.06,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

19,04:30-04:45,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,27.14,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,6.06,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

20,04:45-05:00,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,27.14,12.6,19.32,0,0,0,0,0,0,0,0,143.26,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,6.06,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

21,05:00-05:15,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,27.14,12.6,19.32,0,0,0,0,0,0,0,0,143.26,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

22,05:15-05:30,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,27.14,12.6,19.32,0,0,0,0,0,0,0,0,143.26,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

23,05:30-05:45,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,27.14,12.6,19.32,0,0,0,0,0,0,0,0,143.26,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

24,05:45-06:00,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,33.84,47.15,13.57,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

25,06:00-06:15,120.34,93.92,0,0,20.92,126.34,10.58,14.54,57.48,95.25,22.54,47.15,13.57,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,23.91,49.06,0,11.91,0,0,0,1.64,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,158.4,8.34,0,0,0,0,0

26,06:15-06:30,120.34,93.92,0,0,20.92,126.34,10.58,14.54,57.48,95.25,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,0.49,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

27,06:30-06:45,120.34,93.92,0,0,20.92,126.34,10.58,14.54,57.48,95.25,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,143.26,43.98,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

28,06:45-07:00,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,95.25,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,123.47,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,29.77,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

29,07:00-07:15,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,247.85,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,123.47,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,19.85,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

30,07:15-07:30,120.34,93.92,0,0,20.92,126.34,10.58,12.04,57.48,162.9,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,123.47,37.91,0,0,23.91,49.06,0,11.91,0,0,0,2.14,36.8,0,14.7,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,5.33,19.85,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

31,07:30-07:45,120.34,93.92,0,0,20.92,126.34,10.58,10.15,57.48,95.28,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,114.94,29.21,0,0,23.91,49.06,0,11.91,0,0,0,1.4,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,3.96,9.46,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

32,07:45-08:00,120.34,93.92,0,0,20.92,126.34,10.58,10.15,57.48,95.28,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,114.94,29.21,0,0,23.91,49.06,0,11.91,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,395.58,3.96,9.46,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

33,08:00-08:15,120.34,93.92,0,0,20.92,126.34,21.14,10.15,57.48,95.28,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,114.94,29.21,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,399.02,3.96,0,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

34,08:15-08:30,120.34,93.92,0,0,20.92,126.34,42.29,10.15,57.48,95.28,22.54,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,114.94,29.21,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,9.26,353.54,8.34,0,0,0,0,0

35,08:30-08:45,120.34,93.92,0,0,20.92,126.34,42.29,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,78.8,24.65,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,9.26,305.24,8.34,0,0,0,0,0

36,08:45-09:00,120.34,93.92,0,0,20.92,126.34,42.29,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,78.8,24.65,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,43.55,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,6.95,305.24,8.34,0,0,0,0,0

37,09:00-09:15,120.34,93.92,0,0,20.92,126.34,42.29,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,78.8,24.65,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,4.62,305.24,8.34,0,0,0,0,0

38,09:15-09:30,120.34,93.92,0,0,20.92,126.34,21.14,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,78.8,24.65,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,2.32,208.64,8.34,0,0,0,0,0

39,09:30-09:45,120.34,93.92,0,0,20.92,126.34,21.14,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,78.8,28.03,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,2.32,208.64,8.34,0,0,0,0,0

40,09:45-10:00,120.34,93.92,0,0,20.92,126.34,10.58,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,78.8,28.03,0,0,23.91,51.19,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,0,208.64,8.34,0,0,0,0,0

41,10:00-10:15,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,79.85,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,6.06,0,0,10.08,0,208.64,8.34,0,0,0,0,0

42,10:15-10:30,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,79.85,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,6.06,0,0,10.08,0,208.64,8.34,0,0,0,0,0

43,10:30-10:45,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,79.85,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,6.06,0,0,10.08,0,208.64,8.34,0,0,0,0,0

44,10:45-11:00,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,16.93,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,6.06,0,0,10.08,0,208.64,8.34,0,0,0,0,0

45,11:00-11:15,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,17.53,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

46,11:15-11:30,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,17.35,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

47,11:30-11:45,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

48,11:45-12:00,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,18.89,19.32,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

49,12:00-12:15,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.59,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

50,12:15-12:30,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.59,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

51,12:30-12:45,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

52,12:45-13:00,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,97.88,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,45.01,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,0.49,0,0,10.08,0,208.64,8.34,0,0,0,0,0

53,13:00-13:15,120.34,93.92,0,0,20.92,126.34,0,10.15,57.48,95.28,33.84,47.15,0,12.6,19.32,0,0,0,0,0,0,0,0,84.5,28.03,0,0,23.91,49.06,0,13.12,0,0,0,1.07,36.8,0,16.37,0,0,0,25.14,0,0,0,0,176.38,0,0,6.8,0,48.92,39.2,65.57,0,0,1.04,0,77.45,0,145.23,399.38,3.96,0,0,1.73,0,0,10.08,0,208.64,8.34,0,0,0,0,0

