Column1,Block,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,NR/2025/25159/A/58643,WR/2025/26499/A/58998,WR/2025/26426/A/58783,WR/2025/26427/A/58785,WR/2025/26582/A/58997,GNA/WR/2025/03/01/6406,NR/2025/25517/A/58986,NR/2025/25516/A/58978,NR/2025/25651/C,NR/2025/25650/C,NR/2025/25518/A/58982,GNARE/NR/2024/12/20/3668,Total
,,NDMC,NDMC,PUNJAB,PTC,BAWANA_GAS,TPTCL,NDMC,NDMC,NDMC,PTC,NDMC,DELHI,APPCPL,APPCPL,ITCLH,APPCPL,KEIPL,KEIPL,APPCPL,APPCPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,SJVNL,OIDLWM3_AEROCITY,SECI_Trader,
,,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,
,,RKM_POWER,TRN_ENERGY,BAWANA_GAS,BRPL,BAWANA_GAS,BYPL,JPL2,RKM_POWER,SKS_Raigarh,BYPL,JIPL,CHANJUII,BYPL,BYPL,ITCWIND,BRPL,BYPL,BRPL,BRPL,BRPL,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,TPSL_BKN2,TCSPL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,HIMACHAL_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,MSEB_State,KERALA_State,DELHI_UT,MSEB_State,CSEB_State,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,PUNJAB,HP,HARYANA,TPC_MSEB,NDMC,NDMC,NDMC,HP,NDMC,TPDDL,AEML,KSEB,ITCLH,AEML,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,AEML,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,NDMC,OIDLWM3_AEROCITY,TPDDL,
,,West-North,West-North,North-North,North-North,North-North,North-West,West-North,West-North,West-North,North-North,East-North,North-North,North-West,North-West-South,South-West-North,North-West,North-West,North-West,North-West,North-West,North-North,North-North,North-North,North-North,North-North,North-North,
43,10:30-10:45,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.86,1.06,38.39,14.4,0.48,98.51,370.04

44,10:45-11:00,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.86,1.06,38.39,14.4,0.48,98.67,370.20000000000005

45,11:00-11:15,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.67,1.06,38.39,14.4,0.48,96.67,368.01

46,11:15-11:30,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,0.96,38.39,14.4,0.48,96.61,367.95000000000005

47,11:30-11:45,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,0.96,38.39,14.4,0.48,96.49,367.83000000000004

48,11:45-12:00,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,96.59,368.03

49,12:00-12:15,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,96.24,367.68

50,12:15-12:30,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,96.97,368.40999999999997

51,12:30-12:45,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,97.83,369.27

52,12:45-13:00,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,96.26,367.7

53,13:00-13:15,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,98.33,369.77

54,13:15-13:30,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.38,98.33,369.66999999999996

55,13:30-13:45,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,98.33,369.77

56,13:45-14:00,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.49,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.48,98.33,369.77

57,14:00-14:15,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.91,40.31,0,0,0,0,0.77,1.06,38.39,14.4,0.58,98.33,369.96

58,14:15-14:30,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.91,40.31,0,0,0,0,0.96,1.06,38.39,14.4,0.58,98.33,370.15

59,14:30-14:45,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.91,40.31,0,0,0,0,0.86,1.06,38.39,14.4,0.58,97.74,369.46

60,14:45-15:00,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.91,40.31,0,0,0,0,0.86,1.15,38.39,14.4,0.48,94.7,366.41

61,15:00-15:15,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.67,40.31,0,0,0,0,0.86,1.15,38.39,14.4,0.48,87.63,359.1

62,15:15-15:30,23.31,8.64,26.99,0,26.99,0,38.39,23.31,6.72,0,17.28,3.58,0,0,0.67,40.31,0,0,0,0,0.86,1.15,38.39,14.4,0.48,85.34,356.81000000000006

