Time,Block,NR/2023/13242/A,NR/2023/16073/A,NR/2023/17172/C,NR/2023/16185/A,NR/2023/13148/A,NR/2023/17174/C,NR/2023/13165/A,NR/2023/17170/C,NR/2023/13387/A,NR/2023/16191/A,NR/2023/17168/C,NR/2023/13383/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/13150/A,NR/2023/13253/A,NR/2023/16993/F,NR/2023/17177/C,NR/2023/15770/A,ER/2023/10970/C,NR/2023/17178/C,ER/2023/10972/C,NR/2023/17159/D,NR/2023/17173/C,NR/2023/16077/A,NR/2023/17175/C,NR/2023/16291/F,Total
3,00:30-00:45,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,13.000000,56.620000,0.000000,0,0.000000,117.560000,12.640000,0.860000,1175.72

4,00:45-01:00,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,13.000000,39.350000,0.000000,0,0.000000,117.560000,12.640000,0.860000,1158.45

5,01:00-01:15,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,131.570000,143.960000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,1104.95

6,01:15-01:30,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,131.570000,143.960000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,1104.95

7,01:30-01:45,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,131.570000,143.960000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,1104.95

8,01:45-02:00,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,131.570000,143.960000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,1104.95

9,02:00-02:15,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,972.91

10,02:15-02:30,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,985.91

11,02:30-02:45,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,985.91

12,02:45-03:00,29.370000,23.990000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,985.91

13,03:00-03:15,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,949.7

14,03:15-03:30,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,949.7

15,03:30-03:45,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,949.7

16,03:45-04:00,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.640000,0.620000,949.7

17,04:00-04:15,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,950.58

18,04:15-04:30,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,950.58

19,04:30-04:45,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,950.58

20,04:45-05:00,29.370000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,950.58

21,05:00-05:15,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,921.21

22,05:15-05:30,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,921.21

23,05:30-05:45,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,921.21

24,05:45-06:00,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,50.380000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,117.560000,12.550000,0.580000,921.21

25,06:00-06:15,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,0.000000,12.460000,0.670000,753.27

26,06:15-06:30,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,6.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,0.000000,12.460000,0.670000,753.27

27,06:30-06:45,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0,0.000000,0.000000,12.460000,0.670000,752.26

28,06:45-07:00,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,13.000000,0.000000,60.000000,0.49,0.000000,0.000000,12.460000,0.670000,752.75

29,07:00-07:15,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,60.000000,1.13,0.000000,0.000000,12.460000,0.670000,740.39

30,07:15-07:30,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,60.000000,2.07,0.000000,0.000000,12.460000,0.670000,741.33

31,07:30-07:45,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,60.000000,2.99,0.000000,0.000000,12.460000,0.670000,742.25

32,07:45:08:00,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,60.000000,2.79,0.000000,0.000000,12.460000,0.670000,742.05

33,08:00-08:15,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,1.56,0.000000,0.000000,12.370000,0.960000,681.02

34,08:15-08:30,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,3.9,0.000000,0.000000,12.370000,0.960000,683.36

35,08:30-08:45,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,4.89,0.000000,0.000000,12.370000,0.960000,684.35

36,08:45:09:00,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,5.050000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,5.29,0.000000,0.000000,12.370000,0.960000,684.75

37,09:00:09:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,6.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.15,8.160000,0.000000,12.370000,0.960000,739.41

38,09:15-09:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,6.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.54,8.160000,0.000000,12.370000,0.960000,739.8

39,09:30-09:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,6.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.93,8.160000,0.000000,12.370000,0.960000,740.19

40,09:45-10:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,7.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.98,8.160000,0.000000,12.370000,0.960000,741.24

41,10:00-10:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,7.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.59,8.160000,0.000000,12.270000,0.960000,740.75

42,10:15-10:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,7.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.13,8.160000,0.000000,12.270000,0.960000,740.29

43,10:30-10:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,7.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,7.15,8.160000,0.000000,12.270000,0.960000,741.31

44,10:45-11:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,7.060000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,7.69,8.160000,0.000000,12.270000,0.960000,741.85

45,11:00-11:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.99,8.160000,0.000000,12.270000,0.960000,744.18

46,11:15-11:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.34,8.160000,0.000000,12.270000,0.960000,743.53

47,11:30-11:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.15,8.160000,0.000000,12.270000,0.960000,743.34

48,11:45-12:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,8.56,8.160000,0.000000,12.270000,0.960000,745.75

49,12:00-12:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,9.47,8.160000,0.000000,12.190000,0.960000,746.58

50,12:15-12:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,7.51,8.160000,0.000000,12.190000,0.960000,744.62

51,12:30-12:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.4,8.160000,0.000000,12.190000,0.960000,743.51

52,12:45-13:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,7.22,8.160000,0.000000,12.190000,0.960000,744.33

53,13:00-13:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,7.28,8.160000,0.000000,12.190000,0.960000,744.39

54,13:15-13:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,4.18,8.160000,0.000000,12.190000,0.960000,741.29

55,13:30-13:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.67,8.160000,0.000000,12.190000,0.960000,743.78

56,13:45-14:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,5.14,8.160000,0.000000,12.190000,0.960000,742.25

57,14:00-14:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,4.97,8.160000,0.000000,12.090000,0.960000,741.98

58,14:15-14:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,6.48,8.160000,0.000000,12.090000,0.960000,743.49

59,14:30-14:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,5.57,8.160000,0.000000,12.090000,0.960000,742.58

60,14:45-15:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,5.75,8.160000,0.000000,12.090000,0.960000,742.76

61,15:00-15:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,4.17,8.160000,0.000000,12.090000,0.860000,741.08

62,15:15-15:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,2.54,8.160000,0.000000,12.090000,0.860000,739.45

63,15:30-15:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,3.64,8.160000,0.000000,12.090000,0.860000,740.55

64,15:45-16:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,0.000000,0.000000,3.91,8.160000,0.000000,12.090000,0.860000,740.82

65,16:00-16:15,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,108.450000,0.000000,3.3,8.160000,0.000000,12.090000,0.820000,848.62

66,16:15-16:30,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,114.200000,0.000000,3.36,8.160000,0.000000,12.090000,0.820000,854.43

67,16:30-16:45,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,131.480000,0.000000,3.02,8.160000,0.000000,12.090000,0.820000,871.37

68,16:45-17:00,0.000000,23.990000,28.790000,38.390000,0.000000,15.84,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,0.000000,62.380000,0.000000,133.400000,0.000000,1.76,8.160000,0.000000,12.090000,0.820000,872.03

69,17:00-17:15,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,47.980000,62.380000,0.000000,91.170000,0.000000,0.67,0.000000,0.000000,12.010000,0.820000,823.82

70,17:15-17:30,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,47.980000,62.380000,0.000000,110.370000,0.000000,0.57,0.000000,0.000000,12.010000,0.820000,842.92

71,17:30-17:45,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,47.980000,62.380000,0.000000,128.600000,0.000000,0.62,0.000000,0.000000,12.010000,0.820000,861.2

72,17:45-18:00,0.000000,23.990000,0.000000,38.390000,0.000000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,47.980000,62.380000,0.000000,131.480000,0.000000,0.6,0.000000,0.000000,12.010000,0.820000,864.06

73,18:00-18:15,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,119.960000,0.000000,0.16,0.000000,0.000000,12.010000,0.820000,1008.28

74,18:15-18:30,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,131.480000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1019.64

75,18:30-18:45,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,140.120000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1028.28

76,18:45-19:00,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,157.390000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1045.55

77,19:00-19:15,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,168.910000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1057.07

78,19:15-19:30,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,190.020000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1078.18

79,19:30-19:45,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,219.770000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1107.93

80,19:45-20:00,0.000000,0.000000,0.000000,38.390000,36.210000,0,22.070000,0.000000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,247.600000,0.000000,0,0.000000,0.000000,12.010000,0.820000,1135.76

81,20:00-20:15,29.370000,0.000000,0.000000,38.390000,36.210000,0,22.070000,47.980000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,266.800000,0.000000,0,0.000000,0.000000,11.910000,0.770000,1232.16

82,20:15-20:30,29.370000,0.000000,0.000000,38.390000,36.210000,0,22.070000,47.980000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,281.190000,0.000000,0,0.000000,0.000000,11.910000,0.770000,1246.55

83,20:30-20:45,29.370000,0.000000,0.000000,38.390000,36.210000,0,22.070000,47.980000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,306.140000,0.000000,0,0.000000,0.000000,11.910000,0.770000,1271.5

84,20:45-21:00,29.370000,0.000000,0.000000,38.390000,36.210000,0,22.070000,47.980000,99.330000,77.740000,10.090000,0.000000,49.660000,19.470000,62.570000,47.980000,157.500000,191.940000,62.380000,0.000000,321.500000,0.000000,0,0.000000,0.000000,11.910000,0.770000,1286.86

