Column1,Block,NR/2025/31420/A/91679,NR/2025/31136/A/91898,NR/2025/31138/A/91905,GNARE/NR/2024/12/20/3668,NR/2025/31138/A/91906,NR/2025/29985/A/91555,NR/2025/31137/A/91903,NR/2025/31136/A/91897,NR/2025/31347/A/91457,NR/2025/31419/A/91680,NR/2025/31137/A/91904,NR/2025/32314/C,NR/2025/32307/C,NR/2025/30101/A/91982,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/26/3975,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2025/29439/A/91535,NR/2025/29628/A/91861,NR/2025/32213/C,NR/2025/30191/A/91458,NR/2025/32311/C,NR/2025/32214/C,NR/2025/29353/A/91949,NR/2025/32312/C,NR/2025/28728/A/91892,NR/2025/30105/A/91853,NR/2025/32304/C,NR/2025/32259/C,NR/2025/32279/C,NR/2025/27978/A/91986,NR/2025/27975/A/91911,NR/2025/32304/C/Alternate/1,NR/2025/27973/A/91910,NR/2025/32261/C,NR/2025/30084/A/91855,NR/2025/32306/C,NR/2025/32264/C,NR/2025/30082/A/91940,NR/2025/29910/A/91859,NR/2025/29992/A/91828,NR/2025/31780/A/91554,NR/2025/32322/C,NR/2025/30217/A/91852,NR/2025/32323/C,NR/2025/32324/C,NR/2025/30067/A/91926,NR/2025/32326/C,NR/2025/32269/C,NR/2025/29352/A/91951,NR/2025/30083/A/91856,NR/2025/32270/C,NR/2025/30086/A/91854,NR/2025/29915/A/91440,NR/2025/31870/A/91553,NR/2025/27965/A/91907,NR/2025/30121/A/91461,NR/2025/29440/A/91477,NR/2025/27966/A/91908,NR/2025/29167/A/91441,NR/2025/32327/C,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,9.39,18.21,30,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.91,0,54.06,0,134.79,15.23,0,163.39,43.68,2061.6

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.21,30,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.91,0,54.06,0,134.79,15.23,0,163.39,43.68,2075.85

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.12,30,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.77,0,54.06,0,134.79,15.23,0,163.39,43.68,2075.62

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.12,30,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.77,0,54.06,0,134.79,15.23,0,163.39,43.68,2075.62

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.12,30,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.77,0,54.06,0,134.79,15.23,0,163.39,43.68,2075.62

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.12,30,25.07,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,96.11,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.77,0,54.06,0,134.79,15.23,0,163.39,43.68,2075.62

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.03,30,0,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.67,0,54.06,0,134.79,15.23,0,163.39,43.68,1954.2500000000002

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.03,30,0,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.67,0,54.06,0,134.79,15.23,0,163.39,43.68,1954.2500000000002

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.03,30,0,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.67,0,54.06,0,134.79,15.23,0,163.39,43.68,1954.2500000000002

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,49.02,0,81.69,19.22,20.73,23.64,18.03,30,0,105.72,0,48.06,0,0,81.69,0,81.69,17.47,0,0,0,96.11,0,192.22,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,204.23,0,0,28.59,8.74,0,26.21,20.42,12.49,96.11,6.73,0.67,0,54.06,0,134.79,15.23,0,163.39,43.68,1954.2500000000002

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.93,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,96.11,6.73,0.62,0,54.06,0,134.79,15.23,0,163.39,43.68,1651.2299999999998

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.93,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,96.11,6.73,0.62,0,54.06,0,134.79,15.23,0,163.39,43.68,1651.2299999999998

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.93,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,96.11,6.73,0.62,0,54.06,0,134.79,15.23,0,163.39,43.68,1651.2299999999998

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.93,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,96.11,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,96.11,6.73,0.62,0,54.06,0,134.79,15.23,0,163.39,43.68,1651.2299999999998

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.85,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1404.8700000000001

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.85,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1404.8700000000001

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.85,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1404.8700000000001

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.85,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,19.22,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1404.8700000000001

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1402.1200000000001

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,12.49,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1402.1200000000001

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1401.16

24,05:45-06:00,0,0,0,0.2,0,1,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.62,0,0,0,134.79,15.23,0,163.39,43.68,1402.3600000000004

25,06:00-06:15,0,0,0,1.13,0,3,0,0,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.82,0,0,0,134.79,15.23,0,163.39,43.68,1405.4900000000005

26,06:15-06:30,0,0,0.06,2.12,0,7,0.06,0.06,0,0,0,0,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.82,0,0,0,134.79,15.23,0,163.39,43.68,1410.66

27,06:30-06:45,0,0,0.1,5.43,0,11,0.1,0.1,0,0,0,0.84,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.82,0,0,0,134.79,15.23,0,163.39,43.68,1418.93

28,06:45-07:00,0,0,0.1,8.15,0,14,0.1,0.19,0,0,0,1.37,0,32.12,0,0,81.69,19.22,20.73,23.64,17.75,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.82,0,0,0,134.79,15.23,0,163.39,43.68,1425.2700000000002

29,07:00-07:15,0,0.1,0.1,12.42,0.07,21,0.02,0.05,0,0,0.1,1.97,0,32.12,0,0,81.69,19.22,20.73,23.64,17.67,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.86,0,0,0,134.79,15.23,0,163.39,43.68,1437.1500000000003

30,07:15-07:30,0,0.24,0.1,17.3,0.14,28,0.01,0.01,0,0,0.19,2.97,0,32.12,0,0,81.69,19.22,20.73,23.64,17.67,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.86,0,0,0,134.79,15.23,0,163.39,43.68,1450.2800000000004

31,07:30-07:45,0,0.35,0.1,22.51,0.21,39,0,0,0,0,0.35,3.85,0,32.12,0,0,81.69,19.22,20.73,23.64,17.67,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.86,0,0,0,134.79,15.23,0,163.39,43.68,1467.6899999999998

32,07:45-08:00,0,0.62,0.1,27.94,0.36,49,0,0,0,0,0.44,5.25,0,32.12,0,0,81.69,19.22,20.73,23.64,17.67,30,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.86,0,0,0,134.79,15.23,0,163.39,43.68,1485.03

33,08:00-08:15,1.63,0.67,0.1,33.64,0.38,53,0.05,0.08,9.61,0,0.48,6.18,0,32.12,0,0,81.69,19.22,20.73,26.5,17.67,26.5,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.96,0,0,0,134.79,15.23,0,163.39,43.68,1506.6000000000001

34,08:15-08:30,1.63,0.67,0.1,39.3,0.38,63,0.16,0.25,9.61,0,0.48,8.52,0,32.12,0,0,81.69,19.22,20.73,26.5,17.67,26.5,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,11.53,0,6.73,0.96,0,0,0,134.79,15.23,0,163.39,43.68,1524.8800000000003

35,08:30-08:45,1.63,0.67,0.1,44.95,0.48,78,0.19,0.29,9.61,0,0.58,5.87,0,32.12,0,0,81.69,19.22,20.73,26.5,17.67,26.5,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.96,0,0,0,134.79,15.23,0,163.39,43.68,1545.0800000000006

36,08:45-09:00,1.63,0.67,0.1,50.69,0.48,91,0.19,0.29,9.61,0,0.58,5.87,0,32.12,0,0,81.69,19.22,20.73,26.5,17.67,26.5,0,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,0,0,0,0,26.21,0,0,48.06,16.57,44.21,0,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.96,0,0,0,134.79,15.23,0,163.39,43.68,1563.8200000000004

37,09:00-09:15,1.63,0.67,0.1,49,0.48,109,0.19,0.38,9.61,0,0.58,5.87,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1580.3400000000004

38,09:15-09:30,1.63,0.67,0.1,53.33,0.48,123,0.19,0.38,9.61,0,0.58,6.85,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1599.6500000000003

39,09:30-09:45,1.63,0.67,0.1,60.57,0.48,133,0.19,0.38,9.61,0,0.58,6.85,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1616.8900000000006

