Column1,Block,NR/2025/32534/A/97571,NR/2025/32535/A/97581,NR/2025/33632/A/97527,NR/2025/32535/A/97582,NR/2025/33633/A/97525,NR/2025/33778/C,NR/2025/32599/A/97263,NR/2025/33637/A/97523,NR/2025/32532/A/97561,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/97569,NR/2025/32532/A/97563,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/2025/33773/C,NR/2025/33656/A/97580,NR/2025/33469/A/97219,NR/2025/32559/A/97625,NR/2025/33670/A/97609,NR/2025/29440/A/97111,NR/2025/31043/A/97573,NR/2025/32262/A/97154,NR/2025/32004/A/97629,NR/2025/31049/A/97576,NR/2025/32556/A/97626,NR/2025/31421/A/97660,NR/2025/33752/C,NR/2025/31048/A/97575,NR/2025/32375/A/97656,NR/2025/33755/C,NR/2025/32610/A/97624,NR/2025/31045/A/97574,NR/2025/29992/A/97254,NR/2025/33759/C,NR/2025/33750/C,NR/2025/32397/A/97146,NR/2025/32455/A/97737,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.87,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.5100000000002

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.87,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.5100000000002

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.2700000000002

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.2700000000002

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.2700000000002

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,48.18,33.72,40.95,15.49,1142.2700000000002

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1146.15

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1146.15

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1146.15

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.63,0,54.2,105.98,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1146.15

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,54.2,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1116.7800000000002

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,54.2,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1116.7800000000002

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,54.2,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1116.7800000000002

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,54.2,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1116.7800000000002

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1062.58

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1062.58

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1062.58

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1062.58

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1062.58

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,12.53,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1062.58

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1061.61

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0.31,0,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.53,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,40.95,19.37,1061.9199999999998

25,06:00-06:15,0,0.01,0,0,0,0,1,0,0.01,1.19,0.01,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.82,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1055.45

26,06:15-06:30,0,0.02,0,0,0,0,4,0,0.02,2.07,0.02,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.82,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1059.3600000000001

27,06:30-06:45,0,0.04,0,0,0,0.84,8,0,0.04,3.64,0.04,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.82,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1065.83

28,06:45-07:00,0,0.08,0,0,0,1.38,15,0,0.22,6.28,0.08,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.82,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1076.27

29,07:00-07:15,0,0.1,0,0,0,1.98,21,0,0.29,9.94,0.1,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1086.69

30,07:15-07:30,0,0.1,0,0,0,2.98,28,0,0.29,14.61,0.1,0,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1099.3600000000001

31,07:30-07:45,0.06,0.1,0,0.06,0,3.86,42,0,0.29,18.81,0.19,0.09,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1118.74

32,07:45-08:00,0.2,0.1,0,0.2,0,5.26,53,0,0.29,22.69,0.19,0.3,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1135.51

33,08:00-08:15,0.22,0.1,1.16,0.17,0,6.2,63,1.64,0.29,28.55,0.19,0.26,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.96,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1155.15

34,08:15-08:30,0.37,0.1,1.16,0.31,0,8.55,77,1.64,0.29,34.41,0.19,0.37,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,11.56,24.09,81.9,0.96,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1177.76

35,08:30-08:45,0.48,0.1,1.16,0.4,0,5.89,88,1.64,0.29,40.26,0.19,0.48,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,24.09,81.9,0.96,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1194.19

36,08:45-09:00,0.58,0.1,1.16,0.48,0,5.89,98,1.64,0.29,46.12,0.19,0.67,26.93,26.93,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,24.09,81.9,0.96,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,40.95,19.37,1210.42

37,09:00-09:15,0.58,0.1,1.16,0.48,0,5.89,109,1.64,0.29,52.26,0.19,0.67,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1227.66

38,09:15-09:30,0.48,0.1,1.16,0.48,0,6.87,119,1.64,0.29,58.39,0.19,0.77,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1244.7700000000002

39,09:30-09:45,0.58,0.1,1.16,0.48,0,6.87,140,1.64,0.39,68.4,0.19,0.77,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1275.98

40,09:45-10:00,0.58,0.1,1.16,0.48,0,7.84,147,1.64,0.39,74.9,0.19,0.77,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1290.45

41,10:00-10:15,0.58,0.1,1.16,0.48,1.45,7.84,168,1.64,0.39,81.98,0.19,0.77,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1319.9799999999998

42,10:15-10:30,0.58,0.1,1.16,0.48,1.45,7.84,175,1.64,0.39,86.21,0.19,0.87,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1331.31

43,10:30-10:45,0.27,0.19,1.16,0.39,1.45,11.55,186,1.64,0.48,77,0.29,0.4,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1336.2199999999998

44,10:45-11:00,0.27,0.19,1.16,0.39,1.45,12.83,189,1.64,0.48,78.91,0.29,0.4,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.45,1342.4099999999999

45,11:00-11:15,0.27,0.19,1.16,0.39,1.45,14.11,189,1.64,0.48,76.85,0.29,0.4,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1341.7299999999998

46,11:15-11:30,0.29,0.19,1.16,0.39,1.45,15.55,189,1.64,0.48,79.65,0.29,0.43,26.94,26.94,20.47,8.76,8.76,19.27,81.9,20.79,20.47,15.27,17.38,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1346.0199999999998

47,11:30-11:45,0.27,0.19,1.16,0.39,1.45,16.93,189,1.64,0.48,81.08,0.29,0.4,26.94,26.94,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1372.05

48,11:45-12:00,0.26,0.19,1.16,0.39,1.45,18.21,189,1.64,0.48,81.01,0.29,0.39,26.94,26.94,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1373.2399999999998

49,12:00-12:15,0.25,0.19,1.16,0.39,1.45,19.4,168,1.64,0.48,81.21,0.29,0.38,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1353.6299999999999

50,12:15-12:30,0.39,0.19,1.16,0.39,1.45,19.69,168,1.64,0.48,81.6,0.29,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1354.4399999999998

51,12:30-12:45,0.39,0.19,1.16,0.39,1.45,19.95,140,1.64,0.48,94.37,0.29,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1339.4699999999998

52,12:45-13:00,0.39,0.19,1.16,0.39,1.45,20.23,140,1.64,0.48,94.47,0.29,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.55,1339.85

53,13:00-13:15,0.39,0.19,1.16,0.39,1.45,8.83,147,1.64,0.48,92.47,0.29,0.41,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.65,1333.59

54,13:15-13:30,0.39,0.19,1.16,0.39,1.45,8.83,147,1.64,0.48,90.69,0.29,0.34,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.65,1331.74

55,13:30-13:45,0.39,0.19,1.16,0.24,1.45,8.83,154,1.64,0.48,96.27,0.29,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.65,1344.2

56,13:45-14:00,0.39,0.19,1.16,0.25,1.45,8.83,154,1.64,0.48,94.83,0.29,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,40.95,19.65,1342.77

57,14:00-14:15,0.39,0.19,1.16,0.25,1.45,8.83,168,1.64,0.48,85.6,0.29,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,20.14,19.65,1326.73

58,14:15-14:30,0.39,0.1,1.16,0.25,1.45,8.83,165,1.64,0.39,81.1,0.19,0.37,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1314.99

59,14:30-14:45,0.39,0.1,1.16,0.29,1.45,8.83,168,1.64,0.29,69.23,0.19,0.67,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1306.3600000000001

