Time,Block,NR/2023/16185/A,NR/2023/16993/F,NR/2023/17319/C,NR/2023/13150/A,NR/2023/13253/A,NR/2023/16073/A,NR/2023/17317/C,NR/2023/17316/C,NR/2023/13387/A,NR/2023/16291/F,NR/2023/17308/D,NR/2023/17329/C,NR/2023/17330/C,NR/2023/16077/A,NR/2023/16191/A,NR/2023/17335/C,NR/2023/17324/C,NR/2023/13168/A,NR/2023/13254/A,NR/2023/13385/A,NR/2023/13148/A,NR/2023/13383/A,NR/2023/15770/A,NR/2023/13165/A,NR/2023/17309/D,NR/2023/17334/C,Total
10,02:15-02:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.620000,0.000000,99.330000,0.620000,0.000000,446.260000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1190.46

11,02:30-02:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.620000,0.000000,99.330000,0.620000,0.000000,416.510000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1160.71

12,02:45-03:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.620000,0.000000,99.330000,0.620000,0.000000,373.320000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,36.210000,36.560000,0.000000,22.070000,0,0,1117.52

13,03:00-03:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.530000,0.000000,99.330000,0.620000,0.000000,330.140000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,1038.04

14,03:15-03:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.530000,0.000000,99.330000,0.620000,0.000000,309.980000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,1017.88

15,03:30-03:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.530000,0.000000,99.330000,0.620000,0.000000,285.990000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,993.89

16,03:45-04:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.530000,0.000000,99.330000,0.620000,0.000000,265.840000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,973.74

17,04:00-04:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.430000,0.000000,99.330000,0.580000,0.000000,234.170000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,941.93

18,04:15-04:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.430000,0.000000,99.330000,0.580000,0.000000,181.380000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,889.14

19,04:30-04:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.430000,0.000000,99.330000,0.580000,0.000000,34.550000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,742.31

20,04:45-05:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.430000,0.000000,99.330000,0.580000,0.000000,0.000000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,707.76

21,05:00-05:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.580000,0.000000,0.000000,6.060000,85.320000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,707.68

22,05:15-05:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.580000,0.000000,0.000000,6.060000,85.320000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,716.32

23,05:30-05:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.580000,0.000000,0.000000,6.060000,85.320000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,716.32

24,05:45-06:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.580000,0.000000,0.000000,6.060000,85.320000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,36.560000,0.000000,22.070000,0,0,716.32

25,06:00-06:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,6.060000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0,0,610.74

26,06:15-06:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,6.060000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0,0,610.74

27,06:30-06:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,6.060000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0.1,0,610.84

28,06:45-07:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,6.060000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0.51,0,611.25

29,07:00-07:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0.84,0,560.61

30,07:15-07:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,1.25,0,561.02

31,07:30-07:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,1.57,0,561.34

32,07:45:08:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.250000,0.000000,99.330000,0.670000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,1.83,0,561.6

33,08:00-08:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,2.24,0,562.22

34,08:15-08:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,2.81,0,562.79

35,08:30-08:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.38,0,563.36

36,08:45:09:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,0.000000,0.000000,4.030000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.7,0,563.68

37,09:00:09:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,4.27,15.84,592.29

38,09:15-09:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,4.61,15.84,592.63

39,09:30-09:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,4.8,15.84,592.82

40,09:45-10:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,5.28,15.84,593.3

41,10:00-10:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,5.37,15.84,593.39

42,10:15-10:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,5.64,15.84,593.66

43,10:30-10:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,8.070000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,5.76,15.84,593.78

44,10:45-11:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,0.000000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,5.95,15.84,594.98

45,11:00-11:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.14,15.84,619.06

46,11:15-11:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.24,15.84,619.16

47,11:30-11:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.43,15.84,619.35

48,11:45-12:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.53,15.84,619.45

49,12:00-12:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,40.310000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.62,15.84,635.77

50,12:15-12:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,0.000000,9.080000,0.000000,41.750000,40.310000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.91,15.84,636.06

51,12:30-12:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,15.360000,9.080000,0.000000,41.750000,40.310000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,7.1,15.84,651.61

52,12:45-13:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,45.110000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,7.49,15.84,665.43

53,13:00-13:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,25.910000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,8.16,15.84,646.9

54,13:15-13:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,39.350000,9.080000,0.000000,41.750000,23.990000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,8.45,15.84,660.63

55,13:30-13:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,33.590000,9.080000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,8.64,15.84,680.01

56,13:45-14:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,8.980000,0.000000,99.330000,0.960000,8.160000,71.020000,9.080000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,8.16,15.84,716.96

57,14:00-14:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,71.020000,9.080000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,7.2,15.84,716.09

58,14:15-14:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,71.020000,9.080000,0.000000,41.750000,48.940000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,6.72,15.84,715.61

59,14:30-14:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,71.020000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,5.76,15.84,698.34

60,14:45-15:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.960000,8.160000,260.080000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,4.99,15.84,886.63

61,15:00-15:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.860000,8.160000,314.780000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,4.8,15.84,941.04

62,15:15-15:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.860000,8.160000,349.330000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,4.13,15.84,974.92

63,15:30-15:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.860000,8.160000,358.930000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.74,15.84,984.13

64,15:45-16:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.070000,0.000000,99.330000,0.860000,8.160000,358.930000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.65,15.84,984.04

65,16:00-16:15,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.820000,8.160000,404.030000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.6,15.84,1029.15

66,16:15-16:30,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.820000,8.160000,389.640000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.46,15.84,1014.62

67,16:30-16:45,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.820000,8.160000,402.110000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,3.07,15.84,1026.7

68,16:45-17:00,38.390000,106.060000,0.000000,62.570000,47.980000,23.990000,9.170000,0.000000,99.330000,0.820000,8.160000,413.630000,9.080000,0.000000,41.750000,32.630000,0.000000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,2.39,15.84,1037.54

69,17:00-17:15,38.390000,106.060000,47.980000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.820000,0.000000,275.430000,9.080000,0.000000,41.750000,32.630000,86.370000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,1.38,0,1008.86

70,17:15-17:30,38.390000,106.060000,47.980000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.820000,0.000000,264.880000,9.080000,0.000000,41.750000,32.630000,86.370000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,1.06,0,997.99

71,17:30-17:45,38.390000,106.060000,47.980000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.820000,0.000000,265.840000,9.080000,0.000000,41.750000,32.630000,86.370000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0.79,0,998.68

72,17:45-18:00,38.390000,106.060000,47.980000,62.570000,47.980000,23.990000,9.350000,0.000000,99.330000,0.820000,0.000000,247.600000,9.080000,0.000000,41.750000,32.630000,86.370000,34.550000,19.470000,49.660000,0.000000,0.000000,0.000000,22.070000,0.44,0,980.09

73,18:00-18:15,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.530000,0.000000,99.330000,0.820000,0.000000,155.470000,10.090000,0.000000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0.18,0,1061.38

74,18:15-18:30,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.530000,0.000000,99.330000,0.820000,0.000000,160.270000,10.090000,0.000000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1066

75,18:30-18:45,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.530000,153.550000,99.330000,0.820000,0.000000,12.480000,10.090000,0.000000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1071.76

76,18:45-19:00,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.530000,153.550000,99.330000,0.820000,0.000000,17.270000,10.090000,0.000000,41.750000,48.940000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1076.55

77,19:00-19:15,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.710000,153.550000,99.330000,0.820000,0.000000,9.600000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1072.9

78,19:15-19:30,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.710000,153.550000,99.330000,0.820000,0.000000,47.980000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1111.28

79,19:30-19:45,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.710000,153.550000,99.330000,0.820000,0.000000,63.340000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1126.64

80,19:45-20:00,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.710000,153.550000,99.330000,0.820000,0.000000,58.540000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1121.84

81,20:00-20:15,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.890000,153.550000,99.330000,0.770000,0.000000,71.020000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1134.45

82,20:15-20:30,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.890000,153.550000,99.330000,0.770000,0.000000,65.260000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1128.69

83,20:30-20:45,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.890000,153.550000,99.330000,0.770000,0.000000,97.890000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1161.32

84,20:45-21:00,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.890000,153.550000,99.330000,0.770000,0.000000,153.550000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1216.98

85,21:00-21:15,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.800000,153.550000,99.330000,0.770000,0.000000,174.670000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1238.01

86,21:15-21:30,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.800000,153.550000,99.330000,0.770000,0.000000,229.370000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1292.71

87,21:30-21:45,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.800000,153.550000,99.330000,0.770000,0.000000,293.670000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1357.01

88,21:45-22:00,38.390000,106.060000,191.940000,62.570000,47.980000,0.000000,9.800000,153.550000,99.330000,0.770000,0.000000,308.060000,10.090000,0.000000,41.750000,52.780000,86.370000,34.550000,19.470000,49.660000,36.210000,0.000000,0.000000,22.070000,0,0,1371.4

