Column1,Time,GNA/NR/2024/12/01/1475,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1766,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,GNA/SR/2024/12/01/6968,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/2197,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1899,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07
7,01:30-01:45,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,6.66,14.16,30,14.17,30,0,134.65,25.74,64.44,52.9,57.42

8,01:45-02:00,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,6.66,14.5,30.33,14.5,30.33,0,134.65,25.74,64.44,52.9,57.42

9,02:00-02:15,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,45,0,7,15,30.67,15,30.67,0,134.65,25.74,64.44,52.9,57.42

10,02:15-02:30,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0,7.34,15.84,31.33,15.83,31.33,0,134.65,25.23,64.44,52.9,57.42

11,02:30-02:45,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,55.01,0,7.66,18.33,36.67,18.33,36.66,0,134.65,25.23,64.44,52.9,57.42

12,02:45-03:00,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.14,8.66,0,0,0,0,0,0,0,0,0,0,0,0,55.01,0,8,18.33,36.67,18.33,36.66,0,134.65,25.23,64.44,52.9,57.42

13,03:00-03:15,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,42.49,0,6.67,14.17,28.33,14.17,28.34,0,134.65,25.23,64.44,52.9,57.42

14,03:15-03:30,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,42.49,0,6.67,14.17,28.33,14.17,28.34,0,134.65,25.23,64.44,52.9,57.42

15,03:30-03:45,25.97,0,31.71,8.66,0,0,25.97,0,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,42.49,0,6.67,14.17,23.33,14.17,23.34,0,134.65,25.23,64.44,52.9,57.42

16,03:45-04:00,25.97,0,31.71,8.66,0,0,25.97,0,0,75,70.13,95.13,1.65,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,42.49,0,6.67,14.17,23.33,14.17,23.34,0,134.65,25.23,64.44,52.9,57.42

17,04:00-04:15,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,6.67,8.33,19.33,8.33,19.34,0,134.65,25.23,64.44,67.33,57.42

18,04:15-04:30,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,6.67,8.33,18.67,8.33,18.66,0,134.65,24.73,64.44,67.33,57.42

19,04:30-04:45,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,7.33,12.5,36.67,12.5,36.66,0,134.65,24.73,64.44,72.14,57.42

20,04:45-05:00,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,38.51,0,7.67,12.83,36.33,12.83,36.34,0,134.65,24.73,64.44,91.37,57.42

21,05:00-05:15,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,49.99,0,8,16.67,26.67,16.67,26.66,0,134.65,24.73,94.56,100.2,57.42

22,05:15-05:30,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,49.5,0,8.33,16.5,26,16.5,26,0,134.65,24.73,94.56,100.2,57.42

23,05:30-05:45,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,49.01,0,8.67,16.33,31.33,16.33,31.34,0,134.65,24.73,94.56,100.2,67.92

24,05:45-06:00,25.97,0,31.71,8.66,0,0,25.97,0.69,0,75,70.13,95.13,1.74,1.62,25.97,6,0,0,1.07,8.66,0,0,0,0,0,0,0,0,0,0,0,0,49.01,0,8.67,16.33,30,16.33,30,0,134.65,24.73,94.56,100.2,67.92

25,06:00-06:15,25.97,0,0,8.66,0,0,25.97,0.69,0,75,65.99,0,1.65,1.62,25.97,6,0.67,0,1.03,8.66,0,0,0,0,0,0,0,0,0,0,0,0,48.49,0,9,16.17,28,16.17,28,0,134.65,24.73,94.56,100.2,67.92

26,06:15-06:30,25.97,0,0,8.66,0,0,25.97,0.69,0,75,65.99,0,1.65,1.62,25.97,6,1.23,0,1.03,8.66,0,0,0,0,0,0.15,0,0,0,0,0,0,48,0,9,16,27,16,27,0,134.65,24.73,94.56,100.2,67.92

27,06:30-06:45,25.97,0,0,8.66,0,0,25.97,0.69,0,75,65.99,0,1.65,1.62,25.97,6,2.84,0.17,1.03,8.66,0,0,0,0,0,0.35,0,0,0,0,0,0,47.51,1,10,15.83,26.33,15.83,26.34,0,134.65,24.73,94.56,100.2,67.92

28,06:45-07:00,25.97,0,0,8.66,0,0,25.97,0.69,0,75,65.99,0,1.65,1.62,25.97,6,5.74,3.57,1.03,8.66,0,0,0,0,0,0.52,0,0,0,0,0,0,46.99,6,10,15.67,25.67,15.67,25.66,0,134.65,24.22,113.77,100.2,80.11

29,07:00-07:15,25.97,0.08,0,8.66,0,0.08,25.97,0,0.08,75,65.99,0,1.74,1.62,25.97,6,13.82,13.09,1.03,8.66,0,0,0,0.06,2,1.67,0,0,0,1,0.28,1,46.01,11,7.67,15.33,24.67,15.33,24.66,0.12,134.65,23.72,130.56,100.2,86.75

30,07:15-07:30,25.97,0.31,0,8.66,0,0.31,25.97,0,0.32,75,65.99,0,1.74,1.62,25.97,6,22.5,22.5,1.03,8.66,0,0,0,0.26,3,3.43,0,1,1,4,1.32,2,43.99,18,7.67,14.67,23.67,14.67,23.66,6.26,134.65,23.22,130.56,100.2,86.75

31,07:30-07:45,25.97,0.69,0,8.66,0,0.69,25.97,0.69,0.71,75,115,0,1.74,1.62,25.97,6,21.56,21.57,1.03,8.66,0,0,0,0.83,6,5.76,1,3,3,7,4.16,5,32.51,21.57,7.33,10.83,22.33,10.83,22.34,14.44,134.65,23.22,130.56,100.2,86.75

32,07:45-08:00,25.97,1.23,0,8.66,0,1.23,25.97,0.69,1.26,75,115,0,1.74,1.62,25.97,6,23.24,23.23,1.03,8.66,0,0,0,2.67,8,8.47,2,4,4,11,13.33,8,31.99,23.23,6.67,10.67,21,10.67,21,24.28,134.65,23.22,130.56,100.2,86.75

33,08:00-08:15,25.97,2.16,0,8.66,0,2.16,25.97,0.69,2.21,75,115,0,1.74,1.62,25.97,6,24.24,24.23,1.03,8.66,0,0,0,5.29,10,14.22,3,5,7,18,26.43,10,31.5,24.23,5.67,10.5,17.67,10.5,17.66,33.89,134.65,23.22,130.56,100.2,86.75

34,08:15-08:30,25.97,3.08,0,8.66,0,3.08,25.97,0.69,3.16,75,115,0,1.74,1.62,25.97,6,24.4,24.4,1.03,8.66,0,0,0,7.29,15,19.99,5,7,12,28,36.47,13,31.01,24.4,5.67,10.33,16.67,10.33,16.66,43.26,134.65,23.22,130.56,100.2,86.75

35,08:30-08:45,25.97,4.01,0,8.66,0,4.01,25.97,0.69,4.12,75,115,0,1.74,1.62,25.97,6,25.5,25.5,1.03,8.66,0,0,0,10.44,17,25.73,8,10,18,42,52.21,20,30.49,25.5,5.67,10.17,19.33,10.17,19.34,52.19,134.65,23.22,130.56,100.2,86.75

36,08:45-09:00,25.97,4.94,0,8.66,0,4.94,25.97,0.69,5.06,75,115,0,1.74,1.62,25.97,6,25.5,25.5,1.03,8.66,0,0,0,13.65,20,31.48,12,13,24,56,68.22,27,31.01,25.5,5.67,10.33,19,10.33,19,60.96,134.65,22.21,130.56,100.2,86.75

37,09:00-09:15,25.97,5.94,0,8.66,0,5.94,25.97,0.69,6.08,75,115,0,1.65,1.62,25.97,6,25.84,25.83,0.99,8.66,0,0,0,17.09,30,37.5,17,19,33,77,85.46,38,28.99,25.83,5.67,9.67,18.67,9.67,18.66,86.24,134.65,21.7,130.56,100.2,86.75

38,09:15-09:30,25.97,6.93,0,8.66,0,6.93,25.97,0.69,7.11,75,115,0,1.65,1.62,25.97,6,26.16,26.17,0.99,8.66,0,0,0,20.7,37,43.47,20,22,39,91,103.49,45,27.49,26.17,5.67,9.17,18.33,9.17,18.34,94.06,134.65,21.7,130.56,100.2,86.75

39,09:30-09:45,25.97,7.94,0,8.66,0,7.94,25.97,0.69,8.13,75,115,0,1.65,1.62,25.97,6,26.5,26.5,0.99,8.66,0,0,0,24.39,42,49.54,23,25,43,102,121.92,50,31.99,26.5,5.09,10.67,24,10.67,24,100.75,134.65,21.2,130.56,100.2,86.75

40,09:45-10:00,25.97,8.93,0,8.66,0,8.93,25.97,0.69,9.15,75,115,0,1.65,1.62,25.97,6,26.5,26.5,0.99,8.66,0,0,0,27.95,47,55.24,26,28,49,116,139.75,57,28.99,26.5,4.84,9.67,22,9.67,22,106.63,134.65,21.2,130.56,100.2,86.75

41,10:00-10:15,25.97,9.7,0,8.66,0,9.7,25.97,0,9.94,75,65.99,0,1.74,1.62,25.97,3.6,26.5,26.5,1.07,8.66,0,0,0,31.53,54,61.61,28,30,55,130,157.65,60,25.5,26.5,6.22,8.5,19.33,8.5,19.34,110.82,134.65,21.2,130.56,100.2,86.75

42,10:15-10:30,25.97,10.48,0,8.66,0,10.48,25.97,0,10.73,75,65.99,0,1.74,1.62,25.97,3.6,26.5,26.5,1.07,8.66,0,0,0,34.57,57,66.04,30,33,61,144,172.86,65,24,26.5,6.22,8,16.33,8,16.34,113.46,134.65,21.2,130.56,100.2,86.75

43,10:30-10:45,25.97,11.25,0,8.66,0,11.25,25.97,0.69,11.53,75,89.55,0,1.74,1.62,25.97,3.6,26.5,26.5,1.07,8.66,0,0,0,34.75,63,69.72,32,35,63,147,173.72,69,22.99,26.5,5.89,7.67,14,7.67,14,107.26,134.65,21.7,130.56,100.2,86.75

44,10:45-11:00,25.97,12.02,0,8.66,0,12.02,25.97,0.69,12.32,75,81.07,0,1.74,1.62,25.97,3.6,26.5,26.5,1.07,8.66,0,0,0,37.2,67,73.9,33,37,69,161,186.01,73,22.5,26.5,5.89,7.5,13.33,7.5,13.34,110.89,134.65,22.21,130.56,100.2,86.75

45,11:00-11:15,25.97,12.47,0,8.66,0,12.47,25.97,0.69,12.79,75,72.59,0,1.74,1.62,25.97,3.6,26.5,26.5,1.14,8.66,0,0,0,39.46,77,64.36,34,38,72,168,197.27,77,21.49,26.5,5.89,7.17,13.33,7.17,13.34,114.04,134.65,22.21,130.56,100.2,86.75

46,11:15-11:30,25.97,12.92,0,8.66,0,12.92,25.97,0.69,13.25,75,70.13,0,1.74,1.62,25.97,3.6,27.5,27.5,1.14,8.66,0,0,0,40.38,80,66.77,35,39,75,175,201.89,79,20.51,27.5,5.89,6.83,13.33,6.83,13.34,116.84,134.65,20.19,130.56,100.2,86.75

47,11:30-11:45,25.97,13.34,0,8.66,0,13.34,25.97,0.69,13.68,75,70.13,0,1.74,1.62,25.97,3.6,27.9,27.9,1.14,8.66,0,0,0,38.59,80,69.17,32,41,76,179,192.92,81,19.01,27.9,5.89,6.33,13.33,6.33,13.34,118.98,134.65,19.18,130.56,100.2,86.75

48,11:45-12:00,25.97,13.37,0,8.66,0,13.37,25.97,0.69,13.7,75,70.13,0,1.74,1.62,25.97,3.6,28.06,28.07,1.14,8.66,0,0,0,39.78,80,71.59,32,42,76,179,198.88,83,17.51,28.07,5.89,5.83,13.33,5.83,13.34,120.91,134.65,19.18,130.56,100.2,86.75

49,12:00-12:15,25.97,13.37,0,8.66,0,13.37,25.97,0.69,13.7,75,70.13,0,1.65,1.62,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,40.53,79,71.96,34,42,76,179,202.63,83,16.5,28.07,5.89,5.5,13.33,5.5,13.34,129.22,134.65,19.18,130.56,100.2,86.75

50,12:15-12:30,25.97,13.37,0,8.66,0,13.37,25.97,0.69,13.7,75,70.13,0,1.65,1.62,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,41.39,79,72.32,34,42,76,179,206.97,83,15,28.07,5.89,5,13.33,5,13.34,128.92,134.65,19.18,130.56,100.2,86.75

51,12:30-12:45,25.97,13.37,0,8.66,0,13.37,25.97,0.69,13.7,75,70.13,0,1.65,1.62,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,40,75,72.69,34,42,76,179,200,83,15,28.07,5.89,5,13.33,5,13.34,127.86,134.65,18.67,130.56,100.2,86.75

52,12:45-13:00,25.97,13.37,0,8.66,0,13.37,25.97,0.69,13.7,75,70.13,0,1.65,1.62,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,40,75,73.06,34,42,76,179,200,83,15,28.07,5.89,5,13.33,5,13.34,125.79,134.65,18.67,130.56,100.2,86.75

53,13:00-13:15,25.97,13.37,0,8.66,0,13.37,25.97,0.69,13.7,75,70.13,0,1.74,1.66,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,40,70,71.34,31,41,76,179,200,82,15,28.07,5.89,5,13.33,5,13.34,122.98,134.65,18.67,93.6,81.75,64.08

54,13:15-13:30,25.97,13.34,0,8.66,0,13.34,25.97,0.69,13.68,75,70.13,0,1.74,1.66,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,40,67,69.63,30,40,73,172,200,81,15,28.07,5.89,5,13.33,5,13.34,119.46,134.65,18.67,93.6,55.78,64.08

55,13:30-13:45,25.97,11.45,0,8.66,0,11.45,25.97,0,11.74,75,70.13,0,1.74,1.66,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,39.65,58,67.92,29,39,72,168,198.25,78,15,28.07,5.89,5,13.33,5,13.34,122.71,134.65,18.67,93.6,55.78,64.08

56,13:45-14:00,25.97,11.03,0,8.66,0,11.03,25.97,0,11.31,75,70.13,0,1.74,1.66,25.97,3.6,28.06,28.07,1.22,8.66,0,0,0,38.15,55,66.21,28,37,69,161,190.77,75,15,28.07,5.89,5,13.33,5,13.34,116.47,134.65,18.67,93.6,55.78,64.08

57,14:00-14:15,25.97,10.43,0,8.66,0,10.43,25.97,0.69,10.69,75,70.13,0,1.74,1.66,25.97,3.6,28.06,28.07,1.3,8.66,0,0,0,33.39,47,56.86,22,36,66,154,166.97,72,15,28.07,5.89,5,13.33,5,13.34,109.94,134.65,18.67,93.6,69.25,64.08

58,14:15-14:30,25.97,9.83,0,8.66,0,9.83,25.97,0.69,10.07,75,70.13,0,1.74,1.66,25.97,3.8,28.06,28.07,1.3,8.66,0,0,0,31.32,43,53.53,20,33,61,144,156.57,67,15,28.07,5.89,5,13.33,5,13.34,103.3,134.65,19.68,93.6,69.25,64.08

59,14:30-14:45,25.97,9.22,0,8.66,0,9.22,25.97,0.69,9.44,75,70.13,0,1.74,1.66,25.97,4,28.06,28.07,1.3,8.66,0,0,0,25.33,35,50.21,19,32,57,133,126.65,63,15,28.07,5.89,5,13.33,5,13.34,96.07,134.65,19.68,93.6,78.87,64.08

60,14:45-15:00,25.97,6.55,0,8.66,0,6.55,25.97,0.69,6.71,75,70.13,0,1.74,1.66,25.97,5,28.06,28.07,1.3,8.66,0,0,0,22.94,32,46.89,17,29,51,119,114.68,57,15,28.07,5.89,5,13.33,5,13.34,88.55,134.65,19.68,93.6,78.87,64.08

61,15:00-15:15,25.97,5.99,0,8.66,0,5.99,25.97,0.69,6.13,75,70.13,0,1.65,1.71,25.97,5.4,28.24,28.23,1.3,8.66,0,0,0,20.74,31,42.13,16,21,37,88,103.71,42,15,28.23,5.89,5,13.33,5,13.34,84.71,134.65,20.19,93.6,88.49,64.08

62,15:15-15:30,25.97,5.42,0,8.66,0,5.42,25.97,0.69,5.56,75,70.13,0,1.65,1.71,25.97,6,28.24,28.23,1.3,8.66,0,0,0,18.14,28,37.38,13,18,31,74,90.71,36,15,28.23,6.22,5,13.33,5,13.34,76.25,134.65,20.19,93.6,88.49,64.08

63,15:30-15:45,25.97,4.86,0,8.66,0,4.86,25.97,0.69,4.99,75,70.13,0,1.65,1.71,25.97,6.4,28.24,28.23,1.3,8.66,0,0,0,15.93,21,32.62,10,15,27,63,79.65,29,15,28.23,6.22,5,13.33,5,13.34,67.2,134.65,20.69,93.6,100.2,64.08

64,15:45-16:00,25.97,4.3,0,8.66,0,4.3,25.97,0.69,4.41,75,70.13,0,1.65,1.71,25.97,6.6,29.35,29.35,1.3,8.66,0,0,0,13.71,18,27.86,8,11,22,53,68.52,23,15,26,6.22,5,13.33,5,13.34,57.85,134.65,21.2,93.6,100.2,64.08

65,16:00-16:15,25.97,3.61,0,8.66,0,3.61,25.97,0.69,3.71,75,65.99,0,1.74,1.71,25.97,6.8,32.25,32.25,1.38,8.66,0,0,0,10.27,13,23.59,7,10,18,42,51.37,19,15,20,10,5,20,5,20,47.45,134.65,21.2,130.56,100.2,86.75

66,16:15-16:30,25.97,2.92,0,8.66,0,2.92,25.97,0.69,3,75,65.99,0,1.74,1.71,25.97,6.8,24.47,32.78,1.38,8.66,0,0,0,9.13,12,19.3,7,7,13,32,45.63,15,15,13,10,5,20.67,5,20.66,36.04,134.65,21.2,130.56,100.2,86.75

67,16:30-16:45,25.97,2.23,0,8.66,0,2.23,25.97,0.69,2.29,75,65.99,0,1.74,1.71,25.97,6.8,14.01,22.83,1.38,8.66,0,0,0,6.39,10,15.03,5,5,9,21,31.93,10,25.01,7,10.33,8.33,21.67,8.33,21.66,39.85,134.65,22.21,130.56,100.2,86.75

68,16:45-17:00,25.97,1.55,0,8.66,0,1.55,25.97,0.69,1.59,75,65.99,0,1.74,1.71,25.97,6.8,5.85,9.27,1.38,8.66,0,0,0,4.31,9,10.75,3,4,4,11,21.55,9,25.99,1,10.33,8.67,23,8.67,23,51.4,134.65,22.71,130.56,100.2,86.75

69,17:00-17:15,31.74,1.17,0,8.66,0,1.17,31.74,0.69,1.2,75,65.99,0,1.74,1.71,31.74,6.8,1.41,3.4,1.38,8.66,0,0,0,3.42,7,8.21,2,3,1,4,17.12,6,24,0,9.33,8,24,8,24,54.34,134.65,23.22,130.56,100.2,86.75

70,17:15-17:30,31.74,0.8,0,8.66,0,0.8,31.74,0.69,0.82,75,65.99,0,1.74,1.71,31.74,6.8,2.17,0.96,1.38,8.66,0,0,0,1.84,5,5.67,1,1,0,1,9.21,2,24.49,0,9.33,8.17,25,8.17,25,4.61,134.65,24.22,130.56,100.2,86.75

71,17:30-17:45,31.74,0.42,0,8.66,0,0.42,31.74,0.69,0.44,75,115,0,1.74,1.71,31.74,6.8,1.24,0.05,1.38,8.66,0,0,0,0.83,3,3.14,0,0,0,0,4.12,1,25.5,0,8.33,8.5,26.33,8.5,26.34,0,134.65,25.23,130.56,100.2,86.75

72,17:45-18:00,31.74,0.05,0,8.66,0,0.05,31.74,0.69,0.05,75,115,0,1.74,1.71,31.74,6.8,0.69,0.03,1.38,8.66,0,0,0,0.18,2,0.61,0,0,0,0,0.88,0,26.51,0,8.33,8.83,27,8.83,27,0,134.65,25.23,130.56,100.2,86.75

73,18:00-18:15,31.74,0.03,0,8.66,0,0.03,31.74,0,0.03,75,115,0,1.65,1.66,31.74,6.8,0,0,1.38,8.66,50,150,0,0,0,0.34,0,0,0,0,0.02,0,28.01,0,8.33,9.33,31.33,9.33,31.34,0,134.65,25.23,130.56,100.2,86.75

74,18:15-18:30,31.74,0.01,0,8.66,0,0.01,31.74,0,0.01,75,115,0,1.65,1.66,31.74,6.8,0,0,1.38,8.66,50,150,0,0,0,0.15,0,0,0,0,0,0,28.5,0,9,9.5,36.67,9.5,36.66,0,134.65,25.23,130.56,100.2,86.75

75,18:30-18:45,31.74,0,0,8.66,0,0,31.74,0.69,0,75,65.99,0,1.65,1.66,31.74,6.8,0,0,1.38,8.66,50,150,0,0,0,0,0,0,0,0,0,0,28.99,0,9,9.67,38.33,9.67,38.34,0,134.65,25.23,130.56,100.2,86.75

76,18:45-19:00,31.74,0,0,8.66,0,0,31.74,0.69,0,75,65.99,0,1.65,1.66,31.74,6.8,0,0,1.38,8.66,50,150,0,0,0,0,0,0,0,0,0,0,29.51,0,9.67,9.83,40,9.83,40,0,134.65,25.74,130.56,100.2,86.75

77,19:00-19:15,31.74,0,0,8.66,0,0,31.74,0.69,0,75,89.55,0,1.74,1.66,31.74,6.8,0,0,1.3,8.66,50,150,0,0,0,0,0,0,0,0,0,0,31.99,0,9.67,10.67,43.33,10.67,43.34,0,134.65,25.74,130.56,100.2,86.75

78,19:15-19:30,31.74,0,0,8.66,0,0,31.74,0.69,0,75,81.07,0,1.74,1.66,31.74,6.8,0,0,1.3,8.66,50,150,0,0,0,0,0,0,0,0,0,0,34.5,0,10.67,11.5,47.67,11.5,47.66,0,134.65,25.74,130.56,100.2,86.75

79,19:30-19:45,31.74,0,0,8.66,0,0,31.74,0.69,0,75,72.59,0,1.74,1.66,31.74,6.8,0,0,1.3,8.66,50,150,0,0,0,0,0,0,0,0,0,0,35.51,0,11.33,11.83,46.67,11.83,46.66,0,134.65,25.74,130.56,100.2,86.75

