Column1,Time,GNA/NR/2025/04/23/5165,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/4565,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/23/7818,GNA/NR/2025/04/23/3759,GNA/NR/2025/04/16/1389,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/23/9598,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,GNA/NR/2025/04/01/8456,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/1333,NR/30092023/26122029/SH-06,GNA/NR/2025/04/23/3332,GNA/NR/2025/04/23/4454,GNA/NR/2025/04/01/5285,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8510,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/23/9647,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/23/1623,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/6639,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/23/9481,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/23/7720,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19
6,01:15-01:30,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,30.28,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,74.04,0,2.88,10.39,7.73,52.5,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,15.83,47.51,0,14.33,0,0,0,0,37.67,0,0,37.66,0,0,0,0,15.83,0

7,01:30-01:45,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.77,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,49.04,0,2.88,10.39,7.73,52.5,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,16,48,0,14.67,0,0,0,0,37.33,0,0,37.34,0,0,0,0,16,0

8,01:45-02:00,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.77,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.98,2.88,32,23.08,0,2.88,10.39,7.73,52.5,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,16.33,49.01,0,15,0,0,0,0,37.33,0,0,37.34,0,0,0,0,16.33,0

9,02:00-02:15,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.83,2.88,32,20.19,0,2.88,10.31,7.73,0,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,16.5,49.5,0,15,0,0,0,0,37.67,0,0,37.66,0,0,0,0,16.5,0

10,02:15-02:30,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.83,2.88,32,20.19,0,2.88,10.31,7.73,0,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,17.33,52.01,0,15,0,0,0,0,38.67,0,0,38.66,0,0,0,0,17.33,0

11,02:30-02:45,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,22.11,96.15,0,7,10.41,4.5,4.83,2.88,32,20.19,0,2.88,10.31,7.73,0,9.62,0,0,2.88,27.88,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,18,54,0,15,0,0,0,0,33.63,0,0,33.63,0,0,0,0,18,0

12,02:45-03:00,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,200.35,0,29.27,14.57,19.23,22.11,96.15,0,6.8,10.41,4.5,4.83,2.88,32,20.19,0,2.88,10.31,7.73,0,9.62,0,0,2.88,27.88,1.92,72.11,63.06,9.62,61.54,32,132.69,4.04,9.62,72.11,0,18.33,55.01,0,15,0,0,0,0,34.2,0,0,34.19,0,0,0,0,18.33,0

13,03:00-03:15,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,6.6,10.41,4.27,4.83,2.88,32,20.19,0,2.88,10.21,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,18.67,55.99,0,15,0,0,0,0,39.16,0,0,39.15,0,0,0,0,18.67,0

14,03:15-03:30,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,6.4,10.41,4.27,4.83,2.88,32,20.19,0,2.88,10.21,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,18.83,56.51,0,15,0,0,0,0,40.67,0,0,40.67,0,0,0,0,18.83,0

15,03:30-03:45,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,6.2,10.41,4.27,4.83,2.88,32,20.19,0,2.88,10.21,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,19,57,0,15,0,0,0,0,39.48,0,0,39.47,0,0,0,0,19,0

16,03:45-04:00,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,6,10.41,4.27,4.83,2.88,32,20.19,0,2.88,10.21,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,132.69,4.04,9.62,72.11,0,19.17,57.49,0,15,0,0,0,0,41.12,0,0,41.11,0,0,0,0,19.17,0

17,04:00-04:15,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5.6,10.41,4.5,4.75,2.88,32,20.19,0,2.88,10.03,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,148.07,4.04,9.62,72.11,0,20.33,61.01,0,14.67,0,0,0,0,42.69,0,0,42.69,0,0,0,0,20.33,0

18,04:15-04:30,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5.2,10.41,4.5,4.75,2.88,32,20.19,0,2.88,10.03,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,155.76,4.04,9.62,72.11,0,20.67,61.99,0,14.33,0,0,0,0,44.42,0,0,44.43,0,0,0,0,20.67,0

19,04:30-04:45,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5,10.41,4.5,4.75,2.88,32,20.19,0,2.88,10.03,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,155.76,4.04,9.62,72.11,0,21.33,64.01,0,14,0,0,0,0,37.91,0,0,37.92,0,0,0,0,21.33,0

20,04:45-05:00,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5,10.41,4.5,4.75,2.88,32,20.19,0,2.88,10.03,7.73,0,9.62,0,0,2.88,0,1.92,72.11,86.73,9.62,61.54,32,168.26,4.04,9.62,72.11,0,21.83,65.51,0,13.67,0,0,0,0,39.73,0,0,39.72,0,0,0,0,21.83,0

21,05:00-05:15,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5,10.41,4.5,4.6,2.88,32,20.19,0,2.88,9.85,7.73,0,9.62,0,0,2.88,0,1.92,72.11,63.06,9.62,61.54,32,180.76,4.04,9.62,72.11,0,18.17,54.49,0,13.33,0,0,0,0,40.95,0,0,40.96,0,0,0,0,18.17,0

22,05:15-05:30,0,114.97,48.08,100.17,0,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5,10.41,4.5,4.6,2.88,32,20.19,0,2.88,9.85,7.73,0,9.62,0,0,2.88,0,1.92,72.11,63.06,9.62,61.54,32,180.76,4.04,9.62,72.11,0,19.33,58.01,0,13,0,0,0,0,42.27,0,0,42.26,0,0,0,0,19.33,0

23,05:30-05:45,0,114.97,48.08,100.17,0.96,0,28.84,0,0,23.08,0,260.18,0,29.27,14.57,19.23,43.7,96.15,0,5,10.41,4.5,4.6,2.88,32,48.08,0,2.88,9.85,7.73,0,9.62,0,0,2.88,0,1.92,72.11,63.06,9.62,61.54,32,194.22,4.04,9.62,72.11,0,20.17,60.49,0,14.33,0,0,0,0,43.81,0,0,43.81,0,0,0,0,20.17,0

24,05:45-06:00,0,114.97,48.08,100.17,0.96,0,28.84,0,0,23.08,0,200.35,0,29.27,14.57,19.23,43.7,96.15,0,5,10.41,4.5,4.6,2.88,32,48.08,0,2.88,9.85,7.73,0,9.62,0,0,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,0,20.33,61.01,0,14.67,0,0,0,0,45.21,0,0,45.22,0,0,0,0,20.33,0

25,06:00-06:15,0,114.97,48.08,100.17,0.96,0,28.84,0,0,23.08,0,200.35,0,28.26,14.57,19.23,43.7,96.15,0.01,5,10.41,4.35,4.37,2.88,32,48.08,0,2.88,9.66,7.73,0,9.62,0,0,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,0,20.83,62.51,2,16,0,0,0.07,0,47.39,0,0,47.4,0,1,1,0,20.83,1.29

26,06:15-06:30,0,114.97,48.08,100.17,0.96,0,28.84,0,0,23.08,0,200.35,0,28.26,14.57,19.23,43.7,96.15,0.15,5,10.41,4.35,4.37,2.88,32,48.08,0,2.88,9.66,7.73,0,9.62,0,0,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,0,20.33,61.01,4,16,5.2,0.25,0.75,1,46.18,0,0,46.17,0,5,2,5.3,20.33,3.97

27,06:30-06:45,0,114.97,48.08,100.17,0.96,0,28.84,0,0,11.54,0,200.35,0,27.25,14.57,19.23,43.7,96.15,1.48,5,10.41,4.35,4.37,2.88,32,48.08,0,2.88,9.66,7.73,0,9.62,0,46.15,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,0,20.83,62.51,8,18.33,15.6,1.87,7.37,2,48.33,1,0,48.34,1,7,3,15.6,20.83,8.57

28,06:45-07:00,0,114.97,48.08,100.17,0.96,0,28.84,1.04,1.04,11.54,1.04,200.35,0,26.24,14.57,19.23,43.7,96.15,2.89,5,10.41,4.35,4.37,2.88,32,48.08,0,2.88,9.66,7.73,0,9.62,0,46.15,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,0,19.17,57.49,12,17.67,30.5,5.95,14.45,3,45,4,1,45,3,9,4,22.6,19.17,15.16

29,07:00-07:15,0,114.97,48.08,100.17,0.96,0,28.84,1.91,1.91,11.54,1.91,200.35,0,26.24,14.57,19.23,43.7,96.15,5.62,5,10.41,4.35,4.37,2.88,32,48.08,0,2.88,9.57,7.73,0,9.62,0,46.15,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,0,17.33,52.01,15,16.67,32.62,10.45,28.09,7,40.67,14,6,40.66,5,13,7,32.62,17.33,23.4

30,07:15-07:30,0,106.49,48.08,100.17,0,0,28.84,2.98,2.98,11.54,2.98,200.35,0,26.24,14.57,19.23,43.7,96.15,8.61,5,10.41,4.35,4.37,2.88,32,22.11,0,2.88,9.57,7.73,0,9.62,0,50.96,2.88,0,1.92,72.11,63.06,9.62,61.54,32,206.72,4.04,9.62,72.11,22.11,15,45,18,16,33,16.86,43.04,12,34.33,28,12,34.34,7,19,9,33,15,32.62

31,07:30-07:45,0,98.01,48.08,100.17,0.96,8.65,28.84,4.13,4.13,11.54,4.13,168.92,0,26.24,14.57,19.23,43.7,96.15,11.77,5,10.41,4.35,4.37,2.88,32,19.23,13.46,2.88,9.57,7.73,0,9.62,0,50.96,2.88,0,1.92,72.11,50.87,9.62,41.34,32,206.72,4.04,9.62,72.11,22.11,15,45,24,15,33,24.23,58.87,19,29,42,18,29,12,30,15,33,15,42.1

32,07:45-08:00,0,89.53,48.08,100.17,0,14.42,28.84,5.36,5.36,11.54,5.36,168.92,0,26.24,14.57,19.23,43.7,96.15,15.36,5,10.41,4.35,4.37,2.88,32,0,13.46,2.88,9.57,7.73,0,9.62,0,50.96,2.88,0,1.92,72.11,50.87,9.62,38.46,32,206.72,4.04,9.62,72.11,22.11,13.33,40.01,32,13.33,32.5,32.87,76.77,27,24,56,24,24,16,37,18,32.5,13.33,51.8

33,08:00-08:15,0,81.04,48.08,52.88,0,0,28.84,6.76,6.76,0,6.76,133.65,0,27.25,14.57,19.23,43.7,96.15,19.22,5,10.41,4.35,4.37,2.88,32,0,0,2.88,9.48,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,206.72,4.04,9.62,72.11,0,10.83,32.51,33,12.67,33,41.5,96.11,36,21.67,84,36,21.66,22,43,22,33,10.83,61.39

34,08:15-08:30,0,70.11,48.08,52.88,0,0,28.84,8.22,8.22,0,8.22,133.65,0,27.25,14.57,19.23,43.7,96.15,23.25,5,10.41,4.35,4.37,2.88,32,0,0,2.88,9.48,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,206.72,4.04,9.62,72.11,0,9,27,33,11.67,33,49.61,116.24,42,19.33,102,43,19.34,27,52,26,33,9,70.88

35,08:30-08:45,0,70.11,48.08,52.88,0,0,28.84,9.57,9.57,0,9.57,133.65,0,27.25,14.57,19.23,43.7,96.15,27.31,5,10.41,4.35,4.37,2.88,32,0,0,2.88,9.48,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,206.72,4.04,9.62,72.11,0,8.33,25.01,33,10,33,57.58,136.57,53,18,119,51,18,30,60,30,33,8.33,79.9

36,08:45-09:00,0,70.11,48.08,52.88,0,0,28.84,10.81,10.81,0,10.81,133.65,0,27.25,14.57,19.23,43.7,96.15,31.3,5,10.41,4.35,4.37,2.88,32,0,0,2.88,9.48,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,206.72,4.04,9.62,72.11,0,8,24,33,9,33,65.28,156.47,59,14.67,137,58,14.66,33,67,33,33,8,97.66

37,09:00-09:15,0,70.11,48.08,52.88,0,0,28.84,12.02,12.02,0,12.02,133.65,0,26.24,14.57,19.23,43.7,96.15,35.16,5,10.41,4.35,4.37,2.88,32,0,0,2.88,9.38,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,187.49,4.04,9.62,72.11,0,7.5,22.5,33,8.33,33,72.47,175.81,72,14.67,151,64,14.66,35,73,37,33,7.5,106.81

38,09:15-09:30,0,70.11,48.08,52.88,0,0,28.84,13.06,13.06,0,13.06,133.65,0,26.24,14.57,19.23,43.7,96.15,38.76,5,10.41,4.35,4.37,2.88,32,0,0,2.88,9.38,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,168.26,4.04,9.62,72.11,0,7.17,21.49,33,7.33,33,78.91,193.82,77,14.33,168,72,14.34,37,80,40,33,7.17,115.58

39,09:30-09:45,0,70.11,48.08,52.88,0,0,28.84,14.09,14.09,0,14.09,133.65,0,26.75,14.57,19.23,43.7,96.15,43.2,6,10.41,4.35,4.37,2.88,32,0,0,2.88,9.38,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,7,21,33,6.67,33,84.88,215.97,82,14,182,78,14,40,85,42,33,7,122.88

40,09:45-10:00,0,70.11,48.08,52.88,0,0,28.84,14.99,14.99,0,14.99,133.65,0,26.75,14.57,19.23,43.7,96.15,46.27,6,10.41,4.35,4.37,2.88,32,0,0,2.88,9.38,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,90.92,231.36,86,13.67,193,82,13.66,41,90,45,33,6.67,129.7

41,10:00-10:15,0,70.11,48.08,52.88,0,0,28.84,15.87,15.87,0,15.87,133.65,0,27.25,14.57,19.23,43.7,96.15,49,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.3,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,96.26,245.02,90,13.33,200,85,13.34,43,93,47,33,6.67,135.64

42,10:15-10:30,0,70.11,48.08,52.88,0,0,28.84,16.63,16.63,0,16.63,133.65,0,27.25,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.3,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,98.33,246.67,92,13.33,207,88,13.34,45,97,48,33,6.67,140.99

43,10:30-10:45,0,70.11,48.08,52.88,0,0,28.84,17.27,17.27,0,17.27,133.65,0,27.25,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.3,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,96,13.33,210,90,13.34,46,100,50,33,6.67,145.57

44,10:45-11:00,0,70.11,48.08,52.88,0,0,28.84,17.81,17.81,0,17.81,133.65,0,27.76,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.3,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,97,13.33,210,90,13.34,47,100,50,33,6.67,147.52

45,11:00-11:15,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,27.76,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.11,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,99,13.33,210,90,13.34,48,100,50,33,6.67,149.27

46,11:15-11:30,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,27.76,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.11,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,13.33,210,90,13.34,48,100,50,33,6.67,150.53

47,11:30-11:45,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,27.76,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.11,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,13.33,210,90,13.34,49,100,50,33,6.67,151.31

48,11:45-12:00,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,28.26,14.57,19.23,43.7,96.15,49.33,6,10.41,4.18,4.3,2.88,32,0,0,2.88,9.11,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,13.33,210,90,13.34,49,100,50,33,6.67,151.9

49,12:00-12:15,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,28.26,14.57,19.23,43.7,96.15,49.33,6,10.41,4.03,4.3,2.88,32,0,0,2.88,9.02,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,13.33,210,90,13.34,49,100,50,33,6.67,152.58

50,12:15-12:30,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,28.26,14.57,19.23,43.7,96.15,49.33,6,10.41,4.03,4.3,2.88,32,0,0,2.88,9.02,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,149.52,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,13.33,210,90,13.34,49,100,50,33,6.67,153.07

51,12:30-12:45,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,28.26,14.57,19.23,43.7,96.15,49.33,6,10.41,4.03,4.3,2.88,32,0,0,2.88,9.02,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,174.99,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,13.33,210,90,13.34,49,100,50,33,6.67,152.48

52,12:45-13:00,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,28.26,14.57,19.23,43.7,96.15,49.33,6,10.41,4.03,4.3,2.88,32,0,0,2.88,9.02,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,191.34,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,14.33,210,90,14.34,49,100,50,33,6.67,151.9

53,13:00-13:15,0,70.11,48.08,52.88,0,0,28.84,17.9,17.9,0,17.9,133.65,0,28.26,14.57,19.23,43.7,96.15,49.33,6,10.41,4.03,4.44,2.88,32,0,0,2.88,8.84,7.73,0,9.62,0,0,2.88,0,1.92,72.11,40.38,9.62,0,32,191.34,4.04,9.62,72.11,0,6.67,19.99,33,6,33,100,246.67,100,15,210,90,15,49,100,50,33,6.67,151.51

