Time,Block,NR/2023/13222/C,NR/2023/12923/F,NR/2023/10959/A,NR/2023/10956/A,NR/2023/12924/F,NR/2023/13230/C,NR/2023/12922/F,NR/2023/11709/A,NR/2023/13234/C,NR/2023/12813/F,NR/2023/10436/A,NR/2023/10947/A,NR/2023/10786/A,NR/2023/12917/F,NR/2023/11507/A,NR/2023/10720/A,NR/2023/11447/A,NR/2023/11496/A,NR/2023/13224/C,NR/2023/12916/F,NR/2023/12872/F,NR/2023/12661/A,NR/2023/12956/F,NR/2023/10651/A,NR/2023/12814/F,NR/2023/10561/A,NR/2023/12706/A,NR/2023/12915/F,NR/2023/13213/D,NR/2023/11266/A,NR/2023/12919/F,NR/2023/13223/C,NR/2023/12921/F,NR/2023/12920/F,NR/2023/11712/A,NR/2023/13202/D,NR/2023/10460/A,NR/2023/12169/A,ER/2023/8109/C,WR/2023/15950/C,NR/2023/11953/A,SR/2023/5940/C,NR/2023/13218/D,ER/2023/8092/C,ER/2023/8111/C,NR/2023/13214/D,ER/2023/8104/C,NR/2023/13217/D,Total

3,00:30-00:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.700000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.820000,0.000000,0.930000,0.930000,64.320000,33.650000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.47

4,00:45-01:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.700000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.820000,0.000000,0.930000,0.930000,64.320000,33.650000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.47

5,01:00-01:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.600000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,27.520000,0.820000,0.000000,0.930000,0.930000,64.320000,23.330000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.42

6,01:15-01:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.600000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,27.520000,0.820000,0.000000,0.930000,0.930000,64.320000,23.330000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.42

7,01:30-01:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.600000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,27.520000,0.820000,0.000000,0.930000,0.930000,64.320000,23.330000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.42

8,01:45-02:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.600000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,27.520000,0.820000,0.000000,0.930000,0.930000,64.320000,23.330000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.42

9,02:00-02:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.510000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.28

10,02:15-02:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.510000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.28

11,02:30-02:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.510000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.28

12,02:45-03:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.510000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,36.490000,0.00,0,10.550000,0.000000,0,0.000000,0,1201.28

13,03:00-03:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.420000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,0.000000,0,1140.48

14,03:15-03:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.420000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,0.000000,0,1140.48

15,03:30-03:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.420000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,0.000000,0,1140.48

16,03:45-04:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.420000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,0.000000,0,1140.48

17,04:00-04:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1179.39

18,04:15-04:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1179.39

19,04:30-04:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1179.39

20,04:45-05:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,98.650000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.440000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1179.39

21,05:00-05:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1080.68

22,05:15-05:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1080.68

23,05:30-05:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,0.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1080.68

24,05:45-06:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,0.000000,0.000000,62.870000,24.180000,27.860000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.480000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,65.000000,50.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1130.68

25,06:00-06:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0,39.000000,0,1037.79

26,06:15-06:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,0.3,39.000000,0.7,1038.79

27,06:30-06:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,0,10.550000,0.000000,1.01,39.000000,2.37,1041.17

28,06:45-07:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,28.520000,0.520000,0.530000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,0.12,10.550000,53.000000,2.03,39.000000,4.73,1097.67

29,07:00-07:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,0.48,10.550000,100.000000,4.63,39.000000,10.79,1162.73

30,07:15-07:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,0.71,10.550000,100.000000,6.04,39.000000,14.08,1167.66

31,07:30-07:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,1.23,10.550000,100.000000,6.64,80.000000,15.49,1211.19

32,07:45:08:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.820000,0.000000,0.930000,0.930000,64.320000,13.010000,23.210000,0.000000,50.000000,28.000000,0.000000,0.00,2.42,10.550000,100.000000,10.06,80.000000,23.47,1223.78

33,08:00-08:15,30.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,0.000000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,2.9,10.550000,100.000000,14.08,80.000000,32.86,1246.12

34,08:15-08:30,30.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,0.000000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,3.68,10.550000,100.000000,13.62,80.000000,31.78,1245.36

35,08:30-08:45,30.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,0.000000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,3.87,10.550000,100.000000,16.37,80.000000,38.21,1254.73

36,08:45:09:00,30.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,0.000000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,4.06,10.550000,100.000000,18.71,80.000000,43.65,1262.7

37,09:00:09:15,30.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,24.180000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,4.16,10.550000,100.000000,22.13,80.000000,51.63,1298.29

38,09:15-09:30,30.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,24.180000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,4.35,10.550000,100.000000,23.14,80.000000,53.98,1301.84

39,09:30-09:45,30.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,37.840000,0.970000,24.180000,0.980000,0.980000,64.320000,13.010000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,4.55,10.550000,100.000000,24.74,80.000000,57.74,1307.4

40,09:45-10:00,30.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,0.000000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,25.800000,0.970000,24.180000,0.980000,0.980000,64.320000,25.040000,23.210000,0.000000,28.000000,28.000000,0.000000,0.00,4.64,10.550000,100.000000,26.76,80.000000,62.43,1314.19

41,10:00-10:15,30.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,4.74,10.550000,100.000000,28.16,80.000000,65.72,1381.81

42,10:15-10:30,30.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,4.76,10.550000,100.000000,30.6,80.000000,71.4,1389.95

43,10:30-10:45,30.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,4.84,10.550000,100.000000,30.9,80.000000,72.1,1391.03

44,10:45-11:00,30.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,5.32,10.550000,100.000000,30.9,80.000000,72.1,1391.51

