Column1,Block,NR/2025/24805/C,NER/2024/2820/A/48997,NR/2024/24508/A/48988,NR/2024/24614/A/48987,NR/2024/24507/A/48989,NR/2025/24811/C,WR/2024/25501/A/49000,NR/2024/24435/A/48714,NR/2024/24566/A/48706,NR/2025/24806/C,NR/2025/24807/C,NR/2024/24418/A/48696,NR/2024/24434/A/48715,NR/2025/24809/C,NR/2025/24810/C,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,Total
3,00:30-00:45,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

4,00:45-01:00,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

5,01:00-01:15,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

6,01:15-01:30,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

7,01:30-01:45,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

8,01:45-02:00,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

9,02:00-02:15,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

10,02:15-02:30,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

11,02:30-02:45,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

12,02:45-03:00,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,370.90000000000003

13,03:00-03:15,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.37,0,370.8

14,03:15-03:30,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.37,0,370.8

15,03:30-03:45,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.37,0,370.8

16,03:45-04:00,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,3,47.9,19.16,26.82,20.12,47.9,25.87,1.37,0,370.8

17,04:00-04:15,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,8,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,375.90000000000003

18,04:15-04:30,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,12,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,379.90000000000003

19,04:30-04:45,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,18,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,385.90000000000003

20,04:45-05:00,0,0,8.71,0,17.24,0,0,9.58,5.75,0,0,0.38,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,394.90000000000003

21,05:00-05:15,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.43,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,439.9800000000001

22,05:15-05:30,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.43,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,439.9800000000001

23,05:30-05:45,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.43,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,439.9800000000001

24,05:45-06:00,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.43,0,0,0,25.87,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,439.9800000000001

25,06:00-06:15,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.38,0,0,0,43.11,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,457.1700000000001

26,06:15-06:30,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.38,0,0,0,43.11,8.62,0,47.9,28.74,0,25.87,0,27,47.9,19.16,26.82,20.12,47.9,25.87,1.47,0,457.1700000000001

27,06:30-06:45,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.38,0,0,0,43.11,8.62,0,47.9,28.74,0,33.53,0,27,47.9,19.16,26.82,20.12,47.9,33.53,1.47,0,472.49

28,06:45-07:00,0,38.32,8.71,0,17.24,0,0,16.29,5.75,0,0,0.38,0,0,0,43.11,8.62,0,47.9,28.74,0,33.53,0,27,47.9,19.16,26.82,20.12,47.9,33.53,1.47,0,472.49

29,07:00-07:15,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

30,07:15-07:30,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

31,07:30-07:45,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

32,07:45-08:00,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

33,08:00-08:15,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

34,08:15-08:30,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

35,08:30-08:45,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

36,08:45-09:00,0,38.32,14.37,0,28.74,0,0,16.29,5.75,0,0,0.86,0,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,556.62

37,09:00-09:15,0,0,0,0,0,0,0,16.29,5.75,28.74,14.37,0.86,3.83,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,472.13

38,09:15-09:30,14.37,0,0,0,0,0,0,16.29,5.75,28.74,14.37,0.86,3.83,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,486.5

39,09:30-09:45,19.16,0,0,0,0,0,0,16.29,5.75,28.74,14.37,0.86,3.83,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,490.29

40,09:45-10:00,23.95,0,0,0,0,0,0,16.29,5.75,28.74,14.37,0.86,3.83,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,495.08

41,10:00-10:15,33.53,0,7.85,6.52,28.74,0,0,16.29,5.75,0,0,0.86,4.79,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,505.62

42,10:15-10:30,62.27,0,7.85,6.52,28.74,4.79,0,16.29,5.75,0,0,0.86,4.79,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,587.05

43,10:30-10:45,76.64,0,7.85,6.52,28.74,4.79,0,16.29,5.75,0,0,0.86,4.79,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,602.42

44,10:45-11:00,95.8,0,7.85,6.52,28.74,4.79,0,16.29,5.75,0,0,0.86,4.79,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,621.5799999999999

45,11:00-11:15,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,0,47.9,36.4,1.37,0,506.4799999999999

46,11:15-11:30,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,0,47.9,36.4,1.37,0,507.4799999999999

47,11:30-11:45,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,0,47.9,36.4,1.37,0,507.4799999999999

48,11:45-12:00,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,9.58,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,0,47.9,36.4,1.37,0,507.4799999999999

49,12:00-12:15,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,6.9,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,0,47.9,36.4,1.47,0,504.8999999999999

50,12:15-12:30,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,7.09,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,0,47.9,36.4,1.47,0,505.0899999999999

51,12:30-12:45,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,7.19,43.11,14.37,0,47.9,28.74,0,36.4,0,3.98,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,497.28999999999996

52,12:45-13:00,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.86,6.71,38.32,7.28,43.11,14.37,0,47.9,28.74,0,36.4,0,3.98,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,497.37999999999994

53,13:00-13:15,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,5.75,38.32,7.28,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,524.35

54,13:15-13:30,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,5.75,38.32,7.38,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,524.4499999999999

55,13:30-13:45,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,5.75,38.32,7.38,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,524.4499999999999

56,13:45-14:00,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,5.75,38.32,7.38,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,524.4499999999999

57,14:00-14:15,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,4.79,38.32,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,516.11

58,14:15-14:30,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,4.79,38.32,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,516.11

59,14:30-14:45,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,4.79,38.32,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,516.11

60,14:45-15:00,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.77,4.79,38.32,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,516.11

61,15:00-15:15,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.67,4.79,38.32,4.41,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.37,0,520.32

62,15:15-15:30,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.67,4.79,38.32,4.6,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.37,0,520.51

63,15:30-15:45,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.67,4.79,38.32,4.89,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.37,0,520.8

64,15:45-16:00,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.67,4.79,38.32,5.27,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.37,0,521.18

65,16:00-16:15,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.48,2.87,38.32,4.31,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,518.21

66,16:15-16:30,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.48,2.87,30.94,9.68,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,516.2

67,16:30-16:45,0,0,14.37,0,28.74,4.79,0,16.29,5.75,0,0,0.48,2.87,23.57,12.93,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,512.08

68,16:45-17:00,0,0,14.37,0,28.74,0,0,16.29,5.75,0,0,0.48,2.87,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,470.79

69,17:00-17:15,0,0,14.37,0,28.74,0,0,16.29,5.75,0,0,0.48,0.96,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,468.88

70,17:15-17:30,0,0,14.37,0,28.74,0,0,16.29,5.75,0,0,0.48,0.96,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,468.88

71,17:30-17:45,0,0,14.37,0,28.74,0,0,16.29,5.75,0,0,0.48,0.96,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,467.88

72,17:45-18:00,0,0,14.37,0,28.74,0,0,16.29,5.75,0,0,0.48,0.96,0,0,43.11,14.37,0,47.9,28.74,0,36.4,0,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,0,467.88

73,18:00-18:15,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,673.56

74,18:15-18:30,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,673.56

75,18:30-18:45,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,673.56

76,18:45-19:00,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,673.56

77,19:00-19:15,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.37,50,673.55

78,19:15-19:30,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.37,50,673.55

79,19:30-19:45,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.37,50,673.55

80,19:45-20:00,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,31,47.9,19.16,26.82,20.12,47.9,36.4,1.37,50,673.55

81,20:00-20:15,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,674.65

82,20:15-20:30,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,674.65

83,20:30-20:45,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,674.65

84,20:45-21:00,0,38.32,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,14.37,50,47.9,28.74,0,36.4,30,32,47.9,19.16,26.82,20.12,47.9,36.4,1.47,50,674.65

85,21:00-21:15,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,50,626.76

86,21:15-21:30,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,50,626.76

87,21:30-21:45,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,50,626.76

88,21:45-22:00,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.57,0,0,0,43.11,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,50,626.76

89,22:00-22:15,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,34.49,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,0,568.0500000000001

90,22:15-22:30,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,34.49,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,0,568.0500000000001

91,22:30-22:45,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,34.49,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,0,568.0500000000001

92,22:45-23:00,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,34.49,8.62,50,47.9,28.74,0,34.49,30,32,47.9,19.16,26.82,20.12,47.9,34.49,1.47,0,568.0500000000001

93,23:00-23:15,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,28.74,8.62,50,47.9,28.74,0,28.74,30,32,47.9,19.16,26.82,20.12,47.9,28.74,1.47,0,550.8000000000001

94,23:15-23:30,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,28.74,8.62,50,47.9,28.74,0,28.74,30,32,47.9,19.16,26.82,20.12,47.9,28.74,1.47,0,550.8000000000001

95,23:30-23:45,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,28.74,8.62,50,47.9,28.74,0,28.74,30,32,47.9,19.16,26.82,20.12,47.9,28.74,1.47,0,550.8000000000001

96,23:45-24:00,0,0,14.37,0,28.74,0,38.32,16.29,5.75,0,0,0.48,0,0,0,28.74,8.62,50,47.9,28.74,0,28.74,30,32,47.9,19.16,26.82,20.12,47.9,28.74,1.47,0,550.8000000000001

