Block,Time,KHSTPP-I,KOLDAM,NJPC,CHAMERA2,KGSU1AND2,MAPS,NAPP,NLCIIST1,RAPPB,RIHAND1,SIMHST2,UNCHAHAR2,UNCHAHAR4,URI2,NNTPP,PARBATI3,RSTPSU1TO6,SASAN,TANAKPUR,TANDA2,VALLURNTECL,DADRI_CRF,CHAMERA3,DULHASTI,FSTPP I & II,RAMPUR,RAPPC,SEWA2,SINGRAULI,UNCHAHAR3,URI,AURY_RF,DHAULIGNGA,RIHAND2,SALAL,TelanganaSTPP,AURY_CRF,BRBCL,KKNPPU2,RIHAND3,RSTPSU7,TALA,UNCHAHAR1,ANTA_CRF,ANTA_LF,DADRI_GF,DADRI_LF,JHAJJAR,KGSU3AND4,KHSTPP-II,KKNP,NLCIIST2,NLCTS2EXP,NTPL,SIMHST1,ANTA_GF,AURY_GF,AURY_LF,BSIUL,CHAMERA1,DADRT2,KISHANGANGA,KOTESHWR,KUDGI,NLCEXP,SINGRAULI_HYDRO,TALST2,TEHRI,ANTA_RF,DADRI_RF
9,02:00-02:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,30.92,0,325.12,9.48,2.61,0,0,32.08,36.23,11.7,3.54,60.23,11.58,93.48,27.05,36.43,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

10,02:15-02:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,21.08,0,325.12,9.48,2.61,0,0,32.08,36.23,11.7,3.54,60.23,11.58,93.48,27.05,36.43,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

11,02:30-02:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,21.08,0,325.12,9.48,2.61,0,0,32.08,36.23,11.7,3.54,60.23,11.58,93.48,27.05,36.43,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

12,02:45-03:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,7.03,0,325.12,9.48,2.61,0,0,32.08,36.23,11.7,3.54,60.23,11.58,93.48,27.05,36.43,77.94,40.4,121.71,83.67,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,38.64,0,0,0.78,0,67.72,31.1,76.64

13,03:00-03:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,30.92,0,325.12,10.89,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,93.48,27.05,42.5,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.1,76.64

14,03:15-03:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,30.92,0,325.12,10.89,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,93.48,27.05,42.5,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

15,03:30-03:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,7.03,0,325.12,10.89,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

16,03:45-04:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,27.34,0,21.08,0,325.12,10.89,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

17,04:00-04:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,22.16,0,30.92,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

18,04:15-04:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,22.16,0,30.92,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

19,04:30-04:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,22.16,0,30.92,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,42.5,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,10,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

20,04:45-05:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,22.16,0,30.92,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,42.5,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,9.41,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

21,05:00-05:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,30.92,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,9.41,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

22,05:15-05:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,17.99,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,9.41,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,2.88,28.98,0,0,0.78,0,67.72,31.23,76.64

23,05:30-05:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,7.03,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,8.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.23,76.64

24,05:45-06:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,36.54,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.94,40.4,121.71,79.01,0,0,15,0,127.6,0,8.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.23,76.64

25,06:00-06:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,53.4,0,325.12,11.53,0.134,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,42.5,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.23,76.64

26,06:15-06:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,42.4,0,25.85,0,53.4,0,325.12,11.53,0.134,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,42.5,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.23,76.64

27,06:30-06:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,42.4,0,25.85,0,53.4,0,325.12,11.53,0.134,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.23,76.64

28,06:45-07:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.26,1.62,25.85,0,53.4,0,325.12,11.53,0.072,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.53,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.23,76.64

29,07:00-07:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,36.54,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.53,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,31.1,76.64

30,07:15-07:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,19.68,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.82,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.99,76.64

31,07:30-07:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,21.08,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,42.5,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,8.82,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.99,76.64

32,07:45-08:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,21.08,0,325.12,11.53,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,42.5,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.11,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.87,76.64

33,08:00-08:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,25.85,0,21.08,0,325.12,11.78,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.41,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.87,76.64

34,08:15-08:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,21.08,0,325.12,11.78,2.61,0,0,32.08,36.23,11.7,3.54,60.23,0,101.27,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.7,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.87,76.64

35,08:30-08:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.7,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.87,76.64

36,08:45-09:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,36.05,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.7,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,28.98,0,0,0.78,0,67.72,30.75,76.64

37,09:00-09:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.29,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,67.72,30.75,76.64

38,09:15-09:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.29,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,66.64,30.75,76.64

39,09:30-09:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.29,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,50.14,30.64,76.64

40,09:45-10:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.29,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,50.14,30.51,76.64

41,10:00-10:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,9.29,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,33.43,30.4,76.64

42,10:15-10:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,52.06,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,16.71,30.4,76.64

43,10:30-10:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,16.71,30.4,76.64

44,10:45-11:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,26.6,0,21.08,0,325.12,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,30.28,76.64

45,11:00-11:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,26.6,0,17.56,0,333,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,30.28,76.64

46,11:15-11:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,26.6,0,17.56,0,333,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,30.28,76.64

47,11:30-11:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,26.6,0,17.56,0,321.75,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,30.16,76.64

48,11:45-12:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,26.6,0,17.56,0,310.5,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.33,40.4,121.71,79.01,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,29.93,76.64

49,12:00-12:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,30.36,77.08,40.4,121.71,51.13,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,29.93,76.64

50,12:15-12:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,30.36,77.08,40.4,121.71,51.13,0,0,15,0,127.6,0,12.14,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,29.8,76.64

51,12:30-12:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.08,40.4,121.71,63.92,0,0,15,0,127.6,0,12.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,29.93,76.64

52,12:45-13:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.08,40.4,121.71,79.01,0,0,15,0,127.6,0,12.23,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,29.93,76.64

53,13:00-13:15,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.08,40.4,121.71,79.01,0,0,15,0,127.6,0,12.37,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,30.04,76.64

54,13:15-13:30,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.08,40.4,121.71,79.01,0,0,15,0,127.6,0,12.37,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,0,30.04,76.64

55,13:30-13:45,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,17.56,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.08,40.4,121.71,79.01,0,0,15,0,127.6,0,12.05,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,16.71,29.93,76.64

56,13:45-14:00,21.24,5.35,167.1,44.22,0,0,45.34,0,0,64.81,0,43.71,1.62,29.56,0,21.08,0,295.88,11.78,2.89,0,0,32.08,36.23,11.7,3.54,60.23,0,109.06,27.05,36.43,77.08,40.4,121.71,79.01,0,0,15,0,127.6,0,12.05,20.96,0,0,0,0,413.81,0,148.3,0,0,0,0,0,0,0,0,13.04,42.15,686.07,1.44,19.32,0,0,0.78,0,16.71,29.8,76.64

