Time,Block,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17910/C,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17914/C,WR/2023/17681/A,WR/2023/19090/A,NR/2023/17911/C,WR/2023/17681/A/II,NR/2023/17916/C,Total
89,22:00-22:15,6.770000,0.680000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.87

90,22:15-22:30,6.770000,0.680000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.87

91,22:30-22:45,6.770000,0.680000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.87

92,22:45-23:00,6.770000,0.680000,4.160000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.87

93,23:00-23:15,6.770000,0.630000,4.060000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.72

94,23:15-23:30,6.770000,0.630000,4.060000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.72

95,23:30-23:45,6.770000,0.630000,4.060000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.72

96,23:45-24:00,6.770000,0.630000,4.060000,179.140000,20.400000,62.840000,0.000000,76.880000,0.000000,0.000000,100.000000,0,100.000000,0,550.72

