Column1,Block,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/3428,GNA/WR/2024/10/15/7089,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/2024/23952/A/44724,NR/2024/24060/A/44945,WR/2024/25054/A/44917,GNA/NR/2024/12/01/1599,NR/2024/24097/A/44729,NR/2024/24051/A/44738,NR/2024/24088/A/44731,NR/30092023/26122029/SH-06,NR/2024/24052/A/44737,NR/2024/24178/C,NR/2024/24179/C,NR/2024/24071/A/44736,Total
28,06:45-07:00,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.43,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.53000000000003

29,07:00-07:15,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.53,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.63

30,07:15-07:30,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.53,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.63

31,07:30-07:45,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.53,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.63

32,07:45-08:00,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.53,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,246.63

33,08:00-08:15,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,247.01

34,08:15-08:30,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,14.39,2.88,4.8,0,2.88,0,0,0,247.01

35,08:30-08:45,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,0,0,0,237.41

36,08:45-09:00,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,0,0,0,237.41

37,09:00-09:15,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,25.61,27.15,3.84,294.00999999999993

38,09:15-09:30,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,29.93,22.83,3.84,294.00999999999993

39,09:30-09:45,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,30.7,22.06,3.84,294.01

40,09:45-10:00,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,30.7,22.06,3.84,294.01

41,10:00-10:15,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,33.29,19.47,4.8,294.96999999999997

42,10:15-10:30,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,33.29,19.47,4.8,294.96999999999997

43,10:30-10:45,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,32.62,20.15,4.8,294.97999999999996

44,10:45-11:00,25.9,0,25.9,2.01,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,4.8,0,2.88,31.56,21.2,4.8,294.96999999999997

45,11:00-11:15,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.99,21.78,6.72,292.97

46,11:15-11:30,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.7,22.06,6.72,292.96000000000004

47,11:30-11:45,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.7,22.06,6.72,292.96000000000004

48,11:45-12:00,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.7,22.06,6.72,292.96000000000004

49,12:00-12:15,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.12,22.64,6.72,292.96

50,12:15-12:30,25.9,0,25.9,1.92,0,32,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.12,22.64,6.72,292.96

51,12:30-12:45,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.12,22.64,6.72,260.96000000000004

52,12:45-13:00,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.82,17.27,0,0,7.67,0,0,0,3.84,30.12,22.64,6.72,260.96000000000004

53,13:00-13:15,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,20.53,32.23,5.76,259.95

54,13:15-13:30,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,19.57,33.19,5.76,259.95

55,13:30-13:45,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,43.17,9.59,5.76,259.95000000000005

56,13:45-14:00,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,43.17,9.59,5.76,259.95000000000005

57,14:00-14:15,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,43.17,9.59,4.8,258.99

58,14:15-14:30,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,43.17,9.59,4.8,258.99

59,14:30-14:45,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,43.17,9.59,4.8,258.99

60,14:45-15:00,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.77,17.27,0,0,7.67,0,0,0,3.84,40.96,9.59,4.8,256.78000000000003

61,15:00-15:15,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.62,17.27,0,0,7.67,0,0,0,3.84,37.6,9.59,4.8,253.27

62,15:15-15:30,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.62,17.27,0,0,7.67,0,0,0,3.84,33.96,9.59,4.8,249.63000000000002

63,15:30-15:45,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.62,17.27,0,0,7.67,0,0,0,3.84,30.03,9.59,4.8,245.70000000000002

64,15:45-16:00,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.62,17.27,0,0,7.67,0,0,0,3.84,25.81,9.59,4.8,241.48000000000002

65,16:00-16:15,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.48,17.27,0,0,7.67,0,0,0,3.84,21.58,9.59,2.88,235.18999999999997

66,16:15-16:30,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.48,17.27,0,0,7.67,0,0,0,3.84,17.27,9.59,2.88,230.88

67,16:30-16:45,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.48,17.27,0,0,7.67,0,0,0,3.84,13.05,9.59,2.88,226.66

68,16:45-17:00,25.9,0,25.9,1.92,0,0,8.63,0,75,25.9,8.63,0.48,17.27,0,0,7.67,0,0,0,3.84,9.11,9.5,2.88,222.63

69,17:00-17:15,31.66,0,31.66,1.92,0,0,8.63,0,75,31.66,8.63,0.48,17.27,0,0,7.67,0,3.84,0,3.84,0,0,0.96,223.22

70,17:15-17:30,31.66,0,31.66,1.92,0,0,8.63,0,75,31.66,8.63,0.48,17.27,0,0,7.67,0,3.84,0,3.84,0,0,0.96,223.22

71,17:30-17:45,31.66,0,31.66,1.92,0,0,8.63,0,75,31.66,8.63,0.48,17.27,0,0,7.67,0,3.84,0,3.84,0,0,0.96,223.22

72,17:45-18:00,31.66,0,31.66,1.92,0,0,8.63,0,75,31.66,8.63,0.48,17.27,0,0,7.67,0,3.84,0,3.84,0,0,0.96,223.22

73,18:00-18:15,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

74,18:15-18:30,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

75,18:30-18:45,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

76,18:45-19:00,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

77,19:00-19:15,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

78,19:15-19:30,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

79,19:30-19:45,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

80,19:45-20:00,31.66,0,31.66,1.92,50,0,8.63,150,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,460.67999999999995

81,20:00-20:15,31.66,0,31.66,2.01,50,0,8.63,250,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,560.77

82,20:15-20:30,31.66,0,31.66,2.01,50,0,8.63,250,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,560.77

83,20:30-20:45,31.66,0,31.66,2.01,50,0,8.63,250,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,560.77

84,20:45-21:00,31.66,0,31.66,2.01,50,0,8.63,250,75,31.66,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,560.77

85,21:00-21:15,28.78,0,28.78,2.01,50,0,8.63,250,75,28.78,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,552.13

86,21:15-21:30,28.78,0,28.78,2.01,50,0,8.63,250,75,28.78,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,552.13

87,21:30-21:45,28.78,0,28.78,2.01,50,0,8.63,250,75,28.78,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,552.13

88,21:45-22:00,28.78,0,28.78,2.01,50,0,8.63,250,75,28.78,8.63,0.53,17.27,38.37,0,7.67,0,3.84,0,3.84,0,0,0,552.13

89,22:00-22:15,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.48,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.35

90,22:15-22:30,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.48,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.35

91,22:30-22:45,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.48,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.35

92,22:45-23:00,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.48,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.35

93,23:00-23:15,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.43,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.3

94,23:15-23:30,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.43,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.3

95,23:30-23:45,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.43,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.3

96,23:45-24:00,25.9,31.71,25.9,1.92,50,0,8.63,250,75,25.9,8.63,0.43,17.27,38.37,95.13,7.67,0,0.96,0,2.88,0,0,0,666.3

