Column1,Block,WR/2025/26427/A/56173,WR/2025/26582/A/56380,WR/2025/26499/A/56382,WR/2025/26426/A/56172,NR/2025/25485/C,NR/2025/25486/C,NR/2025/25159/A/56111,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/6891,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNARE/NR/2024/12/20/3668,Total
6,01:15-01:30,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,32,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,927.4399999999999

7,01:30-01:45,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,26.99,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,922.43

8,01:45-02:00,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,200,26.99,190.26,22.06,32,4.22,63.42,42,0,23.02,0,0,922.43

9,02:00-02:15,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

10,02:15-02:30,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

11,02:30-02:45,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

12,02:45-03:00,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

13,03:00-03:15,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

14,03:15-03:30,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

15,03:30-03:45,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

16,03:45-04:00,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.13,63.42,42,0,23.02,0,0,717.3299999999999

17,04:00-04:15,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,717.2399999999999

18,04:15-04:30,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,717.2399999999999

19,04:30-04:45,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,717.2399999999999

20,04:45-05:00,47.96,47.96,0,167.43,0,0,0.43,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,717.2399999999999

21,05:00-05:15,47.96,47.96,0,167.43,0,0,0.48,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,717.2899999999998

22,05:15-05:30,47.96,47.96,0,167.43,0,0,0.48,23.02,17.27,5.76,8.63,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,717.2899999999998

23,05:30-05:45,47.96,47.96,0,167.43,0,0,0.48,23.02,17.27,5.76,10.55,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,719.2099999999999

24,05:45-06:00,47.96,47.96,0,167.43,0,0,0.48,23.02,17.27,5.76,10.55,0,26.99,190.26,22.06,26.99,4.04,63.42,42,0,23.02,0,0,719.2099999999999

25,06:00-06:15,0,0,0,167.43,0,0,0.53,36.45,28.78,5.76,12.47,0,32,0,22.06,25.83,3.95,0,42,0,36.45,0,0,413.71

26,06:15-06:30,0,0,0,167.43,0,0,0.53,36.45,28.78,5.76,12.47,0,32,0,22.06,0,3.95,0,42,0,36.45,0,0,387.88

27,06:30-06:45,0,0,0,167.43,0,0,0.53,36.45,28.78,5.76,12.47,0,31.51,0,22.06,31.51,3.95,0,42,0,36.45,0,0.32,419.21999999999997

28,06:45-07:00,0,0,0,167.43,0,0,0.53,36.45,28.78,5.76,12.47,0,31.51,0,22.06,31.51,3.95,0,42,0,36.45,0,0.45,419.34999999999997

29,07:00-07:15,0,0,40.29,167.43,0,0,0.58,36.45,28.78,5.76,12.47,0,31.51,0,22.06,31.51,3.95,0,0,0,36.45,0,0,417.23999999999995

30,07:15-07:30,0,0,40.29,167.43,0,0,0.58,36.45,28.78,5.76,12.47,0,31.51,0,22.06,31.51,3.95,0,0,0,36.45,0,1.66,418.9

31,07:30-07:45,0,0,40.29,167.43,0,0,0.58,36.45,28.78,5.76,12.47,0,31.51,0,22.06,31.51,3.95,0,0,0,36.45,0,6.33,423.56999999999994

32,07:45-08:00,0,0,40.29,167.43,0,0,0.58,36.45,28.78,5.76,12.47,0,31.51,0,22.06,31.51,3.95,0,0,0,36.45,0,13.31,430.54999999999995

33,08:00-08:15,0,0,40.29,0,0,0,0.96,36.45,28.78,5.76,12.47,0,0,0,22.06,32,3.86,0,0,0,36.45,0,22.22,241.30000000000004

34,08:15-08:30,0,0,40.29,0,0,0,0.96,36.45,28.78,5.76,12.47,0,16.39,0,22.06,32,3.86,0,0,0,36.45,0,31.64,267.11

35,08:30-08:45,0,0,40.29,0,0,0,0.96,36.45,28.78,5.76,12.47,0,25.83,0,22.06,32,3.86,0,0,0,36.45,0,41.48,286.39000000000004

36,08:45-09:00,0,0,40.29,0,0,0,0.96,36.45,28.78,5.76,12.47,0,25.83,0,22.06,32,3.86,0,0,0,36.45,0,50.87,295.78000000000003

37,09:00-09:15,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,25.87,0,22.06,32,3.86,0,0,0,23.02,0,60.07,315.52000000000004

38,09:15-09:30,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,25.87,0,22.06,32,3.86,0,0,0,23.02,0,68.25,323.70000000000005

39,09:30-09:45,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,25.87,0,22.06,32,3.86,0,0,0,23.02,0,75.33,330.78000000000003

40,09:45-10:00,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,25.87,0,22.06,32,3.86,0,0,0,23.02,0,82.42,337.87

41,10:00-10:15,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,25.87,0,22.06,32,3.76,0,0,0,23.02,0,89.76,345.11

42,10:15-10:30,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,25.87,0,22.06,32,3.76,0,0,0,23.02,0,96.27,351.62

43,10:30-10:45,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

44,10:45-11:00,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

45,11:00-11:15,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

46,11:15-11:30,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

47,11:30-11:45,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

48,11:45-12:00,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

49,12:00-12:15,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

50,12:15-12:30,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

51,12:30-12:45,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

52,12:45-13:00,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.13,0,0,0,23.02,0,100,351.83000000000004

53,13:00-13:15,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

54,13:15-13:30,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

55,13:30-13:45,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

56,13:45-14:00,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

57,14:00-14:15,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

58,14:15-14:30,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

59,14:30-14:45,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

60,14:45-15:00,0,0,40.29,0,14.39,38.37,0.91,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,100,351.74

61,15:00-15:15,0,0,40.29,0,14.39,38.37,0.67,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,3.95,0,0,0,23.02,0,98.33,349.74

62,15:15-15:30,0,0,40.29,0,14.39,38.37,0.67,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,3.95,0,0,0,23.02,0,95,346.40999999999997

63,15:30-15:45,0,0,40.29,0,14.39,38.37,0.67,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,3.95,0,0,0,23.02,0,90.38,341.78999999999996

64,15:45-16:00,0,0,40.29,0,14.39,38.37,0.67,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,3.95,0,0,0,23.02,0,84.67,336.08

65,16:00-16:15,0,0,40.29,0,14.39,38.37,0.53,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,79.48,330.84000000000003

66,16:15-16:30,0,0,40.29,0,14.39,38.37,0.53,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,73.12,324.48

67,16:30-16:45,0,0,40.29,0,14.39,38.37,0.53,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,65.63,316.99

68,16:45-17:00,0,0,40.29,0,14.39,38.37,0.53,23.02,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,23.02,0,58.23,309.59000000000003

69,17:00-17:15,0,0,40.29,0,0,0,0.53,34.53,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,34.53,100,49.96,371.58

70,17:15-17:30,0,0,40.29,0,0,0,0.53,34.53,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,34.53,100,40.72,362.34000000000003

71,17:30-17:45,0,0,40.29,0,0,0,0.53,34.53,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,34.53,100,31.42,353.04

72,17:45-18:00,0,0,40.29,0,0,0,0.53,34.53,17.27,5.76,8.63,0,26.99,0,22.06,26.99,4.04,0,0,0,34.53,100,22.58,344.2

73,18:00-18:15,0,0,40.29,0,0,0,0.53,36.45,28.78,5.76,12.47,0,31,0,22.06,31,4.13,0,0,100,36.45,100,13.89,462.81

74,18:15-18:30,0,0,40.29,0,0,0,0.53,36.45,28.78,5.76,12.47,0,31,0,22.06,31,4.13,0,0,100,36.45,100,7.1,456.02000000000004

75,18:30-18:45,0,0,40.29,0,0,0,0.53,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.13,0,0,100,36.45,100,2.37,501.29

76,18:45-19:00,0,0,40.29,0,0,0,0.53,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.13,0,0,100,36.45,100,0.18,499.1

77,19:00-19:15,0,0,40.29,0,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.22,0,0,100,36.45,100,0,499.1

78,19:15-19:30,0,0,40.29,0,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.22,0,0,100,36.45,100,0,499.1

79,19:30-19:45,0,0,40.29,0,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.22,0,0,100,36.45,100,0,499.1

80,19:45-20:00,0,0,40.29,0,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.22,0,0,100,36.45,100,0,499.1

81,20:00-20:15,0,0,40.29,47.96,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.32,0,0,100,36.45,100,0,547.16

82,20:15-20:30,0,0,40.29,47.96,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.32,0,0,100,36.45,100,0,547.16

83,20:30-20:45,0,0,40.29,47.96,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.32,0,0,100,36.45,100,0,547.16

84,20:45-21:00,0,0,40.29,47.96,0,0,0.62,36.45,28.78,5.76,12.47,50,31,0,22.06,31,4.32,0,0,100,36.45,100,0,547.16

85,21:00-21:15,0,0,40.29,47.96,0,0,0.62,23.02,17.27,5.76,8.63,50,31,0,22.06,31,4.4,0,0,100,23.02,100,0,505.03

86,21:15-21:30,0,0,40.29,47.96,0,0,0.62,23.02,17.27,5.76,8.63,50,31,0,22.06,31,4.4,0,0,100,23.02,100,0,505.03

87,21:30-21:45,0,0,40.29,47.96,0,0,0.62,23.02,17.27,5.76,8.63,50,31,0,22.06,31,4.4,0,0,100,23.02,100,0,505.03

88,21:45-22:00,0,0,40.29,47.96,0,0,0.62,23.02,17.27,5.76,8.63,50,31,0,22.06,31,4.4,0,0,100,23.02,100,0,505.03

89,22:00-22:15,23.98,23.98,40.29,47.96,0,0,0.53,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.4,63.42,0,100,23.02,100,0,798.56

90,22:15-22:30,23.98,23.98,40.29,47.96,0,0,0.53,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.4,63.42,0,100,23.02,100,0,798.56

91,22:30-22:45,23.98,23.98,40.29,47.96,0,0,0.53,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.4,63.42,0,100,23.02,100,0,798.56

92,22:45-23:00,23.98,23.98,40.29,47.96,0,0,0.53,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.4,63.42,0,100,23.02,100,0,798.56

93,23:00-23:15,23.98,23.98,40.29,47.96,0,0,0.48,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.5,63.42,0,100,23.02,0,0,698.61

94,23:15-23:30,23.98,23.98,40.29,47.96,0,0,0.48,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.5,63.42,0,100,23.02,0,0,698.61

95,23:30-23:45,23.98,23.98,40.29,47.96,0,0,0.48,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.5,63.42,0,100,23.02,0,0,698.61

96,23:45-24:00,23.98,23.98,40.29,47.96,0,0,0.48,23.02,17.27,5.76,8.63,50,26.99,190.26,22.06,26.99,4.5,63.42,0,100,23.02,0,0,698.61

