Column1,Block,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,NR/2024/24052/A/46153,NR/2024/24051/A/46154,NR/2024/24146/A/46143,NR/2024/23952/A/46156,NR/2024/24097/A/46147,GNA/NR/2024/12/01/1899,NR/2024/24088/A/46149,NR/2024/24389/C,NR/2024/24388/C,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NER/2024/2770/A/46353,NR/2024/24060/A/46384,WR/2024/25054/A/46357,NR/2024/24390/C,NR/2024/24225/A/46327,NR/2024/24387/C,NR/2024/24227/A/46329,NR/2024/24224/A/46313,NR/2024/24071/A/46152,Total
3,00:30-00:45,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7699999999999

4,00:45-01:00,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7699999999999

5,01:00-01:15,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7199999999999

6,01:15-01:30,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7199999999999

7,01:30-01:45,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7199999999999

8,01:45-02:00,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.7199999999999

9,02:00-02:15,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.80999999999995

10,02:15-02:30,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.80999999999995

11,02:30-02:45,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.80999999999995

12,02:45-03:00,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.38,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.80999999999995

13,03:00-03:15,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.34,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.6799999999999

14,03:15-03:30,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.34,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.6799999999999

15,03:30-03:45,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.34,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.6799999999999

16,03:45-04:00,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.34,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.6799999999999

17,04:00-04:15,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.85999999999996

18,04:15-04:30,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.85999999999996

19,04:30-04:45,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.85999999999996

20,04:45-05:00,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,333.85999999999996

21,05:00-05:15,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.43,7.69,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0,0,0,0,0,376.18

22,05:15-05:30,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.43,7.69,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0,0,0,0,0,376.18

23,05:30-05:45,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,2.89,5.77,0.43,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0,0,0,0,0,385.81

24,05:45-06:00,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,2.89,5.77,0.43,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0,0,0,0,0,385.81

25,06:00-06:15,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,2.89,5.77,0.43,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.55

26,06:15-06:30,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,2.89,5.77,0.43,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.55

27,06:30-06:45,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,2.89,5.77,0.43,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.55

28,06:45-07:00,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,2.89,5.77,0.43,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.55

29,07:00-07:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,2.89,5.77,0.53,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.74

30,07:15-07:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,2.89,5.77,0.53,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.74

31,07:30-07:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,2.89,5.77,0.53,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.74

32,07:45-08:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,2.89,5.77,0.53,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,259.74

33,08:00-08:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,2.89,5.77,0.82,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,260.03

34,08:15-08:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,2.89,5.77,0.82,14.43,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.29,0,260.03

35,08:30-08:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.38,0,250.48999999999998

36,08:45-09:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,0,0,0,0,0,38.47,17.31,0,0,0.19,0,0.19,0.38,0,250.48999999999998

37,09:00-09:15,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,0,0,0,0,0,0,17.31,0,0,0.19,0,0.19,0.38,3.85,215.77999999999997

38,09:15-09:30,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,0,0,0,0,0,0,17.31,0,0,0.19,0,0.19,0.38,3.85,215.77999999999997

39,09:30-09:45,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,0,0,0,0,0,0,17.31,0,0,0.29,0,0.19,0.38,3.85,215.87999999999997

40,09:45-10:00,25.97,0,8.66,0,25.97,75,0,1.65,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,0,0,0,0,0,0,17.31,0,0,0.29,0,0.19,0.58,3.85,216.07999999999998

41,10:00-10:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,15.87,5.29,0,0,0,0,17.31,0,15,0.29,16.74,0.19,0.48,4.81,269.93

42,10:15-10:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,15.87,5.29,0,0,0,0,17.31,0,12.21,0.29,19.52,0.19,0.48,4.81,269.92

43,10:30-10:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,15.87,5.29,0,0,0,0,17.31,0,9.81,0.29,21.93,0.19,0.58,4.81,270.03

44,10:45-11:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,2.89,0,5.77,0.82,7.69,8.66,4.81,15.87,5.29,0,0,0,0,17.31,0,7.5,0.29,24.24,0.19,0.48,4.81,269.93

45,11:00-11:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,5.48,0.29,26.26,0.19,0.48,6.73,268

46,11:15-11:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,3.75,0.29,27.99,0.19,0.58,6.73,268.09999999999997

47,11:30-11:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,2.5,0.29,29.24,0.19,0.48,6.73,268

48,11:45-12:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,1.64,0.29,30.1,0.19,0.58,6.73,268.09999999999997

49,12:00-12:15,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0.96,0.29,30.78,0.19,0.58,6.73,268.01

50,12:15-12:30,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0.58,0.29,31.16,0.19,0.58,6.73,268.01

51,12:30-12:45,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0.29,0.29,31.45,0.19,0.58,6.73,268.01

52,12:45-13:00,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.82,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0.38,0.29,31.35,0.19,0.58,6.73,268

53,13:00-13:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0.77,0.29,30.97,0.19,0.58,5.77,267.09

54,13:15-13:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,1.73,0.38,30.01,0.19,0.58,5.77,267.17999999999995

55,13:30-13:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,3.17,0.38,28.57,0.19,0.58,5.77,267.17999999999995

56,13:45-14:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,5,0.38,26.74,0.19,0.58,5.77,267.17999999999995

57,14:00-14:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,7.21,0.29,24.53,0.19,0.58,4.81,266.13

58,14:15-14:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,9.71,0.38,22.03,0.19,0.58,4.81,266.21999999999997

59,14:30-14:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,12.31,0.38,19.43,0.19,0.58,4.81,266.21999999999997

60,14:45-15:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.77,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,15.1,0.38,16.64,0.19,0.58,4.81,266.21999999999997

61,15:00-15:15,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.63,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,18.18,0.38,13.56,0.19,0.67,4.81,266.08

62,15:15-15:30,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.63,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,21.54,0.38,10.2,0.19,0.67,4.81,266.08

63,15:30-15:45,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.63,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,10.58,0.38,21.16,0.19,0.58,4.81,265.99

64,15:45-16:00,25.97,0,8.66,0,25.97,75,0,1.65,25.97,3.85,0,5.77,0.63,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,14.04,0.38,17.7,0.19,0.58,4.81,265.98999999999995

65,16:00-16:15,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.48,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0,0.38,14.43,0.19,0.58,2.89,246.7

66,16:15-16:30,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.48,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0,0.38,11.35,0.19,0.58,2.89,243.61999999999998

67,16:30-16:45,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.48,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0,0.38,8.37,0.19,0.58,2.89,240.64

68,16:45-17:00,25.97,0,8.66,0,25.97,75,0,1.74,25.97,3.85,0,5.77,0.48,7.69,8.66,0,15.87,5.29,0,0,0,0,17.31,0,0,0.38,5.77,0.19,0.58,2.89,238.04

69,17:00-17:15,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.48,7.69,8.66,3.85,0,0,0,0,0,0,17.31,0,0,0.38,0,0.19,0.58,0.96,230.34

70,17:15-17:30,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.48,7.69,8.66,3.85,0,0,0,0,0,0,17.31,0,0,0.38,0,0.19,0.58,0.96,230.34

71,17:30-17:45,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.48,7.69,8.66,3.85,0,0,0,0,0,0,17.31,0,0,0.38,0,0.19,0.58,0.96,230.34

72,17:45-18:00,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.48,7.69,8.66,3.85,0,0,0,0,0,0,17.31,0,0,0.38,0,0.19,0.58,0.96,230.34

73,18:00-18:15,31.74,0,8.66,0,31.74,75,0,1.65,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0.38,0,0.19,0.58,0,506.28

74,18:15-18:30,31.74,0,8.66,0,31.74,75,0,1.65,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0.38,0,0.19,0.58,0,506.28

75,18:30-18:45,31.74,0,8.66,0,31.74,75,0,1.65,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0.38,0,0.19,0.67,0,506.37

76,18:45-19:00,31.74,0,8.66,0,31.74,75,0,1.65,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0.38,0,0.19,0.58,0,506.28

77,19:00-19:15,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0,0,0,0,0,505.22

78,19:15-19:30,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0,0,0,0,0,505.22

79,19:30-19:45,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0,0,0,0,0,505.22

80,19:45-20:00,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,150,0,38.47,17.31,38.47,0,0,0,0,0,0,505.22

81,20:00-20:15,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,38.47,17.31,38.47,0,0,0,0,0,0,605.22

82,20:15-20:30,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,38.47,17.31,38.47,0,0,0,0,0,0,605.22

83,20:30-20:45,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,38.47,17.31,38.47,0,0,0,0,0,0,605.22

84,20:45-21:00,31.74,0,8.66,0,31.74,75,0,1.74,31.74,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,38.47,17.31,38.47,0,0,0,0,0,0,605.22

85,21:00-21:15,28.85,0,8.66,0,28.85,75,0,1.65,28.85,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,557.99

86,21:15-21:30,28.85,0,8.66,0,28.85,75,0,1.65,28.85,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,557.99

87,21:30-21:45,28.85,0,8.66,0,28.85,75,0,1.65,28.85,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,557.99

88,21:45-22:00,28.85,0,8.66,0,28.85,75,0,1.65,28.85,3.85,0,5.77,0.53,7.69,8.66,3.85,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,557.99

89,22:00-22:15,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.48,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.3799999999999

90,22:15-22:30,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.48,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.3799999999999

91,22:30-22:45,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.48,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.3799999999999

92,22:45-23:00,25.97,31.71,8.66,0,25.97,75,95.13,1.74,25.97,2.89,0,5.77,0.48,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.3799999999999

93,23:00-23:15,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.2399999999999

94,23:15-23:30,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.2399999999999

95,23:30-23:45,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.2399999999999

96,23:45-24:00,25.97,31.71,8.66,0,25.97,75,95.13,1.65,25.97,2.89,0,5.77,0.43,7.69,8.66,0.96,0,0,50,250,0,0,17.31,38.47,0,0,0,0,0,0,672.2399999999999

