Block,Time,NR/16122023/22122023/HP-16,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/21122023/21122023/SJVN211223NR1305,NR/21122023/21122023/SJVN211223NR1306,NR/01102023/15082037/GNA_NR_2012_01,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00502,L_NR_2019_19,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09,NR/30092023/31122025/SH-07,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25122043/GNA_MEJA_DELHI,NR/20122023/29022024/IEX_LDC_231218_00501,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/21122023/21122023/DD20231221NR21861,NR/16122023/22122023/HP-20,NR/01102023/22052037/LT-59,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_02,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10
7,01:30-01:45,133.760000,14.410000,31.690000,148.550000,10.68,0,0,0,0,0.000000,23.050000,32.07,0,8.16,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,30.45,25.920000,96.040000,48.02,10.69,0,28.67,30.45,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

8,01:45-02:00,133.760000,14.410000,31.690000,148.550000,10.37,0,0,0,0,0.000000,23.050000,31.12,0,7.53,0,0,48.020000,5.760000,0.000000,1.300000,1.660000,25.920000,11.520000,0,71.450000,29.5,25.920000,96.040000,48.02,10.38,0,28.74,29.5,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

9,02:00-02:15,133.760000,14.410000,31.690000,148.550000,9.68,0,0,0,0,0.000000,23.050000,29.05,0,6.66,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,28.55,25.920000,96.040000,48.02,9.68,0,28.8,28.55,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

10,02:15-02:30,133.760000,14.410000,31.690000,148.550000,9.06,0,0,0,0,0.000000,23.050000,27.18,0,6.66,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,27.59,25.920000,96.040000,48.02,9.06,0,28.86,27.59,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

11,02:30-02:45,133.760000,14.410000,31.690000,148.550000,10.97,0,0,0,0,0.000000,23.050000,32.96,0,7.34,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,41.97,25.920000,96.040000,48.02,10.99,0,28.98,41.97,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

12,02:45-03:00,133.760000,14.410000,31.690000,148.550000,11.04,0,0,0,0,0.000000,23.050000,33.14,0,7.34,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,40.77,25.920000,96.040000,48.02,11.05,0,29.18,40.77,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

13,03:00-03:15,133.760000,14.410000,31.690000,148.550000,11.07,0,0,0,0,0.000000,23.050000,33.24,0,7.34,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,39.83,25.920000,96.040000,48.02,11.08,0,24.11,39.83,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

14,03:15-03:30,133.760000,14.410000,31.690000,148.550000,11.09,0,0,0,0,0.000000,23.050000,33.25,0,7.34,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,38.88,25.920000,96.040000,48.02,11.08,0,24.17,38.88,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

15,03:30-03:45,133.760000,14.410000,31.690000,148.550000,11.17,0,0,0,0,0.000000,23.050000,33.51,0,7.34,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,41.67,25.920000,96.040000,48.02,11.17,0,24.2,41.67,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

16,03:45-04:00,133.760000,14.410000,31.690000,148.550000,11.19,0,0,0,0,0.000000,23.050000,33.55,0,7.34,0,0,48.020000,5.760000,0.000000,1.220000,1.660000,25.920000,11.520000,0,71.450000,41.13,25.920000,96.040000,48.02,11.18,0,24.14,41.13,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

17,04:00-04:15,133.760000,14.410000,31.690000,148.550000,11.43,0,0,0,0,0.000000,23.050000,34.24,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,71.450000,43.88,25.920000,96.040000,48.02,11.41,0,23.97,43.88,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

18,04:15-04:30,133.760000,14.410000,31.690000,148.550000,11.43,0,0,0,0,0.000000,23.050000,34.29,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,71.450000,43,25.920000,96.040000,48.02,11.43,0,23.77,43,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

19,04:30-04:45,133.760000,14.410000,55.340000,148.550000,11.47,0,0,0,0,0.000000,23.050000,34.42,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,71.450000,42.47,25.920000,96.040000,48.02,11.47,0,23.65,42.47,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

20,04:45-05:00,133.760000,14.410000,55.340000,148.550000,11.48,0,0,0,0,0.000000,23.050000,34.44,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,71.450000,41.95,25.920000,96.040000,48.02,11.48,0,23.56,41.95,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

21,05:00-05:15,133.760000,14.410000,55.340000,148.550000,10.26,0,0,0,0,0.000000,23.050000,30.81,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,71.450000,41.28,25.920000,96.040000,48.02,10.27,0,23.27,41.28,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,174.050000,0,0

22,05:15-05:30,133.760000,14.410000,55.340000,148.550000,10.28,0,0,0,0,0.000000,23.050000,30.84,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,67.230000,40.41,25.920000,96.040000,48.02,10.28,0,23.06,40.41,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,189.420000,0,0

23,05:30-05:45,133.760000,14.410000,55.340000,192.080000,10.42,0,0,0,0,0.000000,23.050000,31.24,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,67.230000,39.71,25.920000,96.040000,48.02,10.41,0,26.37,39.71,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,189.420000,0,0

24,05:45-06:00,133.760000,14.410000,55.340000,230.500000,10.47,0,0,0,0,0.000000,23.050000,31.36,0,7.34,0,0,48.020000,5.760000,0.000000,1.140000,1.660000,25.920000,11.520000,0,67.230000,38.77,25.920000,96.040000,48.02,10.45,0,26.54,38.77,0.000000,8.160000,0,0,0,0.000000,0.000000,127.710000,1.010000,0,0,237.440000,0,0

25,06:00-06:15,0.000000,14.410000,74.230000,270.110000,10.48,0,0,0,0,0.000000,23.050000,31.43,0,7.34,0,0,67.230000,5.760000,0.000000,1.140000,1.660000,30.730000,11.520000,0,84.500000,52.09,25.370000,96.040000,48.02,10.48,0,26.66,52.09,0.000000,8.160000,0,0,0,0.000000,0.000000,257.150000,0.930000,0,0,259.880000,0,0

26,06:15-06:30,0.000000,14.410000,79.030000,270.110000,10.55,0,0,0,0,0.000000,23.050000,31.67,0,7.34,0,0,96.040000,5.760000,0.000000,1.140000,1.660000,30.730000,11.520000,0,117.550000,51.42,25.370000,96.040000,48.02,10.56,0,26.61,51.42,0.000000,8.160000,0,0,0,0.000000,0.000000,257.150000,0.930000,0,0,259.880000,0,0

27,06:30-06:45,0.000000,14.410000,86.630000,270.110000,10.71,0,0,0,0,0.000000,23.050000,32.15,1.2,7.34,0,0,100.590000,5.760000,0.000000,1.140000,1.660000,30.730000,11.520000,0,117.550000,50.75,23.210000,96.040000,48.02,10.72,0,29.92,50.75,0.000000,8.160000,0,0,0,0.000000,0.000000,257.150000,0.930000,0,0,259.880000,0,0

28,06:45-07:00,0.000000,14.410000,86.630000,270.110000,11.1,0,0,0,0,0.000000,23.050000,33.3,4.3,7.34,0,0,100.590000,5.760000,0.000000,1.140000,1.660000,30.730000,11.520000,0,117.550000,50.08,23.210000,96.040000,48.02,11.1,0,29.77,50.08,0.000000,8.160000,0,0,0,0.000000,0.000000,257.150000,0.930000,0,0,259.880000,0,0

29,07:00-07:15,0.000000,14.410000,86.630000,270.110000,10.84,1,0,0,0,0.000000,22.090000,32.5,12.1,7.34,0,0,100.590000,5.760000,0.000000,1.140000,1.610000,30.250000,11.520000,0.87624,117.550000,40.07,30.250000,96.040000,48.02,10.83,0,29.97,40.07,0.000000,8.160000,1,0,0,0.000000,0.000000,257.150000,0.930000,0,0,259.880000,0,0

30,07:15-07:30,0.000000,14.410000,86.630000,270.110000,10.84,8.34,1,0,0,0.060000,22.090000,32.5,21.1,7.34,0,0,100.590000,5.760000,0.060000,1.140000,1.610000,30.250000,11.520000,4.741432,117.550000,39.4,30.250000,96.040000,48.02,10.83,0,30.28,39.4,0.000000,8.160000,1.58,0,0,0.060000,0.000000,257.150000,0.930000,0,0,259.880000,1,0

31,07:30-07:45,0.000000,14.410000,86.630000,270.110000,10.84,28.71,3,1,0.68,0.260000,21.130000,32.5,32.4,7.34,0,0,100.590000,5.760000,0.260000,1.300000,1.610000,30.250000,11.520000,10.261744,117.550000,28.73,30.250000,96.040000,48.02,10.83,0,30.38,28.73,0.000000,8.160000,14.37,1,0,0.260000,0.000000,257.150000,0.930000,3.43,0.33,259.880000,2,1

32,07:45:08:00,0.000000,14.410000,86.630000,270.110000,10.84,30.37,5,3,2.59,0.700000,21.130000,32.5,30.37,7.34,0,0,100.590000,5.760000,0.690000,1.300000,1.610000,30.250000,11.520000,16.463576,117.550000,28.06,30.250000,96.040000,48.02,10.83,0,30.51,28.06,0.000000,8.160000,29.76,3,0,0.690000,0.000000,257.150000,0.930000,12.97,1,259.880000,7,3

33,08:00-08:15,0.000000,14.410000,86.630000,270.110000,10.84,30.34,10,6,5.5,1.410000,21.130000,32.5,30.33,7.34,0,0,100.590000,5.760000,1.380000,1.300000,1.610000,30.250000,11.520000,24.495776,117.550000,27.39,30.250000,96.040000,48.02,10.83,0,22.98,27.39,0.000000,8.160000,30.33,5,0,1.380000,0.000000,257.150000,0.930000,27.52,6.14,259.880000,21,9

34,08:15-08:30,0.000000,14.410000,86.630000,270.110000,10.84,30.34,17,9,9.45,2.300000,21.130000,32.5,30.33,7.75,0,0,100.590000,5.760000,2.250000,1.300000,1.610000,30.250000,11.520000,34.845144,117.550000,25.88,30.250000,96.040000,48.02,10.83,0,22.85,25.88,0.000000,8.160000,30.33,8,0,2.250000,0.000000,257.150000,0.930000,47.25,14.53,259.880000,35,15

35,08:30-08:45,0.000000,14.410000,86.630000,270.110000,10.84,32,31,13.5,14.18,3.450000,21.130000,32.5,32,7.93,0,0,100.590000,5.760000,3.360000,1.300000,1.610000,30.250000,11.520000,44.990056,117.550000,25.21,30.250000,96.040000,48.02,10.83,0,22.66,25.21,0.000000,8.160000,32,15,0,3.360000,0.000000,257.150000,0.930000,70.89,22.85,259.880000,53,22

36,08:45:09:00,0.000000,14.410000,86.630000,270.110000,10.84,32,37,19,18.46,4.750000,21.130000,32.5,32,8.05,0,0,100.590000,5.760000,4.630000,1.300000,1.610000,30.250000,11.520000,53.528528,117.550000,23.52,30.250000,96.040000,48.02,10.83,0,22.5,23.52,0.000000,8.160000,32,19,0,4.630000,0.000000,257.150000,0.930000,92.3,29.72,259.880000,70,30

37,09:00:09:15,0.000000,14.410000,86.630000,270.110000,10.84,32,48,23.6,22.29,6.160000,21.130000,32.5,32,8.09,0,0,100.590000,5.760000,6.020000,1.220000,1.610000,30.250000,11.520000,61.72624,117.550000,0,30.250000,96.040000,48.02,10.83,0,20.73,0,0.000000,8.160000,32,24,0,6.020000,0.000000,257.150000,0.930000,111.46,37.17,259.880000,95,40

38,09:15-09:30,0.000000,14.410000,86.630000,270.110000,10.91,32,55,26.04,26.26,7.530000,20.170000,32.74,32,7.75,0,0,100.590000,5.760000,7.340000,1.220000,1.610000,30.250000,11.520000,69.8558,117.550000,0,30.250000,96.040000,48.02,10.91,0,20.88,0,0.000000,8.160000,32,27,0,7.340000,0.000000,257.150000,0.930000,131.3,45.36,259.880000,109,46

39,09:30-09:45,0.000000,14.410000,86.630000,270.110000,10.87,32,63,29.63,29.9,8.760000,20.170000,32.62,32,7.34,24.01,28.81,100.590000,5.760000,8.550000,1.220000,1.610000,30.250000,11.520000,77.30384,117.550000,0,30.250000,96.040000,48.02,10.88,0,20.47,0,0.000000,8.160000,32,31,0,8.550000,0.000000,257.150000,0.930000,149.53,52.56,259.880000,127,55

40,09:45-10:00,0.000000,14.410000,86.630000,270.110000,10.71,32.5,71,31.94,33.34,9.880000,20.170000,32.12,32.5,7.34,24.01,28.81,100.590000,5.760000,9.650000,1.220000,1.610000,30.250000,11.520000,84.566896,117.550000,0,30.250000,96.040000,48.02,10.71,0,20.53,0,0.000000,8.160000,32.5,36,0,9.650000,0.000000,257.150000,0.930000,166.7,58.43,259.880000,141,60

41,10:00-10:15,0.000000,14.410000,86.630000,270.110000,10.55,32.5,73,34.53,36.33,10.890000,20.170000,31.62,32.5,5.12,24.01,28.81,100.590000,5.760000,10.630000,1.140000,1.610000,30.250000,11.520000,91.109488,117.550000,0,30.250000,96.040000,48.02,10.54,0,18.13,0,0.000000,8.160000,32.5,37,0,10.630000,0.000000,257.150000,0.930000,181.63,64.11,259.880000,154,66

42,10:15-10:30,0.000000,14.410000,86.630000,270.110000,10.37,32.5,79,36.74,39.11,11.750000,20.170000,31.12,32.5,5,24.01,28.81,100.590000,5.760000,11.460000,1.140000,1.610000,30.250000,11.520000,96.67848,117.550000,0,30.250000,96.040000,48.02,10.38,0,18.11,0,0.000000,8.160000,32.5,39,0,11.460000,0.000000,257.150000,0.930000,195.57,69.2,259.880000,165,70

43,10:30-10:45,0.000000,14.410000,86.630000,270.110000,10.41,32.5,83,39.93,41.73,12.460000,21.130000,31.25,32.5,5,24.01,28.81,100.590000,5.760000,12.160000,1.140000,1.610000,30.730000,11.520000,104.116784,117.550000,0,0.000000,96.040000,48.02,10.42,0,18.13,0,0.000000,8.160000,32.5,42,0,12.160000,0.000000,257.150000,0.930000,208.66,74.09,259.880000,172,73

44,10:45-11:00,0.000000,14.410000,86.630000,270.110000,10.21,32.5,87,40.88,44.08,13.870000,21.130000,30.62,32.5,5,24.01,28.81,100.590000,5.760000,13.530000,1.140000,1.610000,30.730000,11.520000,108.293528,117.550000,0,0.000000,96.040000,48.02,10.21,0,18.33,0,0.000000,8.160000,32.5,43,0,13.530000,0.000000,257.150000,0.930000,220.41,78.34,259.880000,179,76

45,11:00-11:15,0.000000,14.410000,86.630000,270.110000,10.41,32.5,91,41.99,45.83,14.320000,21.130000,31.21,32.5,5,24.01,28.81,100.590000,5.760000,13.970000,1.140000,1.660000,30.730000,11.520000,112.002944,117.550000,0,0.000000,96.040000,48.02,10.4,0,18.3,0,0.000000,8.160000,32.5,46,0,13.970000,0.000000,257.150000,1.090000,229.17,81.64,259.880000,186,79

46,11:15-11:30,0.000000,14.410000,86.630000,270.110000,10.3,32.5,93,43.14,45.83,14.800000,21.130000,30.95,32.5,5,24.01,28.81,100.590000,5.760000,14.440000,1.140000,1.660000,30.730000,11.520000,115.332656,117.550000,0,0.000000,96.040000,48.02,10.32,0,17.73,0,0.000000,8.160000,32.5,47,0,14.440000,0.000000,257.150000,1.090000,229.17,84.54,259.880000,186,79

47,11:30-11:45,0.000000,14.410000,86.630000,270.110000,7.84,32.5,93,43,45.83,15.240000,21.130000,23.55,32.5,5,24.01,28.81,100.590000,5.760000,14.870000,1.140000,1.660000,30.730000,11.520000,117.912696,117.550000,0,0.000000,96.040000,48.02,7.85,0,23.49,0,0.000000,8.160000,32.5,47,0,14.870000,0.000000,257.150000,1.090000,229.17,86.31,259.880000,189,81

48,11:45-12:00,0.000000,14.410000,86.630000,270.110000,7.92,32.5,93,43.25,45.83,15.500000,21.130000,23.71,32.5,5,24.01,28.81,100.590000,5.760000,15.130000,1.140000,1.660000,30.730000,11.520000,119.480192,117.550000,0,0.000000,96.040000,48.02,7.9,0,23.52,0,0.000000,8.160000,32.5,47,0,15.130000,0.000000,257.150000,1.090000,229.17,88.73,259.880000,189,81

49,12:00-12:15,0.000000,14.410000,86.630000,270.110000,7.87,32.5,93,44.5,45.83,15.650000,20.170000,23.61,32.5,4,24.01,28.81,100.590000,5.760000,15.270000,1.220000,1.660000,30.730000,11.520000,131.406792,117.550000,0,23.210000,96.040000,48.02,7.87,0,19.03,0,0.000000,8.160000,32.5,47,0,15.270000,0.000000,257.150000,1.090000,229.17,90.45,257.200000,193,82

50,12:15-12:30,0.000000,14.410000,86.630000,270.110000,7.83,32.5,93,44.5,45.83,15.650000,20.170000,23.49,32.5,4,24.01,28.81,100.590000,5.760000,15.270000,1.220000,1.660000,30.730000,11.520000,130.296888,117.550000,0,30.730000,96.040000,48.02,7.83,0,18.99,0,0.000000,8.160000,32.5,47,0,15.270000,0.000000,257.150000,1.090000,229.17,90.45,257.200000,193,82

51,12:30-12:45,0.000000,14.410000,86.630000,270.110000,7.81,32.5,93,44.5,45.83,15.650000,20.170000,23.42,32.5,4,24.01,28.81,100.590000,5.760000,15.270000,1.220000,1.660000,30.730000,11.520000,128.632032,117.550000,0,30.730000,96.040000,48.02,7.81,0,22.54,0,0.000000,8.160000,32.5,47,0,15.270000,0.000000,257.150000,1.090000,229.17,90.45,257.200000,193,82

52,12:45-13:00,0.000000,14.410000,86.630000,270.110000,7.79,32.5,93,44.06,45.83,15.650000,19.210000,23.37,32.5,4,24.01,28.81,100.590000,5.760000,15.270000,1.220000,1.660000,30.730000,11.520000,125.78912,117.550000,0,30.730000,96.040000,48.02,7.79,0,22.52,0,0.000000,8.160000,32.5,47,0,15.270000,0.000000,257.150000,1.090000,229.17,90.45,257.200000,193,82

53,13:00-13:15,0.000000,14.410000,75.190000,270.110000,7.16,32.5,93,43.63,45.83,15.620000,19.210000,21.5,32.5,4.34,24.01,28.81,100.590000,5.760000,15.240000,1.220000,1.660000,30.730000,11.520000,122.4302,67.230000,0,30.730000,96.040000,48.02,7.17,0,26.88,0,0.000000,8.160000,32.5,47,0,15.240000,0.000000,257.150000,1.090000,229.17,90.45,259.880000,193,82

54,13:15-13:30,0.000000,14.410000,56.300000,270.110000,7.16,32.5,92,43.17,45.83,15.530000,19.210000,21.5,32.5,4.66,24.01,28.81,81.630000,5.760000,15.160000,1.220000,1.660000,30.730000,11.520000,117.143552,67.230000,0,30.730000,96.040000,48.02,7.17,0,28.08,0,0.000000,8.160000,32.5,46,0,15.160000,0.000000,257.150000,1.090000,229.17,90.45,259.880000,193,82

55,13:30-13:45,0.000000,14.410000,56.300000,270.110000,7.16,32.5,93,42.52,45.83,15.130000,19.210000,21.5,32.5,5.75,24.01,28.81,72.030000,5.760000,14.760000,1.220000,1.660000,30.730000,11.520000,112.041888,67.230000,0,30.730000,96.040000,48.02,7.17,0,28.12,0,0.000000,8.160000,32.5,47,0,14.760000,0.000000,257.150000,1.090000,229.17,89.53,259.880000,193,82

56,13:45-14:00,0.000000,14.410000,56.300000,270.110000,7.16,32.5,93,41,45.83,14.610000,19.210000,21.5,32.5,5.94,24.01,28.81,72.030000,5.760000,14.260000,1.220000,1.660000,30.730000,11.520000,104.866456,117.550000,0,30.730000,96.040000,48.02,7.17,0,28.12,0,0.000000,8.160000,32.5,47,0,14.260000,0.000000,257.150000,1.090000,229.17,87.23,259.880000,189,81

57,14:00-14:15,0.000000,14.410000,75.190000,270.110000,7.16,32.5,92,39.45,45.83,13.930000,19.210000,21.5,32.5,6.17,24.01,28.81,62.430000,5.760000,13.590000,1.300000,1.710000,30.730000,11.520000,100.514464,117.550000,0,30.730000,96.040000,48.02,7.17,0,28.14,0,0.000000,8.160000,32.5,46,0,13.590000,0.000000,257.150000,1.090000,229.17,85.11,259.880000,186,79

58,14:15-14:30,0.000000,14.410000,75.190000,270.110000,7.16,32.5,87,37.48,44.7,13.240000,20.170000,21.5,32.5,6.38,24.01,28.81,62.430000,5.760000,12.910000,1.300000,1.710000,30.730000,11.520000,95.860656,117.550000,0,30.730000,96.040000,48.02,7.17,0,28.07,0,0.000000,8.160000,32.5,43,0,12.910000,0.000000,257.150000,1.090000,223.49,81.07,259.880000,182,78

59,14:30-14:45,0.000000,14.410000,75.190000,270.110000,7.16,32.5,83,35.6,42.58,12.380000,0.000000,21.5,32.5,6.56,24.01,28.81,91.240000,5.760000,12.080000,1.300000,1.710000,25.370000,11.520000,89.016248,117.550000,0,30.730000,96.040000,48.02,7.17,0,28.11,0,0.000000,8.160000,32.5,42,0,12.080000,0.000000,257.150000,1.090000,212.89,75.97,259.880000,175,75

60,14:45-15:00,0.000000,14.410000,75.190000,270.110000,7.16,32.5,77,33.39,40.11,11.440000,0.000000,21.5,32.5,6.75,24.01,28.81,100.590000,5.760000,11.160000,1.300000,1.710000,25.370000,11.520000,80.166224,117.550000,0,30.730000,96.040000,48.02,7.17,0,27.96,0,0.000000,8.160000,32.5,38,0,11.160000,0.000000,257.150000,1.090000,200.54,70.42,259.880000,161,69

