Time,Block,NR/2023/16127/C,NR/2023/16123/C,NR/2023/12053/A,NR/2023/16129/C,NR/2023/16114/C,NR/2023/16120/C,NR/2023/14746/A,NR/2023/15937/F,NR/2023/16106/D,NR/2023/16118/C,NR/2023/16117/C,NR/2023/15309/F,NR/2023/14745/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12591/A,NR/2023/12168/A,NR/2023/14737/A,NR/2023/12052/A,NR/2023/12347/A,ER/2023/10044/C,NR/2023/12592/A,NR/2023/16119/C,NR/2023/12148/A,NR/2023/16126/C,NR/2023/16121/C,NR/2023/12422/A,NR/2023/14895/A,NR/2023/12167/A,NR/2023/16108/C,NR/2023/12431/A,NR/2023/13862/A,NR/2023/15057/F,NR/2023/15402/F,NR/2023/16101/D,NR/2023/16122/C,Total
6,01:15-01:30,0.000000,38.600000,36.410000,40.000000,17.740000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.680000,0.000000,0,0,1359.23

7,01:30-01:45,0.000000,38.600000,36.410000,40.000000,17.740000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.680000,0.000000,0,0,1359.23

8,01:45-02:00,0.000000,38.600000,36.410000,40.000000,17.740000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.680000,0.000000,0,0,1359.23

9,02:00-02:15,0.000000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.580000,0.000000,0,0,1319.03

10,02:15-02:30,0.000000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.580000,0.000000,0,0,1319.03

11,02:30-02:45,0.000000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.580000,0.000000,0,0,1319.03

12,02:45-03:00,0.000000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.580000,0.000000,0,0,1319.03

13,03:00-03:15,0.000000,0.000000,0.000000,50.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,0.000000,0.530000,0.000000,0,0,1270.7

14,03:15-03:30,0.000000,0.000000,0.000000,50.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,0.000000,0.530000,0.000000,0,0,1270.7

15,03:30-03:45,0.000000,0.000000,0.000000,50.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,0.000000,0.530000,0.000000,0,0,1270.7

16,03:45-04:00,0.000000,0.000000,0.000000,50.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,0.000000,0.530000,0.000000,0,0,1270.7

17,04:00-04:15,0.000000,0.000000,0.000000,25.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1244.7

18,04:15-04:30,0.000000,0.000000,0.000000,25.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1244.7

19,04:30-04:45,0.000000,0.000000,0.000000,25.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1244.7

20,04:45-05:00,0.000000,0.000000,0.000000,25.000000,17.460000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,98.440000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1244.7

21,05:00-05:15,0.000000,0.000000,0.000000,20.000000,17.370000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1141.17

22,05:15-05:30,0.000000,0.000000,0.000000,20.000000,17.370000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1141.17

23,05:30-05:45,0.000000,0.000000,0.000000,20.000000,17.370000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1141.17

24,05:45-06:00,0.000000,0.000000,0.000000,20.000000,17.370000,0.000000,85.800000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,36.770000,95.540000,24.130000,5.050000,124.830000,0.000000,0.530000,0.000000,0,0,1141.17

25,06:00-06:15,0.000000,0.000000,0.000000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,0.000000,0.680000,0.000000,0,0,998.66

26,06:15-06:30,0.000000,0.000000,0.000000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,0.000000,0.680000,0.000000,0,0,998.66

27,06:30-06:45,0.000000,0.000000,0.000000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,0.000000,0.680000,0.000000,0.12,0,998.78

28,06:45-07:00,0.000000,0.000000,0.000000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,0.000000,0.680000,0.000000,0.5,0,999.16

29,07:00-07:15,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.680000,0.000000,0.76,0,997.21

30,07:15-07:30,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.680000,0.000000,0.91,0,997.36

31,07:30-07:45,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.680000,0.000000,1.22,0,997.67

32,07:45:08:00,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.680000,0.000000,1.6,0,998.05

33,08:00-08:15,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,38.600000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,0.000000,2.73,0,1104.06

34,08:15-08:30,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,38.600000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,0.000000,3.34,0,1104.67

35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,38.600000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,0.000000,4.02,0,1105.35

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,17.090000,0.000000,0.000000,193.020000,38.600000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,0.000000,3.92,0,1105.25

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,17.000000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.22,17.37,1158.54

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,17.000000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.89,17.37,1159.21

39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,17.000000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,5.3,17.37,1159.62

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,17.000000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,0.000000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,5.05,17.37,1159.37

41,10:00-10:15,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,5.66,17.37,1245.91

42,10:15-10:30,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,5.95,17.37,1246.2

43,10:30-10:45,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.77,17.37,1245.02

44,10:45-11:00,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,3.8,17.37,1244.05

45,11:00-11:15,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,3.05,17.37,1243.3

46,11:15-11:30,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.44,17.37,1244.69

47,11:30-11:45,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.32,17.37,1244.57

48,11:45-12:00,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.52,17.37,1244.77

49,12:00-12:15,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,2.020000,124.830000,0.000000,0.970000,6.760000,4.11,17.37,1244.36

50,12:15-12:30,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,3.86,17.37,1245.12

51,12:30-12:45,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,3.36,17.37,1244.62

52,12:45-13:00,0.000000,0.000000,0.000000,0.000000,12.210000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,3.25,17.37,1244.51

53,13:00-13:15,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,3.4,17.37,1249.36

54,13:15-13:30,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,3.8,17.37,1249.76

55,13:30-13:45,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,3.77,17.37,1249.73

56,13:45-14:00,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,90.720000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,0.000000,0.970000,6.760000,4.14,17.37,1250.1

57,14:00-14:15,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,23.090000,0.970000,6.760000,4.29,17.37,1288.78

58,14:15-14:30,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,67.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,23.090000,0.970000,6.760000,3.94,17.37,1288.43

59,14:30-14:45,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,3.030000,124.830000,23.090000,0.970000,6.760000,3.29,17.37,1220.78

60,14:45-15:00,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.970000,6.760000,2.75,17.37,1222.26

61,15:00-15:15,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.920000,6.760000,2.25,17.37,1221.71

