Time,Block,NR/2023/17125/C,NR/2023/13148/A,NR/2023/16865/F,NR/2023/13385/A,NR/2023/16291/F,NR/2023/16191/A,NR/2023/17122/C,NR/2023/17120/C,NR/2023/13242/A,NR/2023/17127/C,NR/2023/16073/A,NR/2023/13254/A,NR/2023/17130/C,NR/2023/13253/A,NR/2023/13150/A,ER/2023/10920/C,NR/2023/13387/A,NR/2023/16185/A,ER/2023/10921/C,NR/2023/16993/F,NR/2023/15770/A,NR/2023/16077/A,NR/2023/17118/D,NR/2023/13383/A,NR/2023/13165/A,Total
26,06:15-06:30,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,677.55

27,06:30-06:45,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,0.000000,0.2,0.000000,22.310000,677.75

28,06:45-07:00,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,0.000000,0.61,0.000000,22.310000,678.16

29,07:00-07:15,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,0.000000,1.08,0.000000,22.310000,678.63

30,07:15-07:30,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,28.000000,159.220000,29.110000,0.000000,1.68,0.000000,22.310000,679.23

31,07:30-07:45,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,2.37,0.000000,22.310000,651.92

32,07:45:08:00,0.000000,0.000000,0.000000,50.210000,0.680000,78.590000,8.430000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,3.04,0.000000,22.310000,652.59

33,08:00-08:15,0.000000,0.000000,0.000000,50.210000,0.970000,78.590000,8.330000,5.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,3.1,0.000000,22.310000,651.84

34,08:15-08:30,0.000000,0.000000,0.000000,50.210000,0.970000,78.590000,8.330000,5.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,3.4,0.000000,22.310000,652.14

35,08:30-08:45,0.000000,0.000000,0.000000,50.210000,0.970000,78.590000,8.330000,5.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,3.69,0.000000,22.310000,702.43

36,08:45:09:00,0.000000,0.000000,0.000000,50.210000,0.970000,78.590000,8.330000,5.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,3.78,0.000000,22.310000,702.52

37,09:00:09:15,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.07,0.000000,22.310000,728.07

38,09:15-09:30,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.37,0.000000,22.310000,728.37

39,09:30-09:45,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.85,0.000000,22.310000,728.85

40,09:45-10:00,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,5.34,0.000000,22.310000,729.34

41,10:00-10:15,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,7.060000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,5.63,0.000000,22.310000,730.56

42,10:15-10:30,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,7.060000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,5.97,0.000000,22.310000,730.9

43,10:30-10:45,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,7.060000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,6.06,0.000000,22.310000,730.99

44,10:45-11:00,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,7.060000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,6.16,0.000000,22.310000,731.09

45,11:00-11:15,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,6.6,0.000000,22.310000,730.52

46,11:15-11:30,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,6.79,0.000000,22.310000,730.71

47,11:30-11:45,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,7.18,0.000000,22.310000,731.1

48,11:45-12:00,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,7.57,0.000000,22.310000,731.49

49,12:00-12:15,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.45,0.000000,22.310000,732.37

50,12:15-12:30,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.15,0.000000,22.310000,732.07

51,12:30-12:45,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.25,0.000000,22.310000,732.17

52,12:45-13:00,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.250000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.54,0.000000,22.310000,732.46

53,13:00-13:15,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.93,0.000000,22.310000,732.93

54,13:15-13:30,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,9.22,0.000000,22.310000,733.22

55,13:30-13:45,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.73,0.000000,22.310000,732.73

56,13:45-14:00,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.330000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.44,0.000000,22.310000,732.44

57,14:00-14:15,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,8.06,0.000000,22.310000,732.25

58,14:15-14:30,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,7.57,0.000000,22.310000,731.76

59,14:30-14:45,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,7.28,0.000000,22.310000,731.47

60,14:45-15:00,0.000000,0.000000,8.250000,50.210000,0.970000,78.590000,8.520000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,7.03,0.000000,22.310000,731.22

61,15:00-15:15,0.000000,0.000000,8.250000,50.210000,0.870000,78.590000,8.700000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,6.35,0.000000,22.310000,730.62

62,15:15-15:30,0.000000,0.000000,8.250000,50.210000,0.870000,78.590000,8.700000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.85,0.000000,22.310000,729.12

63,15:30-15:45,0.000000,0.000000,8.250000,50.210000,0.870000,78.590000,8.700000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.67,0.000000,22.310000,728.94

64,15:45-16:00,0.000000,0.000000,8.250000,50.210000,0.870000,78.590000,8.700000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,50.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.4,0.000000,22.310000,728.67

65,16:00-16:15,0.000000,0.000000,8.250000,50.210000,0.820000,78.590000,8.890000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.27,0.000000,22.310000,678.68

66,16:15-16:30,0.000000,0.000000,8.250000,50.210000,0.820000,78.590000,8.890000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,4.07,0.000000,22.310000,678.48

67,16:30-16:45,0.000000,0.000000,8.250000,50.210000,0.820000,78.590000,8.890000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,3.71,0.000000,22.310000,678.12

68,16:45-17:00,0.000000,0.000000,8.250000,50.210000,0.820000,78.590000,8.890000,6.050000,0.000000,0.000000,24.260000,19.690000,16.01,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,2.88,0.000000,22.310000,677.29

69,17:00-17:15,0.000000,0.000000,0.000000,50.210000,0.820000,78.590000,9.170000,6.050000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,2.33,0.000000,22.310000,652.76

70,17:15-17:30,0.000000,0.000000,0.000000,50.210000,0.820000,78.590000,9.170000,10.090000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,1.57,0.000000,22.310000,656.04

71,17:30-17:45,0.000000,0.000000,0.000000,50.210000,0.820000,78.590000,9.170000,10.090000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,0.92,0.000000,22.310000,655.39

72,17:45-18:00,0.000000,0.000000,0.000000,50.210000,0.820000,78.590000,9.170000,10.090000,0.000000,0.000000,24.260000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,0.000000,159.220000,29.110000,0.000000,0.43,0.000000,22.310000,654.9

73,18:00-18:15,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0.21,0.000000,22.310000,830.74

74,18:15-18:30,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0.1,0.000000,22.310000,830.63

75,18:30-18:45,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,830.53

76,18:45-19:00,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,830.53

77,19:00-19:15,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,830.53

78,19:15-19:30,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,830.53

79,19:30-19:45,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,830.53

80,19:45-20:00,0.000000,36.610000,0.000000,50.210000,0.820000,78.590000,9.350000,10.090000,0.000000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,830.53

81,20:00-20:15,0.000000,36.610000,0.000000,50.210000,0.780000,78.590000,9.350000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,860.18

82,20:15-20:30,0.000000,36.610000,0.000000,50.210000,0.780000,78.590000,9.350000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,860.18

83,20:30-20:45,0.000000,36.610000,0.000000,50.210000,0.780000,78.590000,9.350000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,860.18

84,20:45-21:00,0.000000,36.610000,0.000000,50.210000,0.780000,78.590000,9.350000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,860.18

85,21:00-21:15,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.270000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,957.12

86,21:15-21:30,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.270000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,957.12

87,21:30-21:45,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.270000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,957.12

88,21:45-22:00,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.270000,10.090000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,0.000000,0,0.000000,22.310000,957.12

89,22:00-22:15,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.080000,6.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1122.68

90,22:15-22:30,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.080000,6.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1122.68

91,22:30-22:45,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.080000,6.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1122.68

