Column1,Block,NR/2024/22279/A/34063,NR/2024/21956/A/34385,NR/2024/21814/A/34389,NR/2024/22498/A/34454,NR/2024/21938/A/34353,NR/2024/21943/A/34380,NR/2024/22010/A/34451,NR/2024/21918/A/34444,NR/2024/21961/A/34355,NR/2024/22042/A/34068,NR/2024/21954/A/34381,NR/2024/22623/A/34121,NR/2024/21940/A/34382,NR/2024/22014/A/34070,NR/2024/22611/A/34125,NR/2024/22793/C,NR/2024/22610/A/34123,NR/01102023/02012046/L_NR_2021_17,NR/2024/21658/A/34039,NR/2024/21983/A/34100,NR/2024/21970/A/34386,NR/2024/22787/C,NR/2024/21911/A/34331,NR/2024/21974/A/34388,NR/2024/21860/A/34327,NR/2024/21971/A/34387,NR/2024/21966/A/34115,NR/2024/21933/A/34101,NR/2024/21968/A/34384,NR/2024/22791/C,NR/2024/22792/C,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/jitpl,NR/30092023/31122025/SH-07,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/14082046/L_NR_2021_16,Total
31,07:30-07:45,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,0.88,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.39,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1347.5207999999998

32,07:45-08:00,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,7.75,84.47,1.94,0,1.55,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,17.39,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1348.1907999999999

33,08:00-08:15,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,8.72,84.47,1.94,0,2,42.63,0,0.97,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.93,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1392.0207999999998

34,08:15-08:30,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,8.72,84.47,1.94,0,2.22,42.63,0,0.97,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.93,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1392.2407999999998

35,08:30-08:45,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,8.72,84.47,1.94,0,2.79,42.63,0,0.97,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.93,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1392.8108

36,08:45-09:00,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,9.69,84.47,1.94,0,2.34,42.63,0,0.97,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.93,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1393.3308

37,09:00-09:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,9.69,84.47,1.94,10.66,2.11,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1403.7607999999998

38,09:15-09:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,11.63,84.47,1.94,10.66,2.04,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1405.6308

39,09:30-09:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,11.63,84.47,1.94,6.88,3.06,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1402.8707999999997

40,09:45-10:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,11.63,84.47,1.94,6.78,3.48,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1403.1907999999999

41,10:00-10:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,11.63,84.47,1.94,7.65,3.98,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1404.5607999999997

42,10:15-10:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,8.04,5.91,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1407.8508

43,10:30-10:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,8.43,4.79,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1407.1208

44,10:45-11:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,8.72,7.05,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1409.6707999999999

45,11:00-11:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,5.06,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1408.0707999999997

46,11:15-11:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,8.82,6.64,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1409.3607999999997

47,11:30-11:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,5.41,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1408.4207999999999

48,11:45-12:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,5.18,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.93,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1408.1907999999999

49,12:00-12:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,4.89,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1407.4307999999999

50,12:15-12:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,4.36,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1406.9008

51,12:30-12:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,5.12,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1407.6607999999999

52,12:45-13:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,6.13,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1408.6707999999999

53,13:00-13:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,4.93,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1407.4707999999998

54,13:15-13:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,4.1,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1406.6408

55,13:30-13:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,5.58,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1408.1207999999997

56,13:45-14:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,9.11,4.11,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1406.6508

57,14:00-14:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,7.07,4.83,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1405.3307999999997

58,14:15-14:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.88,6.05,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1406.3607999999997

59,14:30-14:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.59,4.35,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1404.3707999999997

60,14:45-15:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.59,3.28,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1403.3007999999998

61,15:00-15:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.78,2.88,42.63,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1403.0907999999997

62,15:15-15:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.88,2.46,41.66,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1401.8007999999998

