Time,Block,NR/2023/17690/C,NR/2023/17696/C,NR/2023/14436/A,NR/2023/17510/F,NR/2023/17261/F,NR/2023/17687/C,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17406/F,NR/2023/17405/F,NR/2023/17165/A,NR/2023/14754/A,Total
45,11:00-11:15,8.16,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.9

46,11:15-11:30,8.36,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.1

47,11:30-11:45,8.52,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.26

48,11:45-12:00,8.66,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.4

49,12:00-12:15,8.69,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.33

50,12:15-12:30,8.7,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.34

51,12:30-12:45,8.63,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.27

52,12:45-13:00,8.49,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,134.13

53,13:00-13:15,8.26,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.9

54,13:15-13:30,8.14,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.78

55,13:30-13:45,7.68,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.32

56,13:45-14:00,7.54,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,133.18

57,14:00-14:15,7.35,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,132.99

58,14:15-14:30,6.83,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,132.47

59,14:30-14:45,6.61,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,132.25

60,14:45-15:00,6.22,24.16,33.820000,1.000000,0.000000,6.270000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,131.86

61,15:00-15:15,5.88,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,131.62

62,15:15-15:30,5.44,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,131.18

63,15:30-15:45,4.69,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,130.43

64,15:45-16:00,4.11,24.16,33.820000,1.000000,0.000000,6.370000,6.760000,0.970000,4.350000,4.830000,43.480000,0.000000,129.85

65,16:00-16:15,3.59,24.16,33.820000,1.000000,0.000000,6.550000,6.760000,0.870000,4.350000,4.830000,43.480000,0.000000,129.41

66,16:15-16:30,3.19,24.16,33.820000,1.000000,0.000000,6.550000,6.760000,0.870000,4.350000,4.830000,43.480000,0.000000,129.01

67,16:30-16:45,2.6,24.16,33.820000,1.000000,0.000000,6.550000,6.760000,0.870000,4.350000,4.830000,43.480000,0.000000,128.42

68,16:45-17:00,1.91,24.16,33.820000,1.000000,0.000000,6.550000,6.760000,0.870000,4.350000,4.830000,43.480000,0.000000,127.73

69,17:00-17:15,1.36,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.770000,4.350000,4.830000,43.480000,0.000000,102.92

70,17:15-17:30,0.84,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.770000,4.350000,4.830000,43.480000,0.000000,102.4

71,17:30-17:45,0.43,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.770000,4.350000,4.830000,43.480000,0.000000,101.99

72,17:45-18:00,0.23,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.770000,4.350000,4.830000,43.480000,0.000000,101.79

73,18:00-18:15,0.1,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.61

74,18:15-18:30,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

75,18:30-18:45,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

76,18:45-19:00,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

77,19:00-19:15,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

78,19:15-19:30,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

79,19:30-19:45,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

80,19:45-20:00,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

81,20:00-20:15,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

82,20:15-20:30,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

83,20:30-20:45,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

84,20:45-21:00,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

85,21:00-21:15,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

86,21:15-21:30,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

87,21:30-21:45,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

88,21:45-22:00,0,0,33.820000,1.000000,0.000000,6.550000,6.760000,0.720000,4.350000,4.830000,43.480000,0.000000,101.51

89,22:00-22:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.680000,4.350000,4.830000,43.480000,23.190000,178.77

90,22:15-22:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.680000,4.350000,4.830000,43.480000,23.190000,178.77

91,22:30-22:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.680000,4.350000,4.830000,43.480000,23.190000,178.77

92,22:45-23:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.680000,4.350000,4.830000,43.480000,23.190000,178.77

93,23:00-23:15,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.630000,4.350000,4.830000,43.480000,23.190000,178.72

94,23:15-23:30,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.630000,4.350000,4.830000,43.480000,23.190000,178.72

95,23:30-23:45,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.630000,4.350000,4.830000,43.480000,23.190000,178.72

96,23:45-24:00,0,0,33.820000,1.000000,54.110000,6.550000,6.760000,0.630000,4.350000,4.830000,43.480000,23.190000,178.72

