Time,Block,NR/2023/12168/A,NR/2023/14737/A,NR/2023/13635/A,NR/2023/16269/C,NR/2023/16268/C,NR/2023/15309/F,NR/2023/16260/C,NR/2023/12347/A,NR/2023/12592/A,NR/2023/12052/A,NR/2023/14746/A,NR/2023/14745/A,NR/2023/12148/A,NR/2023/12591/A,NR/2023/12053/A,NR/2023/15057/F,NR/2023/16253/C,NR/2023/14898/A,NR/2023/12167/A,ER/2023/10160/C,NR/2023/16274/C,NR/2023/15402/F,NR/2023/14895/A,NR/2023/12422/A,NR/2023/12431/A,NR/2023/15937/F,NR/2023/13862/A,ER/2023/10163/C,ER/2023/10143/C,NR/2023/16257/C,NR/2023/16236/D,WR/2023/18287/C,Total
30,07:15-07:30,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,16.950000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,1.54,0.000000,1024.47

31,07:30-07:45,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,16.950000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,1.97,0.000000,1024.9

32,07:45:08:00,46.620000,62.870000,25.030000,96.730000,0.000000,4.840000,16.950000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.680000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,193.460000,0.000000,0.000000,25.000000,0,2.33,0.000000,1025.26

33,08:00-08:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,16.850000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,0,2.9,0.000000,970.27

34,08:15-08:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,16.850000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,0,3.55,0.000000,970.92

35,08:30-08:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,16.850000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,0,3.63,0.000000,971

36,08:45:09:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,16.850000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,8.070000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,0,4.06,0.000000,971.43

37,09:00:09:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,4.64,0.000000,984.79

38,09:15-09:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,4.84,0.000000,984.99

39,09:30-09:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,5.03,0.000000,985.18

40,09:45-10:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,0.000000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,5.43,0.000000,985.58

41,10:00-10:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,5.61,0.000000,1076.69

42,10:15-10:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,6,0.000000,1077.08

43,10:30-10:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,6.29,0.000000,1077.37

44,10:45-11:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,6.63,0.000000,1077.71

45,11:00-11:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,7.15,0.000000,1078.23

46,11:15-11:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,7.25,0.000000,1078.33

47,11:30-11:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,7.54,0.000000,1078.62

48,11:45-12:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,15.000000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,7.74,0.000000,1078.82

49,12:00-12:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,8.22,0.000000,1081.33

50,12:15-12:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,8.42,0.000000,1081.53

51,12:30-12:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,8.71,0.000000,1081.82

52,12:45-13:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,8.71,0.000000,1081.82

53,13:00-13:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,8.71,0.000000,1081.82

54,13:15-13:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,8.42,0.000000,1081.53

55,13:30-13:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,7.5,0.000000,1080.61

56,13:45-14:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.030000,90.930000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,25.000000,4.84,7.25,0.000000,1080.36

57,14:00-14:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.130000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,6.72,0.000000,1093.55

58,14:15-14:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.130000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,6.53,0.000000,1093.36

59,14:30-14:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.130000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,6.29,0.000000,1093.12

60,14:45-15:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.130000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.970000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,5.8,0.000000,1092.63

61,15:00-15:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.220000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.920000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,5.49,0.000000,1092.36

62,15:15-15:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.220000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.920000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,5.42,0.000000,1092.29

63,15:30-15:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.220000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.920000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,5.32,0.000000,1092.19

64,15:45-16:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,17.220000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.920000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,4.06,0.000000,1090.93

65,16:00-16:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,3.46,0.000000,1085.33

66,16:15-16:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,2.66,0.000000,1084.53

67,16:30-16:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,2.42,0.000000,1084.29

68,16:45-17:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,106.400000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,6.770000,95.760000,0.000000,85.630000,144.090000,23.150000,0.000000,0.000000,4.84,1.5,0.000000,1083.37

69,17:00-17:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,1.35,0.000000,990.42

70,17:15-17:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,2.18,0.000000,991.25

