Column1,Block,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/2025/24717/C,NR/2025/24714/C,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3925,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/08/1391,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3945,GNA/WR/2025/01/01/8625,NR/2024/24507/A/48390,NR/2024/24508/A/48386,NR/2024/24435/A/48131,NR/2024/24614/A/48388,NR/2024/24566/A/48114,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,WR/2024/25501/A/48347,NR/2024/24418/A/48110,NR/30092023/31122025/SH-07,NR/2024/24507/A/48415,NR/2025/24709/C,NR/2025/24716/C,SR/2024/15456/A/48139,NER/2024/2820/A/48348,NR/2025/24710/C,NR/2024/24434/A/48136,GNA/WR/2024/11/01/4200,Total
16,03:45-04:00,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

17,04:00-04:15,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

18,04:15-04:30,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

19,04:30-04:45,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

20,04:45-05:00,27,0,0,0,8.6,25.81,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,9.56,0,5.74,28.68,25.81,0,0.38,0,0,0,0,0,0,0,0,0,391.16

21,05:00-05:15,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,16.25,0,5.74,28.68,25.81,0,0.43,0,0,0,0,0,38.24,0,0,0,436.05

22,05:15-05:30,27,0,0,0,8.6,25.81,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,25.81,0,14.08,8.69,16.25,0,5.74,28.68,25.81,0,0.43,0,0,0,0,0,38.24,0,0,0,436.05

23,05:30-05:45,27,0,0,0,8.6,28.68,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,28.68,0,14.08,8.69,16.25,0,5.74,28.68,28.68,0,0.43,0,0.76,0,0,0,38.24,0,0,0,445.42

24,05:45-06:00,27,0,0,0,8.6,28.68,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,28.68,0,14.08,8.69,16.25,0,5.74,28.68,28.68,0,0.43,0,1.45,0,0,0,38.24,0,0,0,446.11

25,06:00-06:15,27,0,0,0,8.6,31.54,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,31.54,0,14.08,8.69,16.25,0,5.74,28.68,31.54,0,0.38,0,2.21,0,0,411.04,38.24,0,0,0,866.53

26,06:15-06:30,27,0,0,0,8.6,31.54,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,31.54,0,14.08,8.69,16.25,0,5.74,28.68,31.54,0,0.38,0,2.21,0,0,411.04,38.24,0,0,0,866.53

27,06:30-06:45,27,0,0,0,8.6,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,36.32,0,14.08,8.69,16.25,0,5.74,28.68,36.32,0,0.38,0,2.97,0,0,411.04,38.24,0,0,0,881.6300000000001

28,06:45-07:00,27,0,0,0,8.6,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,36.32,0,14.08,8.69,16.25,0,5.74,28.68,36.32,0,0.38,0,3.13,0,0,411.04,38.24,0,0,0,881.79

29,07:00-07:15,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,36.32,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,4.48,0,0,191.18,38.24,0,0,0,725.06

30,07:15-07:30,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,36.32,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,5.25,0,0,191.18,38.24,0,0,0,725.8299999999999

31,07:30-07:45,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,6,0,0,191.18,38.24,0,0,0,733.28

32,07:45-08:00,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,6.76,0,0,191.18,38.24,0,0,0,734.04

33,08:00-08:15,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,10.51,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,7.51,0,0,0,38.24,0,0,0,554.12

34,08:15-08:30,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,13.38,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,7.51,0,0,0,38.24,0,0,0,556.99

35,08:30-08:45,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,18.16,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,8.28,0,0,0,38.24,0,0,0,562.54

36,08:45-09:00,27,0,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,21.03,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,9.03,0,0,0,38.24,0,0,0,566.16

37,09:00-09:15,27,0,0,0,14.34,36.32,47.8,1.64,26.77,19.12,47.8,29.63,47.8,20.07,43.02,0,0,0,16.25,0,5.74,28.68,36.32,0,0.86,0,0,23.87,0,0,0,14.34,3.82,0,491.19

38,09:15-09:30,27,0,0,0,14.34,36.32,47.8,1.64,26.77,19.12,47.8,29.63,47.8,20.07,43.02,0,0,0,16.25,0,5.74,28.68,36.32,0,0.86,0,0,24.63,0,0,0,14.34,3.82,0,491.95

39,09:30-09:45,27,0,0,0,14.34,36.32,47.8,1.64,26.77,19.12,47.8,43.97,47.8,20.07,43.02,0,0,0,16.25,0,5.74,28.68,36.32,0,0.86,0,0,25.39,0,0,0,14.34,3.82,0,507.04999999999995

40,09:45-10:00,27,0,0,0,14.34,36.32,47.8,1.64,26.77,19.12,47.8,52.57,47.8,20.07,43.02,0,0,0,16.25,0,5.74,28.68,36.32,0,0.86,0,0,25.39,0,0,0,14.34,3.82,0,515.65

41,10:00-10:15,27,0,0,0,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,7.83,16.25,6.51,5.74,28.68,36.32,0,0.86,0,11.31,0,0,0,0,0,4.78,0,464.03999999999996

42,10:15-10:30,27,0,0,0,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,7.83,16.25,6.51,5.74,28.68,36.32,0,0.86,0,11.31,0,0,0,0,0,4.78,0,464.03999999999996

43,10:30-10:45,27,0,33.46,14.34,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,7.83,16.25,6.51,5.74,28.68,36.32,0,0.86,0,12.06,0,4.78,0,0,0,4.78,0,517.3699999999999

44,10:45-11:00,27,0,33.46,14.34,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,7.83,16.25,6.51,5.74,28.68,36.32,0,0.86,0,13.2,0,4.78,0,0,0,4.78,0,518.5099999999999

45,11:00-11:15,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,13.96,0,4.78,0,0,0,6.69,0,521.09

46,11:15-11:30,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.47

47,11:30-11:45,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.47

48,11:45-12:00,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.47

49,12:00-12:15,27,0,33.46,14.34,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.56

50,12:15-12:30,27,0,33.46,14.34,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.56

51,12:30-12:45,27,0,33.46,14.34,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.56

52,12:45-13:00,27,0,33.46,14.34,14.34,36.32,47.8,1.64,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.86,0,14.34,0,4.78,0,0,0,6.69,0,521.56

53,13:00-13:15,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,5.74,0,520.3299999999999

54,13:15-13:30,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,5.74,0,520.3299999999999

55,13:30-13:45,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,5.74,0,520.3299999999999

56,13:45-14:00,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,5.74,0,520.3299999999999

57,14:00-14:15,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

58,14:15-14:30,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

59,14:30-14:45,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

60,14:45-15:00,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.76,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

61,15:00-15:15,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.67,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

62,15:15-15:30,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.67,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

63,15:30-15:45,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.67,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

64,15:45-16:00,27,0,33.46,14.34,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.67,0,14.34,0,4.78,0,0,0,4.78,0,519.3699999999999

65,16:00-16:15,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,4.78,0,0,0,2.87,0,517.18

66,16:15-16:30,27,0,33.46,14.34,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,4.78,0,0,0,2.87,0,517.18

67,16:30-16:45,27,0,28.2,15.01,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,4.78,0,0,0,2.87,0,512.5899999999999

68,16:45-17:00,27,0,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,0,0,0,0,2.87,0,464.59999999999997

69,17:00-17:15,27,0,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,90.81,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,0,0,0,0,0.96,0,553.5000000000001

70,17:15-17:30,27,0,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,95.59,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,0,0,0,0,0.96,0,558.2800000000001

71,17:30-17:45,32,0,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,96.55,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,0,0,0,0,0.96,0,564.2400000000001

72,17:45-18:00,32,0,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,96.55,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,36.32,0,0.48,0,14.34,0,0,0,0,0,0.96,0,564.2400000000001

73,18:00-18:15,31.14,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,103.24,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.48,0,14.34,0,0,66.91,38.24,0,0,50,842.5000000000002

74,18:15-18:30,31.14,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,107.06,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.48,0,14.34,0,0,66.91,38.24,0,0,50,846.3200000000002

75,18:30-18:45,31.14,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,107.06,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.48,0,14.34,0,0,66.91,38.24,0,0,50,846.3200000000002

76,18:45-19:00,31.14,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,119.49,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.48,0,14.34,0,0,66.91,38.24,0,0,50,858.7500000000002

77,19:00-19:15,31.14,30,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,119.49,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,66.91,38.24,0,0,50,858.9300000000002

78,19:15-19:30,31.14,30,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,122.36,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,66.91,38.24,0,0,50,861.8000000000002

79,19:30-19:45,0,30,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,54.49,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,66.91,38.24,0,0,50,762.7900000000001

80,19:45-20:00,0,30,0,0,14.34,36.32,47.8,1.55,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,66.91,38.24,0,0,50,708.3

81,20:00-20:15,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,105.15,38.24,0,0,50,773.45

82,20:15-20:30,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,105.15,38.24,0,0,50,773.45

83,20:30-20:45,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,105.15,38.24,0,0,50,773.45

84,20:45-21:00,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,105.15,38.24,0,0,50,773.45

85,21:00-21:15,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,229.42,0,0,0,50,859.48

86,21:15-21:30,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,229.42,0,0,0,50,859.48

87,21:30-21:45,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,229.42,0,0,0,50,859.48

88,21:45-22:00,27,30,0,0,14.34,36.32,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,50,14.08,14.34,16.25,0,5.74,28.68,36.32,38.24,0.57,0,14.34,0,0,229.42,0,0,0,50,859.48

89,22:00-22:15,27,30,0,0,14.34,25.81,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,25.81,38.24,0.48,0,14.34,0,0,286.77,0,0,0,50,845.72

90,22:15-22:30,27,30,0,0,14.34,25.81,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,25.81,38.24,0.48,0,14.34,0,0,286.77,0,0,0,50,845.72

91,22:30-22:45,27,30,0,0,14.34,25.81,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,25.81,38.24,0.48,0,14.34,0,0,286.77,0,0,0,50,845.72

92,22:45-23:00,27,30,0,0,14.34,25.81,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,43.02,0,14.08,14.34,16.25,0,5.74,28.68,25.81,38.24,0.48,0,14.34,0,0,286.77,0,0,0,50,845.72

93,23:00-23:15,27,30,0,0,8.6,25.81,47.8,1.46,26.77,19.12,47.8,0,47.8,20.07,36.32,0,14.08,14.34,16.25,0,5.74,28.68,25.81,38.24,0.48,0,14.34,0,0,286.77,0,0,0,50,833.28

