Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21158/A/25536,NR/2024/21186/A/25759,NR/2024/20966/A/25446,NR/2024/21096/A/25770,NR/2024/21152/A/25445,NR/2024/21238/A/25793,NR/2024/21375/C,NR/2024/21339/A/25558,NR/2024/21210/A/25453,NR/2024/21243/A/25497,NR/2024/19779/A/25477,NR/2024/21023/A/25516,NR/2024/21321/A/25359,NR/2024/20573/A/25754,NR/2024/21108/A/25763,NR/2024/21087/A/25709,NR/2024/21148/A/25528,NR/2024/21386/C,NR/2024/21103/A/25766,NR/01102023/14082046/L_NR_2021_16,NR/2024/20688/A/25554,NR/2024/21075/A/25792,NR/2024/21144/A/25539,NR/2024/21153/A/25521,NR/2024/20574/A/25752,NR/2024/21159/A/25537,NR/2024/20877/A/25760,NR/2024/21173/A/25708,NR/01102023/02012046/L_NR_2021_17,NR/2024/21227/A/25765,NR/2024/21062/A/25601,NR/2024/21150/A/25523,NR/30092023/31122025/SH-07,NR/2024/21142/A/25454,NR/2024/21199/A/25515,NR/2024/21387/C,NR/2024/21146/A/25534,NR/2024/21104/A/25764,NR/2024/21076/A/25789,NR/2024/21183/A/25790,NR/2024/21089/A/25741,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21156/A/25522,NR/2024/20711/A/25807,NR/2024/20930/A/25698,NR/2024/21113/A/25735,NR/2024/21072/A/25743,NR/2024/21385/C,NR/2024/21160/A/25535,NR/2024/21099/A/25456,SR/2024/13458/C,NR/2024/21141/A/25455,Total

3,00:30-00:45,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.630000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,14.560000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,260.00,47.670000,2641.95

4,00:45-01:00,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.630000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,14.560000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,310.00,47.670000,2691.95

5,01:00-01:15,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,16.560000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,371.00,47.670000,2754.9

6,01:15-01:30,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,16.560000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,276.00,47.670000,2659.9

7,01:30-01:45,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,25.970000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,176.00,47.670000,2569.31

8,01:45-02:00,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,25.970000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,76.00,47.670000,2469.31

9,02:00-02:15,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,25.970000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,136.00,47.670000,2517.12

10,02:15-02:30,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,32.000000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,25.970000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2381.12

11,02:30-02:45,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2376.89

12,02:45-03:00,81.930000,0.000000,81.930000,12.420000,32.770000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.580000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2376.89

13,03:00-03:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

14,03:15-03:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

15,03:30-03:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

16,03:45-04:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

17,04:00-04:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

18,04:15-04:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

19,04:30-04:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

20,04:45-05:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2296.4

21,05:00-05:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2060.24

22,05:15-05:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2060.24

23,05:30-05:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2060.24

24,05:45-06:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.530000,0.000000,7.710000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2060.24

25,06:00-06:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.670000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1963.99

26,06:15-06:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.670000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1963.99

27,06:30-06:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.670000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1963.99

28,06:45-07:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.670000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0.55,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1964.54

