Column1,Block,NR/2025/26813/C,NR/2025/26689/A/71694,NR/2025/26101/A/71757,NR/2025/26085/A/71508,NR/2025/25858/A/72012,NR/2025/25855/A/72011,NR/2025/26336/A/71719,NR/2025/26265/A/72051,NR/2025/26197/A/72120,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/4138,NR/2025/26198/A/72119,NR/2025/26200/A/72117,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,NR/2025/26289/A/72050,GNA/NR/2025/05/01/3877,ER/2025/17540/C,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/5800,NR/2025/26002/A/72013,GNA/ER/2025/05/14/4547,GNA/NR/2025/05/01/9320,NR/2025/26824/C,NR/2025/26806/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/2025/26201/A/72116,NR/2025/26232/A/72053,NR/2025/26312/A/71542,NR/2025/26153/A/71547,NR/2025/26291/A/72049,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9395,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/71544,NR/2025/26335/A/71721,NR/2025/26202/A/72070,NR/2025/26199/A/72118,NR/2025/26814/C,NR/2025/26191/A/71555,NR/2025/26233/A/72052,NR/2025/26749/C,NR/2025/26750/C,NR/2025/26754/C,NR/2025/26753/C,NR/2025/26751/C,NR/2025/26752/C,Total
5,01:00-01:15,14.44,6.74,0,0.67,0,144.45,134.82,96.3,14.59,28.89,192.6,9.4,0,43.77,14.59,0,144.45,48.15,28.89,285.05,13.48,67.41,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,30,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2218.47

6,01:15-01:30,14.44,6.74,0,0.67,0,144.45,134.82,96.3,14.59,28.89,192.6,9.4,0,43.77,14.59,0,144.45,48.15,28.89,293.72,13.48,67.41,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,30,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2227.14

7,01:30-01:45,14.44,6.74,0,0.67,0,144.45,134.82,96.3,14.59,28.89,192.6,9.4,0,43.77,14.59,0,144.45,48.15,28.89,310.09,13.48,67.41,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,30,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2243.5099999999998

8,01:45-02:00,14.44,6.74,0,0.67,0,144.45,134.82,96.3,14.59,28.89,192.6,9.4,0,43.77,14.59,0,144.45,48.15,28.89,290.83,13.48,67.41,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,30,5.78,0,14.44,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2224.25

9,02:00-02:15,14.44,6.74,0,0.63,0,144.45,134.82,0,14.59,0,192.6,9.22,0,43.77,14.59,0,144.45,48.15,28.89,249.42,13.48,0,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,23.51,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2059.6099999999997

10,02:15-02:30,14.44,6.74,0,0.63,0,144.45,134.82,0,14.59,0,192.6,9.22,0,43.77,14.59,0,144.45,48.15,28.89,287.94,13.48,0,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,23.51,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2098.1299999999997

11,02:30-02:45,14.44,6.74,0,0.63,0,144.45,134.82,0,14.59,0,192.6,9.22,0,43.77,14.59,0,144.45,48.15,28.89,304.31,13.48,0,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,23.51,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2114.5

12,02:45-03:00,14.44,6.74,0,0.63,0,144.45,134.82,0,14.59,0,192.6,9.22,0,43.77,14.59,0,144.45,48.15,28.89,292.75,13.48,0,0,100,192.6,0,127.12,30,14.44,37.21,4.82,0,62.6,24.08,23.51,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2102.94

13,03:00-03:15,14.44,6.74,0,0.48,0,144.45,134.82,0,14.59,0,192.6,9.12,0,43.77,14.59,0,144.45,48.15,28.89,274.46,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2083.89

14,03:15-03:30,14.44,6.74,0,0.48,0,144.45,134.82,0,14.59,0,192.6,9.12,0,43.77,14.59,0,144.45,48.15,28.89,253.27,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2062.7

15,03:30-03:45,14.44,6.74,0,0.48,0,144.45,134.82,0,14.59,0,192.6,9.12,0,43.77,14.59,0,144.45,48.15,28.89,232.08,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2041.5099999999995

16,03:45-04:00,14.44,6.74,0,0.48,0,144.45,134.82,0,14.59,0,192.6,9.12,0,43.77,14.59,0,144.45,48.15,28.89,207.04,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,2016.4699999999996

17,04:00-04:15,14.44,6.74,0,0.48,0,0,134.82,0,14.59,0,192.6,9.03,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1664.8899999999996

18,04:15-04:30,14.44,6.74,0,0.48,0,0,134.82,0,14.59,0,192.6,9.03,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1664.8899999999996

19,04:30-04:45,14.44,6.74,0,0.48,0,0,134.82,0,14.59,0,192.6,9.03,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1664.8899999999996

20,04:45-05:00,14.44,6.74,0,0.48,0,0,134.82,0,14.59,0,192.6,9.03,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1664.8899999999996

21,05:00-05:15,14.44,6.74,0,0.48,0,0,134.82,0,14.59,0,192.6,8.85,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1664.7099999999996

22,05:15-05:30,14.44,6.74,0,0.48,0,0,134.82,0,14.59,0,192.6,8.85,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0.02,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1664.7299999999996

23,05:30-05:45,14.44,5.78,0,0.48,0,0,134.82,0,14.59,0,192.6,8.85,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0.12,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1663.8699999999994

24,05:45-06:00,14.44,5.78,0,0.48,0,0,134.82,0,14.59,0,192.6,8.85,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,100,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0.13,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1663.8799999999997

25,06:00-06:15,14.44,4.82,0,0.58,0,0,134.82,0,14.59,0,192.6,8.75,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,0.68,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1563.4699999999996

26,06:15-06:30,14.44,4.82,0,0.58,0,0,134.82,0,14.59,0,192.6,8.75,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,1.44,0,0,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1564.2299999999996

27,06:30-06:45,14.44,4.82,0,0.58,0,0,134.82,0,14.59,0,192.6,8.75,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,127.12,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,4.78,0,1,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1568.5699999999995

28,06:45-07:00,14.44,4.82,0,0.58,0,0,134.82,0,14.59,0,192.6,8.75,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,7.97,0,4,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1447.6399999999999

29,07:00-07:15,14.44,4.82,0,0.67,0,0,0,0,14.59,0,192.6,8.67,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,11.99,0,14,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1326.85

30,07:15-07:30,14.44,4.82,0,0.67,0,0,0,0,14.59,0,192.6,8.67,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,17.19,0,28,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1346.05

31,07:30-07:45,14.44,4.82,0,0.67,0,0,0,0,14.59,0,192.6,8.67,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,23.38,0,42,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1366.24

32,07:45-08:00,14.44,4.82,0,0.67,0,0,0,0,14.59,0,192.6,8.67,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,96.3,0,28.94,10.59,0,30.25,0,56,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1387.11

33,08:00-08:15,14.44,4.82,0,0.96,0,0,0,96.3,14.59,0,192.6,8.57,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,0,0,28.94,10.59,0,37.64,7.7,70,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1416.39

34,08:15-08:30,14.44,4.82,0,0.96,0,0,0,96.3,14.59,0,192.6,8.57,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,0,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,0,0,28.94,10.59,0,45.09,7.7,88,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1441.84

35,08:30-08:45,14.44,4.82,0,0.96,0,0,0,96.3,14.59,0,192.6,8.57,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,19.26,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,0,0,28.94,10.59,0,52.52,7.7,105,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1485.53

36,08:45-09:00,14.44,4.82,0,0.96,0,0,0,96.3,14.59,0,192.6,8.57,0,43.77,14.59,0,144.45,48.15,28.89,0,13.48,0,0,0,192.6,0,19.26,26.5,14.44,37.21,4.82,0,62.6,24.08,26.5,0,0,0,28.94,10.59,0,60.1,7.7,123,96.3,43.77,54.12,48.15,4.82,0,0,0,0,0,0,1511.11

37,09:00-09:15,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.47,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,48.15,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,67.46,10.59,137,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1618.2900000000002

38,09:15-09:30,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.47,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,48.15,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,73.73,10.59,151,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1638.5600000000002

39,09:30-09:45,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.47,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,57.78,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,79.76,10.59,165,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1668.22

40,09:45-10:00,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.47,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,85.45,10.59,179,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1716.8

41,10:00-10:15,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.39,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,90.57,12.52,189,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1733.77

42,10:15-10:30,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.39,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,95.32,12.52,196,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1745.52

43,10:30-10:45,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.39,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,99.57,12.52,203,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1756.77

44,10:45-11:00,14.44,5.78,0,0.96,0,0,0,0,14.59,0,192.6,8.39,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,100,12.52,207,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1761.2

45,11:00-11:15,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.29,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1766.0200000000002

46,11:15-11:30,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.29,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1766.0200000000002

47,11:30-11:45,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.29,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1766.0200000000002

48,11:45-12:00,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.29,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,86.67,26.61,14.44,37.21,4.82,0,62.6,0,26.61,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1766.0200000000002

49,12:00-12:15,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.2,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,77.04,26.7,14.44,37.21,4.82,0,62.6,0,26.7,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1756.4800000000002

50,12:15-12:30,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.2,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,51.36,26.7,14.44,37.21,4.82,0,62.6,0,26.7,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1730.8000000000002

51,12:30-12:45,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.2,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,64.2,26.7,14.44,37.21,4.82,0,62.6,0,26.7,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1743.64

52,12:45-13:00,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.2,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,64.2,26.7,14.44,37.21,4.82,0,62.6,0,26.7,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1743.64

53,13:00-13:15,14.44,6.74,0,0.96,0,0,0,0,14.59,0,192.6,8.11,0,43.77,14.59,0,144.45,0,28.89,0,13.48,0,0,0,192.6,0,64.2,26.7,14.44,37.21,4.82,0,62.6,0,26.7,0,0,0,28.94,10.59,0,100,13.48,210,96.3,43.77,54.12,48.15,4.82,0,0,52.96,24.08,96.3,48.15,1743.5500000000002

