Time,Block,NR/2024/21087/A/25104,NR/2024/21183/A/25319,NR/2024/21243/A/25052,NR/2024/21329/C,NR/2024/21328/C,NR/2024/21152/A/25037,NR/2024/21108/A/25285,NR/2024/21144/A/25198,NR/2024/20877/A/25282,NR/2024/21159/A/25055,NR/2024/21150/A/25054,NR/2024/21227/A/25287,NR/2024/21103/A/25288,NR/2024/20930/A/25227,NR/01102023/02012046/L_NR_2021_17,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21148/A/25058,NR/2024/21158/A/25069,NR/2024/21199/A/25085,NR/2024/21186/A/25281,NR/2024/21141/A/25001,NR/30092023/26122029/SH-06,NR/2024/21279/A/25080,NR/2024/20688/A/25105,NR/2024/20711/A/25264,NR/2024/21156/A/25068,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20573/A/25251,NR/2024/20574/A/25250,NR/2024/21153/A/25067,NR/2024/21160/A/25064,NR/2024/21072/A/25272,NR/2024/21104/A/25286,NR/2024/21210/A/24994,NR/2024/21326/C,NR/01102023/23072042/L_NR_2012_04,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/2024/21113/A/25270,NR/2024/21324/C,NR/2024/21173/A/25102,NR/01072024/31072024/R2,NR/2024/21323/C,NR/2024/21076/A/25310,NR/2024/19779/A/24971,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21023/A/25086,NR/2024/20966/A/25038,NR/2024/21089/A/25271,NR/2024/21099/A/25008,NR/30092023/31122025/SH-07,NR/2024/21075/A/25320,NR/2024/21142/A/24997,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21340/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21096/A/25289,NR/2024/21062/A/25246,NR/2024/21146/A/25062,NR/2024/21336/C,NR/2024/21238/A/25321,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,Total
9,02:00-02:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.500000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2568.51

10,02:15-02:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.500000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2568.51

11,02:30-02:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.500000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,12.580000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2556.99

12,02:45-03:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.500000,0.520000,0.670000,0.000000,48.200000,47.670000,31.000000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,12.580000,7.710000,90.610000,0.630000,38.560000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,31.000000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2556.99

13,03:00-03:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.310000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,12.580000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2462.29

14,03:15-03:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.310000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,12.580000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2462.29

15,03:30-03:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.310000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2473.81

16,03:45-04:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.310000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2473.81

17,04:00-04:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.030000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2473.53

18,04:15-04:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.030000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,24.100000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2473.53

19,04:30-04:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.030000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2449.43

20,04:45-05:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,18.030000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,308.450000,0.000000,0.360000,0.000000,2.890000,72.290000,2449.43

21,05:00-05:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.760000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2213

22,05:15-05:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.760000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2213

23,05:30-05:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.760000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2213

24,05:45-06:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.760000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,72.290000,24.100000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.530000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2213

25,06:00-06:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.490000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.670000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2116.48

26,06:15-06:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.490000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.670000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2116.48

27,06:30-06:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.490000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,0,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.670000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2116.48

28,06:45-07:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.490000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,0.55,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.670000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2117.03

