Time,Block,NR/2023/12167/A,NR/2023/12052/A,NR/2023/16004/C,NR/2023/16013/C,NR/2023/15993/D,NR/2023/12148/A,NR/2023/14898/A,NR/2023/12431/A,NR/2023/12347/A,NR/2023/13635/A,NR/2023/15309/F,NR/2023/12168/A,NR/2023/15402/F,NR/2023/12592/A,NR/2023/14745/A,NR/2023/12591/A,NR/2023/14737/A,NR/2023/12422/A,NR/2023/15057/F,NR/2023/14746/A,NR/2023/16003/C,NR/2023/15694/F,NR/2023/15998/C,NR/2023/13862/A,NR/2023/14895/A,NR/2023/12053/A,NR/2023/16017/C,NR/2023/15991/D,Total
11,02:30-02:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.580000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1218.9

12,02:45-03:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.580000,85.800000,18.840000,193.020000,6.050000,23.090000,95.540000,36.410000,0,0,1218.9

13,03:00-03:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.840000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.35

14,03:15-03:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.840000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.35

15,03:30-03:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.840000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.35

16,03:45-04:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.840000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.35

17,04:00-04:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.750000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.26

18,04:15-04:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.750000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.26

19,04:30-04:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.750000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.26

20,04:45-05:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,98.440000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.750000,193.020000,6.050000,0.000000,95.540000,0.000000,0,0,1159.26

21,05:00-05:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,1059.73

22,05:15-05:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,1059.73

23,05:30-05:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,1059.73

24,05:45-06:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,36.770000,0.530000,85.800000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,1059.73

25,06:00-06:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,937.31

26,06:15-06:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,937.31

27,06:30-06:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0,937.31

28,06:45-07:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0.4,937.71

29,07:00-07:15,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0.7,938.01

30,07:15-07:30,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,0.96,938.27

31,07:30-07:45,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,1.65,938.96

32,07:45:08:00,24.130000,62.970000,0.000000,0.000000,0.000000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.680000,0.000000,18.660000,193.020000,5.050000,0.000000,95.540000,0.000000,0,2.42,939.73

33,08:00-08:15,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.660000,144.070000,5.050000,0.000000,95.540000,0.000000,0,2.87,930.12

34,08:15-08:30,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.660000,144.070000,5.050000,0.000000,95.540000,0.000000,0,3.49,930.74

35,08:30-08:45,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.660000,144.070000,5.050000,0.000000,95.540000,0.000000,0,4.05,931.3

36,08:45:09:00,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.660000,144.070000,5.050000,0.000000,95.540000,0.000000,0,4.4,931.65

37,09:00:09:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,9.080000,0.000000,95.540000,0.000000,17.37,5.03,989.3

38,09:15-09:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,9.080000,0.000000,95.540000,0.000000,17.37,5.9,990.17

39,09:30-09:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,9.080000,0.000000,95.540000,0.000000,17.37,5.87,990.14

40,09:45-10:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,0.000000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,9.080000,0.000000,95.540000,0.000000,17.37,6.58,990.85

41,10:00-10:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,6.75,1076.76

42,10:15-10:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,7.67,1077.68

43,10:30-10:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,7.85,1077.86

44,10:45-11:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,8.19,1078.2

45,11:00-11:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,5.8,1075.81

46,11:15-11:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,9.05,1079.06

47,11:30-11:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,8.54,1078.55

48,11:45-12:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,7.34,1077.35

49,12:00-12:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,7.05,1077.06

50,12:15-12:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,5.33,1075.34

51,12:30-12:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,5.58,1075.59

52,12:45-13:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,12.580000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,5.32,1075.33

53,13:00-13:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,5.56,1081.56

54,13:15-13:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,4.83,1080.83

55,13:30-13:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,3.58,1079.58

56,13:45-14:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,90.720000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,0.000000,95.540000,0.000000,17.37,3.51,1079.51

57,14:00-14:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,3.5,1118.03

58,14:15-14:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,6.08,1120.61

59,14:30-14:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,4.5,1119.03

60,14:45-15:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.970000,0.000000,18.570000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,5.93,1120.46

61,15:00-15:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.920000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,4.34,1116.23

62,15:15-15:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.920000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,4.11,1116

63,15:30-15:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.920000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,4.07,1115.96

64,15:45-16:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.920000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,4.26,1116.15

65,16:00-16:15,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,4.27,1116.06

66,16:15-16:30,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,3.93,1115.72

67,16:30-16:45,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,3.32,1115.11

68,16:45-17:00,24.130000,62.970000,28.950000,0.000000,38.600000,22.200000,77.210000,124.830000,106.160000,24.980000,4.830000,46.520000,6.760000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,10.090000,23.090000,95.540000,0.000000,17.37,3.42,1115.21

69,17:00-17:15,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,9.080000,0.000000,95.540000,0.000000,0,2.44,979.15

70,17:15-17:30,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,9.080000,0.000000,95.540000,0.000000,0,1.55,978.26

71,17:30-17:45,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,9.080000,0.000000,95.540000,0.000000,0,0.72,977.43

72,17:45-18:00,24.130000,62.970000,0.000000,0.000000,38.600000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,24.130000,49.940000,62.730000,0.000000,0.820000,0.000000,15.980000,144.070000,9.080000,0.000000,95.540000,0.000000,0,0.27,976.98

73,18:00-18:15,24.130000,62.970000,0.000000,20.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.870000,0.000000,18.750000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0.14,1022.3

74,18:15-18:30,24.130000,62.970000,0.000000,20.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.870000,0.000000,18.750000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0.12,1022.28

75,18:30-18:45,24.130000,62.970000,0.000000,20.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.870000,0.000000,18.750000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0,1022.16

76,18:45-19:00,24.130000,62.970000,0.000000,20.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.870000,0.000000,18.750000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0,1022.16

77,19:00-19:15,24.130000,62.970000,0.000000,20.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.920000,0.000000,18.840000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0,1022.3

78,19:15-19:30,24.130000,62.970000,0.000000,20.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.920000,0.000000,18.840000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0,1022.3

79,19:30-19:45,24.130000,62.970000,0.000000,54.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.920000,0.000000,18.840000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0,1056.3

80,19:45-20:00,24.130000,62.970000,0.000000,70.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.920000,0.000000,18.840000,193.020000,9.080000,0.000000,95.540000,36.410000,0,0,1072.3

81,20:00-20:15,24.130000,62.970000,0.000000,70.000000,0.000000,22.200000,77.210000,124.830000,48.260000,24.980000,4.830000,46.520000,0.000000,99.890000,0.000000,49.940000,62.730000,0.000000,0.920000,0.000000,18.840000,193.020000,8.070000,0.000000,95.540000,36.410000,0,0,1071.29

