Block,Time,DULHASTI,KKNPPU2,SEWA2,TALA,UNCHAHAR2,AURY_LF,CHAMERA1,CHAMERA3,NAPP,NLCIIST2,RSTPSU1TO6,SIMHST1,SIMHST2,SINGRAULI,URI,DHAULIGNGA,KGSU3AND4,RAMPUR,RAPPD,RIHAND2,RIHAND3,SINGRAULI_HYDRO,DADRI_GF,NJPC,TALST2,URI2,ANTA_CRF,DADRI_CRF,BSIUL,DADRT2,JHAJJAR,KUDGI,NLCIIST1,RAPPB,RAPPC,RSTPSU7,SALAL,UNCHAHAR1,ANTA_GF,ANTA_RF,AURY_GF,AURY_RF,BRBCL,CHAMERA2,FSTPP I & II,KGSU1AND2,KHSTPP-I,KHSTPP-II,KKNP,NLCTS2EXP,NNTPP,NTPL,SASAN,UNCHAHAR3,UNCHAHAR4,AURY_CRF,KISHANGANGA,MAPS,NLCEXP,PARBATI2,PARBATI3,TANAKPUR,TelanganaSTPP,VALLURNTECL,KOLDAM,KOTESHWR,RIHAND1,TANDA2,TEHRI,ANTA_LF,DADRI_LF,DADRI_RF
6,01:15-01:30,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,6.27,0,0,9.59,10.43,97.23,2.8,29.13,0,0,98.4

7,01:30-01:45,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,33.76,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

8,01:45-02:00,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,76.69,21.94,0,51.17,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

9,02:00-02:15,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,6.52,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

10,02:15-02:30,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,6.52,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,48.81,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

11,02:30-02:45,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,6.52,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

12,02:45-03:00,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,6.52,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

13,03:00-03:15,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.03,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

14,03:15-03:30,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,1.03,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

15,03:30-03:45,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,6.27,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

16,03:45-04:00,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,6.27,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

17,04:00-04:15,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,6.27,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

18,04:15-04:30,59.5,0,0,0,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,6.27,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

19,04:30-04:45,59.5,0,0,3.53,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,6.27,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

20,04:45-05:00,59.5,0,0,3.53,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,24.04,23.02,6.27,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

21,05:00-05:15,59.5,0,0,3.53,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,52.23,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

22,05:15-05:30,59.5,0,0,3.53,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

23,05:30-05:45,59.5,0,0,4.12,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,23.02,1.28,0,0,7.19,10.43,97.23,2.9,29.13,0,0,98.4

24,05:45-06:00,59.5,0,0,4.12,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,51.34,10.95,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,51.13,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,23.02,1.28,0,0,7.19,10.43,97.23,2.9,20.7,0,0,98.4

25,06:00-06:15,59.5,0,6.3,4.12,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,63.92,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,23.02,1.79,0,0,4.79,10.43,97.23,2.9,20.7,0,0,98.4

26,06:15-06:30,59.5,0,12.61,4.12,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,63.92,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,23.02,1.79,0,0,4.79,10.43,97.23,2.9,20.7,0,0,98.4

27,06:30-06:45,59.5,0,12.61,4.12,44.2,0,42.15,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,5.5,21.66,124.58,130.79,1.06,0,138.33,0,38.1,0,0,13.04,548.92,538.67,0,0,0,69.07,0,63.92,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,18.41,1.03,0,0,4.79,10.43,97.23,2.9,20.7,0,0,98.4

28,06:45-07:00,59.5,0,12.61,4.12,45,0,42.15,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,4.4,21.66,124.58,130.79,1.06,0,110.67,0,38.1,0,0,13.04,548.92,670.67,0,0,0,69.07,0,63.92,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,98.87,0,0,0,0,339.75,27.68,1.7,0,8.63,0,0,16.53,16.88,1.03,0,0,4.79,10.43,97.23,5.7,20.7,0,0,98.4

29,07:00-07:15,59.5,0,17.62,2.94,45,0,41.08,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,4.4,21.66,124.58,130.79,1.06,0,110.67,0,38.1,0,0,13.04,688.92,670.67,0,0,0,69.07,0,79.38,21.94,0,51.83,0,80.77,20,32.53,14.3,0,45.53,113.92,0,0,0,0,339.75,27.68,3.2,0,8.63,0,0,16.53,16.88,1.03,0,0,4.79,10.43,97.23,5.7,20.7,0,0,98.4

30,07:15-07:30,59.5,0,18.9,2.94,45,0,41.08,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,4.4,21.66,124.58,130.79,1.06,0,110.67,0,38.1,0,0,13.04,688.92,670.67,0,0,0,69.07,0,79.38,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,119.17,0,0,0,0,339.75,27.68,3.2,0,8.63,0,0,16.53,16.88,1.03,0,0,4.36,10.43,97.23,5.7,20.7,0,0,98.4

31,07:30-07:45,59.5,0,18.9,1.47,45,0,25.28,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,670.67,0,0,0,69.07,0,79.38,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,119.17,0,0,0,0,339.75,27.68,3.2,0,8.63,0,0,16.53,16.88,1.03,0,0,4.36,10.43,97.23,5.7,9.71,0,0,98.4

32,07:45-08:00,59.5,0,18.9,1.47,45,0,14.05,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,670.67,0,0,0,69.07,0,79.38,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,124.42,0,0,0,0,339.75,27.68,3.2,0,8.63,0,0,16.53,16.88,1.03,0,0,4.36,10.43,97.23,5.7,9.71,0,0,98.4

33,08:00-08:15,59.5,0,18.9,1.47,45,0,14.05,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,670.67,0,0,0,69.07,0,79.38,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,124.42,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,16.53,4.29,1.03,0,0,4.36,10.43,97.23,5.7,9.71,0,0,98.4

34,08:15-08:30,59.5,0,18.9,1.47,45,0,14.05,23.33,25.77,0,0,0,0,150.34,52.99,21.88,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,670.67,0,0,0,69.07,0,79.38,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,129.65,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,16.53,0,1.03,0,0,4.36,10.43,97.23,5.7,0,0,0,98.4

35,08:30-08:45,59.5,0,18.9,1.47,45,0,0,23.33,25.77,0,0,0,0,150.34,52.99,10.95,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,650.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,129.65,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,16.53,0,1.03,0,0,1.93,10.43,97.23,5.7,0,0,0,98.4

36,08:45-09:00,59.5,0,18.9,1.47,45,0,0,23.33,25.77,0,0,0,0,150.34,52.99,0,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,650.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,134.9,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,16.53,0,1.03,0,0,1.93,10.43,97.23,5.7,0,0,0,98.4

37,09:00-09:15,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,3.3,21.66,124.58,130.79,1.06,0,82.99,0,38.1,0,0,13.04,688.92,620.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,134.9,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,16.53,0,1.03,0,0,0,10.43,97.23,5.7,0,0,0,98.4

38,09:15-09:30,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,2.19,21.66,124.58,130.79,1.06,0,55.33,0,38.1,0,0,13.04,688.92,620.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,32.53,14.3,0,45.53,140.15,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,11.28,0,1.03,0,0,0,10.43,97.23,5.7,0,0,0,98.4

39,09:30-09:45,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.94,21.66,124.58,130.79,1.06,0,48.73,0,38.1,0,0,13.04,688.92,610.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,16.13,14.3,0,45.53,140.15,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,1.03,0,0,0,10.43,97.23,5.7,0,0,0,98.4

40,09:45-10:00,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,13.04,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,16.13,14.3,0,45.53,145.39,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,1.03,0,0,0,10.43,97.23,5.7,0,0,0,98.4

41,10:00-10:15,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,13.04,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

42,10:15-10:30,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,13.04,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

43,10:30-10:45,59.5,0,18.9,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,6.52,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

44,10:45-11:00,59.5,0,12.61,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,6.52,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,51.17,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

45,11:00-11:15,59.5,0,12.61,2.94,45,0,0,11.67,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,6.52,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,50.51,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

46,11:15-11:30,59.5,0,6.3,2.94,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,6.52,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,50.51,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

47,11:30-11:45,59.5,0,0,4.41,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,6.52,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,50.51,0,80.77,20,16.13,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

48,11:45-12:00,59.5,0,0,4.41,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.06,0,27.66,0,38.1,0,0,6.52,688.92,580.67,0,0,0,69.07,0,63.92,21.94,0,50.51,0,80.77,20,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

49,12:00-12:15,59.5,0,0,4.41,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.08,0,27.66,0,38.1,0,0,6.52,688.92,590.67,0,0,0,69.07,0,63.92,21.94,0,49.86,0,76.73,20,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

50,12:15-12:30,59.5,0,0,4.41,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.08,0,27.66,0,38.1,0,0,6.52,688.92,590.67,0,0,0,69.07,0,63.92,21.94,0,49.86,0,76.73,20,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

51,12:30-12:45,59.5,0,0,4.41,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,1.1,21.66,124.58,130.79,1.08,0,27.66,0,38.1,0,0,6.52,688.92,570.67,0,0,0,69.07,0,65.07,21.94,0,49.86,0,76.73,20,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

52,12:45-13:00,59.5,0,0,4.41,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,2.19,21.66,124.58,130.79,1.08,0,55.33,0,38.1,0,0,6.52,688.92,570.67,0,0,0,69.07,0,65.07,21.94,0,49.86,0,76.73,20,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,3.07,0,0,0,10.43,97.23,5.7,0,0,0,98.4

53,13:00-13:15,59.5,0,0,6.76,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,3.3,21.66,124.58,130.79,1.08,0,82.99,0,38.1,0,0,6.52,688.92,570.67,0,0,0,69.07,0,65.07,21.94,0,49.86,0,76.73,15,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,2.44,0,0,0,10.43,97.23,5.7,0,0,0,98.4

54,13:15-13:30,59.5,0,0,6.76,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,4.4,21.66,124.58,130.79,1.08,0,110.67,0,38.1,0,0,6.52,688.92,570.67,0,0,0,69.07,0,65.07,21.94,0,49.209999999999994,0,76.73,15,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,2.44,0,0,0,10.43,97.23,5.7,0,0,0,98.4

55,13:30-13:45,59.5,0,0,6.76,45,0,0,0,25.77,0,0,0,0,150.34,51.34,0,0,5.5,21.66,124.58,130.79,1.08,0,138.33,0,38.1,0,0,6.52,688.92,570.67,0,0,0,69.07,0,65.07,21.94,0,49.209999999999994,0,76.73,15,0,14.3,0,45.53,148.3,0,0,0,0,344.25,27.68,3.2,0,8.63,0,0,0,0,2.44,0,0,0,10.43,97.23,5.7,0,0,0,98.4

