Column1,Block,NR/2025/31137/A/88760,NR/2025/31137/A/88761,NR/2025/31138/A/88763,NR/2025/31138/A/88764,NR/2025/29985/A/88396,NR/2025/31200/A/88495,GNA/NR/2025/07/01/8139,NR/2025/29353/A/88414,NR/2025/31493/C,NR/2025/31448/C,GNA/NR/2025/07/01/8154,NR/2025/31447/C,GNA/NR/2025/07/01/8230,NR/2025/27964/A/88783,GNA/NR/2025/07/01/2997,NR/2025/27963/A/88782,GNA/NR/2025/07/01/2786,GNA/SR/2025/07/15/7716,NR/2025/31436/C,NR/2025/31556/C,NR/2025/30217/A/88794,NR/2025/31536/C,NR/2025/30822/A/88395,NR/2025/30105/A/88796,NR/2025/27978/A/88837,NR/2025/31558/C,NR/2025/27962/A/88781,NR/2025/31513/C,NR/2025/31538/C,NR/2025/30121/A/88273,NR/2025/29167/A/88628,NR/2025/30082/A/88820,NR/2025/28725/A/89085,NR/2025/29439/A/88690,NR/2025/30083/A/88801,NR/2025/31551/C,NR/2025/30191/A/88271,NR/2025/31546/C,NR/2025/27970/A/88785,NR/2025/31509/C,NR/2025/31560/C,NR/2025/27968/A/88784,NR/2025/31553/C,NR/2025/29440/A/88256,NR/2025/29352/A/88417,NR/2025/31504/C,NR/2025/31561/C,NR/2025/31553/C/Alternate/1,NR/2025/30101/A/88836,NR/2025/29628/A/88808,NR/2025/31562/C,NR/2025/29910/A/88806,NR/2025/29915/A/88626,NR/2025/30067/A/88900,NR/2025/29992/A/88434,NR/2025/30086/A/88799,NR/2025/31559/C,NR/2025/30084/A/88800,NR/2025/26975/A/88813,NR/2025/31126/A/88382,NR/2025/31535/C,NR/2025/31132/A/88499,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/88758,NR/2025/30334/A/88270,NR/2025/31136/A/88759,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2236,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,Total
3,00:30-00:45,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.91,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.3,19.23,81.72,26.94,26.94,2354.77

4,00:45-01:00,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.91,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.3,19.23,81.72,26.94,26.94,2354.77

5,01:00-01:15,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.77,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.21,19.23,81.72,26.94,26.94,2354.54

6,01:15-01:30,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.77,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.21,19.23,81.72,26.94,26.94,2354.54

7,01:30-01:45,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.77,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.21,19.23,81.72,26.94,26.94,2354.54

8,01:45-02:00,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,25.07,8.74,28.84,48.07,0,0,0,0,144.21,0,0.77,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.21,19.23,81.72,26.94,26.94,2354.54

9,02:00-02:15,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,0,0.67,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.11,19.23,81.72,26.94,26.94,2329.2700000000004

10,02:15-02:30,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,0,0.67,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.11,19.23,81.72,26.94,26.94,2329.2700000000004

11,02:30-02:45,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,0,0.67,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.11,19.23,81.72,26.94,26.94,2329.2700000000004

12,02:45-03:00,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,134.6,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,0,0.67,28.6,0,0,162.04,48.07,105.75,0,19.23,20.43,204.3,44.22,26.22,0,26.22,26.44,12.5,0,0,0,0,0,0,49.03,17.11,19.23,81.72,26.94,26.94,2329.2700000000004

13,03:00-03:15,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,17.03,19.23,81.72,26.94,26.94,1870.9099999999999

14,03:15-03:30,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,17.03,19.23,81.72,26.94,26.94,1870.9099999999999

15,03:30-03:45,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,17.03,19.23,81.72,26.94,26.94,1870.9099999999999

16,03:45-04:00,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,144.21,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,54.08,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,144.21,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,17.03,19.23,81.72,26.94,26.94,1870.9099999999999

17,04:00-04:15,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,16.83,19.23,81.72,26.94,26.94,1528.21

18,04:15-04:30,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,16.83,19.23,81.72,26.94,26.94,1528.21

19,04:30-04:45,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,16.83,19.23,81.72,26.94,26.94,1528.21

20,04:45-05:00,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.62,28.6,0,0,0,48.07,76.55,0,19.23,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,16.83,19.23,81.72,26.94,26.94,1528.21

21,05:00-05:15,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,0,0.62,28.6,0,0,162.04,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,16.56,19.23,81.72,26.94,26.94,1525.2800000000002

22,05:15-05:30,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,8.56,0.62,28.6,0,0,153.49,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,12.5,0,0,0,0,0,0,0,16.56,19.23,81.72,26.94,26.94,1525.2900000000002

23,05:30-05:45,0,0,0,0,0,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,107.29,0.62,28.6,0,0,54.75,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,0,0,0,0,0,16.56,19.23,81.72,26.94,26.94,1524.3200000000002

24,05:45-06:00,0,0,0,0,1,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,120.03,0.62,28.6,0,0,42.01,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,0.32,0,0,0,0,16.56,19.23,81.72,26.94,26.94,1525.6399999999999

25,06:00-06:15,0.02,0,0.02,0,3,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,45.95,0.82,28.6,0,0,116.1,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,2.13,0.08,0,0,0,16.47,19.23,81.72,26.94,26.94,1529.6900000000003

26,06:15-06:30,0.06,0,0.03,0,7,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,89.45,0.82,28.6,0,0,72.6,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,3.21,0.12,0,0,0,16.47,19.23,81.72,26.94,26.94,1534.8600000000001

27,06:30-06:45,0.12,0,0.07,0,11,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,0.84,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,160.69,0.82,28.6,0,0,1.36,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,5.92,0.25,0,0,0,16.47,19.23,81.72,26.94,26.94,1542.64

28,06:45-07:00,0.16,0.02,0.08,0.02,14,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,1.37,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.82,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,9.77,0.32,0,0.04,0,16.47,19.23,81.72,26.94,26.94,1550.21

29,07:00-07:15,0.19,0.08,0.19,0.08,21,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,1.97,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.87,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,10.17,0.38,0,0.12,0,16.38,19.23,81.72,26.94,26.94,1558.5700000000002

30,07:15-07:30,0.19,0.12,0.19,0.12,28,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,2.97,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.87,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,12.04,0.38,0,0.22,0,16.38,19.23,81.72,26.94,26.94,1568.6200000000003

31,07:30-07:45,0.19,0.23,0.19,0.19,25,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,3.86,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.87,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,16.3,0.38,0,0.3,0,16.38,19.23,81.72,26.94,26.94,1571.0300000000002

32,07:45-08:00,0.29,0.28,0.19,0.24,28,0,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,5.25,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.87,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,21.63,0.38,0,0.4,0,16.38,19.23,81.72,26.94,26.94,1581.0500000000004

33,08:00-08:15,0.29,0.32,0.19,0.27,32,1.63,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,6.18,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.96,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,28.59,0.38,2.92,0.45,0,16.38,19.23,81.72,26.94,26.94,1597.7000000000005

34,08:15-08:30,0.29,0.34,0.19,0.34,39,1.63,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,8.53,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.96,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,11.54,0,0,34.48,0.38,3.41,0.48,0,16.38,19.23,81.72,26.94,26.94,1613.5500000000006

35,08:30-08:45,0.29,0.41,0.19,0.37,21,1.63,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,5.87,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.96,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,13.46,0,0,40.78,0.38,3.93,0.52,0,16.38,19.23,81.72,26.94,26.94,1601.7700000000004

36,08:45-09:00,0.29,0.42,0.19,0.37,25,1.63,134.84,81.72,0,0,20.74,0,224.73,0,15.24,0,43.7,0,0,5.87,7.69,0,0,17.48,0,0,76.91,0,0,6.73,0,48.07,143.01,0,8.74,28.84,48.07,0,0,0,0,0,162.04,0.96,28.6,0,0,0,48.07,76.55,0,16.57,0,0,44.22,26.22,0,26.22,5.77,13.46,0,0,47.39,0.48,4.46,0.53,0,16.38,19.23,81.72,26.94,26.94,1613.0300000000004

37,09:00-09:15,0.29,0.43,0.19,0.38,32,1.63,134.84,81.72,48.07,6.73,20.74,48.07,224.73,0,15.24,0,43.7,0,44.22,5.87,0,76.55,0,0,0,14.57,0,0.96,16.57,0,0,0,0,0,0,28.84,0,48.07,0,0,28.91,0,162.04,0,28.6,143.01,7.69,0,0,0,37.15,0,0,0,0,0,43.7,0,5.77,13.46,76.91,0,53.54,0.48,4.94,0.55,0,16.29,19.23,81.72,26.96,26.96,1672.3200000000006

38,09:15-09:30,0.29,0.47,0.19,0.41,35,1.63,134.84,81.72,48.07,6.73,20.74,48.07,224.73,0,15.24,0,43.7,0,44.22,6.85,0,76.55,0,0,0,14.57,0,0.96,16.57,0,0,0,0,0,0,28.84,0,48.07,0,0,28.91,0,162.04,0,28.6,143.01,7.69,0,0,0,37.15,0,0,0,0,0,43.7,0,5.77,13.46,76.91,0,59.27,0.48,5.35,0.59,0,16.29,19.23,81.72,26.96,26.96,1682.5500000000004

