Column1,Block,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/28774/A/81181,NR/2025/27356/A/81332,GNARE/NR/2024/12/20/3668,NR/2025/27499/A/81706,NR/2025/27088/A/81804,NR/2025/27167/A/81698,NR/2025/26562/A/81727,NR/2025/27782/A/81671,NR/2025/27726/A/81674,NR/2025/27725/A/81675,NR/2025/27168/A/81699,NR/2025/28851/A/81331,NR/2025/26952/A/81216,NR/2025/26777/A/81287,NR/2025/26785/A/81197,NR/2025/26860/A/81636,NR/2025/27727/A/81672,NR/2025/26975/A/81681,NR/2025/27242/A/81404,NR/2025/27506/A/81191,NR/2025/27500/A/81195,NR/2025/28719/A/81280,NR/2025/26565/A/81726,NR/2025/29162/A/81670,NR/2025/27100/A/81293,NR/2025/26566/A/81725,NR/2025/27162/A/81680,NR/2025/26889/A/81707,NR/2025/27281/A/81802,NR/2025/26445/A/81820,NR/2025/26861/A/81722,NR/2025/28849/A/81330,NR/2025/27187/A/81678,NR/2025/26572/A/81723,NR/2025/27157/A/81302,NR/2025/26571/A/81724,NR/2025/26085/A/81148,NR/2025/27185/A/81679,NR/2025/29338/C,NR/2025/29339/C,SR/2025/17633/C,NR/2025/29347/C,NR/2025/29215/C,NR/2025/27728/A/81673,NR/2025/29348/C,NR/2025/29185/C,NR/2025/29349/C,NR/2025/29350/C,NR/2025/29351/C,NR/2025/29198/C,NR/2025/29300/C,NR/2025/29336/C,NR/2025/29324/C,NR/2025/29317/C,NR/2025/29267/C,GNA/NR/2025/06/16/6051,NR/2025/29315/C,GNA/NR/2025/06/01/9719,NR/2025/29311/C,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,Total
3,00:30-00:45,17.41,16.48,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.9099999999994

4,00:45-01:00,17.41,16.48,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.9099999999994

5,01:00-01:15,17.41,16.39,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.8199999999995

6,01:15-01:30,17.41,16.39,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.8199999999995

7,01:30-01:45,17.41,16.39,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.8199999999995

8,01:45-02:00,17.41,16.39,26.93,0,0,0,8.71,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.57,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,15.33,41.11,26.93,2023.8199999999995

9,02:00-02:15,17.41,16.29,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1983.9299999999996

10,02:15-02:30,17.41,16.29,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1983.9299999999996

11,02:30-02:45,17.41,16.29,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1983.9299999999996

12,02:45-03:00,17.41,16.29,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,27.09,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1983.9299999999996

13,03:00-03:15,17.41,16.11,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1962.3599999999994

14,03:15-03:30,17.41,16.11,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1962.3599999999994

15,03:30-03:45,17.41,16.11,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1962.3599999999994

16,03:45-04:00,17.41,16.11,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,217.57,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1962.3599999999994

17,04:00-04:15,17.41,15.84,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,0,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1744.5199999999995

18,04:15-04:30,17.41,15.84,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,0,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1744.5199999999995

19,04:30-04:45,17.41,15.84,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,0,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1744.5199999999995

20,04:45-05:00,17.41,15.84,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,38.7,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,135.44,19.35,0,0,0,0.53,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1744.5199999999995

21,05:00-05:15,17.41,15.56,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1550.8499999999997

22,05:15-05:30,17.41,15.56,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1550.8499999999997

23,05:30-05:45,17.41,15.56,26.93,0,0,0,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,10.64,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1549.8899999999996

24,05:45-06:00,17.41,15.56,26.93,0,1,1.82,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.63,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1552.6999999999996

25,06:00-06:15,17.41,15.37,26.93,0,2,3.77,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1555.5099999999995

26,06:15-06:30,17.41,15.37,26.93,0,4,5.51,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1559.2499999999995

27,06:30-06:45,17.41,15.37,26.93,0,7,5.9,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1562.6399999999994

28,06:45-07:00,17.41,15.37,26.93,0,14,9.57,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.68,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1572.3499999999997

29,07:00-07:15,17.41,15.28,26.93,0,25,14.02,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.87,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1587.8999999999996

30,07:15-07:30,17.41,15.28,26.93,0,35,19.25,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.87,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1603.1299999999997

31,07:30-07:45,17.41,15.28,26.93,0,49,25.04,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.87,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1622.9199999999996

32,07:45-08:00,17.41,15.28,26.93,0,63,31.41,0,164.46,20.56,0,8.79,26.38,8.79,20.56,0,0,164.46,0,106.41,26.38,5.8,41.11,1.93,7.74,9.67,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.87,19.35,28.05,164.7,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1643.2899999999997

33,08:00-08:15,17.41,15.19,26.93,4.76,77,38.19,0,164.46,20.56,0,14.66,43.97,14.66,20.56,0,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,9.67,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.97,19.35,28.05,164.7,0,0,0,37.38,0,0,0,0,0,0,96.74,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1824.4599999999998

34,08:15-08:30,17.41,15.19,26.93,5.5,91,45.27,0,164.46,20.56,0,14.66,43.97,14.66,20.56,0,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,10.64,0,0.97,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.97,19.35,28.05,164.7,0,0,0,37.38,0,0,0,0,0,0,96.74,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1846.2899999999997

35,08:30-08:45,17.41,15.19,26.93,5.8,102,52.36,0,164.46,20.56,0,14.66,43.97,14.66,20.56,0,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.97,19.35,28.05,164.7,0,0,0,37.38,0,0,0,0,0,0,96.74,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1865.6399999999996

36,08:45-09:00,17.41,15.19,26.93,5.8,116,59.19,0,164.46,20.56,0,14.66,43.97,14.66,20.56,0,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,10.64,0,1.93,0,0,56.05,0,24.91,66.56,0,0,0,0,0,0,0.97,19.35,28.05,109.8,0,0,0,37.38,0,0,0,0,0,0,96.74,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.93,1831.5699999999995

