Column1,Block,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,NR/30092023/31122025/SH-07,NR/2024/22832/A/35220,NR/2024/22833/A/35219,NR/2024/22888/A/35238,NR/2024/22874/A/35222,NR/2024/22734/A/35210,NR/2024/22872/A/35081,NR/2024/22837/A/35218,NR/2024/22835/A/35278,NR/2024/21658/A/35080,NR/2024/22820/A/34946,NR/2024/22816/A/35184,NR/2024/22860/A/35246,NR/2024/22802/A/35221,NR/2024/22928/C,NR/2024/22848/A/35248,NR/2024/22935/C,NR/2024/22933/C,NR/2024/22839/A/35217,NR/2024/22753/A/35208,NR/2024/22754/A/35207,NR/2024/22934/C,NR/2024/22898/A/35159,NR/2024/22899/A/35161,Total
4,00:45-01:00,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,9.99,17.482,24.0835,41.18,32,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.87,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1544.9955

5,01:00-01:15,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,32,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1548.6855

6,01:15-01:30,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,32,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1548.6855

7,01:30-01:45,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1540.7689999999998

8,01:45-02:00,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1540.7689999999998

9,02:00-02:15,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1540.7689999999998

10,02:15-02:30,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1540.7689999999998

11,02:30-02:45,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1540.7689999999998

12,02:45-03:00,82.36,20.59,18.54,82.36,41.18,2.06,32.94,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.68,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1540.7689999999998

13,03:00-03:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.87,17.482,24.0835,41.18,24.0835,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.63,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1494.219

14,03:15-03:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.87,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.63,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.7936

15,03:30-03:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.87,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.63,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.7936

16,03:45-04:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.87,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.63,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.7936

17,04:00-04:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.5636

18,04:15-04:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.5636

19,04:30-04:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.5636

20,04:45-05:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,67.82,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1499.5636

21,05:00-05:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,25.19,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1456.9336000000003

22,05:15-05:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,25.19,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1456.9336000000003

23,05:30-05:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,25.19,0,96.89,8.72,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1456.9336000000003

24,05:45-06:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.69,17.482,26.8708,41.18,26.8708,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.58,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1455.9636

25,06:00-06:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,24.8044,41.18,24.8044,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1211.6508000000001

26,06:15-06:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,24.8044,41.18,24.8044,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1211.6508000000001

27,06:30-06:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,24.8044,41.18,24.8044,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1211.6508000000001

28,06:45-07:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,24.8044,41.18,24.8044,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,0.25,0,0,1211.9008000000001

29,07:00-07:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,0.84,0,0,1216.6226

30,07:15-07:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.19,0,96.89,7.75,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,1.36,0,0,1217.1426

31,07:30-07:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.19,0,96.89,6.78,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,1.72,0,0,1216.5326

32,07:45-08:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.19,0,96.89,6.78,26.42,91.08,0.68,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,1.94,0,0,1216.7526

33,08:00-08:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.19,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,2.48,0,0,1217.5826000000002

34,08:15-08:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.19,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,2.81,0,0,1217.9126

35,08:30-08:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,4.08,0,0,1219.1626

36,08:45-09:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,5.05,0,0,1220.1326000000001

37,09:00-09:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,4.23,0,0,1219.3126000000002

38,09:15-09:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,4.19,0,0,1219.2726000000002

39,09:30-09:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,5.19,0,0,1220.2726000000002

40,09:45-10:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,41.18,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,0,0,0,242.22,84.47,28.1,164.96,8.81,0,0,5.71,0,0,1220.7926000000002

41,10:00-10:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,4.45,0,0,1204.2626

42,10:15-10:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,6.3,0,0,1206.1126

43,10:30-10:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,6.57,0,0,1206.3826

44,10:45-11:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,4.72,0,0,1204.5326

45,11:00-11:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,7.51,0,0,1207.3226

46,11:15-11:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,4.39,0,0,1204.2026

47,11:30-11:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,3.89,0,0,1203.7026

48,11:45-12:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,67.82,109.97,8.81,0,0,7.16,0,0,1206.9726

49,12:00-12:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,72.67,109.97,8.81,0,0,7.26,0,0,1211.9226

50,12:15-12:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,72.67,109.97,8.81,0,0,6.11,0,0,1210.7726

51,12:30-12:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,72.67,109.97,8.81,0,0,6.38,0,0,1211.0426000000002

52,12:45-13:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,72.67,109.97,8.81,0,0,3.94,0,0,1208.6026000000002

53,13:00-13:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,28.1,164.96,8.81,0,0,2.75,0,0,1217.8326

54,13:15-13:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,28.1,164.96,8.81,0,0,2.52,0,0,1217.6026

55,13:30-13:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,28.1,164.96,8.81,0,0,3.6,0,0,1218.6825999999999

56,13:45-14:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.23,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,0,82.36,242.22,84.47,28.1,164.96,8.81,0,0,4.87,0,0,1219.9525999999998

57,14:00-14:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,5.96,0,0,1234.8826

58,14:15-14:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,4.23,0,0,1233.1526

59,14:30-14:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,6.05,0,0,1234.9725999999998

60,14:45-15:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,2.38,0,0,1231.3026

61,15:00-15:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,1.31,0,0,1230.2325999999998

62,15:15-15:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,26.8703,0,26.8703,26.42,26.42,25.17,0,96.89,6.78,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,1.87,0,0,1230.7925999999998

63,15:30-15:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,24.0835,0,24.0835,26.42,26.42,25.17,0,96.89,7.75,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,1.43,0,0,1225.749

64,15:45-16:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.51,17.482,24.0835,0,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.97,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,1.79,0,0,1228.049

65,16:00-16:15,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,0,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.87,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,2.68,0,0,1229.299

66,16:15-16:30,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,0,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.87,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,1.22,0,0,1227.839

67,16:30-16:45,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,0,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.87,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,2.37,0,0,1228.9889999999998

68,16:45-17:00,0,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,0,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.87,4.84,41.18,13.56,82.36,242.22,84.47,28.1,164.96,8.81,0,0,2.33,0,0,1228.9489999999998

69,17:00-17:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,1.35,0,0,1227.919

70,17:15-17:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,2.06,0,0,1228.6290000000001

71,17:30-17:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,1.25,0,0,1227.8190000000002

72,17:45-18:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,25.17,0,96.89,9.69,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0.76,0,0,1227.3290000000002

73,18:00-18:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,25.17,0,96.89,10.66,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0.68,0,0,1228.219

74,18:15-18:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,25.17,0,96.89,10.66,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0.28,0,0,1227.819

75,18:30-18:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,43.6,0,96.89,10.66,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0.03,0,0,1245.999

76,18:45-19:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,24.0835,41.18,24.0835,26.42,26.42,43.6,0,96.89,10.66,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1245.969

77,19:00-19:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,18.9768,41.18,18.9768,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1236.7256000000002

