Time,Block,NR/2024/20130/A/21747,NR/2024/19779/A/21691,NR/2024/20701/C,NR/2024/19757/A/22102,NR/2024/20598/A/21758,NR/2024/20212/A/21741,NR/2024/19760/A/21934,NR/2024/19475/A/21988,NR/2024/19432/A/22106,NR/2024/20516/A/21745,NR/2024/19355/A/22155,NR/2024/20572/A/22095,NR/2024/19966/A/21732,NR/2024/20048/A/22041,NR/2024/20109/A/22153,NR/2024/19988/A/21933,NR/2024/20515/A/21746,NR/2024/20211/A/21740,NR/2024/20553/A/21597,NR/2024/20552/A/21598,NR/2024/20597/A/22032,NR/2024/20513/A/21748,NR/2024/19791/A/22037,NR/2024/20672/C,NR/2024/20537/A/22147,NR/2024/20142/A/21743,NR/2024/20560/A/22096,NR/2024/20037/A/21767,NR/2024/20141/A/21744,NR/2024/20694/C,NR/2024/19637/A/21726,NR/2024/19918/A/22035,NR/2024/20557/A/22098,NR/2024/20524/A/21996,NR/2024/20090/A/21602,NR/2024/20599/A/21756,NR/2024/20041/A/22042,NR/2024/20540/A/21527,NR/2024/19919/A/22033,NR/2024/19699/A/22104,NR/2024/20554/A/21583,NR/2024/20684/C,NR/2024/20144/A/21742,NR/2024/19588/A/21708,NR/2024/20050/A/22040,NR/2024/20671/C,NR/2024/19683/A/21632,NR/2024/20558/A/22097,Total
21,05:00-05:15,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,1842.2

22,05:15-05:30,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,1842.2

23,05:30-05:45,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,1842.2

24,05:45-06:00,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,1842.2

25,06:00-06:15,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1635.48

26,06:15-06:30,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0.14,1.930000,32.930000,1635.62

27,06:30-06:45,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0.4,1.930000,32.930000,1635.88

28,06:45-07:00,0.480000,0.530000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0.39,1.930000,32.930000,1635.87

29,07:00-07:15,0.480000,0.680000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,1.13,1.930000,32.930000,1636.76

30,07:15-07:30,0.480000,0.680000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,1.51,1.930000,32.930000,1637.14

31,07:30-07:45,0.480000,0.680000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.42,1.930000,32.930000,1638.05

32,07:45:08:00,0.480000,0.680000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,3.12,1.930000,32.930000,1638.75

33,08:00-08:15,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,3.7,1.930000,32.930000,1834.15

34,08:15-08:30,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,73.420000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,4.37,1.930000,32.930000,1834.82

35,08:30-08:45,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.05,1.930000,32.930000,1883.79

36,08:45:09:00,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,0.000000,10.970000,0.000000,1.930000,0.000000,0.000000,6.760000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.5,1.930000,32.930000,1884.24

37,09:00:09:15,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,0.000000,48.300000,9.660000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,6.16,1.930000,32.930000,2047.19

38,09:15-09:30,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,0.000000,48.300000,9.660000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,6.4,1.930000,32.930000,2047.43

39,09:30-09:45,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,0.000000,48.300000,9.660000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,6.47,1.930000,32.930000,2047.5

40,09:45-10:00,0.480000,0.970000,144.900000,243.200000,0.000000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,0.000000,48.300000,9.660000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,6.75,1.930000,32.930000,2047.78

41,10:00-10:15,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.86,1.930000,32.930000,2121.27

42,10:15-10:30,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.11,1.930000,32.930000,2122.52

43,10:30-10:45,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,4.92,1.930000,32.930000,2120.33

