Column1,Block,NR/2024/24225/A/45911,NR/2024/24071/A/45677,NR/2024/24318/C,NR/2024/24224/A/45890,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/SR/2024/12/01/6968,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,NER/2024/2770/A/45885,NR/2024/24146/A/45668,NR/2024/24097/A/45672,NR/30092023/26122029/SH-06,WR/2024/25054/A/45889,NR/2024/24088/A/45674,NR/2024/23952/A/45681,NR/2024/24319/C,NR/2024/24052/A/45678,NR/2024/24320/C,NR/2024/24051/A/45679,NR/2024/24060/A/45923,NR/2024/24227/A/45913,GNA/NR/2024/12/18/4434,Total
3,00:30-00:45,0,0,0,0,8.66,0,150,1.92,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,409.03999999999996

4,00:45-01:00,0,0,0,0,8.66,0,150,1.92,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,409.03999999999996

5,01:00-01:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

6,01:15-01:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

7,01:30-01:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

8,01:45-02:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

9,02:00-02:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

10,02:15-02:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

11,02:30-02:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

12,02:45-03:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.38,0,2.89,0,0,17.31,0,0,408.9099999999999

13,03:00-03:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.34,0,2.89,0,0,17.31,0,0,408.8699999999999

14,03:15-03:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.34,0,2.89,0,0,17.31,0,0,408.8699999999999

15,03:30-03:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.34,0,2.89,0,0,17.31,0,0,408.8699999999999

16,03:45-04:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.34,0,2.89,0,0,17.31,0,0,408.8699999999999

17,04:00-04:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,408.9599999999999

18,04:15-04:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,408.9599999999999

19,04:30-04:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,408.9599999999999

20,04:45-05:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,5.77,7.69,0,0,0.96,0.43,0,2.89,0,0,17.31,0,0,408.9599999999999

21,05:00-05:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,38.47,5.77,7.69,0,0,4.81,0.43,0,2.89,0,0,17.31,0,0,451.28

22,05:15-05:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,38.47,5.77,7.69,0,0,4.81,0.43,0,2.89,0,0,17.31,0,0,451.28

23,05:30-05:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,38.47,5.77,14.43,0,0,4.81,0.43,0,2.89,0,2.89,17.31,0,0,460.90999999999997

24,05:45-06:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,0,0,8.66,25.97,38.47,5.77,14.43,0,0,4.81,0.43,0,2.89,0,2.89,17.31,0,0,460.90999999999997

25,06:00-06:15,0.19,0,0,0.29,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,38.47,5.77,14.43,0,0,4.81,0.43,0,2.89,0,2.89,17.31,0.19,0,343.37999999999994

26,06:15-06:30,0.19,0,0,0.29,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,38.47,5.77,14.43,0,0,4.81,0.43,0,2.89,0,2.89,17.31,0.19,0,343.37999999999994

27,06:30-06:45,0.19,0,0,0.29,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,38.47,5.77,14.43,0,0,4.81,0.43,0,2.89,0,2.89,17.31,0.19,0,352.05

28,06:45-07:00,0.29,0,0,0.29,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,38.47,5.77,14.43,0,0,4.81,0.43,0,2.89,0,2.89,17.31,0.19,0,352.15000000000003

29,07:00-07:15,0.29,0,0,0.38,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,38.47,5.77,14.43,0,0,4.81,0.53,0,2.89,0,2.89,28.85,0.19,0,363.87999999999994

30,07:15-07:30,0.38,0,0,0.38,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,38.47,5.77,14.43,0,0,4.81,0.53,0,2.89,0,2.89,28.85,0.19,0,363.96999999999997

31,07:30-07:45,0.38,0,0,0.48,8.66,0,150,1.84,34.62,0,34.62,0,0,0,8.66,34.62,38.47,5.77,14.43,0,0,4.81,0.53,0,2.89,0,2.89,28.85,0.29,0,372.81

32,07:45-08:00,0.38,0,0,0.58,8.66,0,150,1.84,34.62,0,34.62,0,0,0,8.66,34.62,38.47,5.77,14.43,0,0,4.81,0.53,0,2.89,0,2.89,28.85,0.29,0,372.91

33,08:00-08:15,0.48,0,0,0.58,11.54,0,150,1.92,36.55,0,36.55,0,0,0,11.54,36.55,38.47,5.77,14.43,0,0,4.81,0.82,0,2.89,0,2.89,28.85,0.29,0,384.92999999999995

34,08:15-08:30,0.48,0,0,0.67,11.54,0,150,1.92,36.55,0,36.55,0,0,0,11.54,36.55,38.47,5.77,14.43,0,0,4.81,0.82,0,2.89,0,2.89,28.85,0.29,0,385.02

35,08:30-08:45,0.48,0,0,0.67,11.54,0,150,1.92,36.55,0,36.55,0,0,0,11.54,36.55,38.47,5.77,7.69,0,0,4.81,0.82,0,2.89,0,0,28.85,0.29,0,375.39

36,08:45-09:00,0.48,0,0,0.67,11.54,0,150,1.92,36.55,0,36.55,0,0,0,11.54,36.55,38.47,5.77,7.69,0,0,4.81,0.82,0,2.89,0,0,28.85,0.29,0,375.39

37,09:00-09:15,0.48,3.85,25.3,0.77,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.29,0,362.04

38,09:15-09:30,0.58,3.85,28.08,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,365.2

39,09:30-09:45,0.67,3.85,28.08,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,365.29

40,09:45-10:00,0.67,3.85,28.08,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,365.29

41,10:00-10:15,0.58,4.81,26.35,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,364.43

42,10:15-10:30,0.58,4.81,28.08,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,366.16

43,10:30-10:45,0.58,4.81,28.08,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,366.16

44,10:45-11:00,0.58,4.81,28.08,0.96,8.66,0,150,1.84,28.85,0,28.85,0,0,0,8.66,28.85,0,5.77,7.69,0,0,4.81,0.82,16.35,2.89,8.46,0,28.85,0.38,0,366.16

45,11:00-11:15,0.58,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.59

46,11:15-11:30,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.68

47,11:30-11:45,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.68

48,11:45-12:00,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.48,0,355.78000000000003

49,12:00-12:15,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.68

50,12:15-12:30,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.68

51,12:30-12:45,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.68

52,12:45-13:00,0.67,6.73,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.82,16.35,3.85,8.46,0,28.85,0.38,0,355.68

53,13:00-13:15,0.67,5.77,28.08,1.06,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,354.77

54,13:15-13:30,0.67,5.77,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,354.66999999999996

55,13:30-13:45,0.67,5.77,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,354.66999999999996

56,13:45-14:00,0.67,5.77,28.08,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,354.66999999999996

57,14:00-14:15,0.67,4.81,28.08,0.96,8.66,0,150,1.92,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,353.78999999999996

58,14:15-14:30,0.77,4.81,28.08,0.96,8.66,0,150,1.92,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,353.89

59,14:30-14:45,0.67,4.81,28.08,0.96,8.66,0,150,1.92,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,353.78999999999996

60,14:45-15:00,0.67,4.81,27.41,0.96,8.66,0,150,1.92,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.77,16.35,3.85,8.46,0,28.85,0.38,0,353.12

61,15:00-15:15,0.67,4.81,23.76,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.63,16.35,3.85,8.46,0,28.85,0.38,0,349.25

62,15:15-15:30,0.67,4.81,19.81,0.96,8.66,0,150,1.84,25.97,0,25.97,0,0,0,8.66,25.97,0,5.77,7.69,0,0,0,0.63,16.35,3.85,8.46,0,28.85,0.38,0,345.3

63,15:30-15:45,0.67,4.81,28.08,1.06,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,0,5.77,7.69,0,0,0,0.63,16.35,3.85,8.46,0,28.85,0.38,0,370.9800000000001

64,15:45-16:00,0.67,4.81,25.58,0.96,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,0,5.77,7.69,0,0,0,0.63,16.35,3.85,8.46,0,28.85,0.38,0,368.38000000000005

65,16:00-16:15,0.67,2.89,21.06,0.96,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,0,5.77,7.69,0,0,0,0.48,16.35,3.85,8.46,0,28.85,0.38,0,361.7900000000001

66,16:15-16:30,0.67,2.89,16.74,0.87,8.66,0,150,1.84,31.74,0,31.74,0,0,0,8.66,31.74,0,5.77,7.69,0,0,0,0.48,16.35,3.85,8.46,0,28.85,0.58,0,357.58000000000004

67,16:30-16:45,0.67,2.89,12.5,0.87,9.62,0,150,1.84,36.55,0,36.55,0,0,0,9.62,36.55,0,5.77,7.69,0,0,0,0.48,16.35,3.85,8.46,0,28.85,0.38,0,369.49000000000007

68,16:45-17:00,0.67,2.89,8.75,0.87,9.62,0,150,1.84,36.55,0,36.55,0,0,0,9.62,36.55,0,5.77,7.69,0,0,0,0.48,16.35,3.85,8.46,0,28.85,0.38,0,365.74000000000007

69,17:00-17:15,0.67,0.96,0,0.96,12.5,0,150,1.84,37.51,0,37.51,0,0,0,12.5,37.51,0,5.77,7.69,0,0,3.85,0.48,0,3.85,0,0,28.85,0.38,40.4,383.23

70,17:15-17:30,0.58,0.96,0,0.96,12.5,0,150,1.84,37.51,0,37.51,0,0,0,12.5,37.51,0,5.77,7.69,0,0,3.85,0.48,0,3.85,0,0,28.85,0.38,40.4,383.14000000000004

71,17:30-17:45,0.58,0.96,0,0.96,12.5,0,150,1.84,37.51,0,37.51,0,0,0,12.5,37.51,0,5.77,7.69,0,0,3.85,0.48,0,3.85,0,0,28.85,0.38,40.4,383.14000000000004

72,17:45-18:00,0.58,0.96,0,0.96,12.5,0,150,1.84,37.51,0,37.51,0,0,0,12.5,37.51,0,5.77,7.69,0,0,3.85,0.48,0,3.85,0,0,28.85,0.38,40.4,383.14000000000004

73,18:00-18:15,0.58,0,0,0.96,12.5,0,150,1.84,37.51,0,37.51,0,150,50,12.5,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0.38,40.4,659.1700000000001

74,18:15-18:30,0.58,0,0,0.87,12.5,0,150,1.84,37.51,0,37.51,0,150,50,12.5,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0.38,40.4,659.08

75,18:30-18:45,0.58,0,0,0.87,12.5,0,150,1.84,37.51,0,37.51,0,150,50,12.5,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0.38,40.4,659.08

76,18:45-19:00,0.58,0,0,0.87,12.5,0,150,1.84,37.51,0,37.51,0,150,50,12.5,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0.38,40.4,659.08

77,19:00-19:15,0,0,0,0,8.66,0,150,1.84,37.51,0,37.51,0,150,50,8.66,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,40.4,649.57

78,19:15-19:30,0,0,0,0,8.66,0,150,1.84,37.51,0,37.51,0,150,50,8.66,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,40.4,649.57

79,19:30-19:45,0,0,0,0,8.66,0,150,1.84,37.51,0,37.51,0,150,50,8.66,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,40.4,649.57

80,19:45-20:00,0,0,0,0,8.66,0,150,1.84,37.51,0,37.51,0,150,50,8.66,37.51,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,40.4,649.57

81,20:00-20:15,0,0,0,0,8.66,0,150,1.92,34.62,0,34.62,0,250,50,8.66,34.62,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,700.58

82,20:15-20:30,0,0,0,0,8.66,0,150,1.92,34.62,0,34.62,0,250,50,8.66,34.62,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,700.58

83,20:30-20:45,0,0,0,0,8.66,0,150,1.92,34.62,0,34.62,0,250,50,8.66,34.62,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,700.58

84,20:45-21:00,0,0,0,0,8.66,0,150,1.92,34.62,0,34.62,0,250,50,8.66,34.62,38.47,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,700.58

85,21:00-21:15,0,0,0,0,8.66,0,150,1.84,31.74,0,31.74,0,250,50,8.66,31.74,0,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,653.3900000000001

86,21:15-21:30,0,0,0,0,8.66,0,150,1.84,31.74,0,31.74,0,250,50,8.66,31.74,0,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,653.3900000000001

87,21:30-21:45,0,0,0,0,8.66,0,150,1.84,31.74,0,31.74,0,250,50,8.66,31.74,0,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,653.3900000000001

88,21:45-22:00,0,0,0,0,8.66,0,150,1.84,31.74,0,31.74,0,250,50,8.66,31.74,0,5.77,7.69,0,38.47,3.85,0.53,0,3.85,0,0,28.85,0,0,653.3900000000001

89,22:00-22:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.48,0,2.89,0,0,28.85,0,0,759.0200000000001

90,22:15-22:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.48,0,2.89,0,0,28.85,0,0,759.0200000000001

91,22:30-22:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.48,0,2.89,0,0,28.85,0,0,759.0200000000001

92,22:45-23:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.48,0,2.89,0,0,28.85,0,0,759.0200000000001

93,23:00-23:15,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.43,0,2.89,0,0,28.85,0,0,758.97

94,23:15-23:30,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.43,0,2.89,0,0,28.85,0,0,758.97

95,23:30-23:45,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.43,0,2.89,0,0,28.85,0,0,758.97

96,23:45-24:00,0,0,0,0,8.66,0,150,1.84,25.97,31.71,25.97,95.13,250,50,8.66,25.97,0,5.77,7.69,0,38.47,0.96,0.43,0,2.89,0,0,28.85,0,0,758.97

