Column1,Time,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/1389,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/16/2139,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,NR/01102023/22052037/LT-59,GNA/NR/2025/04/16/4327,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7960,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/9334,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16
6,01:15-01:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.38,1.92,100.17,96.15,32,2.88,3.95,72.11,4.3,48.08,10.41,72.11,14.57,19.23,52.5,31.29,7.73,22.11,0,4.04,260.18,2.88,114.97,32,12.01,29.34,14.67,12.33,12.33,37.01,29.33,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.38,1.92,100.17,96.15,32,2.88,3.95,72.11,4.3,48.08,10.41,72.11,14.57,19.23,52.5,31.29,7.73,22.11,0,4.04,260.18,2.88,114.97,32,15,30,14.67,11.67,11.67,34.99,30,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.38,1.92,100.17,96.15,32,2.88,3.95,72.11,4.3,48.08,10.41,72.11,14.57,19.23,52.5,31.29,7.73,22.11,0,4.04,260.18,2.88,114.97,32,13,32,14.67,11.17,11.17,33.49,32,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.3,1.92,100.17,96.15,32,2.88,3.87,72.11,4.3,48.08,10.41,36.39,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,10.41,34.34,13.67,11.33,11.33,34.01,34.33,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.3,1.92,100.17,96.15,32,2.88,3.87,72.11,4.3,48.08,10.41,36.12,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,10.21,36.66,12.33,11.33,11.33,34.01,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.3,1.92,100.17,96.15,32,2.88,4.27,72.11,4.3,48.08,10.41,36.41,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,7,38.34,11,15.36,15.36,46.07,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.3,1.92,100.17,96.15,32,2.88,4.27,72.11,4.3,48.08,10.41,36.36,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,7,38.66,10,15.07,15.07,45.22,38.67,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.2,1.92,100.17,96.15,32,2.88,4.27,72.11,4.22,48.08,10.41,36.65,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,7,34.36,9.67,14.83,14.83,44.47,34.36,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.2,1.92,100.17,96.15,32,2.88,4.27,72.11,4.22,48.08,10.41,36.16,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,7,36.32,9.67,14.33,14.33,43,36.32,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.2,1.92,100.17,96.15,32,2.88,4.27,72.11,4.22,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,6,30,9.67,13.95,13.95,41.87,30,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.2,1.92,100.17,96.15,32,2.88,4.27,72.11,4.22,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,6,30.66,9.67,13.7,13.7,41.12,30.67,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.02,1.92,100.17,96.15,32,2.88,4.27,72.11,4.07,48.08,10.41,36.26,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,25,10.33,14.89,14.89,44.65,25,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.02,1.92,100.17,96.15,32,2.88,4.27,72.11,4.07,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,25.34,11,15.29,15.29,45.87,25.33,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.02,1.92,100.17,96.15,32,2.88,4.27,72.11,4.07,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,11.33,10,10,30,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,9.02,1.92,100.17,96.15,32,2.88,4.27,72.11,4.07,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,11.67,10,10,30,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.84,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,36.37,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,11.33,10,10,30,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.84,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,36.21,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,11.33,10,10,30,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.84,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,10.67,10,10,30,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.84,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,36.1,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,10.33,10,10,30,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.74,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,40.88,14.57,19.23,0,29.27,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,12,10,10,30,23.33,0,1.18,0,0,0,0.2,1,0,0.5,0,0,0,1

26,06:15-06:30,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.74,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,40.88,14.57,19.23,0,28.77,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,12.33,10,10,30,23.33,0,3.87,0.3,0.16,0,3.9,2,0,3.5,0,0,0.81,5

27,06:30-06:45,0,9.62,2.88,0,132.69,0,9.62,86.73,9.62,28.84,0,8.74,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,40.88,14.57,19.23,0,28.77,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,12,10,10,30,23.33,0,8.36,0.85,0.64,1,25.6,3,1,15.6,1,1,3.22,7

28,06:45-07:00,1,9.62,2.88,1,132.69,0,9.62,86.73,9.62,28.84,1,8.74,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,40.88,14.57,19.23,0,28.26,7.73,22.11,0,4.04,260.18,2.88,114.97,32,5.6,23.34,11.67,10,10,30,23.33,1,14.84,2.86,1.45,2,33,4,4,30.6,4,3,7.24,9

29,07:00-07:15,1.83,9.62,2.88,1.83,132.69,0,9.62,86.73,9.62,28.84,1.83,8.65,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,41.43,14.57,19.23,0,28.26,7.73,22.11,0,4.04,260.18,2.88,106.49,32,5.6,23.34,10.67,11.67,11.67,34.99,23.33,6,22.94,6.09,2.58,3,33,7,14,33,9,5,12.88,13

30,07:15-07:30,2.87,9.62,2.88,2.87,132.69,0,9.62,68.82,9.62,28.84,2.87,8.65,1.92,100.17,96.15,32,2.88,4.11,72.11,4.07,48.08,10.41,41.43,14.57,19.23,0,27.25,7.73,22.11,0,4.04,200.35,2.88,98.01,32,5.6,21.66,10,10.83,10.83,32.51,21.67,12,31.97,10.31,4.03,8,33,9,28,33,14,7,20.12,19

31,07:30-07:45,3.95,9.62,2.88,3.95,132.69,0,9.62,86.73,9.62,28.84,3.95,8.65,1.92,100.17,96.15,32,2.88,4.11,72.11,4.22,48.08,10.41,22.45,14.57,19.23,0,27.25,7.73,22.11,0,4.04,260.18,2.88,89.53,32,5.6,20.66,9.33,10.5,10.5,31.5,20.67,18,41.44,15.9,7.18,13,33,13,42,33,22,12,35.87,27

32,07:45-08:00,5.14,9.62,2.88,5.14,132.69,0,9.62,74.55,9.62,28.84,5.14,8.65,1.92,100.17,96.15,32,2.88,4.11,72.11,4.22,48.08,10.41,22.45,14.57,19.23,0,27.25,7.73,22.11,0,4.04,228.75,2.88,81.04,32,5.6,19.66,9,10,10,30,19.67,24,51.05,22.83,10.71,19,33,17,56,33,28,16,53.52,33

33,08:00-08:15,6.47,9.62,2.88,6.47,132.69,0,9.62,64.06,9.62,28.84,6.47,8.65,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,12.17,14.57,19.23,0,27.76,7.73,22.11,0,4.04,194.44,2.88,72.56,32,5.6,15,7.33,9.17,9.17,27.49,15,34,60.57,30.31,14.44,33,33,20,81,33,33,22,72.22,40

34,08:15-08:30,7.87,9.62,2.88,7.87,132.69,0,9.62,64.06,9.62,28.84,7.87,8.65,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,12.17,14.57,19.23,0,28.26,7.73,22.11,0,4.04,194.44,2.88,70.11,32,5.6,15,6.67,8.67,8.67,25.99,15,42,69.99,37.98,18.46,41,33,24,98,33,33,27,92.31,49

35,08:30-08:45,9.16,9.62,2.88,9.16,132.69,0,9.62,46.15,9.62,28.84,9.16,8.65,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,12.9,14.57,19.23,0,28.77,7.73,22.11,0,4.04,134.61,2.88,70.11,32,5.2,15,6.67,7.83,7.83,23.51,15,49,78.97,45.92,22.29,50,33,28,116,33,33,29,111.42,57

36,08:45-09:00,10.34,9.62,2.88,10.34,132.69,0,9.62,46.15,9.62,28.84,10.34,8.65,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,12.47,14.57,19.23,0,29.27,7.73,22.11,0,4.04,134.61,2.88,70.11,32,5,15,6.67,7.5,7.5,22.5,15,55,89.09,53.68,26.22,57,33,32,130,33,33,33,131.07,63

37,09:00-09:15,11.51,9.62,2.88,11.51,132.69,0,9.62,46.15,9.62,28.84,11.51,8.56,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,15.37,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.6,15,6.67,7.5,7.5,22.5,15,63,97.95,61.16,32.92,67,33,37,147,33,33,34,164.57,73

38,09:15-09:30,12.49,9.62,2.88,12.49,132.69,0,9.62,46.15,9.62,28.84,12.49,8.56,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,15.33,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,6.67,7.5,7.5,22.5,15,69,106.43,67.99,36.47,74,33,39,161,33,33,36,182.33,79

39,09:30-09:45,13.47,9.62,2.88,13.47,115.38,0,9.62,46.15,9.62,28.84,13.47,8.56,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,14.98,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,6.67,7.5,7.5,22.5,15,79,114.22,80.53,39.81,83,33,45,186,33,33,39,199.03,90

40,09:45-10:00,14.33,9.62,2.88,14.33,96.15,0,9.62,46.15,9.62,28.84,14.33,8.56,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,14.98,14.57,19.23,0,28.76,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,6.67,7.5,7.5,22.5,15,82,121.71,86.56,43.29,87,33,47,193,33,33,41,216.42,93

41,10:00-10:15,15.17,9.62,2.88,15.17,74.77,0,9.62,46.15,9.62,28.84,15.17,8.56,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,17.12,14.57,19.23,0,29.27,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,6.67,7.5,7.5,22.5,15,85,128.63,92.42,45.58,93,33,48,200,33,33,43,227.87,97

42,10:15-10:30,15.89,9.62,2.88,15.89,74.77,0,9.62,46.15,9.62,28.84,15.89,8.56,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,16.11,14.57,19.23,0,29.27,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,6.67,7.5,7.5,22.5,15,90,135.05,98.01,47.87,95,33,50,210,33,33,45,239.32,100

43,10:30-10:45,16.49,9.62,2.88,16.49,74.77,0,9.62,46.15,9.62,28.84,16.49,8.56,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,16.26,14.57,19.23,0,28.76,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,139.63,100,49.33,98,33,50,210,33,33,46,246.67,100

44,10:45-11:00,17.02,9.62,2.88,17.02,74.77,0,9.62,46.15,9.62,28.84,17.02,8.56,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,16.65,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,143.52,100,49.33,99,33,50,210,33,33,47,246.67,100

45,11:00-11:15,17.49,9.62,2.88,17.49,74.77,0,9.62,46.15,9.62,28.84,17.49,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.14,48.08,10.41,17.61,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,145.47,100,49.33,100,33,50,210,33,33,48,246.67,100

46,11:15-11:30,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.14,48.08,10.41,18.26,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,146.83,100,49.33,100,33,50,210,33,33,48,246.67,100

47,11:30-11:45,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.14,48.08,10.41,18.51,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,147.61,100,49.33,100,33,50,210,33,33,49,246.67,100

48,11:45-12:00,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.14,48.08,10.41,18.79,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,148.2,100,49.33,100,33,50,210,33,33,49,246.67,100

49,12:00-12:15,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,18.58,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,148.59,100,49.33,100,33,50,210,33,33,49,246.67,100

50,12:15-12:30,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,18.28,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,148.29,100,49.33,100,33,50,210,33,33,49,246.67,100

51,12:30-12:45,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,18.26,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,147.13,100,49.33,100,33,50,210,33,33,49,246.67,100

52,12:45-13:00,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,17.61,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,147.42,100,49.33,100,33,50,210,33,33,49,246.67,100

53,13:00-13:15,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,17.17,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,146.06,100,49.33,100,33,50,210,33,33,49,246.67,100

54,13:15-13:30,17.66,9.62,2.88,17.66,74.77,0,9.62,46.15,9.62,28.84,17.66,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,17.05,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.4,15,2.67,7.5,7.5,22.5,15,90,144.01,100,49.33,100,33,50,210,33,33,49,246.67,100

55,13:30-13:45,17.51,9.62,2.88,17.51,74.77,0,9.62,46.15,9.62,28.84,17.51,8.46,1.92,52.88,96.15,32,2.88,3.87,72.11,4.22,48.08,10.41,17.05,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,4.6,15,2.67,7.5,7.5,22.5,15,90,143.72,100,49.33,100,33,50,210,33,33,48,246.67,100

56,13:45-14:00,17.51,9.62,2.88,17.51,74.77,0,9.62,46.15,9.62,28.84,17.51,8.46,1.92,52.88,96.15,32,2.88,4.03,72.11,4.22,48.08,10.41,17.05,14.57,19.23,0,29.27,7.73,22.11,0,4.04,134.61,2.88,70.11,32,5.2,15,2.67,7.5,7.5,22.5,15,90,140.12,100,49.33,100,33,50,210,33,33,48,246.67,100

57,14:00-14:15,16.96,9.62,2.88,16.96,74.77,0,9.62,46.15,9.62,28.84,16.96,8.37,1.92,100.17,96.15,32,2.88,4.03,72.11,4.37,48.08,10.41,15.17,14.57,19.23,0,28.26,7.73,22.11,0,4.04,134.61,2.88,70.11,32,5.8,15,2.67,7.5,7.5,22.5,15,88,138.85,100,49.33,99,33,48,207,33,33,47,246.67,97

58,14:15-14:30,16.45,9.62,2.88,16.45,74.77,0,9.62,46.15,9.62,28.84,16.45,8.37,1.92,100.17,96.15,32,2.88,4.03,72.11,4.37,48.08,10.41,15.81,14.57,19.23,0,28.76,7.73,22.11,0,4.04,134.61,2.88,70.11,32,6.2,15,2.67,7.5,7.5,22.5,15,87,133.1,100,49.33,97,33,47,203,33,33,46,246.67,93

59,14:30-14:45,15.91,9.62,2.88,15.91,74.77,0,9.62,56.64,9.62,28.84,15.91,8.37,1.92,100.17,96.15,32,2.88,4.03,72.11,4.37,48.08,10.41,15.43,14.57,19.23,0,29.27,7.73,22.11,0,4.04,168.92,2.88,70.11,32,7,15,2.67,7.5,7.5,22.5,15,84,127.94,100,49.33,93,33,46,196,33,33,45,246.67,93

60,14:45-15:00,15.3,9.62,2.88,15.3,74.77,0,9.62,56.64,9.62,28.84,15.3,8.37,1.92,100.17,96.15,32,2.88,4.03,72.11,4.37,48.08,10.41,15.17,14.57,19.23,0,29.27,7.73,22.11,0,4.04,168.92,2.88,70.11,32,7.6,15,2.67,7.5,7.5,22.5,15,81,123.08,100,49.33,91,33,44,189,33,33,44,246.67,89

61,15:00-15:15,14.55,9.62,2.88,14.55,74.77,0,9.62,56.64,9.62,28.84,14.55,8.37,1.92,100.17,96.15,32,2.88,4.11,72.11,4.44,48.08,10.41,13.86,14.57,19.23,0,29.77,7.73,22.11,0,4.04,168.92,2.88,70.11,32,8.2,15,2.67,7.5,7.5,22.5,15,78,116.75,100,47.44,90,33,42,182,33,33,43,237.22,84

