Column1,Block,NR/2024/23918/A/43087,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9042,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/2024/23909/A/43138,WR/2024/24788/A/43210,NR/2024/23420/A/43093,GNA/NR/2024/11/01/1868,NR/2024/23769/A/43089,NR/2024/23809/A/43088,NR/2024/23958/C,NR/2024/23959/C,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/9061,GNA/WR/2024/11/01/4200,Total
3,00:30-00:45,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

4,00:45-01:00,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

5,01:00-01:15,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

6,01:15-01:30,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

7,01:30-01:45,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

8,01:45-02:00,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

9,02:00-02:15,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

10,02:15-02:30,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

11,02:30-02:45,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

12,02:45-03:00,0,63.42,26.03,17.35,0,0,26.03,0,0,0.48,8.68,5.78,4.82,0,0,0,190.26,3.04,8.68,26.03,0,380.6

13,03:00-03:15,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

14,03:15-03:30,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

15,03:30-03:45,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

16,03:45-04:00,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

17,04:00-04:15,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

18,04:15-04:30,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

19,04:30-04:45,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

20,04:45-05:00,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

21,05:00-05:15,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

22,05:15-05:30,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

23,05:30-05:45,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

24,05:45-06:00,0,63.42,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,190.26,2.94,8.68,26.03,0,380.45000000000005

25,06:00-06:15,0,0,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,0,2.94,8.68,26.03,0,126.77000000000001

26,06:15-06:30,0,0,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,0,2.94,8.68,26.03,0,126.77000000000001

27,06:30-06:45,0,0,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,0,2.94,8.68,26.03,0,126.77000000000001

28,06:45-07:00,0,0,26.03,17.35,0,0,26.03,0,0,0.43,8.68,5.78,4.82,0,0,0,0,2.94,8.68,26.03,0,126.77000000000001

29,07:00-07:15,0,0,34.71,17.35,0,0,34.71,0,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,152.96

30,07:15-07:30,0,0,34.71,17.35,0,0,34.71,0,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,152.96

31,07:30-07:45,0,0,34.71,17.35,0,0,34.71,0,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,152.96

32,07:45-08:00,0,0,34.71,17.35,0,0,34.71,0,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,152.96

33,08:00-08:15,0,0,34.71,17.35,0,0,34.71,0,0,0.96,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,153.34

34,08:15-08:30,0,0,34.71,17.35,0,0,34.71,0,0,0.96,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,153.34

35,08:30-08:45,0,0,34.71,17.35,0,0,34.71,0,0,0.96,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,153.34

36,08:45-09:00,0,0,34.71,17.35,0,0,34.71,0,0,0.96,8.68,5.78,4.82,0,0,0,0,2.94,8.68,34.71,0,153.34

37,09:00-09:15,3.86,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,26.61,26.42,0,0,0,8.68,26.03,0,181.16000000000003

38,09:15-09:30,3.86,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.66,22.37,0,0,0,8.68,26.03,0,181.16000000000003

39,09:30-09:45,3.86,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,181.15

40,09:45-10:00,3.86,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,181.15

41,10:00-10:15,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.10999999999999

42,10:15-10:30,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.10999999999999

43,10:30-10:45,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.10999999999999

44,10:45-11:00,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.10999999999999

45,11:00-11:15,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

46,11:15-11:30,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

47,11:30-11:45,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

48,11:45-12:00,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

49,12:00-12:15,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

50,12:15-12:30,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

51,12:30-12:45,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

52,12:45-13:00,6.75,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,184.04

53,13:00-13:15,5.78,0,26.03,17.35,0,0,26.03,0,0,0.77,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.97

54,13:15-13:30,5.78,0,26.03,17.35,0,0,26.03,0,0,0.77,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.97

55,13:30-13:45,5.78,0,26.03,17.35,0,0,26.03,0,0,0.77,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.97

56,13:45-14:00,5.78,0,26.03,17.35,0,0,26.03,0,0,0.77,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.97

57,14:00-14:15,4.82,0,26.03,17.35,0,0,26.03,0,0,0.96,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.20000000000002

58,14:15-14:30,4.82,0,26.03,17.35,0,0,26.03,0,0,0.96,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.20000000000002

59,14:30-14:45,4.82,0,26.03,17.35,0,0,26.03,0,0,0.96,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.20000000000002

60,14:45-15:00,4.82,0,26.03,17.35,0,0,26.03,0,0,0.96,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.20000000000002

61,15:00-15:15,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,30.85,22.17,0,0,0,8.68,26.03,0,182.10999999999999

62,15:15-15:30,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,29.31,23.72,0,0,0,8.68,26.03,0,182.12

63,15:30-15:45,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,24.87,26.99,0,0,0,8.68,26.03,0,180.95000000000002

64,15:45-16:00,4.82,0,26.03,17.35,0,0,26.03,0,0,0.87,8.68,5.78,4.82,20.34,26.51,0,0,0,8.68,26.03,0,175.94

65,16:00-16:15,2.89,0,26.03,17.35,0,0,26.03,0.96,0,0.77,8.68,5.78,4.82,15.91,27.96,0,0,0,8.68,26.03,0,171.89000000000001

66,16:15-16:30,2.89,0,28.92,17.35,0,0,28.92,0.96,0,0.77,8.68,5.78,4.82,11.67,26.03,0,0,0,8.68,28.92,0,174.39000000000004

67,16:30-16:45,2.89,0,31.82,17.35,0,0,31.82,0.96,0,0.77,8.68,5.78,4.82,7.62,19.86,0,0,0,8.68,31.82,0,172.87

68,16:45-17:00,2.89,0,31.82,17.35,0,0,31.82,0.96,0,0.77,8.68,5.78,4.82,3.95,12.53,0,0,0,8.68,31.82,0,161.86999999999998

69,17:00-17:15,0.96,0,36.64,17.35,0,0,36.64,0.96,0,0.58,8.68,5.78,4.82,0,0,0,0,0,8.68,36.64,0,157.73000000000002

70,17:15-17:30,0.96,0,36.64,17.35,0,0,36.64,0.96,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,36.64,0,160.67000000000002

71,17:30-17:45,0.96,0,36.64,17.35,0,0,36.64,1.93,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,36.64,0,161.64

72,17:45-18:00,0.96,0,36.64,17.35,0,0,36.64,1.93,0,0.58,8.68,5.78,4.82,0,0,0,0,2.94,8.68,36.64,0,161.64

73,18:00-18:15,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,2.94,8.68,36.64,50,399.28999999999996

74,18:15-18:30,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,2.94,8.68,36.64,50,399.28999999999996

75,18:30-18:45,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,2.94,8.68,36.64,50,399.28999999999996

76,18:45-19:00,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,2.94,8.68,36.64,50,399.28999999999996

77,19:00-19:15,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,3.04,8.68,36.64,50,399.39

78,19:15-19:30,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,3.04,8.68,36.64,50,399.39

79,19:30-19:45,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,3.04,8.68,36.64,50,399.39

80,19:45-20:00,0,0,36.64,17.35,0,0,36.64,1.93,38.56,0.63,8.68,5.78,4.82,0,0,150,0,3.04,8.68,36.64,50,399.39

81,20:00-20:15,0,0,34.71,17.35,0,0,34.71,1.93,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,443.6

82,20:15-20:30,0,0,34.71,17.35,0,0,34.71,1.93,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,443.6

83,20:30-20:45,0,0,34.71,17.35,0,0,34.71,1.93,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,443.6

84,20:45-21:00,0,0,34.71,17.35,0,0,34.71,1.93,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,443.6

85,21:00-21:15,0,0,34.71,17.35,0,0,34.71,0.96,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,442.63

86,21:15-21:30,0,0,34.71,17.35,0,0,34.71,0.96,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,442.63

87,21:30-21:45,0,0,34.71,17.35,0,0,34.71,0.96,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,442.63

88,21:45-22:00,0,0,34.71,17.35,0,0,34.71,0.96,38.56,0.63,8.68,5.78,4.82,0,0,200,0,3.04,8.68,34.71,50,442.63

89,22:00-22:15,0,63.42,28.92,17.35,0,0,28.92,0.96,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,3.04,8.68,28.92,50,678.9399999999998

90,22:15-22:30,0,63.42,28.92,17.35,0,0,28.92,0.96,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,3.04,8.68,28.92,50,678.9399999999998

91,22:30-22:45,0,63.42,28.92,17.35,0,0,28.92,0,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,3.04,8.68,28.92,50,677.9799999999999

92,22:45-23:00,0,63.42,28.92,17.35,0,0,28.92,0,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,3.04,8.68,28.92,50,677.9799999999999

93,23:00-23:15,0,63.42,26.03,17.35,0,0,26.03,0,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,2.94,8.68,26.03,50,669.2099999999999

94,23:15-23:30,0,63.42,26.03,17.35,0,0,26.03,0,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,2.94,8.68,26.03,50,669.2099999999999

95,23:30-23:45,0,63.42,26.03,17.35,0,0,26.03,0,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,2.94,8.68,26.03,50,669.2099999999999

96,23:45-24:00,0,63.42,26.03,17.35,0,0,26.03,0,38.56,0.63,8.68,5.78,4.82,0,0,200,190.26,2.94,8.68,26.03,50,669.2099999999999

