Time,Block,NR/2023/15635/C,NR/2023/12053/A,NR/2023/14745/A,NR/2023/15309/F,NR/2023/15402/F,NR/2023/15627/C,NR/2023/15057/F,NR/2023/12052/A,NR/2023/12592/A,NR/2023/12347/A,NR/2023/14737/A,NR/2023/12167/A,NR/2023/13862/A,NR/2023/15306/F,NR/2023/14895/A,NR/2023/12591/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/14746/A,NR/2023/15303/F,NR/2023/14898/A,NR/2023/12422/A,NR/2023/15637/C,NR/2023/13635/A,NR/2023/15623/D,ER/2023/9633/C,NR/2023/15640/C,NR/2023/15296/F,NR/2023/15304/F,NR/2023/15624/D,NR/2023/12168/A,NR/2023/15412/F,NR/2023/15619/D,Total
10,02:15-02:30,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.580000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1254.24

11,02:30-02:45,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.580000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1254.24

12,02:45-03:00,0.000000,36.470000,24.160000,4.830000,0.000000,6.050000,0.580000,63.060000,85.030000,98.580000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1254.24

13,03:00-03:15,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

14,03:15-03:30,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

15,03:30-03:45,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

16,03:45-04:00,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

17,04:00-04:15,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

18,04:15-04:30,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

19,04:30-04:45,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

20,04:45-05:00,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.530000,63.060000,85.030000,98.580000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1194.59

21,05:00-05:15,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.530000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1095.01

22,05:15-05:30,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.530000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1095.01

23,05:30-05:45,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.530000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1095.01

24,05:45-06:00,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.530000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,38.660000,46.590000,193.300000,0,1095.01

25,06:00-06:15,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,933.76

26,06:15-06:30,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0.1,933.86

27,06:30-06:45,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0.51,934.27

28,06:45-07:00,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0.89,934.65

29,07:00-07:15,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,1.31,935.07

30,07:15-07:30,0.000000,0.000000,24.160000,4.830000,0.000000,5.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,1.77,935.53

31,07:30-07:45,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,2.32,937.08

32,07:45:08:00,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.680000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,2.51,937.27

33,08:00-08:15,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,2.71,937.76

34,08:15-08:30,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,2.9,937.95

35,08:30-08:45,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,3.8,938.85

36,08:45:09:00,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,4.26,939.31

37,09:00:09:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,4.49,975.31

38,09:15-09:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,4.95,975.77

39,09:30-09:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,5.32,976.14

40,09:45-10:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,0.000000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,5.61,976.43

41,10:00-10:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,5.8,1065.44

42,10:15-10:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,5.99,1065.63

43,10:30-10:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,6.19,1065.83

44,10:45-11:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,6.38,1066.02

45,11:00-11:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,6.57,1066.21

46,11:15-11:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,6.77,1066.41

47,11:30-11:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,6.96,1066.6

48,11:45-12:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,7.25,1066.89

49,12:00-12:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,7.54,1067.18

50,12:15-12:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,7.73,1067.37

51,12:30-12:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,8.22,1067.86

52,12:45-13:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,8.99,1068.63

53,13:00-13:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,9.18,1068.82

54,13:15-13:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,9.28,1068.92

55,13:30-13:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,8.51,1068.15

56,13:45-14:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,90.850000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,16.380000,0.970000,0.580000,0.000000,46.590000,193.300000,7.73,1067.37

57,14:00-14:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,6.77,1107.04

58,14:15-14:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,6.28,1106.55

59,14:30-14:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,5.32,1105.59

60,14:45-15:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.970000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,4.62,1104.89

61,15:00-15:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.920000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,4.06,1098.56

62,15:15-15:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.920000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,4.06,1098.56

63,15:30-15:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.920000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,3.38,1097.88

64,15:45-16:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.920000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,50.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,2.9,1097.4

65,16:00-16:15,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.820000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,2.42,1046.82

66,16:15-16:30,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.820000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,1.85,1046.25

