Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,NR/30092023/31122025/SH-07,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/20/3628,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,NR/2025/28774/A/82387,NR/2025/27356/A/82505,NR/2025/26566/A/82850,NR/2025/26861/A/82799,NR/2025/29711/C,NR/2025/27176/A/82878,NR/2025/29712/C,NR/2025/26889/A/82865,NR/2025/26572/A/82852,NR/2025/27725/A/82873,NR/2025/26571/A/82851,GNARE/NR/2024/12/20/3668,NR/2025/26085/A/82353,NR/2025/27088/A/82892,NR/2025/27728/A/82871,NR/2025/26785/A/82400,NR/2025/27167/A/82840,NR/2025/26860/A/82789,NR/2025/27726/A/82872,NR/2025/27727/A/82870,NR/2025/27187/A/82876,NR/2025/26565/A/82849,NR/2025/27185/A/82877,NR/2025/29451/A/82503,NR/2025/26952/A/82398,NR/2025/27506/A/82397,NR/2025/27168/A/82841,NR/2025/26777/A/82454,NR/2025/26975/A/82879,NR/2025/29710/C,NR/2025/29648/C,NR/2025/29681/C,NR/2025/27242/A/82523,NR/2025/29702/C,NR/2025/28719/A/82450,NR/2025/29703/C,NR/2025/27281/A/82941,NR/2025/29682/C,NR/2025/29162/A/82451,NR/2025/27499/A/82864,NR/2025/29631/C,NR/2025/29674/C,NR/2025/29687/C,NR/2025/29699/C,NR/2025/27500/A/82399,NR/2025/29632/C,NR/2025/29713/C,NR/2025/27100/A/82458,NR/2025/29714/C,NR/2025/27782/A/82869,NR/2025/29568/C,NR/2025/26445/A/82896,NR/2025/27157/A/82460,NR/2025/29646/C,NR/2025/29559/C,NR/2025/29647/C,NR/2025/26562/A/82848,Total
3,00:30-00:45,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

4,00:45-01:00,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

5,01:00-01:15,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

6,01:15-01:30,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

7,01:30-01:45,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

8,01:45-02:00,11.37,20.54,0,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,164.29,0,106.3,0,5.8,0,8.78,144.96,0,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,8.78,0,96.64,217.34,0,0,0,144.96,2454.39

9,02:00-02:15,11.37,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.5,15.32,41.07,20.85,26.5,41.07,19.33,11.91,11.92,0,0,0,0,0,106.3,0,0,0,8.78,144.96,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2414.64

10,02:15-02:30,11.37,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,106.3,0,0,0,8.78,144.96,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2415.5

11,02:30-02:45,16.47,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,106.3,0,0,0,8.78,144.96,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2420.6

12,02:45-03:00,16.47,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,106.3,0,0,0,8.78,144.96,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2420.6

13,03:00-03:15,16.27,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,144.96,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2369.68

14,03:15-03:30,16.27,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,144.96,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2369.68

15,03:30-03:45,16.27,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,144.96,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2369.68

16,03:45-04:00,16.27,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,144.96,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,144.96,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,217.34,0,0,0,144.96,2369.68

17,04:00-04:15,15.91,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,0,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1862.0600000000002

18,04:15-04:30,15.91,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,0,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1862.0600000000002

19,04:30-04:45,15.91,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,0,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1862.0600000000002

20,04:45-05:00,15.91,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.53,164.29,26.35,0,20.54,90.36,26.35,26.35,19.33,0,19.33,96.64,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1862.0600000000002

21,05:00-05:15,15.54,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1745.8200000000002

22,05:15-05:30,15.54,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1745.8200000000002

23,05:30-05:45,15.54,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,0,0,0,0,76.94,0,0,0,8.78,0,0,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1744.8600000000001

24,05:45-06:00,15.54,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,1,0,0,0,76.94,0,0,0,8.78,0,1.21,0.63,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1747.0600000000002

25,06:00-06:15,15.36,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,3,0,0,0,76.94,0,0,0,8.78,0,3.57,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1751.2900000000002

26,06:15-06:30,15.36,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,7,0,0,0,76.94,0,0,0,8.78,0,5.9,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1757.6200000000001

27,06:30-06:45,15.36,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,11,0,0,0,76.94,0,0,0,8.78,0,8.22,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1763.9400000000003

28,06:45-07:00,15.36,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,16,0,0,0,76.94,0,0,0,8.78,0,10.55,0.68,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1770.31

29,07:00-07:15,15.26,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,21,0,0,0,76.94,0,0,0,8.78,0,14.87,0.87,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1779.72

30,07:15-07:30,15.26,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,28,0,0,0,76.94,0,0,0,8.78,0,18.99,0.87,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1790.84

31,07:30-07:45,15.26,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,35,0,0,0,76.94,0,0,0,8.78,0,23.09,0.87,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1801.9399999999998

32,07:45-08:00,15.26,20.54,164.29,20.54,12.92,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,0,42,0,0,0,76.94,0,0,0,8.78,0,27.19,0.87,164.29,26.35,0,20.54,90.36,26.35,26.35,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,8.78,0,96.64,0,0,0,0,144.96,1813.04

33,08:00-08:15,15.17,20.54,164.29,20.54,15.05,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,4.18,56,0,0,0,76.94,0,0,0,14.64,0,32.08,0.97,164.29,37.34,0,20.54,90.36,43.92,43.92,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,9.66,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,14.64,0,96.64,0,0,0,0,144.96,1897.0600000000004

34,08:15-08:30,15.17,20.54,164.29,20.54,15.05,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,4.85,70,0,0,0,76.94,0,0,0,14.64,0,36.97,0.97,164.29,37.34,0,20.54,90.36,43.92,43.92,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,0.97,0,0,0,0,0,7.73,0,0,0,0,14.64,0,96.64,0,0,0,0,144.96,1916.6300000000003

35,08:30-08:45,15.17,20.54,164.29,20.54,15.05,41.07,20.54,53.39,26.93,15.32,41.07,20.85,26.93,41.07,19.33,11.91,11.92,5.5,77,0,0,0,76.94,0,0,0,14.64,0,41.86,0.97,164.29,37.34,0,20.54,90.36,43.92,43.92,0,0,19.33,0,0,1.93,20.54,164.29,5.8,0,0,0,41.07,28.03,10.63,164.53,24.88,0,1.93,0,0,0,0,0,7.73,0,0,0,0,14.64,0,96.64,0,0,0,0,144.96,1930.1300000000006

