Column1,Block,NR/2025/26335/A/70035,NR/2025/26236/A/69881,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,NR/2025/26289/A/70377,NR/2025/26588/C,NR/2025/26336/A/70034,NR/2025/26589/C,NR/2025/26085/A/69868,NR/2025/26265/A/70378,NR/2025/26590/C,NR/2025/26232/A/70380,NR/2025/26591/C,NR/2025/26629/C,NR/2025/26200/A/70534,NR/2025/26592/C,NR/2025/26631/C,NR/2025/26593/C,NR/2025/25858/A/70338,NR/2025/26291/A/70376,NR/2025/26620/C,NR/2025/26202/A/70417,NR/2025/26312/A/69880,NR/2025/25855/A/70337,NR/2025/26191/A/69926,NR/2025/26101/A/70052,NR/2025/26625/C,NR/2025/26286/A/70032,NR/2025/26197/A/70538,NR/2025/26233/A/70379,NR/2025/26199/A/70535,NR/2025/26153/A/69882,NR/2025/26002/A/70342,NR/2025/26198/A/70536,NR/2025/26201/A/70532,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.3799999999994

4,00:45-01:00,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.3799999999994

5,01:00-01:15,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.2899999999995

6,01:15-01:30,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.2899999999995

7,01:30-01:45,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.2899999999995

8,01:45-02:00,0,0,26.93,9.79,26.93,67.57,10.62,0,123.08,0,13.51,28.96,5.79,14.48,14.48,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1631.2899999999995

9,02:00-02:15,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.63,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.3499999999995

10,02:15-02:30,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.63,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.3499999999995

11,02:30-02:45,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.63,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.3499999999995

12,02:45-03:00,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.63,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.3499999999995

13,03:00-03:15,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.1999999999996

14,03:15-03:30,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.1999999999996

15,03:30-03:45,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.1999999999996

16,03:45-04:00,0,0,26.93,9.7,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,144.8,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1514.1999999999996

17,04:00-04:15,0,0,26.93,9.6,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1369.2999999999995

18,04:15-04:30,0,0,26.93,9.6,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1369.2999999999995

19,04:30-04:45,0,0,26.93,9.6,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1369.2999999999995

20,04:45-05:00,0,0,26.93,9.6,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0,1369.2999999999995

21,05:00-05:15,0,0,26.93,9.52,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0.01,1369.2299999999996

22,05:15-05:30,0,0,26.93,9.52,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0.04,1369.2599999999995

23,05:30-05:45,0,0,26.93,9.52,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0.25,1369.4699999999996

24,05:45-06:00,0,0,26.93,9.52,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.48,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,0.31,1369.5299999999995

25,06:00-06:15,0,0,26.93,9.42,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.58,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,1.56,1369.8099999999995

26,06:15-06:30,0,0,26.93,9.42,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.58,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,3.18,1371.4299999999996

27,06:30-06:45,1,0,26.93,9.42,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.58,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,5.38,1374.6299999999997

28,06:45-07:00,4,0,26.93,9.42,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.58,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,8.17,1380.4199999999996

29,07:00-07:15,14,0,26.93,9.33,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,12.2,1394.4599999999996

30,07:15-07:30,28,0,26.93,9.33,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,16.57,1412.8299999999995

31,07:30-07:45,42,0,26.93,9.33,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,22.74,1432.9999999999995

32,07:45-08:00,56,0,26.93,9.33,26.93,0,10.62,96.53,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.68,0,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,28.99,1453.2499999999995

33,08:00-08:15,84,7.72,26.93,9.24,26.93,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.97,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,35.8,1495.9799999999996

34,08:15-08:30,98,7.72,26.93,9.24,26.93,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.97,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,42.88,1517.0599999999997

35,08:30-08:45,112,7.72,26.93,9.24,26.93,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.97,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,49.94,1538.1199999999997

36,08:45-09:00,126,7.72,26.93,9.24,26.93,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.97,96.53,0,4.83,0,51.13,14.62,0,28.96,0,0,24.13,0,96.53,0,0,48.26,0,0,3.86,14.62,4.83,43.87,62.74,0,43.87,37.3,56.91,1559.0899999999997

37,09:00-09:15,140,10.62,26.94,9.14,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,59.85,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,63.54,1696.4499999999994

38,09:15-09:30,151,10.62,26.94,9.14,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,59.85,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,69.79,1713.6999999999994

39,09:30-09:45,165,10.62,26.94,9.14,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,88.81,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,75.52,1762.3899999999994

40,09:45-10:00,179,10.62,26.94,9.14,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,88.81,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,80.85,1781.7199999999991

41,10:00-10:15,189,12.55,26.94,9.05,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,85.47,1817.4799999999993

42,10:15-10:30,196,12.55,26.94,9.05,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,89.6,1828.6099999999992

43,10:30-10:45,203,12.55,26.94,9.05,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,93.19,1839.1999999999994

44,10:45-11:00,203,12.55,26.94,9.05,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,96.66,1791.5399999999993

45,11:00-11:15,203,13.51,26.94,8.96,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,99.68,1795.4299999999992

46,11:15-11:30,203,13.51,26.94,8.96,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1795.749999999999

47,11:30-11:45,203,13.51,26.94,8.96,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1795.749999999999

48,11:45-12:00,203,13.51,26.94,8.96,26.94,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1795.749999999999

49,12:00-12:15,203,13.51,26.95,8.96,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1795.769999999999

50,12:15-12:30,203,13.51,26.95,8.96,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1795.769999999999

51,12:30-12:45,196,13.51,26.95,8.96,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1788.769999999999

52,12:45-13:00,196,13.51,26.95,8.96,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,4.83,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1788.769999999999

53,13:00-13:15,196,13.51,26.95,8.87,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,0,14.62,0,28.96,53.09,0,0,108.11,96.53,0,0,48.26,0,0,5.79,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1789.6399999999992

54,13:15-13:30,196,13.51,26.95,8.87,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,88.81,96.53,0,0,48.26,0,0,5.79,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1821.4699999999993

55,13:30-13:45,196,13.51,26.95,8.87,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,88.81,96.53,0,0,48.26,0,0,5.79,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1821.4699999999993

