Time,Block,NR/2024/18388/A/3884,NR/2024/18436/A/3893,NR/2024/18445/A/4057,NER/2024/1922/A/4028,NER/2024/1934/A/4027,WR/2024/21351/A/4031,WR/2024/21355/A/4058,NR/2024/18547/C,Total
24,05:45-06:00,0.380000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.08

25,06:00-06:15,0.430000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0,211.61

26,06:15-06:30,0.430000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0,211.61

27,06:30-06:45,0.430000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0,211.61

28,06:45-07:00,0.430000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0,211.61

29,07:00-07:15,0.480000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0,211.66

30,07:15-07:30,0.480000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0.17,211.83

31,07:30-07:45,0.480000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0.43,212.09

32,07:45:08:00,0.480000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0.8,212.46

33,08:00-08:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,1.23,213.28

34,08:15-08:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,1.72,213.77

35,08:30-08:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,2.27,214.32

36,08:45:09:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,2.84,214.89

37,09:00:09:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,3.37,215.42

38,09:15-09:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,3.88,215.93

39,09:30-09:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,4.45,216.5

40,09:45-10:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,4.98,217.03

41,10:00-10:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,5.47,217.52

42,10:15-10:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,5.91,217.96

43,10:30-10:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.3,218.35

44,10:45-11:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.63,218.68

45,11:00-11:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.91,218.96

46,11:15-11:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.09,219.14

47,11:30-11:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.41,219.46

48,11:45-12:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.56,219.61

49,12:00-12:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.74,219.79

50,12:15-12:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.73,219.78

51,12:30-12:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.73,219.78

52,12:45-13:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.68,219.73

53,13:00-13:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.55,219.6

54,13:15-13:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.46,219.51

55,13:30-13:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,7.16,219.21

56,13:45-14:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.95,219

57,14:00-14:15,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.69,218.74

58,14:15-14:30,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.64,218.69

59,14:30-14:45,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.21,218.26

60,14:45-15:00,0.870000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,6.01,218.06

61,15:00-15:15,0.670000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,5.68,217.53

62,15:15-15:30,0.670000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,5.14,216.99

63,15:30-15:45,0.670000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,4.77,216.62

64,15:45-16:00,0.670000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,4.23,216.08

65,16:00-16:15,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,3.74,215.45

66,16:15-16:30,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,3.13,214.84

67,16:30-16:45,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,2.52,214.23

68,16:45-17:00,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,1.92,213.63

69,17:00-17:15,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,1.39,213.1

70,17:15-17:30,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0.98,212.69

71,17:30-17:45,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0.61,212.32

72,17:45-18:00,0.530000,7.700000,158.480000,25.000000,20.000000,0.000000,0.000000,0.33,212.04

73,18:00-18:15,0.530000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0.13,291.84

74,18:15-18:30,0.530000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.71

75,18:30-18:45,0.530000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.71

76,18:45-19:00,0.530000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.71

77,19:00-19:15,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

78,19:15-19:30,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

79,19:30-19:45,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

80,19:45-20:00,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

81,20:00-20:15,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

82,20:15-20:30,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

83,20:30-20:45,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

84,20:45-21:00,0.630000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.81

85,21:00-21:15,0.580000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.76

86,21:15-21:30,0.580000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.76

87,21:30-21:45,0.580000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.76

88,21:45-22:00,0.580000,7.700000,158.480000,25.000000,20.000000,55.000000,25.000000,0,291.76

89,22:00-22:15,0.530000,7.700000,0.000000,25.000000,20.000000,55.000000,0.000000,0,108.23

90,22:15-22:30,0.530000,7.700000,0.000000,25.000000,20.000000,55.000000,0.000000,0,108.23

91,22:30-22:45,0.530000,7.700000,0.000000,25.000000,20.000000,55.000000,0.000000,0,108.23

92,22:45-23:00,0.530000,7.700000,0.000000,25.000000,20.000000,55.000000,0.000000,0,108.23

93,23:00-23:15,0.480000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.18

94,23:15-23:30,0.480000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.18

95,23:30-23:45,0.480000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.18

96,23:45-24:00,0.480000,7.700000,0.000000,25.000000,20.000000,0.000000,0.000000,0,53.18

