Column1,Block,NR/2024/24604/C,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NER/2024/2820/A/47498,NR/2024/24434/A/47457,NR/2024/24606/C,NR/2024/24605/C,NR/2024/24418/A/47437,NR/2024/24507/A/47517,NR/2024/24508/A/47516,WR/2024/25501/A/47490,NR/2024/24585/C,NR/2024/24586/C,NR/2024/24435/A/47325,NR/2024/24566/A/47478,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3925,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3514,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,Total
3,00:30-00:45,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

4,00:45-01:00,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

5,01:00-01:15,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

6,01:15-01:30,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

7,01:30-01:45,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

8,01:45-02:00,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

9,02:00-02:15,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

10,02:15-02:30,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

11,02:30-02:45,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

12,02:45-03:00,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,24.98,48.04,24.98,24.98,324.06

13,03:00-03:15,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

14,03:15-03:30,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

15,03:30-03:45,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

16,03:45-04:00,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

17,04:00-04:15,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

18,04:15-04:30,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

19,04:30-04:45,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

20,04:45-05:00,0,0,0,0,0,0,0,0.38,17.29,8.73,0,0,0,9.61,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,318.21000000000004

21,05:00-05:15,0,0,0,38.43,0,0,0,0.43,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,363.50000000000006

22,05:15-05:30,0,0,0,38.43,0,0,0,0.43,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,363.50000000000006

23,05:30-05:45,0,0,0,38.43,0,0,0,0.43,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,363.50000000000006

24,05:45-06:00,0,0,0,38.43,0,0,0,0.43,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,363.50000000000006

25,06:00-06:15,0,0,0,38.43,0,0,0,0.38,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,363.45000000000005

26,06:15-06:30,0,0,0,38.43,0,0,0,0.38,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,24.98,48.04,24.98,24.98,363.45000000000005

27,06:30-06:45,0,0,0,38.43,0,0,0,0.38,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,36.51,48.04,24.98,24.98,374.9800000000001

28,06:45-07:00,0,0,0,38.43,0,0,0,0.38,17.29,8.73,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,36.51,48.04,24.98,24.98,374.9800000000001

29,07:00-07:15,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,36.51,48.04,24.98,24.98,442.5800000000001

30,07:15-07:30,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,36.51,48.04,24.98,24.98,442.5800000000001

31,07:30-07:45,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,472.37000000000006

32,07:45-08:00,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,472.37000000000006

33,08:00-08:15,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,472.46

34,08:15-08:30,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,472.46

35,08:30-08:45,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,478.22

36,08:45-09:00,0,0,0,38.43,0,0,0,0.86,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,478.22

37,09:00-09:15,0,0,0,0,3.84,0,0,0.86,0,0,0,14.41,28.82,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,393.54

38,09:15-09:30,0,0,0,0,3.84,0,0,0.86,0,0,0,14.41,28.82,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,393.54

39,09:30-09:45,0,0,0,0,3.84,0,0,0.86,0,0,0,14.41,28.82,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,393.54

40,09:45-10:00,0,0,0,0,3.84,0,0,0.86,0,0,0,14.41,28.82,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,393.54

41,10:00-10:15,18.45,0,0,0,4.8,0,0,0.86,28.82,7.87,0,6.54,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,413.04

42,10:15-10:30,19.89,0,0,0,4.8,0,0,0.86,28.82,7.87,0,6.54,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,414.48

43,10:30-10:45,21.43,0,0,0,4.8,13.93,4.8,0.86,28.82,7.87,0,6.54,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,434.75

44,10:45-11:00,23.06,0,0,0,4.8,11.05,4.8,0.86,28.82,7.87,0,6.54,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,433.5

45,11:00-11:15,16.24,0,0,0,6.73,21.81,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,433.52

46,11:15-11:30,18.83,0,0,0,6.73,17.39,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,431.69

47,11:30-11:45,22.67,0,0,0,6.73,12.49,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,430.63

48,11:45-12:00,27,0,0,0,6.73,7.69,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,430.16

49,12:00-12:15,22.29,0,0,0,6.73,4.13,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,421.89

50,12:15-12:30,23.16,0,0,0,6.73,2.21,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,420.84000000000003

51,12:30-12:45,24.02,0,0,0,6.73,1.73,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,421.22

52,12:45-13:00,24.79,0,0,0,6.73,1.92,4.8,0.86,28.82,14.41,0,0,0,16.33,5.76,1.65,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,36.51,36.51,422.18

53,13:00-13:15,31.8,0,0,0,5.76,2.4,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,416.21000000000004

54,13:15-13:30,30.84,0,0,0,5.76,3.46,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,416.31000000000006

55,13:30-13:45,29.69,0,0,0,5.76,4.71,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,416.4100000000001

56,13:45-14:00,28.63,0,0,0,5.76,6.34,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,416.98

57,14:00-14:15,27.19,0,0,0,4.8,8.36,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,416.6

58,14:15-14:30,25.94,0,0,0,4.8,10.57,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,417.56000000000006

59,14:30-14:45,24.4,0,0,0,4.8,13.16,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,418.61

60,14:45-15:00,22.39,0,0,0,4.8,16.14,4.8,0.77,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,419.58000000000004

61,15:00-15:15,19.79,0,0,0,4.8,19.5,4.8,0.67,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,420.24

62,15:15-15:30,17.39,0,0,0,4.8,23.35,4.8,0.67,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,421.69000000000005

63,15:30-15:45,13.64,0,0,0,4.8,25.94,4.8,0.67,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,420.53

64,15:45-16:00,10.18,0,0,0,4.8,20.18,4.8,0.67,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,411.31000000000006

65,16:00-16:15,16.81,0,0,0,2.88,18.26,4.8,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,413.90999999999997

66,16:15-16:30,14.99,0,0,0,2.88,13.45,4.8,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,34.59,48.04,34.59,34.59,407.2800000000001

67,16:30-16:45,13.36,0,0,0,2.88,8.65,4.8,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,419.1

68,16:45-17:00,0,0,0,0,2.88,0,0,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,392.29

69,17:00-17:15,0,0,0,0,0.96,0,0,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,390.37

70,17:15-17:30,0,0,0,0,0.96,0,0,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,390.37

71,17:30-17:45,0,0,0,0,0.96,0,0,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,390.37

72,17:45-18:00,0,0,0,0,0.96,0,0,0.48,28.82,14.41,0,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,390.37

73,18:00-18:15,0,50,30,38.43,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.2700000000001

74,18:15-18:30,0,50,30,38.43,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.2700000000001

75,18:30-18:45,0,50,30,38.43,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.2700000000001

76,18:45-19:00,0,50,30,38.43,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.2700000000001

77,19:00-19:15,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.37

78,19:15-19:30,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.37

79,19:30-19:45,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.37

80,19:45-20:00,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,14.41,43.24,48.04,36.51,36.51,596.37

81,20:00-20:15,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,575.23

82,20:15-20:30,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,575.23

83,20:30-20:45,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,575.23

84,20:45-21:00,0,50,30,38.43,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,575.23

85,21:00-21:15,0,50,30,0,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,536.8000000000001

86,21:15-21:30,0,50,30,0,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,536.8000000000001

87,21:30-21:45,0,50,30,0,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,536.8000000000001

88,21:45-22:00,0,50,30,0,0,0,0,0.58,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,50,20.18,26.9,28.82,19.22,0,8.65,43.24,48.04,28.82,28.82,536.8000000000001

89,22:00-22:15,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,28.82,48.04,25.94,25.94,466.52

90,22:15-22:30,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

91,22:30-22:45,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

92,22:45-23:00,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

93,23:00-23:15,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

94,23:15-23:30,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

95,23:30-23:45,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

96,23:45-24:00,0,50,30,0,0,0,0,0.48,28.82,14.41,38.43,0,0,16.33,5.76,1.74,48.04,0,0,20.18,26.9,28.82,19.22,0,8.65,26.2,48.04,24.02,24.02,460.05999999999995

