Column1,Block,NR/2025/27356/A/82215,NR/2025/26571/A/82547,NR/2025/27782/A/82591,GNA/NR/2025/06/16/8791,NR/2025/27167/A/82203,NR/2025/26565/A/82544,NR/2025/26562/A/82543,NR/2025/27725/A/82621,NR/2025/26952/A/82148,GNA/NR/2025/06/01/7786,NR/2025/26889/A/82570,NR/2025/27100/A/82195,GNA/NR/2025/06/01/7663,NR/2025/27168/A/82204,NR/2025/26566/A/82546,NR/2025/26085/A/82106,NR/2025/26975/A/82632,NR/2025/27088/A/82682,NR/2025/27281/A/82660,NR/2025/26445/A/82691,NR/2025/27157/A/82186,NR/2025/27185/A/82630,NR/2025/26777/A/82183,NR/2025/27176/A/82631,NR/2025/26860/A/82487,NR/2025/27500/A/82069,NR/2025/27727/A/82598,NR/2025/26785/A/82070,NR/2025/27242/A/82273,GNA/NR/2025/06/01/2569,NR/2025/27499/A/82569,NR/2025/28719/A/82173,NR/2025/29162/A/82174,NR/2025/26861/A/82551,NR/2025/27506/A/82068,NR/2025/27187/A/82629,NR/2025/26572/A/82548,GNA/NR/2025/06/01/4973,NR/2025/29567/C,NR/2025/29557/C,NR/2025/29594/C,NR/2025/29558/C,NR/2025/29596/C,NR/2025/29562/C,NR/2025/29597/C,NR/2025/27726/A/82618,NR/2025/29542/C,NR/2025/29595/C,NR/2025/28774/A/82064,NR/2025/29603/C,NR/2025/29486/C,GNARE/NR/2024/12/20/3668,NR/2025/29600/C,NR/2025/29484/C,NR/2025/29597/C/Alternate/1,NR/2025/29509/C,NR/2025/29593/C,NR/2025/29598/C,NR/2025/29556/C,NR/2025/29599/C,NR/2025/27728/A/82614,NR/2025/29566/C,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,Total
3,00:30-00:45,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,67.92,24.18,0,0,0,0,0,0,0,0,96.78,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

4,00:45-01:00,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,67.92,24.18,0,0,0,0,0,0,0,0,96.78,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

5,01:00-01:15,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,19.55,24.18,0,0,0,0,0,0,0,0,145.15,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

6,01:15-01:30,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,19.55,24.18,0,0,0,0,0,0,0,0,145.15,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

7,01:30-01:45,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,14.71,24.18,0,0,0,0,0,0,0,0,149.99,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

8,01:45-02:00,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,0,0.68,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,1.93,135.44,1.93,19.35,0,33.86,0,0,0,0,0,0,14.71,24.18,0,0,0,0,0,0,0,0,149.99,0,0,28.05,0,0,24.18,0,26.93,26.93,14.16,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0,2152.2

9,02:00-02:15,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,121.13,24.18,0,0,0,0,0,0,0,0,43.57,0,0,28.05,0,0,24.18,0,26.93,26.93,16.29,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2114.54

10,02:15-02:30,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,121.13,24.18,0,0,0,0,0,0,0,0,43.57,0,0,28.05,0,0,24.18,0,26.93,26.93,16.29,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2114.54

11,02:30-02:45,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,118.71,24.18,0,0,0,0,0,0,0,0,45.99,0,0,28.05,0,0,24.18,0,26.93,26.93,16.29,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2114.5400000000004

12,02:45-03:00,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,27.09,135.44,24.91,48.37,217.57,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,116.29,24.18,0,0,0,0,0,0,0,0,48.41,0,0,28.05,0,0,24.18,0,26.93,26.93,16.29,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2114.5400000000004

13,03:00-03:15,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,217.57,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.93,26.93,15.92,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2063.3900000000003

14,03:15-03:30,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,217.57,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.93,26.93,15.92,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2063.3900000000003

15,03:30-03:45,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,217.57,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.92,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2052.13

16,03:45-04:00,0,145.11,8.06,15.33,16.93,145.11,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,217.57,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.92,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2052.13

17,04:00-04:15,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.56,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1543.98

18,04:15-04:30,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.56,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1543.98

19,04:30-04:45,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.56,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1543.98

20,04:45-05:00,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.53,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,19.35,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.56,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1543.98

21,05:00-05:15,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0.04,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.37,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1524.5800000000002

22,05:15-05:30,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,10.64,1.93,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0.15,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.37,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1524.6900000000003

23,05:30-05:45,0,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,2.9,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0.34,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.37,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1523.92

24,05:45-06:00,1,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.63,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,2.9,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,0.6,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.37,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1525.18

25,06:00-06:15,3,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.68,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,2.9,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,1.88,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.19,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1528.3300000000004

26,06:15-06:30,7,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.68,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,2.9,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,3.16,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.19,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1533.6100000000004

27,06:30-06:45,11,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.68,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,2.9,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,7.48,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.19,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1541.9300000000003

28,06:45-07:00,16,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.68,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,10.52,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.19,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1549.0000000000002

29,07:00-07:15,21,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.87,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,14.98,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1558.5500000000002

30,07:15-07:30,28,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.87,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,19.75,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1570.3200000000002

31,07:30-07:45,35,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.87,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,0.97,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,24.79,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1581.4000000000003

32,07:45-08:00,42,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.87,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,0.97,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.55,0,0,0,0,0,30.24,0,0,0,0,0,28.05,0,0,18.55,0,26.93,26.93,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1593.8500000000004

33,08:00-08:15,60,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.97,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,0.97,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.56,0,0,4.19,0,0,36.26,0,0,0,0,0,28.05,0,0,18.56,0,26.93,26.93,14.99,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1622.0800000000004

34,08:15-08:30,74,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.97,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,0.97,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.56,0,0,4.86,0,0,42.53,0,0,0,0,0,28.05,0,0,18.56,0,26.93,26.93,14.99,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1643.0200000000002

35,08:30-08:45,84,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.97,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,0.97,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.56,0,0,5.5,0,0,48.89,0,0,0,0,0,28.05,0,0,18.56,0,26.93,26.93,14.99,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1660.0200000000004

