Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/2024/23731/C,NR/2024/23639/A/41519,NR/2024/23640/A/41518,NR/2024/23382/A/41632,NR/2024/23727/C,NR/2024/23694/A/41513,NR/2024/23383/A/41489,NR/2024/23384/A/41483,Total
39,09:30-09:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.72,42.41,10.6,24.83,0,2.89,0.87,6.75,288.65

40,09:45-10:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.88,42.41,10.6,24.83,0,2.89,0.87,6.75,288.80999999999995

41,10:00-10:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.19,42.41,10.6,24.83,0,2.89,0.87,6.75,288.11999999999995

42,10:15-10:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,6.79,42.41,10.6,24.83,0,2.89,0.87,6.75,289.71999999999997

43,10:30-10:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,6.23,42.41,10.6,24.83,115.66,2.89,0.87,6.75,404.81999999999994

44,10:45-11:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,4.87,42.41,10.6,24.83,115.66,2.89,0.87,6.75,403.4599999999999

45,11:00-11:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,7.75,42.41,10.6,24.83,115.66,2.89,0.87,6.75,406.3399999999999

46,11:15-11:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.18,42.41,10.6,24.83,115.66,2.89,0.87,6.75,403.77

47,11:30-11:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,5.37,42.41,10.6,24.83,115.66,2.89,0.87,6.75,403.9599999999999

48,11:45-12:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,6.33,42.41,10.6,24.83,115.66,2.89,0.87,6.75,404.91999999999996

49,12:00-12:15,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,6.34,42.41,10.6,24.83,115.66,2.89,0.87,6.75,404.92999999999995

50,12:15-12:30,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,8.49,42.41,10.6,24.83,115.66,2.89,0.87,6.75,407.0799999999999

51,12:30-12:45,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,7.1,42.41,10.6,24.83,115.66,2.89,0.87,6.75,405.68999999999994

52,12:45-13:00,0,12.41,37.23,4.33,37.23,26.87,26.87,0,0,37.23,12.41,4.32,42.41,10.6,24.83,115.66,2.89,0.87,6.75,402.90999999999997

53,13:00-13:15,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,5.49,42.41,10.6,24.83,96.38,2.89,0.77,6.75,384.59999999999997

54,13:15-13:30,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,6.88,42.41,10.6,24.83,96.38,2.89,0.77,6.75,385.98999999999995

55,13:30-13:45,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,5.98,42.41,10.6,24.83,96.38,2.89,0.77,6.75,385.0899999999999

56,13:45-14:00,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,5.97,42.41,10.6,24.83,96.38,2.89,0.77,6.75,385.0799999999999

57,14:00-14:15,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,6.08,42.41,10.6,24.83,96.38,2.89,0.92,6.75,385.34

58,14:15-14:30,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,7.1,42.41,10.6,24.83,96.38,2.89,0.92,6.75,386.35999999999996

59,14:30-14:45,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,7.37,42.41,10.6,24.83,48.19,2.89,0.92,6.75,338.44

60,14:45-15:00,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,6.15,42.41,10.6,24.83,48.19,2.89,0.92,6.75,337.21999999999997

61,15:00-15:15,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,5.93,42.41,10.6,24.83,48.19,2.89,0.92,6.75,337

62,15:15-15:30,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,5.27,42.41,10.6,24.83,48.19,2.89,0.92,6.75,336.34

63,15:30-15:45,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,3.74,42.41,10.6,24.83,48.19,2.89,0.92,6.75,334.81

64,15:45-16:00,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,1.41,41.06,10.6,24.83,48.19,2.89,0.92,6.75,331.13

65,16:00-16:15,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,0.74,42.41,10.6,24.83,48.19,2.89,0.77,6.75,331.65999999999997

66,16:15-16:30,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,0.53,33.73,10.6,24.83,146.5,2.89,0.77,6.75,421.0799999999999

67,16:30-16:45,0,12.41,37.23,4.23,37.23,26.87,26.87,0,0,37.23,12.41,0.65,21.2,10.6,24.83,146.5,2.89,0.77,6.75,408.66999999999996

68,16:45-17:00,0,12.41,37.23,4.23,37.23,24.8,24.8,0,0,37.23,12.41,0.82,12.53,10.6,24.83,146.5,2.89,0.77,6.75,396.0299999999999

69,17:00-17:15,0,12.41,37.23,4.33,37.23,0,0,0,0,43.8,12.41,0.77,0,0,29.2,146.5,2.89,0.72,6.75,334.24

70,17:15-17:30,0,12.41,37.23,4.33,37.23,0,0,0,0,43.8,12.41,0.52,0,0,29.2,146.5,2.89,0.72,6.75,333.99

71,17:30-17:45,0,12.41,37.23,4.33,37.23,0,0,0,0,43.8,12.41,0.3,0,0,29.2,146.5,2.89,0.72,6.75,333.77

72,17:45-18:00,0,12.41,37.23,4.33,37.23,0,0,0,0,43.8,12.41,0.09,0,0,29.2,146.5,2.89,0.72,6.75,333.56

73,18:00-18:15,125,12.41,37.23,4.41,37.23,2.56,32,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.72,6.75,493.11

74,18:15-18:30,125,12.41,37.23,4.41,37.23,2.56,32,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.72,6.75,493.11

75,18:30-18:45,125,12.41,37.23,4.41,37.23,32,32,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.72,6.75,522.5500000000001

76,18:45-19:00,125,12.41,37.23,4.41,37.23,32,32,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.72,6.75,522.5500000000001

77,19:00-19:15,125,12.41,37.23,4.41,37.23,32,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,490.5

78,19:15-19:30,125,12.41,37.23,4.41,37.23,32,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,490.5

79,19:30-19:45,125,12.41,37.23,4.41,37.23,0,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,458.5

80,19:45-20:00,125,12.41,37.23,4.41,37.23,0,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,458.5

81,20:00-20:15,200,12.41,37.23,4.41,37.23,0,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,533.5

82,20:15-20:30,200,12.41,37.23,4.41,37.23,0,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,533.5

83,20:30-20:45,200,12.41,37.23,4.41,37.23,0,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,533.5

84,20:45-21:00,200,12.41,37.23,4.41,37.23,0,0,0,0,43.8,12.41,0,0,0,29.2,146.5,2.89,0.67,6.75,533.5

85,21:00-21:15,200,12.41,37.23,4.41,37.23,0,0,0,0,37.23,12.41,0,0,0,24.83,48.19,2.89,0.72,6.75,424.3

86,21:15-21:30,200,12.41,37.23,4.41,37.23,0,0,0,0,37.23,12.41,0,0,0,24.83,48.19,2.89,0.72,6.75,424.3

87,21:30-21:45,200,12.41,37.23,4.41,37.23,0,0,0,0,37.23,12.41,0,0,0,24.83,48.19,2.89,0.72,6.75,424.3

88,21:45-22:00,200,12.41,37.23,4.41,37.23,0,0,0,0,37.23,12.41,0,0,0,24.83,48.19,2.89,0.72,6.75,424.3

89,22:00-22:15,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.67,6.75,614.5

90,22:15-22:30,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.67,6.75,614.5

91,22:30-22:45,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.67,6.75,614.5

92,22:45-23:00,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.67,6.75,614.5

93,23:00-23:15,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.58,6.75,614.4100000000001

94,23:15-23:30,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.58,6.75,614.4100000000001

95,23:30-23:45,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.58,6.75,614.4100000000001

96,23:45-24:00,200,12.41,37.23,4.41,37.23,0,0,47.56,142.69,37.23,12.41,0,0,0,24.83,48.19,2.89,0.58,6.75,614.4100000000001

