Column1,Block,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/2024/22042/A/31047,NR/2024/21940/A/31343,NR/2024/22423/C,NR/2024/22052/A/31088,NR/2024/22279/A/31052,NR/2024/21943/A/31339,NR/2024/22419/C,NR/2024/22424/C,NR/2024/21956/A/31347,NR/2024/21918/A/31307,NR/2024/22425/C,NR/2024/21814/A/31355,NR/2024/21954/A/31342,NR/2024/22440/C,NR/2024/22435/C,NR/2024/21974/A/31354,NR/2024/21968/A/31351,NR/2024/21938/A/31327,NR/2024/21860/A/31452,NR/2024/21970/A/31352,NR/2024/21909/A/31294,NR/2024/22080/A/31086,NR/2024/21983/A/31074,NR/2024/21971/A/31353,NR/2024/21966/A/31085,NR/2024/22010/A/31302,NR/2024/22014/A/31048,NR/2024/21961/A/31323,NR/2024/21658/A/31035,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,GNA/NR/2024/08/09/3684,GNA/NR/2024/08/09/6800,NR/30092023/26122029/SH-06,NR/2024/22426/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22058/A/31087,Total
4,00:45-01:00,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.63,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,33.7,32,0,0,0,0,1606.4200000000005

5,01:00-01:15,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,0,24.0835,0,0,0,0,1556.8370000000002

6,01:15-01:30,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,0,24.0835,0,0,0,0,1556.8370000000002

7,01:30-01:45,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,0,24.0835,0,0,0,0,1556.8370000000002

8,01:45-02:00,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,15.44,12.4,38.52,48.14,192.58,48.14,0,0,24.0835,0,0,0,0,1556.8370000000002

9,02:00-02:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,38.52,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1565.7042000000001

10,02:15-02:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,38.52,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1565.7042000000001

11,02:30-02:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,38.52,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1565.7042000000001

12,02:45-03:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,38.52,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1565.7042000000001

13,03:00-03:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1526.2242

14,03:15-03:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1526.2242

15,03:30-03:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1526.2242

16,03:45-04:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,113.75,0.58,12.06,18.66,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1526.2242

17,04:00-04:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1525.7142000000001

18,04:15-04:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1525.7142000000001

19,04:30-04:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1524.7442000000003

20,04:45-05:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1524.7442000000003

21,05:00-05:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1481.4142000000002

22,05:15-05:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1481.4142000000002

23,05:30-05:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1481.4142000000002

24,05:45-06:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,37.92,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,113.75,0.53,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1481.4142000000002

25,06:00-06:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,0,0.63,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1329.8442000000002

26,06:15-06:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,7.7,0,37.2,0,11.69,1.93,0,0.63,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1329.8442000000002

27,06:30-06:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.63,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1330.8142

28,06:45-07:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.63,12.06,18.2,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1330.8142

29,07:00-07:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.72,12.05,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1330.4342000000001

30,07:15-07:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.72,12.85,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1331.2342

31,07:30-07:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.72,13.26,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1331.6442000000002

32,07:45-08:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.72,12.32,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1330.7042000000001

33,08:00-08:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.96,12.48,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1331.1042000000002

34,08:15-08:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.96,11.63,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1330.2542

35,08:30-08:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.96,6.88,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1325.5042

36,08:45-09:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,8.67,0,37.2,0,11.69,1.93,0,0.96,7.66,17.74,12.4,0,48.14,192.58,48.14,0,0,26.9071,0,0,0,0,1326.2842

37,09:00-09:15,0,26.9071,3.85,83.95,12.04,30.33,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,9.63,48.14,37.2,48.14,11.69,1.93,0,0.96,8.43,17.74,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1380.9742000000006

38,09:15-09:30,0,26.9071,3.85,83.95,6.26,36.11,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,9.63,48.14,37.2,48.14,11.69,1.93,0,0.96,9.09,17.74,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1381.6342000000004

39,09:30-09:45,0,26.9071,3.85,83.95,4.81,37.55,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,11.55,48.14,37.2,48.14,11.69,1.93,0,0.96,8.64,17.74,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1383.0942000000005

40,09:45-10:00,0,26.9071,3.85,83.95,2.89,39.48,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,11.55,48.14,37.2,48.14,11.69,1.93,0,0.96,9.29,17.74,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1383.7542000000003

41,10:00-10:15,0,26.9071,3.85,83.95,1.93,40.44,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,11.55,48.14,37.2,48.14,11.69,1.93,0,0.96,9.16,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1381.3242000000005

42,10:15-10:30,0,26.9071,3.85,83.95,0.96,41.4,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,11.55,48.14,37.2,48.14,11.69,1.93,0,0.96,8.63,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1380.7842000000005

43,10:30-10:45,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,8.1,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1381.2342000000003

44,10:45-11:00,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,7.56,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1380.6942000000004

45,11:00-11:15,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,7.03,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1380.1642000000004

46,11:15-11:30,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,6.5,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1379.6342000000004

47,11:30-11:45,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,5.93,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1379.0642000000005

48,11:45-12:00,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,5.82,15.44,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1378.9542000000004

49,12:00-12:15,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,6.06,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1376.4342000000004

50,12:15-12:30,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,6.06,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1376.4342000000004

51,12:30-12:45,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.5,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8742000000004

52,12:45-13:00,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.5,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8742000000004

53,13:00-13:15,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.5,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8742000000004

54,13:15-13:30,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.5,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8742000000004

55,13:30-13:45,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.5,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8742000000004

56,13:45-14:00,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.5,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8742000000004

57,14:00-14:15,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8042000000005

58,14:15-14:30,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8042000000005

59,14:30-14:45,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8042000000005

60,14:45-15:00,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,0,26.9071,0,0,0,10.59,1374.8042000000005

61,15:00-15:15,0,26.9071,3.85,83.95,0,42.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,10.59,1408.5042000000005

62,15:15-15:30,0,26.9071,3.85,83.95,4.04,38.32,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,10.59,1408.4942000000005

63,15:30-15:45,0,26.9071,3.85,83.95,0,36.3,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,0,1391.8442000000007

