Time,Block,NR/2023/12485/D,NR/2023/10613/A,NR/2023/12503/C,NR/2023/11941/F,NR/2023/11958/F,NR/2023/12481/D,NR/2023/11963/F,NR/2023/12504/C,NR/2023/10434/A,NR/2023/11955/F,NR/2023/10611/A,NR/2023/11952/F,NR/2023/11330/A,NR/2023/12497/C,NR/2023/12484/D,NR/2023/11959/F,NR/2023/11642/A,NR/2023/12482/D,NR/2023/11476/A,NR/2023/12506/C,NR/2023/10236/A,NR/2023/10229/A,NR/2023/12499/C,NR/2023/10344/A,NR/2023/11862/F,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/10944/A,NR/2023/11643/A,NR/2023/11962/F,NR/2023/11956/F,NR/2023/11960/F,NR/2023/10487/A,NR/2023/12495/C,Total

3,00:30-00:45,0,12.620000,52.980000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,274.540000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.690000,1218.1

4,00:45-01:00,0,12.620000,43.350000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,230.230000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.690000,1164.16

5,01:00-01:15,0,12.620000,33.720000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,193.620000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.600000,1117.83

6,01:15-01:30,0,12.620000,14.450000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,157.020000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.600000,1061.96

7,01:30-01:45,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,123.300000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.600000,1013.79

8,01:45-02:00,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,81.880000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.600000,972.37

9,02:00-02:15,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,53.940000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.500000,944.33

10,02:15-02:30,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,13.490000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.500000,903.88

11,02:30-02:45,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.500000,890.39

12,02:45-03:00,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.500000,890.39

13,03:00-03:15,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.420000,853.96

14,03:15-03:30,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.420000,853.96

15,03:30-03:45,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.420000,853.96

16,03:45-04:00,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,29.540000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.420000,853.96

17,04:00-04:15,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.320000,852.85

18,04:15-04:30,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.320000,852.85

19,04:30-04:45,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.320000,852.85

20,04:45-05:00,0,12.620000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.320000,852.85

21,05:00-05:15,0,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.230000,840.14

22,05:15-05:30,0,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.230000,840.14

23,05:30-05:45,0,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.230000,840.14

24,05:45-06:00,0,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,53.940000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,23.120000,13.000000,0.460000,0.400000,0.710000,41.420000,12.230000,840.14

25,06:00-06:15,0,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,0,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.140000,762.99

26,06:15-06:30,3.5,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,1.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.140000,767.99

27,06:30-06:45,7,0.000000,0.000000,62.610000,0.640000,0,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,3,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.140000,772.99

28,06:45-07:00,14,0.000000,0.000000,62.610000,0.640000,0.29,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,6,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.140000,783.28

29,07:00-07:15,24.5,0.000000,0.000000,62.610000,0.640000,0.39,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,10.5,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.050000,796.25

30,07:15-07:30,36.4,0.000000,0.000000,62.610000,0.640000,0.48,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,15.6,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.050000,813.34

31,07:30-07:45,51.8,0.000000,0.000000,62.610000,0.640000,0.81,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,22.2,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.050000,835.67

32,07:45:08:00,56,0.000000,0.000000,62.610000,0.640000,1.24,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.710000,14.450000,24,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.780000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.400000,0.710000,41.420000,12.050000,842.1

33,08:00-08:15,72.8,0.000000,0.000000,62.610000,0.620000,1.65,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,31.2,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.950000,866.41

34,08:15-08:30,89.6,0.000000,0.000000,62.610000,0.620000,2.12,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,38.4,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.950000,890.88

35,08:30-08:45,100.8,0.000000,0.000000,62.610000,0.620000,2.99,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,43.2,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.950000,907.75

36,08:45:09:00,115.5,0.000000,0.000000,62.610000,0.620000,3.47,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,49.5,48.160000,26.490000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.950000,929.23

37,09:00:09:15,127.4,0.000000,0.000000,62.610000,0.620000,4.48,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,54.6,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,949.2

38,09:15-09:30,140.7,0.000000,0.000000,62.610000,0.620000,5.21,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,60.3,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,968.93

39,09:30-09:45,151.2,0.000000,0.000000,62.610000,0.620000,5.4,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,64.8,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,984.12

40,09:45-10:00,162.4,0.000000,0.000000,62.610000,0.620000,5.88,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,69.6,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,1000.6

41,10:00-10:15,164.5,0.000000,0.000000,62.610000,0.620000,6.27,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,70.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,1003.89

42,10:15-10:30,176.4,0.000000,0.000000,62.610000,0.620000,6.37,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,75.6,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,1020.99

43,10:30-10:45,175,0.000000,0.000000,62.610000,0.620000,6.37,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,75,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,1018.99

44,10:45-11:00,178.5,0.000000,0.000000,62.610000,0.620000,6.85,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,76.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,1024.47

45,11:00-11:15,178.5,0.000000,0.000000,62.610000,0.620000,7.67,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,76.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,1025.2

46,11:15-11:30,178.5,0.000000,0.000000,62.610000,0.620000,7.86,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,76.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,1025.39

47,11:30-11:45,179.9,0.000000,0.000000,62.610000,0.620000,8.54,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,77.1,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,1028.07

48,11:45-12:00,182,0.000000,0.000000,62.610000,0.620000,8.58,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,78,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,1031.11

49,12:00-12:15,182,0.000000,0.000000,62.610000,0.620000,8.68,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,78,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,1031.12

50,12:15-12:30,182,0.000000,0.000000,62.610000,0.620000,8.68,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,78,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,1031.12

51,12:30-12:45,182,0.000000,0.000000,62.610000,0.620000,8.78,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,78,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,1031.22

52,12:45-13:00,182,0.000000,0.000000,62.610000,0.620000,9.07,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,78,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,1031.51

53,13:00-13:15,178.5,0.000000,0.000000,62.610000,0.620000,9.4,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,76.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1026.74

54,13:15-13:30,175,0.000000,0.000000,62.610000,0.620000,9.07,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,75,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1021.41

55,13:30-13:45,174.3,0.000000,0.000000,62.610000,0.620000,8.97,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,74.7,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1020.31

56,13:45-14:00,173.6,0.000000,0.000000,62.610000,0.620000,8.68,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,74.4,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1019.02

57,14:00-14:15,177.8,0.000000,0.000000,62.610000,0.620000,8.58,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,76.2,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1024.92

58,14:15-14:30,178.5,0.000000,0.000000,62.610000,0.620000,8.54,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,76.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1025.88

59,14:30-14:45,171.5,0.000000,0.000000,62.610000,0.620000,8.39,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,73.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1015.73

60,14:45-15:00,164.5,0.000000,0.000000,62.610000,0.620000,8.29,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,70.5,48.160000,28.530000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.490000,1005.63

61,15:00-15:15,154,0.000000,0.000000,62.610000,0.620000,8.25,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,66,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,992.73

62,15:15-15:30,152.6,0.000000,0.000000,62.610000,0.620000,8.2,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,65.4,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,990.68

