Time,Block,NR/2023/18105/A/1963,NR/2023/18062/A/1964,NER/2023/1764/C,NR/2023/17270/A,NR/2023/18177/C,NR/2023/17525/A,NR/2023/18074/A/1954,WR/2023/19446/A,NR/2023/18178/C,WR/2023/20256/A/2092,WR/2023/20577/A/2078,Total
26,06:15-06:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.380000,75.000000,0,0.000000,0.000000,182.98

27,06:30-06:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.380000,75.000000,0,0.000000,0.000000,182.98

28,06:45-07:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.380000,75.000000,0,0.000000,0.000000,182.98

29,07:00-07:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,0.000000,0.000000,183.13

30,07:15-07:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0.18,0.000000,0.000000,183.31

31,07:30-07:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0.31,0.000000,0.000000,183.44

32,07:45:08:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0.52,0.000000,0.000000,183.65

33,08:00-08:15,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,1.05,0.000000,0.000000,134.42

34,08:15-08:30,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,1.58,0.000000,0.000000,134.95

35,08:30-08:45,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,1.85,0.000000,0.000000,135.22

36,08:45:09:00,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,2.25,0.000000,0.000000,135.62

37,09:00:09:15,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,2.82,0.000000,0.000000,136.19

38,09:15-09:30,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,3.17,0.000000,0.000000,136.54

39,09:30-09:45,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,3.59,0.000000,0.000000,136.96

40,09:45-10:00,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,3.84,0.000000,0.000000,137.21

41,10:00-10:15,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,4.32,0.000000,0.000000,137.69

42,10:15-10:30,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,4.8,0.000000,0.000000,138.17

43,10:30-10:45,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,5.57,0.000000,0.000000,138.94

44,10:45-11:00,0.960000,4.800000,0.000000,50.000000,1.840000,0.000000,0.770000,75.000000,6.24,0.000000,0.000000,139.61

45,11:00-11:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,6.72,0.000000,0.000000,190.09

46,11:15-11:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,7.11,0.000000,0.000000,190.48

47,11:30-11:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,7.3,0.000000,0.000000,190.67

48,11:45-12:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,6.91,0.000000,0.000000,190.28

49,12:00-12:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,6.72,0.000000,0.000000,190.09

50,12:15-12:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,6.24,0.000000,0.000000,189.61

51,12:30-12:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,5.95,0.000000,0.000000,189.32

52,12:45-13:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,5.57,0.000000,0.000000,188.94

53,13:00-13:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,5.28,0.000000,0.000000,188.65

54,13:15-13:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,5.19,0.000000,0.000000,188.56

55,13:30-13:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,4.8,0.000000,0.000000,188.17

56,13:45-14:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,4.61,0.000000,0.000000,187.98

57,14:00-14:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,4.51,0.000000,0.000000,187.88

58,14:15-14:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,4.28,0.000000,0.000000,187.65

59,14:30-14:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,4.03,0.000000,0.000000,187.4

60,14:45-15:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.770000,75.000000,4,0.000000,0.000000,187.37

61,15:00-15:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.620000,75.000000,3.52,0.000000,0.000000,186.74

62,15:15-15:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.620000,75.000000,3.36,0.000000,0.000000,186.58

63,15:30-15:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.620000,75.000000,2.97,0.000000,0.000000,186.19

64,15:45-16:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.620000,75.000000,2.43,0.000000,0.000000,185.65

65,16:00-16:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,1.93,0.000000,0.000000,185.01

66,16:15-16:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,1.46,0.000000,0.000000,184.54

67,16:30-16:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,1.23,0.000000,0.000000,184.31

68,16:45-17:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,0.85,0.000000,0.000000,183.93

69,17:00-17:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,0.53,0.000000,0.000000,183.61

70,17:15-17:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,0.28,0.000000,0.000000,183.36

71,17:30-17:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,0.12,0.000000,0.000000,183.2

72,17:45-18:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.480000,75.000000,0,0.000000,0.000000,183.08

73,18:00-18:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

74,18:15-18:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

75,18:30-18:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

76,18:45-19:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

77,19:00-19:15,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

78,19:15-19:30,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

79,19:30-19:45,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

80,19:45-20:00,0.960000,4.800000,0.000000,100.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,263.13

81,20:00-20:15,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

82,20:15-20:30,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

83,20:30-20:45,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

84,20:45-21:00,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

85,21:00-21:15,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

86,21:15-21:30,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

87,21:30-21:45,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

88,21:45-22:00,0.960000,4.800000,0.000000,0.000000,1.840000,0.000000,0.530000,75.000000,0,25.000000,55.000000,163.13

89,22:00-22:15,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.480000,75.000000,0,0.000000,55.000000,197.73

90,22:15-22:30,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.480000,75.000000,0,0.000000,55.000000,197.73

91,22:30-22:45,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.480000,75.000000,0,0.000000,55.000000,197.73

92,22:45-23:00,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.480000,75.000000,0,0.000000,55.000000,197.73

93,23:00-23:15,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,142.68

94,23:15-23:30,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,142.68

95,23:30-23:45,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,142.68

96,23:45-24:00,0.960000,4.800000,0.000000,0.000000,1.840000,59.650000,0.430000,75.000000,0,0.000000,0.000000,142.68

