Block,Time,CHAMERA3,KGSU1AND2,KHSTPP-II,KOLDAM,NAPP,NLCIIST1,RIHAND3,RSTPSU1TO6,RSTPSU7,SEWA2,TANAKPUR,URI,AURY_CRF,JHAJJAR,KHSTPP-I,KKNP,NJPC,NLCEXP,NLCIIST2,RAPPB,SASAN,ANTA_CRF,AURY_LF,AURY_RF,BRBCL,BSIUL,DULHASTI,MAPS,NTPL,SALAL,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TEHRIPSP,UNCHAHAR3,URI2,DADRI_GF,KKNPPU2,KUDGI,RAPPC,TANDA2,TelanganaSTPP,UNCHAHAR4,AURY_GF,DADRI_LF,DADRI_RF,CHAMERA1,PARBATI3,SINGRAULI,UNCHAHAR2,KOTESHWR,NLCTS2EXP,RAMPUR,RAPPD,RIHAND2,TALST2,ANTA_GF,DADRI_CRF,DADRT2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,RIHAND1,TALA,TEHRI,UNCHAHAR1,ANTA_LF,CHAMERA2,KISHANGANGA,NNTPP,PARBATI2,VALLURNTECL,ANTA_RF
26,06:15-06:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,19.55,29.68,21.83,0,48.9,8.71,0,58.05,0,49.95

27,06:30-06:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.05,29.68,21.83,0,48.9,8.71,0,58.05,0,49.95

28,06:45-07:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.05,29.68,21.83,0,48.9,8.71,0,58.05,0,49.95

29,07:00-07:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.05,29.68,21.83,0,48.9,8.71,0,58.05,0,49.43

30,07:15-07:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.05,29.68,21.83,0,48.9,8.71,0,58.05,0,49.43

31,07:30-07:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.64,29.68,21.83,0,48.9,8.71,0,58.05,0,49.43

32,07:45-08:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,670.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,76.85,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.64,29.68,21.83,0,48.9,8.71,0,58.05,0,49.43

33,08:00-08:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,570.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,70.7,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.64,29.68,21.83,0,48.9,8.71,0,58.05,0,49.43

34,08:15-08:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,570.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,70.7,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.64,19.79,21.83,0,48.9,8.71,0,58.05,0,49.43

35,08:30-08:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,570.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,70.7,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.64,9.89,21.83,0,48.9,8.71,0,58.05,0,49.43

36,08:45-09:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,570.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,70.7,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.64,0,21.83,0,48.9,8.71,0,58.05,0,49.3

