Time,Block,NR/2023/13859/A,NR/2023/13704/A,NR/2023/14113/F,NR/2023/14117/F,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14118/F,NR/2023/14481/C,NR/2023/11524/A,NR/2023/14442/D,NR/2023/14443/D,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14119/F,NR/2023/14449/D,NR/2023/11892/A,NR/2023/11328/A,NR/2023/11315/A,NR/2023/14120/F,NR/2023/11469/A,NR/2023/13858/A,NR/2023/14472/C,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/14187/F,NR/2023/14485/C,NR/2023/14464/C,NR/2023/11470/A,NR/2023/14114/F,NR/2023/11739/A,NR/2023/11697/A,NR/2023/11954/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/13704/A/II,NR/2023/14482/C,NR/2023/14115/F,NR/2023/11654/A,NR/2023/14448/D,NR/2023/11264/A,NR/2023/11205/A,NR/2023/13983/F,NR/2023/11521/A,NR/2023/13983/F/II,NR/2023/14136/F,NR/2023/13573/A/II,NR/2023/13283/A/II,NR/2023/14121/F,NR/2023/14452/D,NR/2023/14441/D,NR/2023/14451/D,Total

3,00:30-00:45,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,3.480000,1.340000,0.610000,0,0,0,2285.7

4,00:45-01:00,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,182.460000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,3.480000,1.340000,0.610000,0,0,0,2254.81

5,01:00-01:15,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,141.910000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.680000,0.000000,3.480000,1.340000,0.610000,0,0,0,2214.07

6,01:15-01:30,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,116.810000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.680000,0.000000,3.480000,1.340000,0.610000,0,0,0,2188.97

7,01:30-01:45,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,80.130000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.680000,0.000000,3.480000,1.340000,0.610000,0,0,0,2152.29

8,01:45-02:00,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,45.370000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.680000,0.000000,3.480000,1.340000,0.610000,0,0,0,2117.53

9,02:00-02:15,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,0.000000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.000000,48.270000,0.580000,0.000000,3.480000,1.340000,0.610000,0,0,0,2080.66

10,02:15-02:30,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,0.000000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.000000,48.270000,0.580000,0.000000,3.480000,1.340000,0.610000,0,0,0,2080.66

11,02:30-02:45,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,0.000000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.000000,48.270000,0.580000,0.000000,3.480000,1.340000,0.610000,0,0,0,2080.66

12,02:45-03:00,141.910000,6.380000,0.380000,0.930000,24.140000,83.020000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,22.790000,98.470000,9.650000,0.000000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.870000,59.280000,0.380000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.000000,48.270000,0.580000,0.000000,3.480000,1.340000,0.610000,0,0,0,2080.66

13,03:00-03:15,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.840000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.260000,48.270000,0.270000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.63

14,03:15-03:30,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.840000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.260000,48.270000,0.270000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.63

15,03:30-03:45,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.840000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.260000,48.270000,0.270000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.63

16,03:45-04:00,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.840000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.260000,48.270000,0.270000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.63

17,04:00-04:15,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.660000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.45

18,04:15-04:30,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.660000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.45

19,04:30-04:45,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.660000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.45

20,04:45-05:00,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,98.470000,9.650000,0.000000,18.660000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1919.45

21,05:00-05:15,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.570000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1820.89

22,05:15-05:30,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.570000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1820.89

23,05:30-05:45,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.570000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1820.89

24,05:45-06:00,141.910000,6.760000,0.380000,0.930000,24.140000,48.270000,0.870000,0.000000,193.080000,147.460000,45.370000,77.710000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.570000,21.240000,0.520000,42.470000,33.310000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,231.800000,0.530000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1820.89

25,06:00-06:15,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.480000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0.6,0,1.4,1455.34

26,06:15-06:30,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.480000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,2.7,0.1,6.3,1462.44

27,06:30-06:45,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.480000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,4.5,0.51,10.5,1468.85

28,06:45-07:00,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.480000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,7.5,0.89,17.5,1479.23

29,07:00-07:15,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,10.5,1.31,24.5,1450.84

30,07:15-07:30,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,10.5,1.77,24.5,1451.3

31,07:30-07:45,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,15,2.32,35,1466.85

32,07:45:08:00,141.910000,6.760000,0.380000,0.930000,24.140000,7.720000,0.870000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,0.000000,0.870000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.680000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,22.5,2.79,52.5,1492.32

33,08:00-08:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.200000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,27,2.34,63,1507.33

34,08:15-08:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.200000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,32.4,2.9,75.6,1525.89

35,08:30-08:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.200000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,38.4,3.79,89.6,1546.78

36,08:45:09:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.200000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,43.2,4.26,100.8,1563.25

37,09:00:09:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,46.2,4.49,107.8,1597.53

38,09:15-09:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,51.6,4.94,120.4,1615.98

39,09:30-09:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,56.4,5.92,131.6,1632.96

40,09:45-10:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,0.000000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,60,5.91,140,1644.95

