Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,WR/2024/25054/A/44634,NR/2024/23952/A/44500,NR/2024/24052/A/44486,NR/2024/24051/A/44488,NR/30092023/26122029/SH-06,NR/2024/24060/A/44654,NR/2024/24097/A/44480,NR/2024/24088/A/44482,NR/2024/24153/C,NR/2024/24144/C,NR/2024/24071/A/44485,NR/2024/24145/C,GNA/NR/2024/12/01/2197,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1899,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,Total
26,06:15-06:30,0,0,0,0.43,2.88,2.88,0,17.27,14.39,4.8,0,0,0,0,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,289.71999999999997

27,06:30-06:45,0,0,0,0.43,2.88,2.88,0,17.27,14.39,4.8,0,0,0,0,28.78,150,8.63,0,0,8.63,0,2.11,28.78,25.9,295.48

28,06:45-07:00,0,0,0,0.43,2.88,2.88,0,17.27,14.39,4.8,0,0,0,0,28.78,150,8.63,0,0,8.63,0,2.11,28.78,25.9,295.48

29,07:00-07:15,0,0,0,0.53,2.88,2.88,0,28.78,14.39,4.8,0,0,0,0,28.78,150,8.63,0,0,8.63,0,2.11,28.78,25.9,307.09

30,07:15-07:30,0,0,0,0.53,2.88,2.88,0,28.78,14.39,4.8,0,0,0,0,28.78,150,8.63,0,0,8.63,0,2.11,28.78,25.9,307.09

31,07:30-07:45,0,0,0,0.53,2.88,2.88,0,28.78,14.39,4.8,0,0,0,0,28.78,150,8.63,0,0,8.63,0,2.11,28.78,33.58,314.77

32,07:45-08:00,0,0,0,0.53,2.88,2.88,0,28.78,14.39,4.8,0,0,0,0,28.78,150,8.63,0,0,8.63,0,2.11,28.78,34.53,315.72

33,08:00-08:15,0,0,0,0.82,2.88,2.88,0,28.78,14.39,4.8,0,0,0,0,31.66,150,8.63,0,0,8.63,0,2.11,31.66,38.37,325.61

34,08:15-08:30,0,0,0,0.82,2.88,2.88,0,28.78,14.39,4.8,0,0,0,0,31.66,150,8.63,0,0,8.63,0,2.11,31.66,43.17,330.41

35,08:30-08:45,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,0,0,0,31.66,150,8.63,0,0,8.63,0,2.11,31.66,43.17,320.81000000000006

36,08:45-09:00,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,0,0,0,31.66,150,8.63,0,0,8.63,0,2.11,31.66,43.17,320.81000000000006

37,09:00-09:15,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,31.66,3.84,21.1,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,348.62

38,09:15-09:30,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,28.11,3.84,24.65,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,348.62

39,09:30-09:45,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,24.65,3.84,28.11,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,348.61999999999995

40,09:45-10:00,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,22.06,3.84,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,348.62

41,10:00-10:15,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,349.5799999999999

42,10:15-10:30,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,349.5799999999999

43,10:30-10:45,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,349.5799999999999

44,10:45-11:00,0,0,0,0.82,2.88,0,0,28.78,7.67,4.8,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,349.5799999999999

45,11:00-11:15,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,22.06,6.72,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

46,11:15-11:30,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,22.06,6.72,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

47,11:30-11:45,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,22.06,6.72,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

48,11:45-12:00,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,22.06,6.72,30.7,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

49,12:00-12:15,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,39.33,6.72,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

50,12:15-12:30,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,39.33,6.72,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

51,12:30-12:45,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,39.33,6.72,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

52,12:45-13:00,0,0,0,0.82,3.84,0,0,28.78,7.67,0,0,39.33,6.72,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,347.65999999999997

53,13:00-13:15,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,39.33,5.76,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,346.65

54,13:15-13:30,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,39.33,5.76,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,346.65

55,13:30-13:45,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,39.33,5.76,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,346.65

56,13:45-14:00,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,39.33,5.76,13.43,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,346.65

57,14:00-14:15,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.01,25.9,25.9,345.5899999999999

58,14:15-14:30,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.01,25.9,25.9,345.5899999999999

59,14:30-14:45,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.01,25.9,25.9,345.5899999999999

60,14:45-15:00,0,0,0,0.77,3.84,0,0,28.78,7.67,0,0,22.06,4.8,30.7,25.9,150,8.63,0,0,8.63,0,2.01,25.9,25.9,345.5899999999999

61,15:00-15:15,0,0,0,0.62,3.84,0,0,28.78,7.67,0,0,22.16,4.8,30.6,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,345.53999999999996

62,15:15-15:30,0,0,0,0.62,3.84,0,0,28.78,7.67,0,0,25.81,4.8,26.96,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,345.54999999999995

63,15:30-15:45,0,0,0,0.62,3.84,0,0,28.78,7.67,0,0,29.55,4.8,23.22,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,345.54999999999995

64,15:45-16:00,0,0,0,0.62,3.84,0,0,28.78,7.67,0,0,28.78,4.8,19.28,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,340.8399999999999

65,16:00-16:15,0,0,0,0.48,3.84,0,0,28.78,7.67,0,0,33.19,2.88,15.44,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,339.34999999999997

66,16:15-16:30,0,0,0,0.48,3.84,0,0,28.78,7.67,0,0,25.33,2.88,11.8,25.9,150,8.63,0,0,8.63,0,2.11,25.9,25.9,327.8499999999999

67,16:30-16:45,0,0,0,0.48,3.84,0,0,28.78,7.67,0,0,18.61,2.88,8.54,30.7,150,8.63,0,0,8.63,0,2.11,30.7,30.7,332.27

68,16:45-17:00,0,0,0,0.48,3.84,0,0,28.78,7.67,0,0,12.47,2.88,5.66,30.7,150,8.63,0,0,8.63,0,2.11,30.7,30.7,323.25

69,17:00-17:15,0,0,0,0.48,3.84,0,0,28.78,7.67,3.84,0,0,0.96,0,34.53,150,8.63,0,0,8.63,0,2.11,34.53,43.17,327.17

70,17:15-17:30,0,0,0,0.48,3.84,0,0,28.78,7.67,3.84,0,0,0.96,0,34.53,150,8.63,0,0,8.63,0,2.11,34.53,43.17,327.17

71,17:30-17:45,0,0,0,0.48,3.84,0,0,28.78,7.67,3.84,0,0,0.96,0,34.53,150,8.63,0,0,8.63,0,2.11,34.53,43.17,327.17

72,17:45-18:00,0,0,0,0.48,3.84,0,0,28.78,7.67,3.84,0,0,0.96,0,34.53,150,8.63,0,0,8.63,0,2.11,34.53,43.17,327.17

73,18:00-18:15,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,124.71,0,0,0,34.53,150,8.63,0,50,8.63,150,2.11,34.53,43.17,689.3399999999999

74,18:15-18:30,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,124.71,0,0,0,34.53,150,8.63,0,50,8.63,150,2.11,34.53,43.17,689.3399999999999

75,18:30-18:45,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,124.71,0,0,0,34.53,150,8.63,0,50,8.63,150,2.11,34.53,43.17,689.3399999999999

76,18:45-19:00,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,34.53,150,8.63,0,50,8.63,150,2.11,34.53,43.17,564.63

77,19:00-19:15,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,34.53,150,8.63,0,50,8.63,150,2.11,34.53,43.17,564.63

78,19:15-19:30,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,34.53,150,8.63,0,50,8.63,150,2.11,34.53,43.17,564.63

79,19:30-19:45,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,150,2.11,25.9,43.17,547.37

80,19:45-20:00,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,150,2.11,25.9,43.17,547.37

81,20:00-20:15,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,36.92,641.12

82,20:15-20:30,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,34.76,638.96

83,20:30-20:45,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,31.04,635.24

84,20:45-21:00,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,25.9,630.1

85,21:00-21:15,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,25.9,630.1

86,21:15-21:30,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,25.9,630.1

87,21:30-21:45,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,25.9,630.1

88,21:45-22:00,0,0,38.37,0.53,3.84,0,0,28.78,7.67,3.84,0,0,0,0,25.9,150,8.63,0,50,8.63,250,2.11,25.9,25.9,630.1

89,22:00-22:15,0,95.13,38.37,0.48,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,753.0499999999998

90,22:15-22:30,0,95.13,38.37,0.48,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,753.0499999999998

91,22:30-22:45,0,95.13,38.37,0.48,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,753.0499999999998

92,22:45-23:00,0,95.13,38.37,0.48,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,753.0499999999998

93,23:00-23:15,0,95.13,38.37,0.43,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,752.9999999999999

94,23:15-23:30,0,95.13,38.37,0.43,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,752.9999999999999

95,23:30-23:45,0,95.13,38.37,0.43,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,752.9999999999999

96,23:45-24:00,0,95.13,38.37,0.43,2.88,0,0,28.78,7.67,0.96,0,0,0,0,25.9,150,8.63,31.71,50,8.63,250,2.11,25.9,25.9,752.9999999999999

