Column1,Time,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/04/01/4565,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1333,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7960,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6490,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/5285,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668
6,01:15-01:30,0,44.33,0,17,0,44.33,0,51,7.66,0,0,0,17,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.98,2.1,1.96,0,86.76,0,9.62,32,6.73,2.89,32,260.29,2.22,2.6,0,0,0,0

7,01:30-01:45,0,45.67,0,18,0,45.67,0,54,8,0,0,0,18,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.98,2.1,1.96,0,68.85,0,9.62,32,6.73,2.89,32,200.43,2.22,2.6,0,0,0,0

8,01:45-02:00,0,46.33,0,19,0,46.33,0,57,8,0,0,0,19,0,0,48.1,100.21,252.02,2.89,0,52.5,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.98,2.1,1.96,0,68.85,0,9.62,32,6.73,2.89,32,200.43,2.22,2.6,0,0,0,0

9,02:00-02:15,0,47,0,19.83,0,47,0,59.51,11,0,0,0,19.83,0,0,48.1,100.21,252.02,2.89,0,0,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.98,2.1,1.96,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.22,2.6,0,0,0,0

10,02:15-02:30,0,48,0,20.33,0,48,0,61.01,11.34,0,0,0,20.33,0,0,48.1,100.21,252.02,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.98,2.1,1.96,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.22,2.6,0,0,0,0

11,02:30-02:45,0,48.33,0,23.33,0,48.33,0,70.01,15.34,0,0,0,23.33,0,0,48.1,100.21,252.02,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.98,2.17,1.96,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.22,2.6,0,0,0,0

12,02:45-03:00,0,48.33,0,23.67,0,48.33,0,70.99,15.34,0,0,0,23.67,0,0,48.1,100.21,252.02,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.98,2.17,1.96,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.22,2.6,0,0,0,0

13,03:00-03:15,0,48.33,0,24.17,0,48.33,0,72.49,16.34,0,0,0,24.17,0,0,48.1,100.21,252.02,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

14,03:15-03:30,0,48.33,0,24.83,0,48.33,0,74.51,17,0,0,0,24.83,0,0,48.1,100.21,252.02,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

15,03:30-03:45,0,48.33,0,25,0,48.33,0,75,17.34,0,0,0,25,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

16,03:45-04:00,0,48.33,0,25,0,48.33,0,75,17.66,0,0,0,25,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

17,04:00-04:15,0,38.33,0,20.33,0,38.33,0,61.01,12.34,0,0,0,20.33,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

18,04:15-04:30,0,37.33,0,21,0,37.33,0,63,12.34,0,0,0,21,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

19,04:30-04:45,0,36.33,0,17.17,0,36.33,0,51.49,12.66,0,0,0,17.17,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,31.29,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

20,04:45-05:00,0,34,0,17.5,0,34,0,52.5,13,0,0,0,17.5,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.9,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

21,05:00-05:15,0,32.67,0,17.5,0,32.67,0,52.5,12.66,0,0,0,17.5,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.8,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,200.43,2.15,2.6,0,0,0,0

22,05:15-05:30,0,32,0,17.5,0,32,0,52.5,12.34,0,0,0,17.5,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.8,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,219.67,2.15,2.6,0,0,0,0

23,05:30-05:45,0,39.67,0,20.17,0,39.67,0,60.49,11.66,0,0,0,20.17,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,30.78,66,2.89,9.62,4.59,5.8,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,0,0,0,0

24,05:45-06:00,0,37.67,0,19.83,0,37.67,0,59.51,11,0,0,0,19.83,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,30.78,84.85,2.89,9.62,4.59,5.8,2.17,1.87,0,68.85,0,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,0,0,0,0

25,06:00-06:15,0,45,0,19.17,0,45,0.57,57.49,10.34,0,0,0,19.17,0,0,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,29.77,115.01,2.89,9.62,4.59,5.8,2.02,1.77,0,86.76,0,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,0,0.01,2.16,0

26,06:15-06:30,0,43.67,0,18.83,0,43.67,3.37,56.51,9.66,0,0,0,18.83,0,1.14,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,29.77,115.01,2.89,9.62,4.59,5.8,2.02,1.77,0,86.76,0,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,0.23,0.71,11.33,0.76

27,06:30-06:45,1,48.33,0,21.33,1,48.33,8.08,64.01,16.66,1,0,1,21.33,0,1.79,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,29.27,115.01,2.89,9.62,4.59,5.8,2.02,1.77,0,86.76,0,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,0.36,11.62,20.15,0.19

28,06:45-07:00,4,47.33,1,20.83,2,47.33,13.9,62.51,16,3,1,4,20.83,1,7.22,48.1,100.21,271.98,2.89,0,0,7.68,25.97,0,1.92,9.62,28.76,115.01,2.89,9.62,4.59,5.8,2.02,1.77,0,86.76,0,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,1.45,22.35,31.72,1.46

29,07:00-07:15,14,42,3,22.5,3,42,21.31,67.5,11.66,5,6,9,22.5,7,15.46,48.1,100.21,271.98,2.89,0.1,0,7.68,25.97,0,1.92,9.62,28.26,115.01,2.89,9.62,4.59,5.8,2.02,1.77,0.11,86.76,0.11,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,3.09,32.41,32.41,4.24

30,07:15-07:30,28,36.67,5,21.33,8,36.67,30.61,64.01,11,7,12,13.99,21.33,10,27.49,48.1,100.21,271.98,2.89,0.26,0,7.68,25.97,0,1.92,9.62,27.75,106.53,2.89,9.62,4.59,5.8,2.02,1.77,0.26,86.76,0.26,9.62,30.5,6.73,2.89,30.5,260.29,2.15,2.6,5.5,32.33,32.33,8.22

31,07:30-07:45,42,29.33,8,20.17,13,29.33,41.63,60.49,10,12,18,22,20.17,17,43.57,48.1,100.21,271.98,2.89,2.05,0,4.81,25.97,0,1.92,9.62,27.25,98.05,2.89,9.62,4.59,5.8,2.02,1.77,2.65,76.27,2.65,9.62,30.5,6.73,2.89,30.5,225.01,2.15,2.6,8.72,30.75,30.75,13.73

32,07:45-08:00,56,27.33,12,19.17,19,27.33,53.79,57.49,10,16,24,28,19.17,23,62.5,48.1,100.21,230.86,2.89,2.97,0,4.81,25.97,0,1.92,9.62,27.25,89.56,2.89,9.62,4.59,5.8,2.02,1.77,3.84,45.21,3.84,9.62,30.5,6.73,2.89,30.5,152.94,2.15,2.6,12.5,30.85,30.85,20.86

33,08:00-08:15,74,18.33,17,11.67,30,18.33,65.95,34.99,9.34,21,31,30.56,11.67,33,83.39,48.1,71.35,192.38,2.89,4.01,0,3.88,25.97,0,1.92,9.62,27.25,81.08,2.89,9.62,4.59,5.7,2.02,1.77,5.19,45.21,5.19,9.62,30.5,6.73,2.89,30.5,128.89,2.07,2.6,16.68,30.57,30.57,28.91

34,08:15-08:30,91,18.33,22,10,39,18.33,77.38,30,8.66,25,39,31.24,10,43,104.6,48.1,52.9,149.59,2.89,5.2,0,3.88,25.97,0,1.92,9.62,27.75,70.14,2.89,9.62,4.59,5.7,2.02,1.77,6.73,45.21,6.73,9.62,30.5,6.73,2.89,30.5,128.89,2.07,2.6,20.92,31.23,31.23,36.37

35,08:30-08:45,109,18.33,26,8.5,44,18.33,87.99,25.5,7.34,29,46,32.24,8.5,51,125.15,48.1,52.9,149.59,2.89,6.39,0,4.03,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,4.59,5.7,2.02,1.77,8.26,45.21,8.26,9.62,30.5,6.73,2.89,30.5,128.89,2.07,2.6,25.03,32.23,32.23,44.77

36,08:45-09:00,126,18.33,29,7.5,52,18.33,89.78,22.5,6.66,32,54,32.24,7.5,59,145.26,48.1,52.9,149.59,2.89,7.32,0,4.03,25.97,0,1.92,9.62,28.76,70.14,2.89,9.62,4.59,5.7,2.02,1.77,9.46,45.21,9.46,9.62,30.5,6.73,2.89,30.5,128.89,2.07,2.6,29.05,32.23,32.23,52.61

37,09:00-09:15,144,13.67,33,6.67,59,13.67,98.58,19.99,6.66,34,61,32.84,6.67,67,164.57,48.1,52.9,149.59,2.89,8.29,0,4.1,25.97,0,1.92,9.62,29.27,70.14,2.89,9.62,4.59,5.7,2.02,1.77,10.72,45.21,10.72,9.62,30,6.73,2.89,30,128.89,2.22,2.6,32.92,32.83,32.83,60.55

38,09:15-09:30,158,13.67,37,6.67,66,13.67,106.41,19.99,6.66,36,67,32.84,6.67,73,182.94,48.1,52.9,149.59,2.89,9.31,0,4.1,25.97,0,1.92,9.62,29.27,70.14,2.89,9.62,4.59,5.7,2.02,1.77,12.05,45.21,12.05,9.62,30,6.73,2.89,30,128.89,2.22,2.6,36.59,32.83,32.83,67.88

39,09:30-09:45,172,13.67,40,6.67,73,13.67,113.87,19.99,6.66,39,73,32.84,6.67,80,199.79,48.1,52.9,149.59,2.89,10.24,0,4.1,25.97,0,1.92,9.62,29.27,70.14,2.89,9.62,4.59,5.7,2.02,1.77,13.25,45.21,13.25,9.62,30,6.73,2.89,30,128.89,2.22,2.6,39.96,32.83,32.83,74.9

40,09:45-10:00,186,13.67,42,6.67,79,13.67,120.9,19.99,6.66,41,79,32.84,6.67,85,214.98,48.1,52.9,149.59,2.89,11.11,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,4.59,5.7,2.02,1.77,14.37,45.21,14.37,9.62,30,6.73,2.89,30,128.89,2.22,2.6,43,32.83,32.83,81.48

41,10:00-10:15,193,13.67,45,6.67,84,13.67,126.86,19.99,6.66,43,82,32.84,6.67,90,228.63,48.1,52.9,149.59,2.89,11.52,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,4.59,5.62,1.94,1.87,14.9,45.21,14.9,9.62,30,6.73,2.89,30,128.89,2.22,2.6,45.73,32.83,32.83,87.31

42,10:15-10:30,200,13.67,47,6.67,88,13.67,131.88,19.99,6.66,45,85,32.84,6.67,93,240.52,48.1,52.9,149.59,2.89,12.14,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,4.59,5.62,1.94,1.87,15.71,45.21,15.71,9.62,30,6.73,2.89,30,128.89,2.22,2.6,48.1,32.83,32.83,92.85

43,10:30-10:45,203,13.67,49,6.83,93,13.67,136.17,20.51,6.66,48,87,32.84,6.83,98,245.83,48.1,52.9,149.59,2.89,12.63,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,3.93,5.62,1.94,1.87,16.34,45.21,16.34,9.62,30,6.73,2.89,30,128.89,2.22,2.6,49.17,32.83,32.83,97.34

44,10:45-11:00,207,13.67,50,7,95,13.67,139.47,21,6.66,48,88,32.84,7,100,245.83,48.1,52.9,149.59,2.89,13.08,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,3.93,5.62,1.94,1.87,16.93,45.21,16.93,9.62,30,6.73,2.89,30,128.89,2.22,2.6,49.17,32.83,32.83,100

45,11:00-11:15,210,13.67,50,6.83,98,13.67,142.08,20.51,6.66,49,90,32.84,6.83,100,245.83,48.1,52.9,149.59,2.89,13.47,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,3.93,5.62,1.94,1.87,17.43,45.21,17.43,9.62,30,6.73,2.89,30,128.89,2.07,2.6,49.17,32.83,32.83,100

46,11:15-11:30,210,13.67,50,6.83,98,13.67,144.31,20.51,6.66,49,90,32.84,6.83,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,3.93,5.62,1.94,1.87,18.04,45.21,18.04,9.62,30,6.73,2.89,30,128.89,2.07,2.6,49.17,32.83,32.83,100

47,11:30-11:45,210,13.67,50,6.67,98,13.67,146.02,19.99,6.66,49,90,32.84,6.67,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,29.77,70.14,2.89,9.62,3.93,5.62,1.94,1.87,18.04,45.21,18.04,9.62,30,6.73,2.89,30,128.89,2.07,2.6,49.17,32.83,32.83,100

48,11:45-12:00,210,13.67,50,7.5,98,13.67,146.92,22.5,6.66,50,90,32.84,7.5,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.62,1.94,1.87,18.04,45.21,18.04,9.62,30,6.73,2.89,30,128.89,2.07,2.6,49.17,32.83,32.83,100

49,12:00-12:15,210,14.67,50,7.5,98,14.67,148.16,22.5,6.66,50,90,32.84,7.5,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.17,1.87,18.04,45.21,18.04,9.62,29.5,6.73,2.89,29.5,128.89,2.07,2.6,49.17,32.83,32.83,100

50,12:15-12:30,210,14.67,50,7.5,98,14.67,148.65,22.5,7.34,50,90,32.84,7.5,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.17,1.87,18.04,45.21,18.04,9.62,29.5,6.73,2.89,29.5,128.89,2.07,2.6,49.17,32.83,32.83,100

51,12:30-12:45,210,16.33,50,7.5,98,16.33,148.5,22.5,8,50,90,32.84,7.5,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.17,1.87,18.04,45.21,18.04,9.62,29.5,6.73,2.89,29.5,128.89,2.07,2.6,49.17,32.83,32.83,100

52,12:45-13:00,210,17.33,50,7.5,98,17.33,147.85,22.5,8.66,50,90,32.84,7.5,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.17,1.87,18.04,45.21,18.04,9.62,29.5,6.73,2.89,29.5,128.89,2.07,2.6,49.17,32.83,32.83,100

53,13:00-13:15,210,18,50,7.5,98,18,146.43,22.5,9,50,90,32.84,7.5,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.17,1.87,18.04,45.21,18.04,9.62,29.5,5.51,2.89,29.5,128.89,2.22,2.8,49.17,32.83,32.83,100

54,13:15-13:30,210,19.67,50,7.83,98,19.67,144.11,23.51,9.34,50,90,32.84,7.83,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.17,1.87,18.04,45.21,18.04,9.62,29.5,5.51,2.89,29.5,128.89,2.22,3,49.17,32.83,32.83,100

55,13:30-13:45,210,21,50,8.33,98,21,141.61,25.01,9.66,50,90,32.84,8.33,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.33,1.87,18.04,45.21,18.04,9.62,29.5,4.83,2.89,29.5,128.89,2.22,3.6,49.17,32.83,32.83,100

56,13:45-14:00,210,22,50,8.67,98,22,137.75,25.99,10,49,90,32.84,8.67,100,245.83,48.1,52.9,149.59,2.89,13.93,0,4.1,25.97,0,1.92,9.62,28.26,70.14,2.89,9.62,3.93,5.52,2.33,1.87,18.04,45.21,18.04,9.62,29.5,4.83,2.89,29.5,128.89,2.22,3.8,49.17,32.83,32.83,100

57,14:00-14:15,207,22,50,8.83,97,22,133.34,26.51,10.34,48,88,32.84,8.83,100,245.83,48.1,52.9,149.59,2.89,13.55,0,4.1,25.97,0,1.92,9.62,28.76,70.14,2.89,9.62,3.93,5.43,2.33,2.05,17.53,45.21,17.53,9.62,29.5,4.83,2.89,29.5,128.89,2.22,4,49.17,32.83,32.83,100

58,14:15-14:30,203,25,49,9,95,25,128.54,27,11,48,87,32.84,9,99,245.83,48.1,52.9,149.59,2.89,13.12,0,4.1,25.97,0,1.92,9.62,28.76,70.14,2.89,9.62,3.93,5.43,2.33,2.05,16.97,45.21,16.97,9.62,29.5,4.83,2.89,29.5,128.89,2.22,4.4,49.17,32.83,32.83,100

59,14:30-14:45,196,25.67,48,9.33,93,25.67,123.07,28.01,11.34,47,84,32.84,9.33,97,245.83,48.1,52.9,149.59,2.89,12.68,0,4.12,25.97,0,1.92,9.62,29.27,70.14,2.89,9.62,1.92,5.43,2.33,2.05,16.41,45.21,16.41,9.62,29.5,4.83,2.89,29.5,128.89,2.22,4.6,49.17,32.83,32.83,100

60,14:45-15:00,189,27.33,46,9.67,91,27.33,117.17,28.99,11.66,45,81,32.84,9.67,92,245.83,48.1,52.9,149.59,2.89,12.27,0,4.12,25.97,0,1.92,9.62,29.27,70.14,2.89,9.62,1.92,5.43,2.33,2.05,15.88,45.21,15.88,9.62,29.5,4.83,2.89,29.5,128.89,2.22,5,49.17,32.83,32.83,100

61,15:00-15:15,182,27,45,11.33,87,27,110.82,34.01,11.66,40,78,32.84,11.33,89,242.31,48.1,52.9,149.59,2.89,11.56,0,4.06,25.97,0,1.92,9.62,30.28,70.14,2.89,9.62,1.92,5.43,2.48,2.24,14.95,45.21,14.95,9.62,29.5,4.83,2.89,29.5,128.89,2.3,9.6,48.46,32.83,32.83,100

62,15:15-15:30,172,29.67,42,12,84,29.67,103.94,36,11.66,37,73,32.84,12,83,229.9,48.1,52.9,149.59,2.89,11.1,0,4.06,25.97,0,1.92,9.62,31.29,70.14,2.89,9.62,1.92,5.43,2.48,2.24,14.35,45.21,14.35,9.62,29.5,4.83,2.89,29.5,128.89,2.3,9.4,45.98,32.83,32.83,94.08

63,15:30-15:45,161,29.67,40,11.67,77,29.67,96.42,34.99,11.66,35,69,32.84,11.67,80,215.26,48.1,52.9,149.59,2.89,10.32,0,4.81,25.97,0,1.92,9.62,31.29,70.14,2.89,9.62,3.37,5.43,2.48,2.24,13.36,45.21,13.36,9.62,29.5,6.47,2.89,29.5,128.89,2.3,9,43.05,32.83,32.83,88.41

64,15:45-16:00,151,30,37,12.17,71,30,88.51,36.49,12,32,64,32.84,12.17,73,201.03,48.1,52.9,149.59,2.89,9.79,0,4.81,25.97,0,1.92,9.62,31.29,70.14,2.89,9.62,3.37,5.43,2.48,2.24,12.67,45.21,12.67,9.62,29.5,6.47,2.89,29.5,128.89,2.3,8.4,40.21,32.83,32.83,82.57

65,16:00-16:15,137,40,34,15.83,63,40,79.75,47.51,12.34,30,58,32.84,15.83,68,182.99,48.1,52.9,149.59,2.89,8.84,0,4.81,25.97,50,1.92,9.62,30.28,70.14,2.89,9.62,3.37,5.43,2.71,2.24,11.44,45.21,11.44,9.62,29.5,6.26,2.89,29.5,128.89,2.45,8,36.6,32.83,32.83,76.79

66,16:15-16:30,123,41.67,30,16.17,57,41.67,70.3,48.49,13,26,52,32.84,16.17,60,165.5,48.1,52.9,149.59,2.89,8.03,0,4.81,25.97,50,1.92,9.62,30.78,70.14,2.89,9.62,3.37,5.43,2.71,2.24,10.39,45.21,10.39,9.62,29.5,6.47,2.89,29.5,128.89,2.45,7.4,33.1,32.83,32.83,70.6

67,16:30-16:45,105,47.33,26,16.83,47,47.33,60.43,50.51,13.34,23,45,32.84,16.83,51,146.77,48.1,52.9,192.38,2.89,7.32,0,4.81,25.97,50,1.92,9.62,30.78,70.14,2.89,9.62,3.37,5.43,1.16,2.24,9.47,63.12,9.47,9.62,29.5,6.47,2.89,29.5,189.72,2.45,7,29.35,32.83,32.83,63.21

