Column1,Time,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,GNA/NR/2024/10/01/8106,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/10/15/7089,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/9582,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/16/4393,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59
10,02:15-02:30,0,0,0,0,6.84,0,0,0,0,0,15,6.66,0,15,201.09,24.37,26.02,26.02,0,20.5,8.67,0,6.83,6.8,0,0,2.91,53.01,26.02,4.33,47.56,70.27,24.37,76.42,8.67,2.46,27.26,272.51,0,142.69,0,2.32

11,02:30-02:45,0,0,0,0,7.16,0,0,0,0,0,15,6.66,0,15,172.17,24.37,26.02,26.02,0,21.5,8.67,0,7.17,10,0,0,2.83,53.01,26.02,4.33,47.56,70.27,24.37,57.45,8.67,2.46,27.26,272.51,0,142.69,0,2.63

12,02:45-03:00,0,0,0,0,7.34,0,0,0,0,0,15,6.66,0,15,172.17,24.37,26.02,26.02,0,22,8.67,0,7.33,10,0,0,2.83,53.01,26.02,4.33,47.56,70.27,24.37,57.45,8.67,2.46,27.26,272.51,0,142.69,0,2.63

13,03:00-03:15,0,0,0,0,7.5,0,0,0,0,0,15,6.66,0,15,172.17,24.37,26.02,26.02,0,22.5,8.67,0,7.5,9.6,0,0,2.83,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.46,27.26,231.31,0,142.69,0,2.63

14,03:15-03:30,0,0,0,0,7.66,0,0,0,0,0,15,6.66,0,15,172.17,24.37,26.02,26.02,0,23,8.67,0,7.67,9.6,0,0,2.83,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.46,27.26,192.76,0,142.69,0,2.63

15,03:30-03:45,0,0,0,0,7.84,0,0,0,0,0,15,6.66,0,15,172.17,24.37,26.02,26.02,0,23.5,8.67,0,7.83,9.2,0,0,2.83,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.46,27.26,192.76,0,142.69,0,2.63

16,03:45-04:00,0,0,0,0,8,0,0,0,0,0,15,6.66,0,15,172.17,24.37,26.02,26.02,0,24,8.67,0,8,9.2,0,0,2.83,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.46,27.26,192.76,0,142.69,0,2.63

17,04:00-04:15,0,0,0,0,9.16,0,0,0,0,0,17,8.66,0,17,172.17,24.37,26.02,26.02,0,27.5,8.67,0,9.17,8.8,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,28.26,192.76,0,142.69,0,2.48

18,04:15-04:30,0,0,0,0,9.34,0,0,0,0,0,17.33,8.66,0,17.33,172.17,24.37,26.02,26.02,0,28,8.67,0,9.33,8.8,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,29.27,192.76,0,142.69,0,2.48

19,04:30-04:45,0,0,0,0,9.5,0,0,0,0,0,16.33,9,0,16.33,172.17,24.37,26.02,26.02,0,28.5,8.67,0,9.5,8.2,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,29.27,192.76,0,142.69,0,2.48

20,04:45-05:00,0,0,0,0,9.66,0,0,0,0,0,16.67,9,0,16.67,172.17,24.37,26.02,26.02,0,29,8.67,0,9.67,8.2,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,29.27,192.76,0,142.69,0,2.48

21,05:00-05:15,0,0,0,0,9.5,0,0,0,0,0,15,8.34,0,15,172.17,24.37,26.02,26.02,0,28.5,8.67,0,9.5,7.6,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,29.27,192.76,0,142.69,0,2.48

22,05:15-05:30,0,0,0,0,9.34,0,0,0,0,0,15,8.34,0,15,172.17,24.37,26.02,26.02,0,28,8.67,0,9.33,7.6,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,29.27,192.76,0,142.69,0,2.48

23,05:30-05:45,0,0,0,0,9.16,0,0,0,0,0,13,8.34,0,13,172.17,24.37,26.02,26.02,0,27.5,8.67,0,9.17,7.2,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,28.26,192.76,0,142.69,0,2.48

24,05:45-06:00,0,0,0,0,9,0,0,0,0,0,13,8.34,0,13,172.17,24.37,26.02,26.02,0,27,8.67,0,9,6.8,0,0,2.68,53.01,26.02,4.33,47.56,70.27,24.37,57.54,8.67,2.41,28.26,192.76,0,142.69,0,2.48

25,06:00-06:15,0,6.27,0,0,8.66,0,0,0,0,1,13,7.34,0,13,172.17,26.91,26.02,26.02,4,26,8.67,7.01,8.67,6.8,0,0,2.68,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,28.26,192.76,0,0,0,2.32

26,06:15-06:30,0,13.42,0,1,8.5,1,0,0,0,2,13,7.34,0.19,13,172.17,26.91,26.02,26.02,11,25.5,8.67,15,8.5,6.8,0,0,2.68,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,28.26,192.76,0,0,0,2.32

27,06:30-06:45,1,21.74,2,3,8.16,4,0,0.03,0,5,13,7.34,3.89,13,172.17,26.91,26.02,26.02,14,24.5,8.67,22.24,8.17,6.8,0.32,0,2.68,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,27.26,192.76,0.31,0,0.31,2.32

28,06:45-07:00,3,23.4,3,4,8,7,2,0.65,0.13,8,13,7.34,11.98,13,172.17,26.91,26.02,26.02,18,24,8.67,23.4,8,6.8,0.73,0,2.68,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.75,192.76,0.71,0,0.71,2.32

29,07:00-07:15,6,21.97,6,5,8,14,5,6.39,1.28,10,14.33,7.34,20.11,14.33,172.17,26.91,26.02,26.02,21.97,24,8.67,21.96,8,6.8,1.35,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,1.32,0,1.32,2.32

30,07:15-07:30,10,24.97,10,7,8,25,7,16.63,3.32,15,14.33,7.34,28.46,14.33,172.17,26.91,26.02,26.02,24.97,24,8.67,24.96,8,6.8,2.25,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,2.21,0,2.21,2.32

31,07:30-07:45,16,26.3,13,9,8,39,8,31.04,6.21,18,14.33,7.34,38.75,14.33,172.17,26.91,26.02,26.02,26.3,24,8.67,26.3,8,6.8,3.13,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,3.06,0,3.06,2.32

32,07:45-08:00,22,27.7,19,12,8,53,11,48.52,9.7,25,14.33,7.34,50.41,14.33,172.17,26.91,26.02,26.02,27.7,24,8.67,27.7,8,6.8,4.1,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,25.23,192.76,3.99,0,3.99,2.32

33,08:00-08:15,27,28.53,26,15,7.84,63,16,67.83,13.56,32,14.33,7.34,62.35,14.33,172.17,26.91,26.02,26.02,28.53,23.5,8.67,28.54,7.83,6.8,5.18,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,25.23,192.76,5.05,0,5.05,2.32

34,08:15-08:30,33,29.7,33,19,7.34,77,20,87.59,17.52,39,14.33,7.66,73.53,14.33,172.17,26.91,26.02,26.02,29.7,22,8.67,29.7,7.33,6.8,6.27,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,25.23,149.87,6.12,0,6.12,2.32

35,08:30-08:45,39,30.73,41,22,7.34,91,24,107.47,21.49,46,18.33,6.66,83.52,18.33,172.17,26.91,26.02,26.02,30.73,22,8.67,30.74,7.33,6.8,7.59,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,25.23,149.87,7.41,0,7.41,2.32

36,08:45-09:00,45,30.73,47,25,7.34,105,27,126.06,25.21,53,18,6,92.7,18,172.17,26.91,26.02,26.02,30.73,22,8.67,30.74,7.33,6.8,8.66,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.73,149.87,8.45,0,8.45,2.32

37,09:00-09:15,51,31.23,57,28,7.34,119,29,143.64,28.73,60,19,5.66,101.43,19,172.17,26.91,26.02,26.02,31.23,22,8.67,31.24,7.33,6.8,9.79,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.73,149.87,9.55,0,9.55,2.32

38,09:15-09:30,57,32.07,63,32,7.16,133,32,160.28,32.05,66,18,5.66,109.34,18,172.17,26.91,26.02,26.02,32.07,21.5,8.67,32.06,7.17,6.8,10.92,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.73,192.76,10.65,0,10.65,2.32

39,09:30-09:45,63,32.23,68,35,7,147,34,176.28,35.26,72,17.33,5.66,116.27,17.33,172.17,26.91,26.02,26.02,32.23,21,8.67,32.24,7,6.8,11.89,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.73,192.76,11.6,0,11.6,2.32

40,09:45-10:00,69,32.23,75,37,6.84,161,36,190.95,38.19,77,16.67,5.34,122.31,16.67,172.17,26.91,26.02,26.02,32.23,20.5,8.67,32.24,6.83,6.8,12.89,0,2.6,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,12.58,0,12.58,2.32

41,10:00-10:15,73,32.23,79,39,6.66,172,38,204.32,40.86,83,16.67,5.34,127.5,16.67,172.17,26.91,26.02,26.02,32.23,20,8.67,32.24,6.67,6.8,13.55,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,13.23,0,13.23,2.32

42,10:15-10:30,78,32.23,84,41,6.66,182,40,215.83,43.16,87,16,5.34,132,16,172.17,26.91,26.02,26.02,32.23,20,8.67,32.24,6.67,6.8,14.54,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,14.19,0,14.19,2.32

43,10:30-10:45,81,32.4,89,43,6.66,189,42,226.44,45.29,90,16,5.34,136.09,16,172.17,26.91,26.02,26.02,32.4,20,8.67,32.4,6.67,6.8,15.19,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,14.83,0,14.83,2.32

44,10:45-11:00,84,32.83,90,44,6.66,196,43,233.33,46.67,93,16,5.34,139.53,16,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.62,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,15.24,0,15.24,2.32

45,11:00-11:15,84,32.83,90,42,6.66,196,44,233.33,46.67,88,15,5,142.52,15,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,15.28,0,15.28,2.4

46,11:15-11:30,84,32.83,91,42,6.66,196,44,233.33,46.67,88,14.33,5,144.85,14.33,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,24.22,192.76,15.28,0,15.28,2.4

47,11:30-11:45,84,32.83,91,42,6.66,196,45,233.33,46.67,88,14,5,146.49,14,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,25.23,192.76,15.28,0,15.28,2.4

48,11:45-12:00,84,32.83,91,42,6.66,196,45,233.33,46.67,88,13.33,5,147.41,13.33,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.31,25.23,192.76,15.28,0,15.28,2.4

49,12:00-12:15,84,32.83,91,42,6.66,196,45,250,50,88,12.67,5,147.4,12.67,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,15.28,0,15.28,2.4

50,12:15-12:30,84,32.83,91,42,6.66,196,45,250,50,88,12.33,5,146.54,12.33,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,15.28,0,15.28,2.4

51,12:30-12:45,84,32.83,91,42,6.66,196,45,250,50,88,12.67,5,144.69,12.67,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,6.8,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,15.28,0,15.28,2.4

52,12:45-13:00,84,32.83,91,42,6.66,196,45,250,50,88,13,5,142.03,13,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,7,15.66,0,2.46,53.01,26.02,4.23,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,15.28,0,15.28,2.4

53,13:00-13:15,84,32.83,91,42,6.66,196,44,250,50,88,15.67,5,138.44,15.67,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,7.2,15.66,0,2.6,53.01,26.02,4.14,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,15.28,0,15.28,2.4

54,13:15-13:30,84,32.83,91,42,6.66,196,43,250,50,88,16.67,5,134.11,16.67,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,7.2,15.66,0,2.6,53.01,26.02,4.14,0,70.27,26.91,57.54,8.67,2.41,26.24,192.76,15.28,0,15.28,2.4

55,13:30-13:45,82,32.83,91,42,6.66,193,42,250,50,88,16,5,129.33,16,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,7.2,15.66,0,2.6,53.01,26.02,4.14,0,70.27,26.91,57.54,8.67,2.41,26.24,231.31,15.28,0,15.28,2.4

56,13:45-14:00,81,32.83,90,41,6.66,189,42,250,50,87,16.67,5,123.69,16.67,172.17,26.91,26.02,26.02,32.83,20,8.67,32.84,6.67,7.2,15.62,0,2.6,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,26.24,272.51,15.24,0,15.24,2.4

57,14:00-14:15,79,32.83,88,40,7.5,186,39,230.45,46.09,85,21,6,117.68,21,201.09,26.91,26.02,26.02,32.83,22.5,8.67,32.84,7.5,7.2,15.22,0,2.68,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,26.24,272.51,14.85,0,14.85,2.48

58,14:15-14:30,78,32.83,84,39,8,182,38,219.96,43.99,81,22.67,6.66,110.84,22.67,228.02,26.91,26.02,26.02,32.83,24,8.67,32.84,8,7.2,14.75,0,2.68,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,26.24,272.51,14.4,0,14.4,2.48

59,14:30-14:45,73,32.83,79,37,8.34,172,36,208.48,41.69,78,23.67,7.34,103.12,23.67,228.02,26.91,26.02,26.02,32.83,25,8.67,32.84,8.33,7.2,14.28,0,2.68,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,25.74,272.51,13.92,0,13.92,2.48

60,14:45-15:00,69,32.83,75,34,8.66,161,35,195.21,39.04,71,25,8.34,94.75,25,228.02,26.91,26.02,26.02,32.83,26,8.67,32.84,8.67,7.2,13.64,0,2.68,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,25.74,272.51,13.3,0,13.3,2.48

61,15:00-15:15,64,32.83,70,31,9,151,33,181.48,36.29,65,26.33,8.34,85.97,26.33,172.17,26.91,26.02,26.02,32.83,27,8.67,32.84,9,7.2,12.79,0,2.76,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,26.75,272.51,12.47,0,12.47,2.48

62,15:15-15:30,60,32.83,65,28,9.84,140,30,166.18,33.24,59,26.67,8.34,76.07,26.67,172.17,26.91,26.02,26.02,32.83,29.5,8.67,32.84,9.83,7.2,12.02,0,2.76,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,26.75,272.51,11.74,0,11.74,2.48

63,15:30-15:45,54,32.83,58,25,10.16,126,27,149.54,29.91,52,26.33,9.34,65.81,26.33,172.17,26.91,26.02,26.02,32.83,30.5,8.67,32.84,10.17,7.4,9.82,0,2.76,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,27.76,272.51,9.58,0,9.58,2.48

64,15:45-16:00,48,32.83,53,21,10.5,112,25,133.41,26.68,44,26,9,55.05,26,172.17,26.91,26.02,26.02,32.83,31.5,8.67,32.84,10.5,7.4,9.24,0,2.76,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.41,28.26,272.51,9.02,0,9.02,2.48

65,16:00-16:15,42,32.83,45,18,10.84,98,21,116.73,23.35,37,25.67,9,43.77,25.67,172.17,26.91,26.02,26.02,32.83,32.5,8.67,32.84,10.83,7.4,8.35,0,2.76,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.51,28.26,272.51,8.15,0,8.15,2.63

66,16:15-16:30,36,32.83,38,14,12,84,17,99.23,19.85,29,25,9,32.51,25,236.69,26.91,26.02,26.02,32.83,36,8.67,32.84,12,7.4,7.45,0,2.76,53.01,26.02,4.14,0,70.27,26.91,76.42,8.67,2.51,28.26,272.51,7.27,0,7.27,2.63

67,16:30-16:45,30,32.83,30,11,12.34,70,13,80.1,16.02,22,24.33,9,22.13,24.33,205.82,26.91,26.02,26.02,32.83,37,8.67,32.84,12.33,7.4,6.47,0,2.76,53.01,26.02,4.14,0,70.27,26.91,86.06,8.67,2.51,27.76,272.51,6.31,0,6.31,2.63

68,16:45-17:00,24,26.22,23,7,12.66,56,11,61.38,12.28,15,23.67,8.66,13.73,23.67,205.82,26.91,26.02,26.02,25,38,8.67,29.33,12.67,7.4,5.49,0,2.76,77.1,26.02,4.14,0,70.27,26.91,86.06,8.67,2.51,27.76,272.51,5.36,0,5.36,2.63

69,17:00-17:15,18,22.47,16,5,12.5,42,7,43.06,8.61,11,22.67,8.66,8.44,22.67,261.67,26.91,34.7,34.7,18,37.5,9.64,25.13,12.5,7.4,4.56,0,2.68,100.41,34.7,4.23,0,70.27,26.91,86.06,9.64,2.51,28.77,272.51,4.46,0,4.46,2.63

70,17:15-17:30,12,11.82,12,2,12,28,5,26.26,5.25,5,21.67,8.66,5.07,21.67,261.67,26.91,34.7,34.7,10,36,9.64,13.23,12,7.4,3.75,0,2.68,100.41,34.7,4.23,0,85.01,26.91,86.06,9.64,2.51,28.77,272.51,3.66,0,3.66,2.63

71,17:30-17:45,7,2.28,8,1,11.66,18,2,12.69,2.54,1,22,8.66,1.47,22,261.67,26.91,34.7,34.7,2,35,9.64,2.55,11.67,7.4,2.87,0,3.22,100.41,34.7,4.23,0,85.01,26.91,86.06,9.64,2.51,29.77,272.51,2.79,0,2.79,2.63

72,17:45-18:00,4,1.52,5,0,11.5,11,0,4.11,0.82,1,22.67,8.66,0,22.67,261.67,26.91,34.7,34.7,0,34.5,9.64,1.7,11.5,7.4,2.07,0,3.22,100.41,34.7,4.23,0,85.01,26.91,86.06,9.64,2.51,30.28,272.51,2.02,0,2.02,2.63

73,18:00-18:15,2,0,2,0,11.34,5,0,0.23,0.05,0,23.33,8.66,0,23.33,261.67,25.4,34.7,34.7,0,34,9.64,0,11.33,7.4,1.49,125,3.22,100.41,34.7,4.23,0,85.01,25.4,86.06,9.64,2.51,30.78,272.51,1.46,0,1.46,3.1

74,18:15-18:30,0,0,0,0,11.16,1,0,0,0,0,24,8.66,0,24,261.67,25.4,34.7,34.7,0,33.5,9.64,0,11.17,7.4,1.05,125,3.22,100.41,34.7,4.23,0,85.01,25.4,86.06,9.64,2.51,30.78,272.51,1.02,0,1.02,3.1

75,18:30-18:45,0,0,0,0,10.34,0,0,0,0,0,24.67,8.34,0,24.67,261.67,25.4,34.7,34.7,0,31,9.64,0,10.33,7.4,0.54,125,3.22,100.41,34.7,4.23,0,85.01,25.4,86.06,9.64,2.51,30.28,272.51,0.53,0,0.53,3.1

76,18:45-19:00,0,0,0,0,9.66,0,0,0,0,0,25.33,8.34,0,25.33,261.67,25.4,34.7,34.7,0,29,9.64,0,9.67,7.4,0.26,125,3.22,100.41,34.7,4.23,0,85.01,25.4,86.06,9.64,2.51,30.28,272.51,0.25,0,0.25,3.1

77,19:00-19:15,0,0,0,0,9.16,0,0,0,0,0,24.67,8.34,0,24.67,261.67,9,34.7,34.7,0,27.5,9.64,0,9.17,7.4,0,125,3.14,100.41,34.7,4.33,0,85.01,9,86.06,9.64,2.51,30.28,272.51,0,0,0,3.1

78,19:15-19:30,0,0,0,0,8.84,0,0,0,0,0,24,8.34,0,24,261.67,9,34.7,34.7,0,26.5,9.64,0,8.83,7.4,0,125,3.14,100.41,34.7,4.33,0,85.01,9,86.06,9.64,2.51,30.28,272.51,0,0,0,3.1

79,19:30-19:45,0,0,0,0,8.5,0,0,0,0,0,23.33,8,0,23.33,261.67,8.27,34.7,34.7,0,25.5,9.64,0,8.5,7.4,0,125,3.45,100.41,34.7,4.33,0,85.01,8.27,86.06,9.64,2.51,30.28,272.51,0,0,0,3.1

80,19:45-20:00,0,0,0,0,8.34,0,0,0,0,0,22.67,8.34,0,22.67,261.67,8.27,34.7,34.7,0,25,9.64,0,8.33,7.4,0,125,3.45,100.41,34.7,4.33,0,85.01,8.27,86.06,9.64,2.51,30.28,272.51,0,0,0,3.1

81,20:00-20:15,0,0,0,0,9.16,0,0,0,0,0,22.67,8.66,0,22.67,261.67,0.48,34.7,34.7,0,27.5,9.64,0,9.17,7.4,0,200,3.3,100.41,34.7,4.33,0,85.01,0.48,86.06,9.64,2.41,30.28,272.51,0,0,0,3.1

82,20:15-20:30,0,0,0,0,9.5,0,0,0,0,0,22.67,9,0,22.67,261.67,0.48,34.7,34.7,0,28.5,9.64,0,9.5,7.4,0,200,3.3,100.41,34.7,4.33,0,85.01,0.48,86.06,9.64,2.41,30.28,272.51,0,0,0,3.1

