Time,Block,NR/2024/20141/A/19036,NR/2024/19966/A/19022,NR/2024/20109/A/19460,NR/2024/20142/A/19037,NR/2024/20041/A/19402,NR/2024/20300/C,NR/2024/20031/A/19344,NR/2024/20289/C,NR/2024/20040/A/19331,NR/2024/19432/A/19349,NR/2024/19475/A/19286,NR/2024/20090/A/19105,NR/2024/19779/A/18943,NR/2024/19918/A/19333,NR/2024/20082/A/19332,NR/2024/20302/C,NR/2024/20052/A/18846,NR/2024/20288/C,NR/2024/19355/A/19461,NR/2024/20033/A/19345,NR/2024/20282/C,NR/2024/20144/A/19038,NR/2024/20130/A/18954,NR/2024/19588/A/19031,NR/2024/20295/C,NR/2024/20305/C,NR/2024/20034/A/19343,NR/2024/19683/A/19133,NR/2024/20048/A/19401,NR/2024/20292/C,NR/2024/19637/A/19014,NR/2024/19760/A/18990,NR/2024/19699/A/19347,NR/2024/20280/C,NR/2024/20050/A/19400,NR/2024/20281/C,NR/2024/20037/A/18985,Total

3,00:30-00:45,0.350000,0.000000,241.450000,0.520000,0.000000,56.020000,43.900000,27.240000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,210.540000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,2010.52

4,00:45-01:00,0.350000,0.000000,241.450000,0.520000,0.000000,56.020000,43.900000,27.240000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,213.440000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,2013.42

5,01:00-01:15,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,43.900000,27.240000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,221.170000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1965.13

6,01:15-01:30,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,43.900000,27.240000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,228.890000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1972.85

7,01:30-01:45,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,239.520000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1956.24

8,01:45-02:00,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,240.480000,8.690000,96.580000,96.580000,14.630000,19.320000,0.880000,0.480000,66.820000,130.380000,193.160000,43.900000,1.930000,54.330000,48.290000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1957.2

9,02:00-02:15,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1232.94

10,02:15-02:30,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1232.94

11,02:30-02:45,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1232.94

12,02:45-03:00,0.350000,0.000000,241.450000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.630000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1232.94

13,03:00-03:15,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

14,03:15-03:30,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

15,03:30-03:45,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

16,03:45-04:00,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

17,04:00-04:15,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

18,04:15-04:30,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

19,04:30-04:45,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

20,04:45-05:00,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,19.320000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1174.89

21,05:00-05:15,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1213.52

22,05:15-05:30,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1213.52

23,05:30-05:45,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1213.52

24,05:45-06:00,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,13.520000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,54.330000,0.000000,0.000000,0.000000,48.290000,0,162.980000,111.360000,72.440000,1213.52

25,06:00-06:15,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,0,0.000000,111.360000,72.440000,982.69

26,06:15-06:30,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,0.1,0.000000,111.360000,72.440000,982.79

27,06:30-06:45,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,0.68,0.000000,111.360000,72.440000,983.37

28,06:45-07:00,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.530000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,0.87,0.000000,111.360000,72.440000,983.56

29,07:00-07:15,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.680000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,1.24,0.000000,111.360000,72.440000,984.08

30,07:15-07:30,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.680000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,1.7,0.000000,111.360000,72.440000,984.54

31,07:30-07:45,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.680000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,2.26,0.000000,111.360000,72.440000,985.1

32,07:45:08:00,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.680000,0.000000,11.590000,0.000000,8.690000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,2.75,0.000000,111.360000,72.440000,985.59

33,08:00-08:15,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,3.42,0.000000,111.360000,72.440000,987.52

34,08:15-08:30,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,3.87,0.000000,111.360000,72.440000,987.97

35,08:30-08:45,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,4.57,0.000000,111.360000,72.440000,988.67

36,08:45:09:00,0.350000,0.000000,183.500000,0.520000,0.000000,0.000000,37.310000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,12.440000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,37.310000,1.930000,0.000000,0.000000,0.000000,0.000000,48.290000,5.15,0.000000,111.360000,72.440000,989.25

37,09:00:09:15,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,5.39,0.000000,111.360000,72.440000,1164.21

38,09:15-09:30,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,5.46,0.000000,111.360000,72.440000,1164.28

39,09:30-09:45,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,5.55,0.000000,111.360000,72.440000,1164.37

40,09:45-10:00,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,9.660000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,5.75,0.000000,111.360000,72.440000,1164.57

41,10:00-10:15,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,5.79,0.000000,111.360000,72.440000,1168.47

42,10:15-10:30,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,5.99,0.000000,111.360000,72.440000,1168.67

43,10:30-10:45,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,6.23,0.000000,111.360000,72.440000,1168.91

44,10:45-11:00,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,6.37,0.000000,111.360000,72.440000,1169.05

45,11:00-11:15,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,6.52,0.000000,111.360000,72.440000,1169.2

46,11:15-11:30,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,6.57,0.000000,111.360000,72.440000,1169.25

47,11:30-11:45,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,6.95,0.000000,111.360000,72.440000,1169.63

48,11:45-12:00,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,0.000000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,7.24,0.000000,111.360000,72.440000,1169.92

49,12:00-12:15,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,7.53,0.000000,111.360000,72.440000,1183.73

50,12:15-12:30,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,7.73,0.000000,111.360000,72.440000,1183.93

51,12:30-12:45,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,8,0.000000,111.360000,72.440000,1184.2

52,12:45-13:00,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,8.06,0.000000,111.360000,72.440000,1184.26

53,13:00-13:15,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,8.55,0.000000,111.360000,72.440000,1184.75

54,13:15-13:30,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,9.03,0.000000,111.360000,72.440000,1185.23

55,13:30-13:45,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,8.64,0.000000,111.360000,72.440000,1184.84

56,13:45-14:00,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,8.5,0.000000,111.360000,72.440000,1184.7

57,14:00-14:15,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,8.06,0.000000,111.360000,72.440000,1184.26

58,14:15-14:30,0.350000,38.630000,183.500000,0.520000,48.290000,0.000000,43.900000,0.000000,14.490000,24.140000,193.160000,1.930000,0.970000,13.520000,11.590000,0.000000,13.520000,0.000000,96.580000,14.630000,57.950000,0.880000,0.480000,66.820000,0.000000,0.000000,43.900000,1.930000,0.000000,0.000000,24.140000,48.290000,48.290000,7.68,0.000000,111.360000,72.440000,1183.88

