Block,Time,L_NR_2020_02,LT-05,L_NR_2012_02,LT-35,L_NR_2012_07,LT-36,LT-59,L_NR_2012_04,L_NR_2019_11,LT_MEJA_Delhi,L_NR_2012_01,SH-06,LT-31,L_NR_2019_19,SH-07,L_NR_2019_07,L_NR_2019_06,L_NR_2020_06,L_NR_2021_15,L_NR_2021_13,L_NR_2019_05,L_NR_2018_61,L_NR_2021_17,L_NR_2020_05,L_NR_2021_14,L_NR_2020_07,L_NR_2022_08,L_NR_2022_10,L_NR_2021_16,L_NR_2021_12,L_NR_2022_09
9,02:00-02:15,3.510000,115.610000,128.250000,0.000000,47.380000,0.000000,4.100000,222.430000,3.910000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,18.87,0,0,0,2.69,0,56.62,0,18.88,8.11,30.63,0,0,30.63

10,02:15-02:30,3.510000,115.610000,128.250000,0.000000,47.380000,0.000000,4.100000,222.430000,3.910000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,19.04,0,0,0,2.68,0,57.12,0,19.04,7.94,30.79,0,0,30.79

11,02:30-02:45,3.510000,115.610000,128.250000,0.000000,47.380000,0.000000,4.100000,222.430000,3.910000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,18.94,0,0,0,2.64,0,56.81,0,18.93,7.73,30.93,0,0,30.93

12,02:45-03:00,3.510000,115.610000,128.250000,0.000000,47.380000,0.000000,4.100000,222.430000,3.910000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,18.92,0,0,0,2.63,0,56.76,0,18.93,7.5,31.04,0,0,31.04

13,03:00-03:15,3.510000,115.610000,128.250000,0.000000,47.380000,0.000000,4.100000,222.430000,3.760000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,19.04,0,0,0,2.78,0,57.11,0,19.03,7.42,31.53,0,0,31.53

14,03:15-03:30,3.510000,115.610000,128.250000,0.000000,47.380000,0.000000,4.100000,222.430000,3.760000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,19.05,0,0,0,2.79,0,57.13,0,19.04,8.21,32.15,0,0,32.15

15,03:30-03:45,3.510000,115.610000,104.180000,0.000000,47.380000,0.000000,4.100000,222.430000,3.760000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,14.43,0,0,0,2.77,0,43.29,0,14.42,4.37,33.54,0,0,33.54

16,03:45-04:00,3.510000,115.610000,80.100000,0.000000,47.380000,0.000000,4.100000,222.430000,3.760000,11.320000,52.960000,25.990000,0.000000,0.000000,25.990000,0,0,14.46,0,0,0,2.77,0,43.38,0,14.45,4.47,33.54,0,0,33.54

17,04:00-04:15,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,3.950000,222.430000,3.760000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,14.55,0,0,0,2.78,0,43.65,0,14.56,4.63,34.4,0,0,34.4

18,04:15-04:30,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,3.950000,222.430000,3.760000,11.320000,100.860000,25.990000,0.000000,0.000000,25.990000,0,0,14.74,0,0,0,2.7,0,44.22,0,14.74,4.82,35.17,0,0,35.17

19,04:30-04:45,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,4.140000,251.320000,3.760000,11.320000,100.860000,25.990000,0.000000,0.000000,25.990000,0,0,14.78,0,0,0,2.68,0,44.35,0,14.79,5.01,36.08,0,0,36.08

20,04:45-05:00,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,4.140000,251.320000,3.760000,11.320000,100.860000,25.990000,0.000000,0.000000,25.990000,0,0,14.77,0,0,0,2.62,0,44.31,0,14.76,5.19,37.16,0,0,37.16

21,05:00-05:15,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,4.140000,251.320000,3.760000,11.320000,100.860000,25.990000,0.000000,0.000000,25.990000,0,0,20.86,0,0,0,2.62,0,62.58,0,20.85,10.08,47.54,0,0,47.54

22,05:15-05:30,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,4.140000,251.320000,3.760000,11.320000,100.860000,25.990000,0.000000,0.000000,25.990000,0,0,20.86,0,0,0,2.62,0,62.57,0,20.85,10.15,47.08,0,0,47.08

23,05:30-05:45,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,4.140000,251.320000,3.760000,11.320000,81.850000,25.990000,0.000000,0.000000,25.990000,0,0,21.13,0,0,0,2.58,0,63.38,0,21.12,10.21,46.42,0,0,46.42

24,05:45-06:00,3.330000,115.610000,95.510000,0.000000,47.380000,0.000000,4.140000,251.320000,3.760000,11.320000,81.850000,25.990000,0.000000,0.410000,25.990000,0,0,21.51,0,0,0,2.58,0,64.54,0,21.53,10.24,46.05,0,0,46.05

25,06:00-06:15,3.240000,115.610000,95.510000,0.040000,47.380000,0.040000,4.140000,251.320000,3.600000,11.320000,81.850000,25.990000,0.040000,4.410000,25.990000,0.77,24.01,21.2,0,0,0,2.58,0.17,63.62,0.03,21.21,9.86,45.36,0.33,0,45.36

26,06:15-06:30,3.240000,94.450000,77.840000,0.120000,47.380000,0.120000,4.140000,251.320000,3.600000,11.320000,52.960000,25.990000,0.120000,10.000000,25.990000,3.66,33,21.16,0.5,0.44,0,2.58,0.95,63.49,0.03,21.18,9.7,44.5,1.9,2.19,44.5

27,06:30-06:45,3.240000,85.950000,77.840000,0.440000,31.780000,0.450000,4.140000,251.320000,3.600000,11.320000,51.030000,25.990000,0.440000,15.950000,25.990000,8.88,33,22.86,1.47,1.54,0,2.64,2.42,68.57,1.32,22.85,11.23,53.56,4.83,7.68,53.56

28,06:45-07:00,3.240000,77.450000,77.840000,1.060000,31.780000,1.090000,4.140000,251.320000,3.600000,11.320000,51.030000,25.990000,1.060000,22.980000,25.990000,18.53,24.97,22.58,3.16,3,0,2.71,4.52,67.75,3.89,22.6,11.07,52.67,9.05,14.99,52.67

29,07:00-07:15,3.240000,68.950000,53.770000,1.860000,31.780000,1.900000,4.140000,264.800000,3.600000,11.320000,51.030000,25.850000,1.860000,31.440000,25.850000,20.98,20.98,21.93,5.68,5.1,1.54,2.9,7.32,65.8,7.61,21.94,10.95,51.64,14.64,25.53,51.64

30,07:15-07:30,3.240000,66.110000,50.070000,3.010000,31.780000,3.080000,4.140000,264.800000,3.600000,11.320000,51.030000,25.850000,3.010000,41.190000,25.850000,17.38,17.38,21.16,9.09,8.12,8.74,2.92,10.86,63.49,12.68,21.17,10.54,50.72,21.72,40.6,50.72

31,07:30-07:45,3.240000,66.110000,50.070000,4.290000,31.780000,4.400000,4.140000,264.800000,3.600000,11.320000,51.030000,25.850000,4.290000,51.160000,25.850000,14.5,14.5,20.34,12.76,11.72,14.5,2.68,21.33,61.02,18.96,20.34,10.26,49.78,42.67,58.59,49.78

32,07:45:08:00,3.240000,70.270000,74.140000,5.620000,31.780000,5.760000,4.140000,264.800000,3.600000,11.320000,51.030000,25.850000,5.620000,61.740000,25.850000,14.5,14.5,19.25,16.6,15.71,14.5,2.63,26.66,57.76,26.09,19.25,8.85,48.89,53.34,78.56,48.89

33,08:00-08:15,3.150000,66.110000,77.840000,6.930000,31.780000,7.100000,4.140000,264.800000,3.600000,11.320000,51.030000,25.850000,6.930000,71.490000,25.850000,26.18,26.18,21.42,26.25,20.05,26.19,2.71,32.33,64.26,34,21.43,8.41,43.42,64.67,100.26,43.42

34,08:15-08:30,3.150000,66.110000,77.840000,8.220000,31.780000,8.420000,4.140000,264.800000,3.600000,11.320000,51.030000,25.850000,8.220000,80.790000,25.850000,26.18,26.18,20.98,31.29,24.25,26.19,2.9,34.33,62.95,42.63,20.99,8.2,42.57,68.67,121.23,42.57

35,08:30-08:45,3.150000,66.110000,77.840000,9.450000,31.780000,9.680000,4.140000,270.820000,3.600000,6.340000,51.030000,25.850000,9.450000,90.470000,25.850000,26.18,26.18,20.57,35.53,28.28,26.19,2.89,37.33,61.72,48.94,20.58,7.82,41.63,74.67,141.39,41.63

36,08:45:09:00,3.150000,66.110000,77.840000,10.620000,31.780000,10.890000,4.140000,270.820000,3.600000,6.340000,51.030000,25.850000,10.620000,99.780000,25.850000,26.18,26.18,20.2,38.87,32.01,26.19,2.79,42.66,60.61,56.51,20.21,7.55,40.68,85.34,160.04,40.68

37,09:00:09:15,3.150000,66.110000,53.770000,11.750000,31.780000,12.030000,3.990000,270.820000,3.450000,6.340000,51.030000,25.850000,11.750000,108.090000,25.850000,26.18,26.18,19.61,41.62,35.55,26.19,6.12,44,58.83,62.63,19.61,7.07,40.05,88,177.77,40.05

38,09:15-09:30,3.150000,66.110000,77.840000,12.730000,31.780000,13.040000,3.990000,270.820000,3.450000,6.340000,51.030000,25.850000,12.730000,114.910000,25.850000,26.18,26.18,19.19,43.73,38.98,26.19,6.07,46,57.56,69.11,19.19,6.77,39.32,92,194.92,39.32

39,09:30-09:45,3.150000,66.110000,53.770000,13.590000,31.780000,13.930000,3.990000,270.820000,3.450000,6.340000,51.030000,25.850000,13.590000,120.180000,25.850000,26.18,26.18,18.82,48.2,42.23,26.19,6.12,48,56.47,74.87,18.83,6.55,33.42,96,211.15,33.42

40,09:45-10:00,3.150000,70.270000,50.070000,14.450000,31.780000,14.810000,3.990000,270.820000,3.450000,6.340000,51.030000,25.850000,14.450000,124.370000,25.850000,26.18,26.18,18.47,50,45.14,26.19,6.02,50,55.4,79.88,18.46,6.07,31.75,100,225.68,31.75

41,10:00-10:15,3.150000,70.270000,50.070000,15.270000,31.780000,15.650000,3.990000,270.820000,3.450000,6.350000,51.030000,25.850000,15.270000,128.610000,25.850000,26.18,26.18,18.24,50,47.09,26.19,6.05,50,54.72,84.73,18.23,5.88,30.08,100,235.46,30.08

42,10:15-10:30,3.150000,70.270000,50.070000,15.880000,31.780000,16.280000,3.990000,270.820000,3.450000,6.340000,51.030000,25.850000,15.880000,132.830000,25.850000,26.18,26.18,18.02,50,47.09,26.19,6.14,48.66,54.06,89.26,18.03,5.33,27.75,97.34,235.46,27.75

43,10:30-10:45,3.150000,70.270000,50.070000,16.310000,31.780000,16.710000,3.990000,231.100000,3.450000,6.340000,51.030000,25.850000,16.310000,136.280000,25.850000,26.18,26.18,17.76,50,47.09,26.19,6.17,47.33,53.29,92.35,17.77,5.21,26.75,94.67,235.46,26.75

44,10:45-11:00,3.150000,70.270000,50.070000,16.840000,31.780000,17.270000,3.990000,208.950000,3.450000,6.340000,51.030000,25.850000,16.840000,138.170000,25.850000,26.18,26.18,15.44,50,47.09,26.19,6.11,46.33,46.31,93.87,15.44,7.65,35.05,92.67,235.46,35.05

45,11:00-11:15,3.150000,70.270000,50.070000,17.180000,31.780000,17.610000,3.790000,208.950000,3.450000,6.340000,51.030000,25.850000,17.180000,138.280000,25.850000,26.18,26.18,15.28,50,47.09,26.19,6.18,46,45.83,94.95,15.27,7.46,34,92,235.46,34

46,11:15-11:30,3.150000,70.270000,50.070000,17.590000,31.780000,18.040000,3.790000,208.950000,3.450000,6.340000,51.030000,25.850000,17.590000,136.060000,25.850000,26.18,26.18,15.21,50,47.09,26.19,6.02,45.33,45.62,95.51,15.21,7.28,33.29,90.67,235.46,33.29

47,11:30-11:45,3.150000,70.270000,50.070000,17.870000,31.780000,18.330000,3.790000,208.950000,3.450000,6.340000,51.030000,25.850000,17.870000,132.490000,25.850000,26.18,26.18,15.15,50,47.09,26.19,6.2,45,45.44,95.58,15.14,7.07,32.88,90,235.46,32.88

48,11:45-12:00,3.150000,70.270000,50.070000,17.860000,31.780000,18.310000,3.790000,208.950000,3.450000,6.340000,51.030000,25.850000,17.860000,128.900000,25.850000,26.18,26.18,15.11,50,47.09,26.19,6.05,44.66,45.33,95.56,15.11,6.9,33.08,89.34,235.46,33.08

49,12:00-12:15,3.050000,70.270000,50.070000,18.090000,31.780000,18.540000,3.950000,208.950000,3.600000,6.370000,51.030000,25.850000,18.090000,136.200000,25.850000,26.18,26.18,15.04,50,47.09,26.19,6.19,44.66,45.11,95.55,15.03,6.33,32.41,89.34,235.46,32.41

50,12:15-12:30,3.050000,70.270000,50.070000,18.140000,31.780000,18.600000,3.950000,208.950000,3.600000,6.370000,51.030000,25.850000,18.140000,135.270000,25.850000,26.18,26.18,14.78,50,47.09,26.19,6.45,44.33,44.34,95.58,14.78,9.54,31.66,88.67,235.46,31.66

51,12:30-12:45,3.050000,70.270000,50.070000,18.230000,31.780000,18.680000,3.950000,208.950000,3.600000,6.370000,51.030000,25.850000,18.230000,134.190000,25.850000,26.18,26.18,18.24,50,47.09,26.19,6.83,44.33,54.71,95.56,18.22,9.33,42.08,88.67,235.46,42.08

52,12:45-13:00,3.050000,70.270000,50.070000,18.280000,31.780000,18.730000,3.950000,208.950000,3.600000,6.370000,51.030000,25.850000,18.280000,132.810000,25.850000,26.18,26.18,18.01,50,47.09,26.19,7.45,44.33,54.04,95.53,18.02,9.22,42.41,88.67,235.46,42.41

53,13:00-13:15,3.240000,70.270000,74.140000,18.110000,50.730000,18.570000,3.950000,208.950000,3.600000,11.050000,51.100000,25.850000,18.110000,131.630000,25.850000,26.18,26.18,17.86,50,47.09,26.19,8.05,44.33,53.58,95.43,17.85,9.08,42.59,88.67,235.46,42.59

54,13:15-13:30,3.240000,70.270000,89.680000,17.970000,50.730000,18.420000,3.950000,208.950000,3.600000,11.050000,51.100000,25.850000,17.970000,130.270000,25.850000,26.18,26.18,22.26,50,47.09,26.19,9.67,44.66,66.79,95.38,22.28,14.88,42.71,89.34,235.46,42.71

55,13:30-13:45,3.240000,70.270000,89.680000,17.770000,31.790000,18.210000,3.950000,208.950000,3.600000,11.050000,51.100000,25.850000,17.770000,126.900000,25.850000,26.18,26.18,21.75,50,47.09,26.19,11.06,45,65.25,95.42,21.74,14.42,42.98,90,235.46,42.98

56,13:45-14:00,3.240000,70.270000,89.680000,17.290000,31.790000,17.720000,3.950000,208.950000,3.600000,11.050000,51.100000,25.850000,17.290000,123.620000,25.850000,26.18,26.18,21.55,50,47.09,26.19,20.48,45.33,64.66,95.18,21.56,14.28,43.31,90.67,235.46,43.31

57,14:00-14:15,3.430000,70.270000,65.610000,17.050000,32.160000,17.470000,4.100000,208.950000,3.760000,11.050000,50.070000,26.090000,17.050000,119.910000,26.090000,26.18,26.18,21.24,50,47.09,26.19,22.64,45.66,63.71,94.23,21.23,14.22,43.58,91.34,235.46,43.58

58,14:15-14:30,3.430000,70.270000,54.540000,16.660000,32.160000,17.080000,4.100000,208.950000,3.760000,11.050000,50.070000,26.090000,16.660000,115.480000,26.090000,26.18,26.18,21.21,50,47.09,26.19,24.08,46,63.62,93.65,21.2,14.01,44.02,92,235.46,44.02

59,14:30-14:45,3.430000,70.270000,54.540000,16.060000,32.160000,16.460000,4.100000,208.950000,3.760000,11.050000,50.070000,26.090000,16.060000,109.590000,26.090000,26.18,26.18,21.19,50,47.09,26.19,24.28,44.66,63.56,92.52,21.18,13.96,44.42,89.34,235.46,44.42

60,14:45-15:00,3.430000,70.270000,54.540000,15.490000,32.160000,15.880000,4.100000,231.100000,3.760000,11.050000,50.070000,26.090000,15.490000,102.970000,26.090000,26.18,26.18,21.15,50,47.09,26.19,11.93,45.33,63.46,90.64,21.16,13.88,45.22,90.67,235.46,45.22

61,15:00-15:15,3.610000,70.270000,54.540000,14.760000,32.160000,15.130000,3.790000,231.100000,3.760000,11.050000,50.070000,26.090000,14.760000,97.050000,26.090000,26.18,26.18,23.55,47.8,47.09,26.19,12.02,44.66,70.66,86.34,23.56,13.74,46.88,89.34,235.46,46.88

62,15:15-15:30,3.610000,70.270000,54.540000,13.820000,32.160000,14.170000,3.790000,231.100000,3.760000,11.050000,50.070000,26.090000,13.820000,87.760000,26.090000,26.18,26.18,24.27,45.12,46.83,26.19,12.3,41.33,72.82,81.39,24.29,13.85,49.51,82.67,234.14,49.51

63,15:30-15:45,3.610000,70.270000,78.610000,13.040000,51.090000,13.360000,3.790000,231.100000,3.760000,11.050000,50.070000,26.090000,13.040000,78.190000,26.090000,26.18,26.18,24.41,44.98,42.94,26.19,12.85,38,73.22,76.8,24.41,13.9,50.04,76,214.69,50.04

64,15:45-16:00,3.610000,70.270000,102.680000,12.190000,51.090000,12.490000,3.790000,231.100000,3.760000,11.050000,50.070000,26.090000,12.190000,68.630000,26.090000,26.18,26.18,24.46,42.37,39.2,26.19,13.61,36.33,73.38,70.84,24.46,13.93,50.04,72.67,196.02,50.04

65,16:00-16:15,3.790000,70.270000,107.320000,11.020000,51.090000,11.300000,3.950000,231.100000,3.990000,11.050000,50.070000,26.090000,11.020000,59.890000,26.090000,26.18,26.18,24.99,39.09,36.25,26.19,14.75,35.33,74.96,64.85,24.98,14.47,50.61,70.67,181.27,50.61

66,16:15-16:30,3.790000,70.270000,107.320000,10.000000,51.090000,10.250000,3.950000,231.100000,3.990000,11.050000,50.070000,26.090000,10.000000,51.850000,26.090000,26.18,26.18,25.73,35.16,33.75,26.19,15.54,33,77.18,58.83,25.72,15.52,50.58,66,168.73,50.58

67,16:30-16:45,3.790000,70.270000,107.320000,8.890000,51.090000,9.110000,3.950000,231.100000,3.990000,11.050000,50.070000,26.090000,8.890000,43.270000,26.090000,26.18,26.18,26.18,30.96,29.17,26.19,15,30,78.54,52.2,26.19,16.22,51.12,60,145.86,51.12

68,16:45-17:00,3.790000,70.270000,107.320000,7.610000,51.090000,7.800000,3.950000,231.100000,3.990000,11.050000,50.070000,26.090000,7.610000,34.520000,26.090000,27.35,27.35,26.75,26.65,25.59,23.85,13.9,26.66,80.24,45.05,26.73,16.88,50.74,53.34,127.95,50.74

69,17:00-17:15,3.990000,70.270000,102.510000,6.380000,51.090000,6.540000,4.180000,208.950000,3.760000,11.050000,50.070000,25.850000,6.380000,26.880000,25.850000,22.65,33,28.38,23.49,22.39,12.67,12.69,23.66,85.12,37.57,28.37,19.4,51.93,47.34,111.93,51.93

70,17:15-17:30,3.990000,70.270000,102.510000,5.130000,51.090000,5.250000,4.180000,231.100000,3.760000,11.050000,50.070000,25.850000,5.130000,19.750000,25.850000,15.75,33,28.48,19.11,18.2,4.9,11.61,19.66,85.43,30.43,28.47,19.45,53.48,39.34,91.02,53.48

71,17:30-17:45,3.990000,70.270000,102.510000,3.920000,51.090000,4.020000,4.180000,240.720000,3.760000,11.050000,50.070000,25.850000,3.920000,13.690000,25.850000,8.88,21.71,29.14,14.51,14.36,0.61,10.34,13.33,87.42,23.19,29.14,19.91,53.84,26.67,71.81,53.84

72,17:45-18:00,3.990000,70.270000,102.510000,2.850000,51.090000,2.910000,4.180000,240.720000,3.760000,11.050000,50.070000,25.850000,2.850000,8.510000,25.850000,2.77,11.26,28.94,10.03,11.02,0,9.39,10,86.81,16.32,28.93,19.95,54.45,20,55.11,54.45

73,18:00-18:15,3.240000,66.110000,102.510000,1.860000,51.090000,1.900000,4.180000,240.720000,3.760000,11.050000,50.070000,25.850000,1.860000,4.410000,25.850000,0,0,29.11,6.37,7.93,0,8.44,6.67,87.32,10.47,29.09,19.98,56.75,13.33,39.68,56.75

74,18:15-18:30,3.240000,66.110000,130.280000,1.150000,66.700000,1.180000,4.180000,270.820000,3.760000,11.050000,50.070000,25.850000,1.150000,1.980000,25.850000,0,0,27.22,3.76,4.74,0,7.86,3.33,81.66,6.05,27.22,18.39,57.39,6.67,23.7,57.39

75,18:30-18:45,3.240000,66.110000,130.280000,0.610000,75.990000,0.620000,3.720000,270.820000,3.760000,11.050000,100.860000,25.850000,0.610000,0.680000,25.850000,0,0,27.14,1.49,2.47,0,10.47,1.67,81.42,3.01,27.14,18.39,55.37,3.33,12.36,55.37

76,18:45-19:00,3.240000,74.620000,130.280000,0.000000,75.990000,0.000000,3.720000,270.820000,3.760000,11.050000,100.860000,25.850000,0.000000,0.000000,25.850000,0,0,27.07,0.22,0.97,0,9.51,0.67,81.21,0.93,27.08,18.41,54.77,1.33,4.83,54.77

77,19:00-19:15,3.240000,83.120000,130.280000,0.000000,75.990000,0.000000,3.720000,270.820000,3.910000,11.050000,100.860000,24.990000,0.000000,0.000000,24.990000,0,0,26.49,0,0,0,8.6,0,79.48,0.03,26.5,18.02,54.53,0,0,54.53

78,19:15-19:30,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.720000,270.820000,3.910000,11.050000,100.860000,24.990000,0.000000,0.000000,24.990000,0,0,21.01,0,0,0,7.76,0,63.04,0.03,21.03,12.14,55.04,0,0,55.04

79,19:30-19:45,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.720000,270.820000,3.600000,11.050000,100.860000,24.990000,0.000000,0.000000,24.990000,0,0,20.88,0,0,0,7.29,0,62.64,0.03,20.88,11.95,54.85,0,0,54.85

80,19:45-20:00,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.720000,270.820000,3.600000,11.050000,100.860000,24.990000,0.000000,0.000000,24.990000,0,0,20.6,0,0,0,6.76,0,61.79,0,20.58,11.85,40.83,0,0,40.83

81,20:00-20:15,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.970000,0.000000,0.000000,24.970000,0,0,20.53,0,0,0,6.32,0,61.6,0,20.54,11.37,39.9,0,0,39.9

82,20:15-20:30,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.970000,0.000000,0.000000,24.970000,0,0,20.45,0,0,0,6.01,0,61.36,0,20.46,10.98,39.36,0,0,39.36

83,20:30-20:45,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.970000,0.000000,0.000000,24.970000,0,0,20.34,0,0,0,6.19,0,61.01,0,20.32,10.79,38.88,0,0,38.88

84,20:45-21:00,3.240000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.970000,0.000000,0.000000,24.970000,0,0,20.03,0,0,0,6.19,0,60.08,0,20.03,10.62,38.43,0,0,38.43

85,21:00-21:15,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.200000,0.000000,0.000000,29.850000,0,0,19.67,0,0,0,6.07,0,59.02,0,19.68,10.47,45.22,0,0,45.22

86,21:15-21:30,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.200000,0.000000,0.000000,29.850000,0,0,19.44,0,0,0,6.08,0,58.31,0,19.43,10.35,44.11,0,0,44.11

87,21:30-21:45,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.200000,0.000000,0.000000,29.850000,0,0,20.48,0,0,0,6.03,0,61.42,0,20.47,10.23,42.88,0,0,42.88

88,21:45-22:00,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.560000,270.820000,3.600000,11.050000,100.860000,24.200000,0.000000,0.000000,29.850000,0,0,20,0,0,0,6.18,0,59.99,0,20,10.11,41.55,0,0,41.55

89,22:00-22:15,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,19.6,0,0,0,6.2,0,58.81,0,19.6,10.47,40.44,0,0,40.44

90,22:15-22:30,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,19.19,0,0,0,6.04,0,57.58,0,19.19,10.58,39.88,0,0,39.88

91,22:30-22:45,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,19.21,0,0,0,6.03,0,57.62,0,19.2,10.58,38.55,0,0,38.55

92,22:45-23:00,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,18.7,0,0,0,6.09,0,56.11,0,18.71,10.54,37.57,0,0,37.57

93,23:00-23:15,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,18.4,0,0,0,6.06,0,55.21,0,18.4,10.49,37.36,0,0,37.36

94,23:15-23:30,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,18.17,0,0,0,6.12,0,54.53,0,18.18,10.42,37.01,0,0,37.01

95,23:30-23:45,3.150000,115.610000,130.280000,0.000000,75.990000,0.000000,3.490000,270.820000,3.450000,11.050000,100.860000,24.120000,0.000000,0.000000,30.330000,0,0,18.48,0,0,0,6.12,0,55.43,0,18.47,10.43,36.94,0,0,36.94

