Column1,Block,GNA/NR/2025/08/01/4125,NR/2025/32455/A/100713,NR/2025/32004/A/100646,NR/2025/34263/A/100718,NR/2025/34247/A/100562,NR/2025/34505/C,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/100578,NR/2025/32599/A/100240,NR/2025/32534/A/100581,NR/2025/33633/A/100602,NR/2025/32535/A/100585,NR/2025/32532/A/100577,NR/2025/32534/A/100580,NR/2025/33637/A/100600,NR/2025/32535/A/100584,NR/2025/33632/A/100605,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,NR/2025/31045/A/100568,NR/2025/31043/A/100567,NR/2025/34492/C,NR/2025/29440/A/100177,NR/2025/34495/C,NR/2025/34467/C,NR/2025/34471/C,NR/2025/34468/C,NR/2025/32262/A/100167,NR/2025/34485/C,NR/2025/31421/A/100654,NR/2025/32559/A/100642,NR/2025/32610/A/100641,NR/2025/34487/C,NR/2025/32556/A/100643,NR/2025/29992/A/100137,NR/2025/34501/C,NR/2025/34502/C,NR/2025/34503/C,NR/2025/32375/A/100651,NR/2025/31049/A/100571,NR/2025/32397/A/100120,NR/2025/34078/A/100227,NR/2025/31048/A/100570,Total
3,00:30-00:45,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.87,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.5600000000002

4,00:45-01:00,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.87,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.5600000000002

5,01:00-01:15,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3200000000002

6,01:15-01:30,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3200000000002

7,01:30-01:45,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3200000000002

8,01:45-02:00,8.66,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3200000000002

9,02:00-02:15,8.66,0,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3300000000002

10,02:15-02:30,8.66,0,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3300000000002

11,02:30-02:45,8.66,0,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3300000000002

12,02:45-03:00,8.66,0,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.63,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1366.3300000000002

13,03:00-03:15,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.53,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1337

14,03:15-03:30,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.53,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1337

15,03:30-03:45,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.53,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1337

16,03:45-04:00,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,96.21,0,0.53,0,0,0,0,54.12,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,96.21,1337

17,04:00-04:15,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,0,1090.4599999999998

18,04:15-04:30,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,0,1090.4599999999998

19,04:30-04:45,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,0,1090.4599999999998

20,04:45-05:00,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,0,1090.4599999999998

21,05:00-05:15,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,0,1090.4599999999998

22,05:15-05:30,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,12.51,0,1090.4599999999998

23,05:30-05:45,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,11.55,0,1089.4999999999998

24,05:45-06:00,8.66,0,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.53,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,8.66,11.55,0,1089.4999999999998

25,06:00-06:15,8.66,0,76.6,81.78,163.56,0,0.03,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.82,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1081.1599999999999

26,06:15-06:30,8.66,0,76.6,81.78,163.56,0,1.3,0,2,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.82,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1084.43

27,06:30-06:45,8.66,0,76.6,81.78,163.56,0.84,4.21,0,6,0,0,0,0.06,0.03,0,0.02,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.82,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1092.29

28,06:45-07:00,8.66,0,76.6,81.78,163.56,1.38,6.42,0,11,0,0,0,0.13,0.06,0,0.03,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.82,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1100.1499999999999

29,07:00-07:15,8.66,0,76.6,81.78,163.56,1.97,9.54,0,18,0,0,0,0.19,0.1,0,0.19,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.87,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1111.17

30,07:15-07:30,8.66,0,76.6,81.78,163.56,2.97,13.47,0,28,0,0,0,0.28,0.14,0,0.19,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.87,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1126.23

31,07:30-07:45,8.66,0,76.6,81.78,163.56,3.86,17.63,0,39,0,0,0,0.38,0.19,0,0.19,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.87,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1142.4299999999998

32,07:45-08:00,8.66,0,76.6,81.78,163.56,5.25,22.27,0,49,0,0,0,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.87,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1158.6599999999999

33,08:00-08:15,8.66,0,76.6,81.78,163.56,6.19,27.68,0.26,56,0.2,0,0.17,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.96,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1175.52

34,08:15-08:30,8.66,0,76.6,81.78,163.56,8.53,33.41,0.41,67,0.32,0,0.28,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.96,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,11.55,0,1194.9699999999998

35,08:30-08:45,8.66,0,76.6,81.78,163.56,5.88,39,0.57,81,0.44,0,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.96,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,13.47,0,1214.21

36,08:45-09:00,8.66,0,76.6,81.78,163.56,5.88,44.42,0.78,91,0.55,0,0.55,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,0,0.96,0,0,0,0,0,0,48.1,26.24,26.24,0,26.24,44.26,192.42,0,0,48.1,0,0,13.47,0,1230.1200000000001

37,09:00-09:15,8.66,0,0,81.78,0,5.88,49.69,0.89,109,0.72,0,0.63,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1299.6699999999998

38,09:15-09:30,8.66,0,0,81.78,0,6.86,54.92,0.96,123,0.77,0,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1320.0399999999997

39,09:30-09:45,8.66,0,0,81.78,0,6.86,55.96,0.96,133,0.77,0,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1331.0800000000002

40,09:45-10:00,8.66,0,0,81.78,0,7.83,60.88,0.96,144,0.77,0,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1347.97

41,10:00-10:15,8.66,0,0,81.78,0,7.83,67.69,0.96,154,0.77,1.44,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1366.2199999999998

42,10:15-10:30,8.66,0,0,81.78,0,7.83,71.94,0.94,161,0.65,1.44,0.57,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1377.2299999999998

43,10:30-10:45,8.66,0,0,81.78,0,11.54,80.94,0.12,179,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1406.3599999999997

44,10:45-11:00,8.66,0,0,81.78,0,12.82,85.47,0.12,182,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1415.1699999999998

45,11:00-11:15,8.66,0,0,81.78,0,14.09,93.33,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1431.2999999999997

46,11:15-11:30,8.66,0,0,81.78,0,15.53,95,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,17.32,0,19.24,8.66,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1434.4099999999999

47,11:30-11:45,14.58,0,0,81.78,0,16.9,96.67,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1460.8999999999999

48,11:45-12:00,14.58,0,0,81.78,0,18.18,96.67,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1462.1799999999998

49,12:00-12:15,14.58,0,0,81.78,0,19.37,96.67,0.12,196,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1470.3699999999997

50,12:15-12:30,14.58,0,0,81.78,0,19.67,96.67,0.12,196,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1470.6699999999998

51,12:30-12:45,14.58,0,0,81.78,0,19.93,96.67,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1463.9299999999998

52,12:45-13:00,14.58,0,0,81.78,0,20.2,95,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1462.5299999999997

53,13:00-13:15,14.58,0,0,81.78,0,8.81,98.33,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1454.4699999999998

54,13:15-13:30,14.58,0,0,81.78,0,8.81,98.33,0.12,189,0.08,1.44,0.38,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1454.4699999999998

55,13:30-13:45,14.58,0,0,81.78,0,8.81,98.33,0.52,182,0.35,1.44,0.35,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1448.11

