Time,Block,NR/2023/13862/A,NR/2023/12422/A,NR/2023/14737/A,NR/2023/15309/F,NR/2023/12592/A,NR/2023/15514/C,NR/2023/15482/C,NR/2023/15516/C,NR/2023/14898/A,NR/2023/12347/A,NR/2023/15306/F,NR/2023/12168/A,NR/2023/14746/A,NR/2023/12591/A,NR/2023/15472/D,NR/2023/12053/A,NR/2023/12148/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/14745/A,NR/2023/15510/C,NR/2023/12167/A,NR/2023/13635/A,NR/2023/15484/C,NR/2023/14895/A,NR/2023/15296/F,NR/2023/15485/C,NR/2023/15057/F,NR/2023/15470/D,NR/2023/15303/F,NR/2023/15304/F,NR/2023/15471/D,Total
7,01:30-01:45,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,32.860000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,22.230000,0.910000,0.580000,0,1224.02

8,01:45-02:00,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,22.230000,0.910000,0.580000,0,1191.16

9,02:00-02:15,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.580000,18.360000,0.910000,0.580000,0,1187.19

10,02:15-02:30,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.580000,18.360000,0.910000,0.580000,0,1187.19

11,02:30-02:45,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.580000,18.360000,0.910000,0.580000,0,1187.19

12,02:45-03:00,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.580000,18.360000,0.910000,0.580000,0,1187.19

13,03:00-03:15,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

14,03:15-03:30,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

15,03:30-03:45,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

16,03:45-04:00,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

17,04:00-04:15,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

18,04:15-04:30,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

19,04:30-04:45,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

20,04:45-05:00,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,0.000000,77.320000,98.580000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1157.54

21,05:00-05:15,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1057.96

22,05:15-05:30,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1057.96

23,05:30-05:45,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1057.96

24,05:45-06:00,0.000000,36.820000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,85.920000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.530000,18.360000,0.910000,0.580000,0,1057.96

25,06:00-06:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0,905.37

26,06:15-06:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0,905.37

27,06:30-06:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0,905.37

28,06:45-07:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0,905.37

29,07:00-07:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0,935.37

30,07:15-07:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0.1,935.47

31,07:30-07:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0.42,935.79

32,07:45:08:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.680000,18.360000,0.910000,0.580000,0.61,935.98

33,08:00-08:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.970000,18.360000,0.910000,0.580000,1.06,936.72

34,08:15-08:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.970000,18.360000,0.910000,0.580000,1.83,937.49

35,08:30-08:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.970000,18.360000,0.910000,0.580000,2.87,938.53

36,08:45:09:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,5.050000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.970000,18.360000,0.910000,0.580000,3.58,939.24

37,09:00:09:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.9,980.81

38,09:15-09:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,4.78,981.69

39,09:30-09:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.95,980.86

40,09:45-10:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,0.000000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,4.1,981.01

41,10:00-10:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,6.09,1074.86

42,10:15-10:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.2,1071.97

43,10:30-10:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,2.02,1070.79

44,10:45-11:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,2.7,1071.47

45,11:00-11:15,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.55,1053.64

46,11:15-11:30,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.14,1053.23

47,11:30-11:45,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.09,1053.18

48,11:45-12:00,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,5.41,1055.5

49,12:00-12:15,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.73,1053.82

50,12:15-12:30,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,2.42,1052.51

51,12:30-12:45,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.95,1054.04

52,12:45-13:00,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,4.93,1055.02

53,13:00-13:15,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,3.44,1053.53

54,13:15-13:30,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,1.15,1051.24

55,13:30-13:45,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,1.91,1052

56,13:45-14:00,0.000000,0.000000,50.340000,4.830000,85.030000,0.000000,10.090000,0.000000,77.320000,90.850000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,30.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,5.11,1055.2

57,14:00-14:15,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,4.4,1081.77

58,14:15-14:30,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,4.54,1081.91

59,14:30-14:45,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,4.56,1081.93

60,14:45-15:00,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.970000,18.360000,0.910000,0.580000,1.92,1079.29

61,15:00-15:15,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.920000,18.360000,0.910000,0.580000,4.29,1081.61

62,15:15-15:30,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.920000,18.360000,0.910000,0.580000,3.04,1080.36

63,15:30-15:45,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.920000,18.360000,0.910000,0.580000,3,1080.32

64,15:45-16:00,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.920000,18.360000,0.910000,0.580000,2.53,1079.85

65,16:00-16:15,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.820000,18.360000,0.910000,0.580000,1.32,1078.54

66,16:15-16:30,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.820000,18.360000,0.910000,0.580000,1.45,1078.67

67,16:30-16:45,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.820000,18.360000,0.910000,0.580000,1.09,1078.31

68,16:45-17:00,23.130000,0.000000,50.340000,4.830000,85.030000,18.680000,10.090000,0.000000,77.320000,106.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,29.000000,95.680000,0.970000,8.220000,0.820000,18.360000,0.910000,0.580000,1.94,1079.16

69,17:00-17:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.820000,18.360000,0.910000,0.580000,2.25,960.11

