Column1,Block,NR/2024/24443/C,NR/2024/23952/A/46455,NR/2024/24088/A/46482,WR/2024/25054/A/46703,NR/2024/24060/A/46724,NR/2024/24444/C,NER/2024/2770/A/46696,NR/2024/24052/A/46485,NR/2024/24051/A/46486,NR/2024/24146/A/46477,NR/2024/24097/A/46480,NR/2024/24442/C,NR/2024/24441/C,NR/2024/24071/A/46484,NR/2024/24224/A/46618,NR/2024/24227/A/46622,NR/2024/24225/A/46620,GNA/NR/2024/12/01/2197,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,GNA/NR/2024/12/25/2478,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1475,GNA/SR/2024/12/01/6968,Total
3,00:30-00:45,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

4,00:45-01:00,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

5,01:00-01:15,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.23

6,01:15-01:30,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.23

7,01:30-01:45,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.23

8,01:45-02:00,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.23

9,02:00-02:15,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.32000000000005

10,02:15-02:30,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.32000000000005

11,02:30-02:45,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.32000000000005

12,02:45-03:00,0,0.38,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.32000000000005

13,03:00-03:15,0,0.34,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

14,03:15-03:30,0,0.34,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

15,03:30-03:45,0,0.34,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

16,03:45-04:00,0,0.34,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.74,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

17,04:00-04:15,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

18,04:15-04:30,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

19,04:30-04:45,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

20,04:45-05:00,0,0.43,0.96,0,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,415.28000000000003

21,05:00-05:15,0,0.43,4.81,0,17.32,0,38.48,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,457.61000000000007

22,05:15-05:30,0,0.43,4.81,0,17.32,0,38.48,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,457.61000000000007

23,05:30-05:45,0,0.43,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,467.23

24,05:45-06:00,0,0.43,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0,0,0,22.3,1.65,0,47.56,0,8.74,0,0,142.69,0,22.3,8.74,26.23,100,467.23

25,06:00-06:15,0,0.43,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.29,0.19,0.19,22.3,1.74,0,0,0,8.74,0,0,0,0,22.3,8.74,26.23,100,277.74

26,06:15-06:30,0,0.43,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.29,0.19,0.19,22.3,1.74,0,0,0,8.74,0,0,0,0,22.3,8.74,26.23,100,277.74

27,06:30-06:45,0,0.43,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.29,0.19,0.19,22.3,1.74,0,0,0,8.74,0,0,0,0,22.3,8.74,26.23,100,277.74

28,06:45-07:00,0,0.43,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.29,0.19,0.19,22.3,1.74,0,0,0,8.74,0,0,0,0,22.3,8.74,26.23,100,277.74

29,07:00-07:15,0,0.53,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.29,0.19,0.29,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,374.14000000000004

30,07:15-07:30,0,0.53,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.38,0.19,0.38,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,374.32

31,07:30-07:45,0,0.53,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.58,0.29,0.38,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,374.62

32,07:45-08:00,0,0.53,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.58,0.29,0.38,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,374.62

33,08:00-08:15,0,0.82,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.67,0.29,0.48,24.05,1.65,0,0,0,8.74,0,96.2,0,0,24.05,8.74,26.23,100,378.51000000000005

34,08:15-08:30,0,0.82,4.81,0,17.32,0,38.48,2.89,2.89,5.77,14.43,0,0,0,0.77,0.38,0.48,24.05,1.65,0,0,0,8.74,0,96.2,0,0,24.05,8.74,26.23,100,378.70000000000005

35,08:30-08:45,0,0.82,4.81,0,17.32,0,38.48,2.89,0,5.77,7.7,0,0,0,0.77,0.38,0.48,24.05,1.65,0,0,0,8.74,0,96.2,0,0,24.05,8.74,26.23,100,369.08000000000004

36,08:45-09:00,0,0.82,4.81,0,17.32,0,38.48,2.89,0,5.77,7.7,0,0,0,0.77,0.38,0.48,24.05,1.65,0,0,0,8.74,0,96.2,0,0,24.05,8.74,26.23,100,369.08000000000004

37,09:00-09:15,0,0.82,4.81,0,17.32,0,0,2.89,0,5.77,7.7,0,0,3.85,0.77,0.38,0.48,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,348.01

38,09:15-09:30,0,0.82,4.81,0,17.32,0,0,2.89,0,5.77,7.7,0,0,3.85,0.87,0.38,0.48,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,348.11

39,09:30-09:45,0,0.82,4.81,0,17.32,0,0,2.89,0,5.77,7.7,0,0,3.85,0.87,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,348.21000000000004

40,09:45-10:00,0,0.82,4.81,0,17.32,0,0,2.89,0,5.77,7.7,0,0,3.85,0.87,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,348.21000000000004

41,10:00-10:15,7.02,0.82,4.81,0,17.32,13.08,0,2.89,0,5.77,7.7,14.91,15.1,4.81,0.87,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,382.22

42,10:15-10:30,7.02,0.82,4.81,0,17.32,13.08,0,2.89,0,5.77,7.7,17.8,12.03,4.81,0.96,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,382.13000000000005

43,10:30-10:45,7.02,0.82,4.81,0,17.32,13.08,0,2.89,0,5.77,7.7,20.39,9.24,4.81,0.96,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.93

44,10:45-11:00,7.02,0.82,4.81,0,17.32,13.08,0,2.89,0,5.77,7.7,22.8,6.73,4.81,0.87,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.74000000000007

45,11:00-11:15,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,22.22,4.71,6.73,0.96,0.38,0.58,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,377.39

46,11:15-11:30,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,23.86,2.98,6.73,0.96,0.38,0.67,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,377.39000000000004

47,11:30-11:45,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,25.01,1.64,6.73,0.96,0.38,0.67,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,377.20000000000005

48,11:45-12:00,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,26.07,0.58,6.73,0.96,0.48,0.67,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,377.3

49,12:00-12:15,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,26.65,0,6.73,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,377.11

50,12:15-12:30,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,26.84,0,6.73,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,377.3

51,12:30-12:45,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,32.8,0,6.73,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,383.26000000000005

52,12:45-13:00,7.02,0.82,0,0,17.32,13.08,0,3.85,0,5.77,7.7,32.8,0,6.73,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,383.26000000000005

53,13:00-13:15,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,32.52,0.29,5.77,0.96,0.48,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,382.36000000000007

54,13:15-13:30,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,31.27,1.54,5.77,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,382.26000000000005

55,13:30-13:45,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,29.92,2.89,5.77,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,382.26000000000005

56,13:45-14:00,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,28.28,4.52,5.77,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,382.25000000000006

57,14:00-14:15,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,26.36,6.45,4.81,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.3

58,14:15-14:30,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,24.05,8.75,4.81,0.96,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.20000000000005

59,14:30-14:45,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,21.36,11.45,4.81,0.96,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.21000000000004

60,14:45-15:00,7.02,0.77,0,0,17.32,13.08,0,3.85,0,5.77,7.7,18.47,14.33,4.81,0.96,0.48,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.39000000000004

61,15:00-15:15,7.02,0.63,0,0,17.32,13.08,0,3.85,0,5.77,7.7,15.39,17.41,4.81,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.15000000000003

62,15:15-15:30,7.02,0.63,0,0,17.32,13.08,0,3.85,0,5.77,7.7,12.12,20.68,4.81,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.15000000000003

63,15:30-15:45,7.02,0.63,0,0,17.32,13.08,0,3.85,0,5.77,7.7,23.18,9.62,4.81,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.15000000000003

64,15:45-16:00,7.02,0.63,0,0,17.32,13.08,0,3.85,0,5.77,7.7,19.72,13.08,4.81,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,381.15000000000003

65,16:00-16:15,7.02,0.48,0,0,17.32,13.08,0,3.85,0,5.77,7.7,16.16,0,2.89,0.96,0.38,0.67,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,362.53000000000003

66,16:15-16:30,7.02,0.48,0,0,17.32,13.08,0,3.85,0,5.77,7.7,12.7,0,2.89,0.96,0.38,0.67,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,26.23,100,359.07

67,16:30-16:45,0,0.48,0,0,17.32,0,0,3.85,0,5.77,7.7,0,0,2.89,0.96,0.48,0.77,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,343.53

68,16:45-17:00,0,0.48,0,0,17.32,0,0,3.85,0,5.77,7.7,0,0,2.89,0.96,0.38,0.77,22.3,1.74,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,343.43000000000006

69,17:00-17:15,0,0.48,3.85,0,17.32,0,0,3.85,0,5.77,7.7,0,0,0.96,0.96,0.38,0.67,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,345.16

70,17:15-17:30,0,0.48,3.85,0,17.32,0,0,3.85,0,5.77,7.7,0,0,0.96,0.96,0.38,0.58,22.3,1.65,0,0,0,8.74,0,96.2,0,0,22.3,8.74,43.29,100,345.07000000000005

71,17:30-17:45,0,0.48,3.85,0,17.32,0,0,3.85,0,5.77,7.7,0,0,0.96,0.96,0.38,0.58,28.86,1.65,0,0,0,8.74,0,96.2,0,0,28.86,8.74,26.23,100,341.13

72,17:45-18:00,0,0.48,3.85,0,17.32,0,0,3.85,0,5.77,7.7,0,0,0.96,0.96,0.38,0.58,28.86,1.65,0,0,0,8.74,0,96.2,0,0,28.86,8.74,26.23,100,341.13

73,18:00-18:15,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0.96,0.38,0.58,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,617.18

74,18:15-18:30,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0.96,0.38,0.58,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,617.18

75,18:30-18:45,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0.96,0.38,0.58,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,617.18

76,18:45-19:00,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0.87,0.38,0.58,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,617.09

77,19:00-19:15,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,615.26

78,19:15-19:30,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,615.26

79,19:30-19:45,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,615.26

80,19:45-20:00,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,28.86,1.65,150,0,50,8.74,0,96.2,0,0,28.86,8.74,26.23,100,615.26

81,20:00-20:15,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,25.97,1.74,250,0,50,8.74,0,96.2,0,0,25.97,8.74,26.23,100,709.57

82,20:15-20:30,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,25.97,1.74,250,0,50,8.74,0,96.2,0,0,25.97,8.74,26.23,100,709.57

83,20:30-20:45,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,25.97,1.74,250,0,50,8.74,0,96.2,0,0,25.97,8.74,26.23,100,709.57

84,20:45-21:00,0,0.53,3.85,38.48,17.32,0,38.48,3.85,0,5.77,7.7,0,0,0,0,0,0,25.97,1.74,250,0,50,8.74,0,96.2,0,0,25.97,8.74,26.23,100,709.57

85,21:00-21:15,0,0.53,3.85,38.48,17.32,0,0,3.85,0,5.77,7.7,0,0,0,0,0,0,25.97,1.65,250,0,50,8.74,0,96.2,0,0,25.97,8.74,26.23,100,671

86,21:15-21:30,0,0.53,3.85,38.48,17.32,0,0,3.85,0,5.77,7.7,0,0,0,0,0,0,25.97,1.65,250,0,50,8.74,0,96.2,0,0,25.97,8.74,26.23,100,671

87,21:30-21:45,0,0.53,3.85,38.48,17.32,0,0,3.85,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,0,50,8.74,0,96.2,0,0,22.3,8.74,26.23,100,663.66

88,21:45-22:00,0,0.53,3.85,38.48,17.32,0,0,3.85,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,0,50,8.74,0,96.2,0,0,22.3,8.74,26.23,100,663.66

89,22:00-22:15,0,0.48,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,850.01

90,22:15-22:30,0,0.48,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,850.01

91,22:30-22:45,0,0.48,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,850.01

92,22:45-23:00,0,0.48,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,850.01

93,23:00-23:15,0,0.43,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,849.96

94,23:15-23:30,0,0.43,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,849.96

95,23:30-23:45,0,0.43,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,849.96

96,23:45-24:00,0,0.43,0.96,38.48,17.32,0,0,2.89,0,5.77,7.7,0,0,0,0,0,0,22.3,1.65,250,47.56,50,8.74,0,96.2,142.69,0,22.3,8.74,26.23,100,849.96

