Time,Block,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/IEPL01,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/19760/A/24282,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/30092023/31122025/SH-07,NR/2024/20050/A/24629,NR/01062024/30062024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/20558/A/24639,NR/2024/20037/A/24281,NR/2024/20537/A/24551,NR/2024/20144/A/24311,NR/2024/19699/A/24653,NR/2024/20109/A/24553,NR/2024/20090/A/24244,NR/2024/20516/A/24321,NR/2024/20554/A/24159,NR/2024/21232/C,NR/2024/19919/A/24645,NR/2024/19642/A/24667,NR/2024/21257/C,NR/2024/20572/A/24637,NR/2024/19432/A/24655,NR/2024/19978/A/24647,NR/2024/19966/A/24292,NR/2024/19355/A/24554,NR/2024/20141/A/24313,NR/2024/21234/C,NR/2024/19918/A/24646,NR/2024/20048/A/24630,NR/2024/20130/A/24325,NR/2024/20552/A/24241,NR/2024/20041/A/24624,NR/2024/20777/A/24283,NR/2024/20553/A/24240,NR/2024/20142/A/24312,NR/2024/20524/A/24591,NR/2024/19683/A/24261,NR/2024/20597/A/24631,NR/2024/20540/A/24060,NR/2024/20557/A/24641,NR/2024/20560/A/24638,NR/2024/20211/A/24314,NR/2024/19988/A/24287,NR/2024/19640/A/24666,NR/2024/20513/A/24322,NR/2024/19779/A/24272,NR/2024/20599/A/24285,NR/2024/19475/A/24562,NR/2024/21233/C,NR/2024/19637/A/24297,NR/2024/20515/A/24324,NR/2024/20598/A/24284,NR/2024/19791/A/24650,NR/2024/19588/A/24395,NR/2024/20212/A/24320,NR/2024/19757/A/24651,Total

3,00:30-00:45,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2346.99

4,00:45-01:00,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2346.99

5,01:00-01:15,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,0.000000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.580000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2314.05

6,01:15-01:30,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,0.000000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.580000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2314.05

7,01:30-01:45,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,0.000000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.580000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2314.05

8,01:45-02:00,67.530000,0.000000,38.590000,38.590000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,0.000000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.580000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2314.05

9,02:00-02:15,67.530000,0.000000,38.590000,38.590000,26.540000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.540000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2239.5

10,02:15-02:30,67.530000,0.000000,38.590000,38.590000,26.540000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.540000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2239.5

11,02:30-02:45,67.530000,0.000000,38.590000,38.590000,26.540000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.540000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2239.5

12,02:45-03:00,67.530000,0.000000,38.590000,38.590000,26.540000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.540000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,308.700000,11.720000,0.960000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2239.5

13,03:00-03:15,67.530000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2201.6

14,03:15-03:30,67.530000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2201.6

15,03:30-03:45,67.530000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2201.6

16,03:45-04:00,67.530000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2201.6

17,04:00-04:15,67.530000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2201.6

18,04:15-04:30,67.530000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2201.6

19,04:30-04:45,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2206.11

20,04:45-05:00,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,22.890000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,308.700000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,17.360000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.480000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2206.11

21,05:00-05:15,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,73.320000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1978.77

22,05:15-05:30,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,73.320000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1978.77

23,05:30-05:45,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,73.320000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1978.77

24,05:45-06:00,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,108.530000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,73.320000,11.720000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,36.180000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,5.790000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1978.77

25,06:00-06:15,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,73.320000,11.720000,2.890000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1820.54

26,06:15-06:30,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,73.320000,11.720000,2.890000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1820.54

