Block,Time Block,DULHASTI,FSTPP I & II,JHAJJAR,DHAULIGNGA,DADRT2,CHAMERA3,RAPPB,RAPPC,RIHAND1,RAPPD,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KKNP,KISHANGANGA,SINGRAULI_HYDRO,SINGRAULI,DADRI_CRF,ANTA_RF,ANTA_CRF,AURY_LF,AURY_GF,AURY_RF,ANTA_LF,ANTA_GF,AURY_CRF,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,TelanganaSTPP,URI2,UNCHAHAR3,UNCHAHAR2,URI,TEHRIPSP,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,KOTESHWR,KOLDAM,PARBATI3,PARBATI2,RAMPUR,TALA,TEHRI,TANDA2,TALST2,TANAKPUR,DADRI_RF,DADRI_LF,DADRI_GF,KKNPPU2,NLCIIST1,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NJPC,NTPL,NAPP,NLCEXP,KUDGI,RIHAND3,RIHAND2,RSTPSU7,SALAL,RSTPSU1TO6,SEWA2,SASAN,SIMHST2,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
14,03:15-03:30,36.87,14.09,241.12,40.85,226.24,0,0,62.95,45.5,37.28,0,15.91,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,122.99,32.99,0,33,18.77,30.59,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

15,03:30-03:45,36.87,14.09,241.12,40.85,226.24,0,0,62.95,45.5,37.28,0,15.7,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,124.01,32.99,0,33,18.77,30.59,33.99,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

16,03:45-04:00,36.87,14.09,241.12,40.85,207,0,0,62.95,45.5,37.28,0,16.24,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,124.01,32.99,0,33,18.77,30.59,12.75,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

17,04:00-04:15,36.87,14.09,241.12,40.85,197.37,0,0,62.95,45.5,37.28,0,16.21,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.68,32.99,0,33,18.77,30.59,12.75,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

18,04:15-04:30,36.87,14.09,241.12,40.85,197.37,0,0,62.95,45.5,37.28,0,16.61,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.68,32.99,0,33,18.77,30.59,25.49,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.28,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

19,04:30-04:45,36.87,14.09,241.12,40.85,197.37,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,25.49,200.08,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,23.14,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

20,04:45-05:00,36.87,14.09,241.12,40.85,235.86,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,25.49,100.04,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,22.95,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

21,05:00-05:15,36.87,16.86,241.12,40.85,303.21,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,25.49,0,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,22.69,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

22,05:15-05:30,36.87,14.72,241.12,40.85,300.8,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,25.49,0,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,22.54,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

23,05:30-05:45,36.87,14.09,241.12,40.85,360.93,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,21.24,0,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,22.38,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

24,05:45-06:00,36.87,14.09,241.12,40.85,351.31,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,21.24,0,14.81,1.35,0,43.37,8.3,34.33,14.9,5.46,22.23,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,378.83,0,0,0,0,0,0,0

25,06:00-06:15,36.87,20.01,282.61,40.85,399.42,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,22.26,36.02,33.99,0,18.15,0.96,0,43.37,8.3,36.48,14.9,5.46,22.09,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,386.64,0,0,0,0,0,0,0

26,06:15-06:30,36.87,20.01,282.61,40.85,409.04,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,22.26,36.02,33.99,0,18.15,0.96,0,43.37,8.3,36.48,14.9,5.46,21.93,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

27,06:30-06:45,36.87,20.01,282.61,40.85,409.04,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,22.26,36.02,12.75,0,18.15,0.96,0,43.37,8.3,36.48,14.9,5.46,21.84,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

28,06:45-07:00,36.87,17.25,282.61,40.85,380.17,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,22.26,36.02,12.75,0,18.15,1.35,0,43.37,8.3,36.48,14.9,5.46,21.81,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

29,07:00-07:15,36.87,17.25,241.12,40.85,312.83,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,19.69,31.92,12.75,0,16.31,1.35,0,43.37,8.3,36.48,14.9,5.46,21.81,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

30,07:15-07:30,36.87,17.25,241.12,40.85,235.86,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,12.75,0,14.81,1.35,0,43.37,8.3,36.48,14.9,5.46,21.81,79.24,2.51,0,9.49,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

31,07:30-07:45,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,33.99,0,14.81,1.35,0,43.37,8.3,36.48,14.9,5.46,23.08,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

32,07:45-08:00,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,126.8,32.99,0,33,18.77,30.59,33.99,0,14.81,1.35,0,43.37,8.3,36.48,14.9,5.46,23.1,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

33,08:00-08:15,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,117.98,30.26,0,33,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,22.99,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

34,08:15-08:30,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,0,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,125.59,30.26,0,27,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,25.89,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

35,08:30-08:45,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,30.22,27.04,0,4.47,0,106.36,0,0,0,0,0,0,0,0,0,0,0,100.3,25.73,0,18,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,25.91,79.24,2.51,0,3.7,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

36,08:45-09:00,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,106.46,0,0,0,0,0,0,0,0,0,0,0,93.4,25.73,0,9,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,25.93,79.24,2.51,0,3.7,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

37,09:00-09:15,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,26.16,79.24,2.51,0,3.7,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

38,09:15-09:30,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,26.19,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

39,09:30-09:45,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,26.23,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

40,09:45-10:00,36.87,14.09,234.77,40.85,101.16,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.05,27.54,12.75,0,13.82,1.35,0,43.37,8.3,36.48,14.9,5.46,26.27,79.24,2.51,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

41,10:00-10:15,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,12.75,0,14.24,1.82,0,43.37,8.3,36.48,14.9,5.46,26.3,79.24,5.34,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

42,10:15-10:30,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,12.75,0,14.24,1.82,0,43.37,8.3,36.48,14.9,5.46,26.34,79.24,5.34,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

43,10:30-10:45,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,12.75,0,14.24,1.82,0,43.37,8.3,36.48,14.9,5.46,22.4,39.62,5.34,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

44,10:45-11:00,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,17.25,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,12.75,0,14.24,1.82,0,43.37,8.3,36.48,14.9,5.46,22.43,0,5.34,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

45,11:00-11:15,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,106.91,0,0,0,0,0,0,0,0,0,0,0,94.04,25.84,0,0,17.7,28.28,12.75,0,14.24,1.82,0,43.37,8.3,36.48,14.9,5.46,22.54,0,5.34,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

46,11:15-11:30,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,12.75,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,22.54,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

47,11:30-11:45,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,17.29,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

48,11:45-12:00,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,17.29,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,17.64,389.65,0,0,0,0,0,0,0

49,12:00-12:15,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,17.29,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,18.3,389.65,0,0,0,0,0,0,0

50,12:15-12:30,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,17.67,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,18.3,389.65,0,0,0,0,0,0,0

51,12:30-12:45,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,22.97,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,18.3,389.65,0,0,0,0,0,0,0

52,12:45-13:00,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,23.02,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,18.3,389.65,0,0,0,0,0,0,0

53,13:00-13:15,36.87,14.09,242.54,40.85,104.35,0,0,62.95,45.5,37.28,0,18.04,45.33,27.04,0,4.47,0,107.56,0,0,0,0,0,0,0,0,0,0,0,105.37,28.46,0,0,17.7,28.28,4.24,0,14.24,1.46,0,43.37,8.3,36.48,14.9,5.46,28.34,0,4.2,0,11.46,0,0,0,0,0,0,0,0,0,169.14,0,22.95,0,0,125.88,120.52,0,79.37,0,18.3,389.65,0,0,0,0,0,0,0

