Time,Block,NR/2024/18807/A/11977,NR/2024/18874/A/11976,NR/2024/18759/A/11946,NR/2024/18806/A/12159,NR/2024/19113/C,SR/2024/12711/C,NR/2024/19095/C,Total
36,08:45:09:00,0.000000,1.930000,0.970000,9.670000,0.000000,0.00,4.98,17.55

37,09:00:09:15,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,5.51,18.03

38,09:15-09:30,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,6.03,18.55

39,09:30-09:45,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,6.47,18.99

40,09:45-10:00,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,6.85,19.37

41,10:00-10:15,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,7.2,19.72

42,10:15-10:30,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,7.54,20.06

43,10:30-10:45,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,7.84,20.36

44,10:45-11:00,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.08,20.6

45,11:00-11:15,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.32,20.84

46,11:15-11:30,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.54,21.06

47,11:30-11:45,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.56,21.08

48,11:45-12:00,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.73,21.25

49,12:00-12:15,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.65,21.17

50,12:15-12:30,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.72,21.24

51,12:30-12:45,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.77,21.29

52,12:45-13:00,0.000000,1.930000,0.920000,9.670000,0.000000,0.00,8.54,21.06

53,13:00-13:15,0.000000,1.930000,0.820000,9.670000,0.000000,0.00,8.5,20.92

54,13:15-13:30,0.000000,1.930000,0.820000,9.670000,0.000000,0.00,8.09,20.51

55,13:30-13:45,0.000000,1.930000,0.820000,9.670000,0.000000,0.00,7.08,19.5

56,13:45-14:00,0.000000,1.930000,0.820000,9.670000,0.000000,0.00,8.39,20.81

57,14:00-14:15,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,6.12,20.57

58,14:15-14:30,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,7.26,21.71

59,14:30-14:45,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,3.3,17.75

60,14:45-15:00,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,7.26,21.71

61,15:00-15:15,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,2.61,17.06

62,15:15-15:30,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,3.31,17.76

63,15:30-15:45,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,5.74,20.19

64,15:45-16:00,1.930000,1.930000,0.920000,9.670000,0.000000,0.00,3.96,18.41

65,16:00-16:15,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,2.41,16.57

66,16:15-16:30,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,2.71,16.87

67,16:30-16:45,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,3.23,17.39

68,16:45-17:00,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,2.46,16.62

69,17:00-17:15,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,1.87,16.03

70,17:15-17:30,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,1.1,15.26

71,17:30-17:45,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,0.91,15.07

72,17:45-18:00,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,0.56,14.72

73,18:00-18:15,1.930000,1.930000,0.630000,9.670000,80.000000,0.00,0.31,94.47

74,18:15-18:30,1.930000,1.930000,0.630000,9.670000,95.000000,0.00,0.13,109.29

75,18:30-18:45,1.930000,1.930000,0.630000,9.670000,70.000000,0.00,0,84.16

76,18:45-19:00,1.930000,1.930000,0.630000,9.670000,90.000000,0.00,0,104.16

77,19:00-19:15,1.930000,1.930000,0.730000,9.670000,105.000000,0.00,0,119.26

78,19:15-19:30,1.930000,1.930000,0.730000,9.670000,105.000000,0.00,0,119.26

79,19:30-19:45,1.930000,1.930000,0.730000,9.670000,110.000000,0.00,0,124.26

80,19:45-20:00,1.930000,1.930000,0.730000,9.670000,125.000000,0.00,0,139.26

81,20:00-20:15,1.930000,1.930000,0.680000,9.670000,135.000000,0.00,0,149.21

82,20:15-20:30,1.930000,1.930000,0.680000,9.670000,135.000000,0.00,0,149.21

83,20:30-20:45,1.930000,1.930000,0.680000,9.670000,110.000000,0.00,0,124.21

84,20:45-21:00,1.930000,1.930000,0.680000,9.670000,100.000000,0.00,0,114.21

85,21:00-21:15,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

86,21:15-21:30,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

87,21:30-21:45,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

88,21:45-22:00,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

89,22:00-22:15,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

90,22:15-22:30,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

91,22:30-22:45,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

92,22:45-23:00,1.930000,1.930000,0.680000,9.670000,0.000000,0.00,0,14.21

93,23:00-23:15,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,0,14.16

94,23:15-23:30,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,0,14.16

95,23:30-23:45,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,0,14.16

96,23:45-24:00,1.930000,1.930000,0.630000,9.670000,0.000000,0.00,0,14.16

