Time,Block,NR/2023/15303/F,NR/2023/14898/A,NR/2023/13635/A,NR/2023/12431/A,NR/2023/15435/D,NR/2023/15442/C,NR/2023/15437/D,NR/2023/15057/F,NR/2023/14746/A,NR/2023/15458/C,NR/2023/12167/A,NR/2023/12347/A,NR/2023/15434/D,NR/2023/12053/A,NR/2023/14745/A,NR/2023/15459/C,NR/2023/15304/F,NR/2023/15456/C,NR/2023/14737/A,NR/2023/15441/C,NR/2023/12591/A,NR/2023/15306/F,NR/2023/12148/A,NR/2023/12052/A,NR/2023/12592/A,NR/2023/15296/F,NR/2023/12422/A,NR/2023/14895/A,NR/2023/15309/F,NR/2023/15445/C,NR/2023/13862/A,NR/2023/12168/A,Total
13,03:00-03:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

14,03:15-03:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

15,03:30-03:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

16,03:45-04:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

17,04:00-04:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

18,04:15-04:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

19,04:30-04:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

20,04:45-05:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,98.580000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,0.000000,46.590000,1140.02

21,05:00-05:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,5.050000,0.000000,46.590000,1040.44

22,05:15-05:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,5.050000,0.000000,46.590000,1040.44

23,05:30-05:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,5.050000,0.000000,46.590000,1040.44

24,05:45-06:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.530000,85.920000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,5.050000,0.000000,46.590000,1040.44

25,06:00-06:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,917.85

26,06:15-06:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,917.85

27,06:30-06:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.17,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,918.02

28,06:45-07:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.56,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,918.41

29,07:00-07:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.66,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,918.51

30,07:15-07:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,1.02,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,918.87

31,07:30-07:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.94,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,918.79

32,07:45:08:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,1.1,0.680000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,918.95

33,08:00-08:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,1.72,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,919.86

34,08:15-08:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,2.18,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,920.32

35,08:30-08:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,2.78,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,920.92

36,08:45:09:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,3.65,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,5.050000,0.000000,46.590000,921.79

37,09:00:09:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.19,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,963.58

38,09:15-09:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.27,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,963.66

39,09:30-09:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,3.84,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,960.93

40,09:45-10:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.58,0.970000,0.000000,0.000000,24.160000,0.000000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,961.67

41,10:00-10:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.35,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1053.29

42,10:15-10:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.1,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1053.04

43,10:30-10:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,2.74,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1050.68

44,10:45-11:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.08,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1053.02

45,11:00-11:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,6,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1053.94

46,11:15-11:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.02,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1052.96

47,11:30-11:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.58,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1052.52

48,11:45-12:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.31,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1053.25

49,12:00-12:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.79,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1053.73

50,12:15-12:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.87,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,16.380000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1052.81

51,12:30-12:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,6.35,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1056.59

52,12:45-13:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,8.12,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1058.36

53,13:00-13:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,6.6,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1056.84

54,13:15-13:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,6,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1056.24

55,13:30-13:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,7.93,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1058.17

56,13:45-14:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,5.5,0.970000,0.000000,0.000000,24.160000,90.850000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,1055.74

57,14:00-14:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.97,0.970000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1088.27

58,14:15-14:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,6.46,0.970000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1089.76

59,14:30-14:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,4.53,0.970000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1087.83

60,14:45-15:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,3.14,0.970000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1086.44

61,15:00-15:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,3.42,0.920000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1086.67

62,15:15-15:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,2.18,0.920000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1085.43

63,15:30-15:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,1,0.920000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1084.25

64,15:45-16:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,1.1,0.920000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1084.35

65,16:00-16:15,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,1.15,0.820000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1084.3

66,16:15-16:30,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,0.95,0.820000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,13.140000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1084.1

67,16:30-16:45,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,0.97,0.820000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1089.66

68,16:45-17:00,0.910000,77.320000,21.260000,108.730000,193.300000,8.220000,1.26,0.820000,0.000000,0.000000,24.160000,106.320000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,29.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,23.130000,46.590000,1089.95

69,17:00-17:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,1.48,0.820000,0.000000,0.000000,24.160000,48.320000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,971.82

