Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
13:30 - 13:45,58.95,34.79,-0.50,11.98,0.00,0.00,0.29,43.49
13:45 - 14:00,57.02,48.32,-0.50,12.47,0.00,0.00,0.29,62.81
14:00 - 14:15,48.32,33.82,-0.50,12.76,0.00,0.00,0.29,96.64
14:15 - 14:30,36.72,53.15,-0.50,13.24,0.00,0.00,0.29,48.32
14:30 - 14:45,74.41,45.42,-0.50,14.01,0.00,0.00,0.29,38.66
14:45 - 15:00,68.61,42.52,-0.50,14.30,0.00,0.00,0.29,38.66
15:00 - 15:15,36.72,13.53,-0.50,14.88,0.00,0.00,0.29,43.49
15:15 - 15:30,46.39,32.86,-0.50,15.46,0.00,0.00,0.29,48.32
15:30 - 15:45,74.42,69.58,-0.50,15.46,0.00,0.00,0.00,53.15
15:45 - 16:00,82.15,74.41,-0.50,15.46,0.00,0.00,0.00,53.15
16:00 - 16:15,93.74,95.67,-0.50,16.43,0.00,0.00,0.29,48.32
16:15 - 16:30,49.29,104.36,-0.50,16.43,0.00,0.00,0.29,38.66
16:30 - 16:45,103.40,132.40,-0.50,17.40,0.00,0.00,0.29,48.32
16:45 - 17:00,86.98,150.75,-0.50,17.11,0.00,0.00,0.29,24.16
17:00 - 17:15,40.59,178.78,-0.50,17.01,0.00,0.00,0.29,19.33
17:15 - 17:30,56.05,199.08,-0.50,16.72,0.00,0.00,0.29,24.16
17:30 - 17:45,83.11,86.98,-0.50,15.17,0.00,0.00,0.00,24.16
17:45 - 18:00,117.43,69.87,-0.50,10.78,0.00,4.17,0.00,52.03
18:00 - 18:15,65.72,110.17,-0.50,14.01,0.00,10.05,0.00,96.64
18:15 - 18:30,24.16,47.35,-0.50,14.50,0.00,9.86,0.00,-40.00
18:30 - 18:45,9.43,41.14,-0.50,13.71,0.00,7.20,0.00,-40.00
18:45 - 19:00,7.42,40.48,-0.50,10.79,0.00,5.19,0.00,-20.00
19:00 - 19:15,0.00,35.47,-0.50,5.96,-10.00,3.30,0.00,37.55
19:15 - 19:30,0.00,37.05,-0.50,5.89,-12.00,2.64,0.00,32.93
19:30 - 19:45,-15.00,65.60,-0.50,5.97,-18.00,3.60,0.00,41.79
19:45 - 20:00,-15.00,75.03,-0.50,6.35,-22.00,3.82,0.00,44.40
20:00 - 20:15,-27.00,50.10,-0.50,8.52,-28.00,5.66,0.00,0.00
20:15 - 20:30,-31.00,40.98,-0.50,8.03,-33.00,5.28,0.00,-10.00
20:30 - 20:45,-60.00,43.49,-0.50,13.82,-38.00,10.53,0.00,-30.00
20:45 - 21:00,-61.00,62.82,-0.50,13.82,-41.00,9.47,0.00,-30.00
21:00 - 21:15,16.43,17.40,-0.50,12.85,-39.00,5.80,0.00,-45.00
21:15 - 21:30,17.40,26.09,-0.50,12.85,-42.00,6.67,0.00,-20.00
21:30 - 21:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:45 - 22:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:00 - 22:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:15 - 22:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:30 - 22:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22:45 - 23:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:00 - 23:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:15 - 23:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:30 - 23:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23:45 - 24:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
