Time,Block,NR/2024/20343/C,NR/2024/20349/C,NR/2024/20363/C,NR/2024/19699/A/19819,NR/2024/20345/C,NR/2024/20361/C,NR/2024/20109/A/19836,NR/2024/19355/A/19837,NR/2024/20034/A/19815,NR/2024/19637/A/19464,NR/2024/20037/A/19454,NR/2024/20344/C,NR/2024/19683/A/19377,NR/2024/20212/A/19480,NR/2024/20031/A/19816,NR/2024/20348/C,NR/2024/20041/A/19711,NR/2024/20141/A/19484,NR/2024/20040/A/19743,NR/2024/20052/A/19256,NR/2024/20050/A/19709,NR/2024/19760/A/19455,NR/2024/20142/A/19482,NR/2024/19918/A/19746,NR/2024/20353/C,NR/2024/20354/C,NR/2024/20048/A/19710,NR/2024/19475/A/19695,NR/2024/19588/A/19491,NR/2024/20033/A/19817,NR/2024/19966/A/19471,NR/2024/20090/A/19352,NR/2024/20211/A/19478,NR/2024/20144/A/19481,NR/2024/20082/A/19744,NR/2024/19432/A/19821,NR/2024/20130/A/19462,NR/2024/19779/A/19463,Total

3,00:30-00:45,14.490000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,209.580000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,96.580000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1775.81

4,00:45-01:00,14.490000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,211.510000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,96.580000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1777.74

5,01:00-01:15,14.490000,0.000000,27.240000,48.290000,0,26.080000,241.450000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,210.540000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,48.290000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1710.13

6,01:15-01:30,14.490000,0.000000,27.240000,48.290000,0,26.080000,241.450000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,203.780000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,48.290000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1703.37

7,01:30-01:45,14.490000,0.000000,27.240000,48.290000,0,26.080000,241.450000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,210.540000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,48.290000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1654.41

8,01:45-02:00,14.490000,0.000000,27.240000,48.290000,0,26.080000,241.450000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,209.580000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,48.290000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1653.45

9,02:00-02:15,14.490000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,128.450000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1358.76

10,02:15-02:30,14.490000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1230.31

11,02:30-02:45,14.490000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1230.31

12,02:45-03:00,14.490000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1230.31

13,03:00-03:15,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

14,03:15-03:30,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

15,03:30-03:45,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

16,03:45-04:00,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

17,04:00-04:15,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

18,04:15-04:30,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

19,04:30-04:45,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

20,04:45-05:00,14.490000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1172.26

21,05:00-05:15,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1215.72

22,05:15-05:30,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1215.72

23,05:30-05:45,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1215.72

24,05:45-06:00,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,0.000000,0.000000,54.330000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,1215.72

25,06:00-06:15,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,984.89

26,06:15-06:30,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,984.89

27,06:30-06:45,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,984.89

28,06:45-07:00,57.950000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.530000,984.89

29,07:00-07:15,57.950000,0.000000,0.000000,48.290000,0.27,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.680000,985.31

30,07:15-07:30,57.950000,0.000000,0.000000,48.290000,0.59,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.680000,985.63

31,07:30-07:45,57.950000,0.000000,0.000000,48.290000,0.58,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.680000,985.62

32,07:45:08:00,57.950000,0.000000,0.000000,48.290000,0.97,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.680000,986.01

33,08:00-08:15,57.950000,0.000000,0.000000,48.290000,1.29,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,9.660000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,987.59

34,08:15-08:30,57.950000,0.000000,0.000000,48.290000,1.26,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,9.660000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,987.56

35,08:30-08:45,57.950000,0.000000,0.000000,48.290000,1.3,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,9.660000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,987.6

36,08:45:09:00,57.950000,0.000000,0.000000,48.290000,1.56,0.000000,183.500000,96.580000,37.310000,0.000000,72.440000,111.360000,1.930000,0.610000,37.310000,0.000000,0.000000,0.350000,14.490000,9.660000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,12.440000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,987.86

37,09:00:09:15,57.950000,0.000000,0.000000,48.290000,2.3,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,9.660000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1163.32

38,09:15-09:30,57.950000,0.000000,0.000000,48.290000,2.33,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,9.660000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1163.35

39,09:30-09:45,57.950000,0.000000,0.000000,48.290000,2.51,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,9.660000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1163.53

40,09:45-10:00,57.950000,0.000000,0.000000,48.290000,2.99,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,9.660000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1164.01

41,10:00-10:15,57.950000,0.000000,0.000000,48.290000,3.53,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1168.41

42,10:15-10:30,57.950000,0.000000,0.000000,48.290000,4.12,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1169

43,10:30-10:45,57.950000,0.000000,0.000000,48.290000,4.55,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1169.43

44,10:45-11:00,57.950000,0.000000,0.000000,48.290000,5.96,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1170.84

45,11:00-11:15,57.950000,0.000000,0.000000,48.290000,8.31,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1173.19

46,11:15-11:30,57.950000,0.000000,0.000000,48.290000,8.25,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1173.13

47,11:30-11:45,57.950000,0.000000,0.000000,48.290000,6.78,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1171.66

48,11:45-12:00,57.950000,0.000000,0.000000,48.290000,8.33,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,0.000000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1173.21

49,12:00-12:15,57.950000,0.000000,0.000000,48.290000,7.48,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1185.88

50,12:15-12:30,57.950000,0.000000,0.000000,48.290000,8.92,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1187.32

51,12:30-12:45,57.950000,0.000000,0.000000,48.290000,9.48,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1187.88

52,12:45-13:00,57.950000,0.000000,0.000000,48.290000,8.67,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1187.07

53,13:00-13:15,57.950000,0.000000,0.000000,48.290000,8.11,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1186.51

54,13:15-13:30,57.950000,0.000000,0.000000,48.290000,8.47,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1186.87

55,13:30-13:45,57.950000,0.000000,0.000000,48.290000,8.87,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1187.27

56,13:45-14:00,57.950000,0.000000,0.000000,48.290000,8.39,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1186.79

