Time,Block,WR/2023/19446/A,WR/2023/20256/A/2352,WR/2023/20577/A/2325,NR/2023/18206/C,NR/2023/17525/A,NR/2023/18062/A/2238,NR/2023/18207/C,NR/2023/17270/A,NR/2023/18074/A/2261,NR/2023/18105/A/2237,NER/2023/1793/C,Total
18,04:15-04:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

19,04:30-04:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

20,04:45-05:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,40.000000,174.02

21,05:00-05:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,0.000000,134.02

22,05:15-05:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,0.000000,134.02

23,05:30-05:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,0.000000,134.02

24,05:45-06:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.390000,0.960000,0.000000,134.02

25,06:00-06:15,75.000000,0.000000,0.000000,0,0.000000,4.820000,1.740000,100.000000,0.390000,0.960000,0.000000,182.91

26,06:15-06:30,75.000000,0.000000,0.000000,0,0.000000,4.820000,1.740000,100.000000,0.390000,0.960000,0.000000,182.91

27,06:30-06:45,75.000000,0.000000,0.000000,0,0.000000,4.820000,1.740000,100.000000,0.390000,0.960000,0.000000,182.91

28,06:45-07:00,75.000000,0.000000,0.000000,0,0.000000,4.820000,1.740000,100.000000,0.390000,0.960000,0.000000,182.91

29,07:00-07:15,75.000000,0.000000,0.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,183.05

30,07:15-07:30,75.000000,0.000000,0.000000,0.23,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,183.28

31,07:30-07:45,75.000000,0.000000,0.000000,0.47,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,183.52

32,07:45:08:00,75.000000,0.000000,0.000000,0.78,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,183.83

33,08:00-08:15,75.000000,0.000000,0.000000,1.14,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,134.43

34,08:15-08:30,75.000000,0.000000,0.000000,1.55,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,134.84

35,08:30-08:45,75.000000,0.000000,0.000000,1.99,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,135.28

36,08:45:09:00,75.000000,0.000000,0.000000,2.41,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,135.7

37,09:00:09:15,75.000000,0.000000,0.000000,2.88,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,136.17

38,09:15-09:30,75.000000,0.000000,0.000000,3.36,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,136.65

39,09:30-09:45,75.000000,0.000000,0.000000,3.75,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,137.04

40,09:45-10:00,75.000000,0.000000,0.000000,4.17,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,137.46

41,10:00-10:15,75.000000,0.000000,0.000000,4.65,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,137.94

42,10:15-10:30,75.000000,0.000000,0.000000,4.59,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,137.88

43,10:30-10:45,75.000000,0.000000,0.000000,5.29,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,138.58

44,10:45-11:00,75.000000,0.000000,0.000000,5.58,0.000000,4.820000,1.740000,50.000000,0.770000,0.960000,0.000000,138.87

45,11:00-11:15,75.000000,0.000000,0.000000,6.02,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.31

46,11:15-11:30,75.000000,0.000000,0.000000,5.71,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189

47,11:30-11:45,75.000000,0.000000,0.000000,6.14,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.43

48,11:45-12:00,75.000000,0.000000,0.000000,6.29,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.58

49,12:00-12:15,75.000000,0.000000,0.000000,6.28,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.57

50,12:15-12:30,75.000000,0.000000,0.000000,6.35,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.64

51,12:30-12:45,75.000000,0.000000,0.000000,6.1,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.39

52,12:45-13:00,75.000000,0.000000,0.000000,6.53,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.82

53,13:00-13:15,75.000000,0.000000,0.000000,6.43,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.72

54,13:15-13:30,75.000000,0.000000,0.000000,6.1,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.39

55,13:30-13:45,75.000000,0.000000,0.000000,6.13,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.42

56,13:45-14:00,75.000000,0.000000,0.000000,5.84,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,189.13

57,14:00-14:15,75.000000,0.000000,0.000000,5.53,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,188.82

58,14:15-14:30,75.000000,0.000000,0.000000,5.33,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,188.62

59,14:30-14:45,75.000000,0.000000,0.000000,4.96,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,188.25

60,14:45-15:00,75.000000,0.000000,0.000000,4.62,0.000000,4.820000,1.740000,100.000000,0.770000,0.960000,0.000000,187.91

61,15:00-15:15,75.000000,0.000000,0.000000,4.08,0.000000,4.820000,1.740000,100.000000,0.630000,0.960000,0.000000,187.23

62,15:15-15:30,75.000000,0.000000,0.000000,3.73,0.000000,4.820000,1.740000,100.000000,0.630000,0.960000,0.000000,186.88

63,15:30-15:45,75.000000,0.000000,0.000000,3.23,0.000000,4.820000,1.740000,100.000000,0.630000,0.960000,0.000000,186.38

64,15:45-16:00,75.000000,0.000000,0.000000,2.82,0.000000,4.820000,1.740000,100.000000,0.630000,0.960000,0.000000,185.97

65,16:00-16:15,75.000000,0.000000,0.000000,2.41,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,185.41

66,16:15-16:30,75.000000,0.000000,0.000000,1.86,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,184.86

67,16:30-16:45,75.000000,0.000000,0.000000,1.39,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,184.39

68,16:45-17:00,75.000000,0.000000,0.000000,0.97,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,183.97

69,17:00-17:15,75.000000,0.000000,0.000000,0.62,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,183.62

70,17:15-17:30,75.000000,0.000000,0.000000,0.38,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,183.38

71,17:30-17:45,75.000000,0.000000,0.000000,0.19,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,183.19

72,17:45-18:00,75.000000,0.000000,0.000000,0,0.000000,4.820000,1.740000,100.000000,0.480000,0.960000,0.000000,183

73,18:00-18:15,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

74,18:15-18:30,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

75,18:30-18:45,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

76,18:45-19:00,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

77,19:00-19:15,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

78,19:15-19:30,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

79,19:30-19:45,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

80,19:45-20:00,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,100.000000,0.530000,0.960000,0.000000,263.05

81,20:00-20:15,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

82,20:15-20:30,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

83,20:30-20:45,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

84,20:45-21:00,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

85,21:00-21:15,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

86,21:15-21:30,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

87,21:30-21:45,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

88,21:45-22:00,75.000000,25.000000,55.000000,0,0.000000,4.820000,1.740000,0.000000,0.530000,0.960000,0.000000,163.05

89,22:00-22:15,75.000000,0.000000,55.000000,0,51.110000,4.820000,1.740000,0.000000,0.480000,0.960000,0.000000,189.11

90,22:15-22:30,75.000000,0.000000,55.000000,0,51.110000,4.820000,1.740000,0.000000,0.480000,0.960000,0.000000,189.11

91,22:30-22:45,75.000000,0.000000,55.000000,0,51.110000,4.820000,1.740000,0.000000,0.480000,0.960000,0.000000,189.11

92,22:45-23:00,75.000000,0.000000,55.000000,0,51.110000,4.820000,1.740000,0.000000,0.480000,0.960000,0.000000,189.11

93,23:00-23:15,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,0.000000,134.06

94,23:15-23:30,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,0.000000,134.06

95,23:30-23:45,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,0.000000,134.06

96,23:45-24:00,75.000000,0.000000,0.000000,0,51.110000,4.820000,1.740000,0.000000,0.430000,0.960000,0.000000,134.06

