Column1,Block,NR/2025/31347/A/89976,NR/2025/31419/A/90195,NR/2025/31137/A/90703,NR/2025/31420/A/90194,NR/2025/29985/A/90126,NR/2025/31138/A/90704,NR/2025/31138/A/90705,NR/2025/31137/A/90442,NR/2025/31863/C,NR/2025/31941/C,NR/2025/31901/C,GNA/NR/2025/07/16/5917,NR/2025/31941/C/Alternate/1,GNA/NR/2025/07/01/1192,NR/2025/31942/C,NR/2025/31904/C,NR/2025/30086/A/90496,NR/2025/30084/A/90497,NR/2025/31958/C,NR/2025/31900/C,NR/2025/31938/C,NR/2025/31939/C,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/31914/C,NR/2025/31903/C,NR/2025/31954/C,NR/2025/31846/C,NR/2025/31953/C,NR/2025/31955/C,NR/2025/31920/C,NR/2025/31847/C,NR/2025/31956/C,NR/2025/31883/C,NR/2025/29353/A/90185,NR/2025/29440/A/89965,NR/2025/30105/A/90494,NR/2025/29352/A/90187,NR/2025/29910/A/90501,NR/2025/30101/A/90533,NR/2025/29992/A/90099,NR/2025/29915/A/90040,NR/2025/27978/A/90538,NR/2025/30217/A/90493,NR/2025/30191/A/89977,NR/2025/27975/A/90448,NR/2025/28728/A/90410,NR/2025/27973/A/90447,NR/2025/31339/A/90125,NR/2025/27965/A/90445,NR/2025/29628/A/90503,NR/2025/27966/A/90446,NR/2025/30067/A/90479,NR/2025/30121/A/89979,NR/2025/30082/A/90491,NR/2025/29167/A/90041,NR/2025/30083/A/90498,NR/2025/29439/A/90062,NR/2025/31126/A/90095,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,GNARE/NR/2024/12/20/3668,NR/2025/31945/C,NR/2025/31136/A/90440,NR/2025/31136/A/90441,Total
36,08:45-09:00,9.61,0,0.29,1.63,95,0.19,0.67,0.77,0,161.99,0,81.69,0,0,29.79,0,26.21,26.21,0,0,0,0,134.79,17.29,0,0,0,0,0,0,0,0,0,0,81.69,0.96,17.47,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,0,81.69,0,0,0,76.52,0,0,6.73,48.06,0,8.74,0,13.46,26.5,26.5,19.22,15.23,20.73,163.39,43.68,46.66,5.87,0.96,0.48,1579.9600000000005

37,09:00-09:15,9.61,0,0.29,1.63,116,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,17.29,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,51.35,5.87,0.96,0.48,1631.1599999999996

38,09:15-09:30,9.61,0,0.29,1.63,130,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,17.29,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,56.04,6.85,0.96,0.48,1650.8299999999997

39,09:30-09:45,9.61,0,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,17.29,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,44.36,6.85,0.96,0.48,1649.1499999999996

40,09:45-10:00,9.61,0,0.29,1.63,151,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,17.29,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,47.33,7.82,0.96,0.48,1664.0899999999997

41,10:00-10:15,9.61,1.44,0.29,1.63,144,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,46.67,7.82,0.96,0.48,1652.35

42,10:15-10:30,9.61,1.44,0.29,1.63,151,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,50,7.82,0.96,0.48,1662.6799999999998

43,10:30-10:45,9.61,1.44,0.29,1.63,123,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,51.67,5.25,0.96,0.48,1633.78

44,10:45-11:00,9.61,1.44,0.29,1.63,130,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,53.33,5.25,0.96,0.48,1642.4399999999998

45,11:00-11:15,9.61,1.44,0.29,1.63,137,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,55,5.25,0.96,0.48,1651.11

46,11:15-11:30,9.61,1.44,0.29,1.63,144,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,58.33,5.25,0.96,0.48,1661.4399999999998

47,11:30-11:45,9.61,1.44,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,50.07,5.25,0.96,0.48,1649.1799999999998

48,11:45-12:00,9.61,1.44,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.61,26.61,19.22,15.23,20.73,163.39,43.68,54.02,5.25,0.96,0.48,1653.1299999999999

49,12:00-12:15,9.61,1.44,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,57.97,5.25,0.96,0.48,1657.2600000000002

50,12:15-12:30,9.61,1.44,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,11.77,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,61.24,5.25,0.96,0.48,1660.5300000000002

51,12:30-12:45,9.61,1.44,0.29,1.63,151,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,85.91,5.25,0.96,0.48,1684.4300000000003

52,12:45-13:00,9.61,1.44,0.29,1.63,151,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,85.36,5.25,0.96,0.48,1683.88

53,13:00-13:15,9.61,1.44,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,83.09,5.25,0.96,0.48,1670.6100000000001

54,13:15-13:30,9.61,1.44,0.29,1.63,140,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,81.29,5.25,0.96,0.48,1668.8100000000002

55,13:30-13:45,9.61,1.44,0.29,1.63,133,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,79.53,5.25,0.96,0.48,1660.0500000000002

56,13:45-14:00,9.61,1.44,0.29,1.63,133,0.19,0.67,0.77,81.69,161.99,0,81.69,0,0,29.79,16.57,0,0,30.12,0,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,77.41,5.25,0.96,0.48,1657.9300000000003

57,14:00-14:15,9.61,1.44,0.29,1.63,119,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,66.07,5.25,0.96,0.48,1824.81

58,14:15-14:30,9.61,1.44,0.29,1.63,116,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,64.75,5.25,0.96,0.48,1820.49

59,14:30-14:45,9.61,1.44,0.29,1.63,112,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,70,5.25,0.96,0.48,1821.74

60,14:45-15:00,9.61,1.44,0.29,1.63,109,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,68.33,5.25,0.96,0.48,1817.07

61,15:00-15:15,9.61,1.44,0.29,1.63,137,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,66.67,5.25,0.96,0.48,1843.41

62,15:15-15:30,9.61,1.44,0.29,1.63,130,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,64.67,5.25,0.96,0.48,1834.41

63,15:30-15:45,9.61,1.44,0.29,1.63,133,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,67.1,3.89,0.96,0.48,1838.48

64,15:45-16:00,9.61,1.44,0.29,1.63,123,0.19,0.67,0.77,81.69,161.99,96.11,81.69,0,0,29.79,16.57,0,0,30.12,96.11,48.06,96.11,134.79,0,0.96,76.52,30.12,48.06,14.56,29.12,44.21,6.73,7.69,48.06,81.69,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,63.8,3.89,0.96,0.48,1825.18

65,16:00-16:15,9.61,0,0.29,0,112,0.19,0.67,0.77,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.96,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,38.57,3.89,0.96,0.48,1945.5000000000002

66,16:15-16:30,9.61,0,0.29,0,102,0.19,0.67,0.77,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.96,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,34.47,2.69,0.96,0.48,1930.2000000000003

67,16:30-16:45,9.61,0,0.29,0,81,0.19,0.67,0.77,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.96,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,30.37,2.69,0.96,0.48,1905.1000000000001

68,16:45-17:00,9.61,0,0.29,0,70,0.19,0.59,0.67,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.96,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,26.27,2.69,0.85,0.48,1889.7100000000003

69,17:00-17:15,0,0,0.29,0,56,0.19,0.49,0.56,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,22.97,2.69,0.7,0.48,1862.3400000000004

70,17:15-17:30,0,0,0.29,0,46,0.19,0.4,0.46,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,19.67,2.69,0.59,0.48,1848.7400000000002

71,17:30-17:45,0,0,0.29,0,39,0.19,0.32,0.36,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,18.83,2.69,0.44,0.48,1840.5700000000004

72,17:45-18:00,0,0,0.29,0,32,0.19,0.19,0.26,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.7,26.7,19.22,15.23,20.73,163.39,43.68,15.03,2.69,0.33,0.48,1829.4300000000003

73,18:00-18:15,0,0,0.29,0,25,0.19,0.12,0.17,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,26.61,26.61,0,0,20.73,163.39,43.68,12.41,2.69,0.21,0.48,1784.9

74,18:15-18:30,0,0,0.29,0,14,0.19,0.07,0.09,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,16.57,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,17.43,29.5,0,0,20.73,163.39,43.68,9.79,2.69,0.12,0.48,1764.7699999999998

75,18:30-18:45,0,0,0.19,0,7,0.12,0.01,0.01,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,9.6,29.5,0,0,20.73,163.39,43.68,7.16,2.69,0.02,0.33,1749.4

76,18:45-19:00,0,0,0.11,0,5,0.07,0,0,0,161.99,0,81.69,0,0,29.79,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.86,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,9.6,29.5,0,0,20.73,163.39,43.68,4.54,2.6,0,0.18,1744.37

77,19:00-19:15,0,0,0,0,1,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,2.55,0,0,0,1755.81

78,19:15-19:30,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,1.13,0,0,0,1753.39

79,19:30-19:45,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0.28,0,0,0,1752.54

80,19:45-20:00,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,0,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1752.26

81,20:00-20:15,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1806.32

82,20:15-20:30,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1806.32

83,20:30-20:45,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1806.32

84,20:45-21:00,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,76.52,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1806.32

85,21:00-21:15,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,105.72,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1835.5199999999998

86,21:15-21:30,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,105.72,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1835.5199999999998

87,21:30-21:45,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,105.72,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1835.5199999999998

88,21:45-22:00,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,105.72,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1835.5199999999998

89,22:00-22:15,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,105.72,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1835.5199999999998

90,22:15-22:30,0,0,0,0,0,0,0,0,0,192.22,0,81.69,0,0,0,0,30.12,30.12,0,0,0,0,134.79,0,0,0,0,0,0,0,0,0,0,0,81.69,0.91,29.12,28.59,19.22,48.06,44.21,0,96.11,7.69,48.06,96.11,81.69,0,134.55,0,105.72,96.11,0,6.73,48.06,54.06,14.56,25.07,13.46,29.5,29.5,0,0,20.73,163.39,43.68,0,0,0,0,1835.5199999999998

