Time,Block,NR/2023/11880/D,NR/2023/11100/F,NR/2023/10486/A,NR/2023/11102/F,NR/2023/11343/F,NR/2023/11104/F,NR/2023/11886/C,NR/2023/11341/F,NR/2023/10433/A,NR/2023/11166/F,NR/2023/10197/A,NR/2023/11891/C,NR/2023/11099/F,NR/2023/11097/F,NR/2023/11368/F,NR/2023/11221/F,NR/2023/11154/F,NR/2023/11095/F,NR/2023/11895/C,NR/2023/11882/D,NR/2023/10181/A,NR/2023/10182/A,NR/2023/11367/F,NR/2023/11879/D,NR/2023/11369/F,NR/2023/11747/F,NR/2023/11096/F,Total
17,04:00-04:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

18,04:15-04:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

19,04:30-04:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

20,04:45-05:00,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

21,05:00-05:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

22,05:15-05:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

23,05:30-05:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

24,05:45-06:00,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.750000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,493

25,06:00-06:15,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.650000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,492.9

26,06:15-06:30,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.650000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,492.9

27,06:30-06:45,0,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.650000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.530000,492.9

28,06:45-07:00,1.5,0.530000,20.590000,0.600000,48.220000,0.450000,27.520000,115.740000,24.110000,14.470000,49.910000,8.650000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,3.5,0.610000,0.000000,0.530000,497.9

29,07:00-07:15,4.8,0.530000,20.590000,0.600000,48.220000,0.450000,25.470000,115.740000,24.110000,14.470000,49.910000,8.560000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,11.2,0.610000,0.000000,0.530000,506.76

30,07:15-07:30,10.2,0.530000,20.590000,0.600000,48.220000,0.450000,25.470000,115.740000,24.110000,14.470000,49.910000,8.560000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,23.8,0.610000,0.000000,0.530000,524.76

31,07:30-07:45,15,0.530000,20.590000,0.600000,48.220000,0.450000,25.470000,115.740000,24.110000,14.470000,49.910000,8.560000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,1.98,99.830000,49.910000,0.310000,35,0.610000,0.000000,0.530000,542.74

32,07:45:08:00,19.5,0.530000,20.590000,0.600000,48.220000,0.450000,25.470000,115.740000,24.110000,14.470000,49.910000,8.560000,0.360000,0.360000,0.310000,17.360000,9.640000,2.890000,0.000000,2.55,99.830000,49.910000,0.310000,45.5,0.610000,0.000000,0.530000,558.31

33,08:00-08:15,27.6,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,3.12,99.830000,49.910000,0.310000,64.4,0.610000,0.000000,0.560000,585.8

34,08:15-08:30,34.2,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,3.71,99.830000,49.910000,0.310000,79.8,0.610000,0.000000,0.560000,608.39

35,08:30-08:45,40.2,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,4.3,99.830000,49.910000,0.310000,93.8,0.610000,0.000000,0.560000,628.98

36,08:45:09:00,45.91,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,4.85,99.830000,49.910000,0.310000,107.14,0.610000,0.000000,0.560000,648.58

37,09:00:09:15,51.33,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.380000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,5.36,99.830000,49.910000,0.310000,119.77,0.610000,24.110000,0.560000,691.16

38,09:15-09:30,57.6,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.380000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,5.85,99.830000,49.910000,0.310000,134.4,0.610000,24.110000,0.560000,712.55

39,09:30-09:45,63,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.380000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,6.32,99.830000,49.910000,0.310000,147,0.610000,24.110000,0.560000,731.02

40,09:45-10:00,64.5,0.560000,20.590000,0.590000,48.220000,0.440000,25.470000,115.740000,24.110000,14.470000,49.910000,8.380000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,6.74,99.830000,49.910000,0.310000,150.5,0.610000,24.110000,0.560000,736.44

41,10:00-10:15,69.62,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,7.14,99.830000,49.910000,0.310000,162.44,0.610000,24.110000,0.560000,755.86

42,10:15-10:30,71.4,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,7.43,99.830000,49.910000,0.310000,166.6,0.610000,24.110000,0.560000,762.09

43,10:30-10:45,73.8,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,7.72,99.830000,49.910000,0.310000,172.2,0.610000,24.110000,0.560000,770.38

44,10:45-11:00,75,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,7.95,99.830000,49.910000,0.310000,175,0.610000,24.110000,0.560000,774.61

45,11:00-11:15,75.9,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,8.23,99.830000,49.910000,0.310000,177.1,0.610000,24.110000,0.560000,787.89

46,11:15-11:30,76.2,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,8.36,99.830000,49.910000,0.310000,177.8,0.610000,24.110000,0.560000,789.02

47,11:30-11:45,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,8.54,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,795.2

48,11:45-12:00,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.54,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,794.2

49,12:00-12:15,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,8.41,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,794.98

50,12:15-12:30,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,9.28,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,795.85

51,12:30-12:45,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.53,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,794.1

52,12:45-13:00,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.66,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,794.23

53,13:00-13:15,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,8.76,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,795.33

54,13:15-13:30,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.84,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,794.41

55,13:30-13:45,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.02,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,793.59

56,13:45-14:00,78,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,8.42,99.830000,49.910000,0.310000,182,0.610000,24.110000,0.560000,794.99

57,14:00-14:15,76.5,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.38,99.830000,49.910000,0.310000,178.5,0.610000,24.110000,0.560000,788.85

58,14:15-14:30,75,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,7.82,99.830000,49.910000,0.310000,175,0.610000,24.110000,0.560000,784.29

59,14:30-14:45,75,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,6.02,99.830000,49.910000,0.310000,175,0.610000,24.110000,0.560000,782.49

60,14:45-15:00,73.8,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,6.54,99.830000,49.910000,0.310000,172.2,0.610000,24.110000,0.560000,779.01

61,15:00-15:15,67.8,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,6.73,99.830000,49.910000,0.310000,158.2,0.610000,24.110000,0.560000,759.2

62,15:15-15:30,64.8,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,5.89,99.830000,49.910000,0.310000,151.2,0.610000,24.110000,0.560000,748.36

63,15:30-15:45,61.8,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,5.62,99.830000,49.910000,0.310000,144.2,0.610000,24.110000,0.560000,738.09

64,15:45-16:00,58.2,0.560000,20.590000,0.590000,48.220000,0.440000,27.520000,115.740000,24.110000,14.470000,49.910000,8.100000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,4.48,99.830000,49.910000,0.310000,135.8,0.610000,24.110000,0.560000,724.95

65,16:00-16:15,51,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,3.85,99.830000,49.910000,0.310000,119,0.610000,24.110000,0.560000,702.45

66,16:15-16:30,45,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,3.13,99.830000,49.910000,0.310000,105,0.610000,24.110000,0.560000,681.73

67,16:30-16:45,39,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,3.17,99.830000,49.910000,0.310000,91,0.610000,24.110000,0.560000,661.77

68,16:45-17:00,32.4,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.200000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,2.55,99.830000,49.910000,0.310000,75.6,0.610000,24.110000,0.560000,639.15

69,17:00-17:15,25.2,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,1.96,99.830000,49.910000,0.310000,58.8,0.610000,0.000000,0.560000,590.54

70,17:15-17:30,19.2,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,1.26,99.830000,49.910000,0.310000,44.8,0.610000,0.000000,0.560000,569.84

71,17:30-17:45,12.9,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,0.97,99.830000,49.910000,0.310000,30.1,0.610000,0.000000,0.560000,548.55

72,17:45-18:00,10.5,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.290000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,10.000000,0.52,99.830000,49.910000,0.310000,24.5,0.610000,0.000000,0.560000,540.1

73,18:00-18:15,9,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,21,0.610000,0.000000,0.560000,524.76

74,18:15-18:30,3,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,0.14,99.830000,49.910000,0.310000,7,0.610000,0.000000,0.560000,504.9

75,18:30-18:45,1.5,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,3.5,0.610000,0.000000,0.560000,499.76

76,18:45-19:00,0,0.560000,20.590000,0.590000,48.220000,0.440000,29.550000,115.740000,24.110000,14.470000,49.910000,8.470000,0.350000,0.350000,0.300000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.310000,0,0.610000,0.000000,0.560000,494.76

77,19:00-19:15,0,0.670000,20.590000,0.690000,48.220000,0.520000,29.550000,115.740000,24.110000,14.470000,49.910000,8.650000,0.410000,0.410000,0.360000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.670000,495.66

78,19:15-19:30,0,0.670000,20.590000,0.690000,48.220000,0.520000,29.550000,115.740000,24.110000,14.470000,49.910000,8.650000,0.410000,0.410000,0.360000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.670000,495.66

79,19:30-19:45,0,0.670000,20.590000,0.690000,48.220000,0.520000,29.550000,115.740000,24.110000,14.470000,49.910000,8.650000,0.410000,0.410000,0.360000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.670000,495.66

80,19:45-20:00,0,0.670000,20.590000,0.690000,48.220000,0.520000,29.550000,115.740000,24.110000,14.470000,49.910000,8.650000,0.410000,0.410000,0.360000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.670000,495.66

81,20:00-20:15,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,8.830000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,495.84

82,20:15-20:30,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,8.830000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,495.84

83,20:30-20:45,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,8.830000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,495.84

84,20:45-21:00,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,8.830000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,495.84

85,21:00-21:15,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,9.030000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,496.04

86,21:15-21:30,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,9.030000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,496.04

