Column1,Time,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/4083,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/8106,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/02/6759,GNA/NR/2024/10/01/6101,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14
30,07:15-07:30,37.33,12.45,75.38,0,7,34.5,11.5,273.25,12.45,7.47,30.28,4,37.33,193.28,37.33,4.46,2.02,231.94,5.13,16.67,70.46,88.06,16.67,1.98,1.98,11.5,33,10.34,33,27.35,27.35,3.79,25,23.5,15,10,30.37,7,7,18.98,10

31,07:30-07:45,37.33,12.45,75.38,0,7,35,11.67,273.25,12.45,7.47,30.28,4,37.33,193.28,37.33,4.46,2.92,231.94,5.13,16.67,70.46,88.06,16.67,2.85,2.85,11.66,33.67,11,33.67,28.13,28.13,6.8,35,28.14,18,15,40.31,9,8,33.99,15

32,07:45-08:00,37.33,12.45,75.38,0,7,36,12,273.25,12.45,7.47,30.28,4,37.33,193.28,37.33,4.46,3.61,231.94,5.13,16.67,70.46,88.06,16.67,3.52,3.52,12,35,11.34,35,28.8,28.8,10.24,49,28.8,25,21,51.1,12,11,51.18,19

33,08:00-08:15,37.33,12.45,75.38,0,7,35,11.67,273.25,12.45,7.47,29.27,4,37.33,193.28,37.33,4.3,4.61,184.68,5.29,14.67,70.46,100.68,14.67,4.5,4.5,11.66,35,11.34,35,29.63,29.63,14.03,60,29.64,30,25,61.84,15,15,70.16,25

34,08:15-08:30,37.33,12.45,75.38,0,7,33,11,273.25,12.45,7.47,29.27,4,37.33,193.28,37.33,4.3,5.7,184.68,5.29,14.67,70.46,100.68,14.67,5.56,5.56,11,35.33,11.34,35.33,30.8,30.8,18.15,74,30.8,37,31,71.92,18,18,90.76,33

35,08:30-08:45,37.33,12.45,75.38,0,7,32.5,10.83,231.94,12.45,7.47,29.27,4,37.33,193.28,37.33,4.3,6.73,157.92,5.29,14.67,70.46,100.68,14.67,6.57,6.57,10.84,35.33,8,35.33,31.23,31.23,20.35,95,31.24,44,40,81.31,21,22,101.77,41

36,08:45-09:00,37.33,12.45,75.38,0,7,32,10.67,193.28,12.45,7.47,29.27,4,37.33,193.28,37.33,4.3,7.78,171.67,5.29,14.67,70.46,100.68,14.67,7.59,7.59,10.66,35.33,7.66,35.33,31.23,31.23,24.2,109,31.24,51,46,90.3,24,25,121.03,48

37,09:00-09:15,37.33,12.45,57.69,0,7,31,10.33,150.28,12.45,7.38,29.27,3.86,37.33,193.28,37.33,4.3,8.71,171.67,5.29,14.67,70.46,100.68,14.67,8.5,8.5,10.34,28.33,7.66,28.33,31.73,31.73,27.9,123,31.74,58,52,98.89,27,29,139.48,57

38,09:15-09:30,37.33,12.45,57.69,0,7,30,10,150.28,12.45,7.38,29.77,3.86,37.33,193.28,37.33,4.3,9.64,171.67,5.29,14.67,70.46,100.68,14.67,9.4,9.4,10,28,7.66,28,31.73,31.73,31.17,137,31.74,64,58,106.85,30,32,155.88,64

39,09:30-09:45,37.33,12.45,57.69,0,7,22.5,7.5,150.28,12.45,7.38,29.77,3.86,37.33,193.28,37.33,4.3,10.56,171.67,5.29,14.67,70.46,86.98,14.67,10.3,10.3,7.5,20,7.66,20,31.9,31.9,35.98,147,31.9,70,63,114.12,33,35,179.93,70

40,09:45-10:00,37.33,12.45,57.69,0,7,22.5,7.5,150.28,12.45,7.38,29.77,3.86,37.33,193.28,37.33,4.3,11.73,171.67,5.29,14.67,70.46,91.81,14.67,11.44,11.44,7.5,19.33,7.66,19.33,32.23,32.23,38.93,158,32.24,76,67,120.75,36,37,194.63,75

41,10:00-10:15,37.33,12.45,57.69,0,7,22.5,7.5,150.28,12.45,7.38,29.77,3.86,37.33,193.28,37.33,4.15,12.38,171.67,5.29,14.67,70.46,91.81,14.67,12.07,12.07,7.5,18.33,6.66,18.33,32.23,32.23,41.51,168,32.24,79,72,126.5,38,40,207.53,84

42,10:15-10:30,37.33,12.45,57.69,0,7,22.5,7.5,150.28,12.45,7.38,30.28,3.86,37.33,193.28,37.33,4.15,13.52,171.67,5.29,14.67,70.46,53.15,14.67,13.2,13.2,7.5,18.67,6.66,18.67,32.23,32.23,43.87,175,32.24,84,75,131.64,40,41,219.34,87

43,10:30-10:45,37.33,12.45,57.69,0,7,22.5,7.5,150.28,12.45,7.38,30.79,3.86,37.33,193.28,37.33,4.15,14.04,171.67,5.29,14.67,70.46,53.15,14.67,13.69,13.69,7.5,19.33,6.66,19.33,32.23,32.23,46,182,32.24,88,78,136.26,42,43,230,90

44,10:45-11:00,37.33,12.45,57.69,0,7,22.5,7.5,150.28,12.45,7.38,30.79,3.86,37.33,193.28,37.33,4.15,14.97,171.67,5.29,14.67,70.46,53.15,14.67,14.61,14.61,7.5,20,6.66,20,32.5,32.5,46,189,32.5,91,81,140.28,43,44,230,91

45,11:00-11:15,37.33,12.45,57.69,0,7.6,22.5,7.5,150.28,12.45,7.29,30.79,3.86,37.33,193.28,37.33,4.15,15.27,171.67,5.29,14.67,70.46,53.15,14.67,14.9,14.9,7.5,20.67,6.66,20.67,32.5,32.5,46,193,32.5,91,82,143.41,44,45,230,92

46,11:15-11:30,37.33,12.45,57.69,0,8.2,22.5,7.5,150.28,12.45,7.29,30.79,3.86,37.33,193.28,37.33,4.15,15.92,171.67,5.29,14.67,70.46,53.15,14.67,15.53,15.53,7.5,21.67,6.66,21.67,32.5,32.5,46,193,32.5,91,82,145.7,44,46,230,92

47,11:30-11:45,37.33,12.45,58.1,0,9,22.5,7.5,150.28,12.45,7.29,30.79,3.86,37.33,193.28,37.33,4.15,15.92,111.14,5.29,14.67,70.46,53.15,14.67,15.53,15.53,7.5,22.67,6.66,22.67,32.5,32.5,46,193,32.5,91,82,147.42,44,46,230,92

48,11:45-12:00,37.33,12.45,58.1,0,9.2,22.5,7.5,150.28,12.45,7.29,30.79,3.86,37.33,193.28,37.33,4.15,15.92,130.46,5.29,14.67,70.46,53.15,14.67,15.53,15.53,7.5,24,6.66,24,32.5,32.5,46,193,32.5,91,82,148.37,44,46,230,92

49,12:00-12:15,37.33,12.45,58.1,0,11.2,22.5,7.5,150.28,12.45,7.2,30.79,3.9,37.33,193.28,37.33,4.46,15.92,140.13,5.44,14.86,70.46,53.15,14.86,15.53,15.53,7.5,25,6.66,25,32.5,32.5,46,193,32.5,91,82,153.56,44,46,230,92

50,12:15-12:30,37.33,12.45,58.1,0,12.41,22.5,7.5,150.28,12.45,7.2,30.79,3.9,37.33,193.28,37.33,4.46,15.92,149.79,5.44,14.86,70.46,53.15,14.86,15.53,15.53,7.5,26,6.66,26,32.5,32.5,46,193,32.5,91,82,152.66,44,46,230,92

51,12:30-12:45,37.33,12.45,58.1,0,14.01,23,7.67,150.28,12.45,7.2,30.79,3.9,37.33,193.28,37.33,4.46,15.92,171.05,5.44,14.86,70.46,53.15,14.86,15.53,15.53,7.66,27.33,6.66,27.33,32.5,32.5,46,196,32.5,91,84,150.81,44,46,230,92

52,12:45-13:00,37.33,12.45,58.1,0,15.01,23.5,7.83,150.28,12.45,7.2,30.79,3.9,37.33,193.28,37.33,4.46,15.92,171.05,5.44,14.86,70.46,53.15,14.86,15.53,15.53,7.84,28.33,6.66,28.33,32.5,32.5,46,196,32.5,91,84,148.33,44,46,230,92

53,13:00-13:15,37.33,12.45,58.1,0,16.01,24,8,193.28,12.45,7.2,30.79,4,37.33,193.28,37.33,4.76,15.92,171.05,5.67,14.86,70.46,53.15,14.86,15.53,15.53,8,29.33,6.66,29.33,32.5,32.5,46,196,32.5,91,84,145.12,44,46,230,92

54,13:15-13:30,37.33,12.45,58.1,0,16.41,24.5,8.17,193.28,12.45,7.2,30.79,4,37.33,193.28,37.33,4.76,15.92,171.05,5.67,14.86,70.46,53.15,14.86,15.53,15.53,8.16,31.67,6.66,31.67,32.5,32.5,46,196,32.5,91,84,141.07,44,46,230,92

55,13:30-13:45,37.33,12.45,58.1,0,20.81,26,8.67,212.61,12.45,7.2,30.79,4,37.33,193.28,37.33,4.76,15.92,171.05,5.67,14.86,70.46,100.68,14.86,15.53,15.53,8.66,32.67,6.66,32.67,32.67,32.67,46,189,32.66,90,81,137.07,43,45,230,91

56,13:45-14:00,37.33,12.45,58.1,0,21.21,27.5,9.17,231.94,12.45,7.2,30.79,4,37.33,193.28,37.33,4.76,15.27,171.05,5.67,14.86,70.46,100.68,14.86,14.9,14.9,9.16,34.67,6.66,34.67,32.67,32.67,46,186,32.66,87,79,131.38,41,44,230,91

57,14:00-14:15,37.33,12.45,68.16,0,26.41,28,9.33,231.94,12.45,7.29,30.79,4.18,37.33,193.28,37.33,5,15.07,171.05,5.67,14.86,70.46,100.68,14.86,14.7,14.7,9.34,35.67,6.66,35.67,32.67,32.67,46,179,32.66,83,76,125.35,39,42,230,90

58,14:15-14:30,37.33,12.45,68.16,0,27.41,28.5,9.5,273.25,12.45,7.29,30.79,4.18,37.33,193.28,37.33,5,14.65,171.05,5.67,14.86,70.46,100.68,14.86,14.3,14.3,9.5,36,7,36,32.67,32.67,45.54,172,32.66,78,73,118.77,38,41,227.73,90

59,14:30-14:45,37.33,12.45,68.16,0,31.01,29,9.67,273.25,12.45,7.29,31.29,4.18,37.33,193.28,37.33,5,14.27,187.48,5.9,14.86,70.46,100.68,14.86,13.91,13.91,9.66,37.33,7.34,37.33,32.67,32.67,43.71,161,32.66,78,69,111.83,37,40,218.57,87

60,14:45-15:00,37.33,12.45,87.17,0,33.01,29.5,9.83,273.25,12.45,7.29,31.29,4.18,37.33,193.28,37.33,5,13.59,187.48,5.9,14.86,70.46,100.68,14.86,13.26,13.26,9.84,38,7.66,38,32.67,32.67,41.55,154,32.66,73,66,104.03,35,38,207.75,84

61,15:00-15:15,37.33,12.45,87.17,0,33.81,30,10,273.25,12.45,7.57,31.29,4.37,37.33,193.28,37.33,5.31,12.65,190.38,6.22,14.86,70.46,100.68,14.86,12.35,12.35,10,38.33,8,38.33,32.67,32.67,39.08,144,32.66,68,61,96.88,32,36,195.43,78

62,15:15-15:30,37.33,12.45,87.17,0,34.01,31,10.33,273.25,12.45,7.57,31.29,4.37,37.33,193.28,37.33,5.31,11.72,209.71,6.22,14.86,70.46,100.68,14.86,11.43,11.43,10.34,38.67,8.34,38.67,32.67,32.67,36.39,133,32.66,63,57,87.68,30,34,181.95,73

63,15:30-15:45,37.33,12.45,87.17,0,25.01,46.5,15.5,273.25,12.45,7.57,31.29,4.37,37.33,193.28,37.33,5.31,10.79,219.37,6.22,14.86,70.46,100.68,14.86,10.52,10.52,15.5,48.33,13.34,48.33,32.67,32.67,33.58,119,32.66,56,51,78.07,27,31,167.89,66

64,15:45-16:00,37.33,12.45,87.17,0,24.81,47.5,15.83,273.25,12.45,7.57,31.29,4.37,37.33,193.28,37.33,5.31,9.86,219.37,6.22,14.86,70.46,100.68,14.86,9.62,9.62,15.84,48,13.34,48,32.67,32.67,30.61,105,32.66,49,45,67.87,24,29,153.06,62

65,16:00-16:15,37.33,12.45,87.17,0,24.21,48.5,16.17,273.25,12.45,7.93,31.29,4.65,37.33,193.28,37.33,5.77,8.76,261.76,6.61,14.86,70.46,100.68,14.86,8.54,8.54,16.16,48,13.66,48,32.67,32.67,27.58,91,32.66,43,39,57.36,20,25,137.92,56

66,16:15-16:30,37.33,12.45,87.17,0,24.41,47.5,15.83,273.25,12.45,7.93,31.29,4.65,37.33,193.28,37.33,5.77,7.87,261.76,6.61,14.86,70.46,100.68,14.86,7.68,7.68,15.84,49,14.34,49,32.67,32.67,24.15,77,32.66,36,33,46.63,17,21,120.77,48

67,16:30-16:45,37.33,12.45,87.17,0,30.81,49.5,16.5,273.25,12.45,7.93,31.29,4.65,37.33,193.28,37.33,5.77,6.94,261.76,6.61,14.86,70.46,100.68,14.86,6.77,6.77,16.5,50,15,50,32.85,32.85,20.54,67,32.3,29,28,35.86,14,18,102.72,41

68,16:45-17:00,37.33,12.45,87.17,0,30.61,50,16.67,273.25,12.45,7.93,31.29,4.65,37.33,193.28,37.33,5.77,5.9,223.24,6.61,14.86,70.46,100.68,14.86,5.76,5.76,16.66,50.67,15.66,50.67,33,33,16.86,53,19.6,22,22,25.59,11,14,84.3,33

69,17:00-17:15,37.33,12.45,73.45,0,30.41,48,16,273.25,12.45,8.4,31.29,4.83,37.33,193.28,37.33,6.53,4.92,214.54,7,14.86,70.46,91.29,14.86,4.79,4.79,16,51.33,17,51.33,28.29,33,13.44,42,13.7,17,18,16.52,8,11,67.2,24

70,17:15-17:30,37.33,12.45,73.45,0,30.61,51,17,273.25,12.45,8.4,31.29,4.83,37.33,193.28,37.33,6.53,4.01,214.54,7,14.86,70.46,91.29,14.86,3.92,3.92,17,52,17.66,52,12.11,33,10.13,29,6.9,14,12,9.96,6,7,50.64,18

71,17:30-17:45,37.33,12.45,73.45,0,27.01,54,18,273.25,12.45,8.4,31.29,4.83,37.33,193.28,37.33,6.53,3.06,172.27,7,32,66.3,91.29,0,2.98,2.98,18,52,16,52,1.12,33,7.06,18,2,8,7,6.16,4,5,35.32,12

72,17:45-18:00,37.33,12.45,73.45,0,26.41,55.5,18.5,273.25,12.45,8.4,31.29,4.83,37.33,193.28,37.33,6.53,2.21,214.54,7,32,74.82,91.29,0,2.15,2.15,18.5,51.33,16.34,51.33,0,23.09,4.29,11,0,2,4,2.86,1,5,21.45,8

73,18:00-18:15,37.33,12.45,73.45,0,25.61,48.5,16.17,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,7.07,1.68,214.54,7,15.03,83.34,91.29,15.03,1.64,1.64,16.16,50.33,14,50.33,0,0,2.32,5,0,0,2,0.22,0,3,11.62,4

74,18:15-18:30,37.33,12.45,73.45,0,24.81,48.5,16.17,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,7.07,1.19,214.54,7,15.03,115.54,91.29,15.03,1.17,1.17,16.16,48.67,14,48.67,0,0,0.91,1,0,0,0,0,0,2,4.53,2

75,18:30-18:45,37.33,12.45,73.45,0,28.61,48,16,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,7.07,0.61,214.54,7,15.03,115.54,91.29,15.03,0.59,0.59,16,47.33,13.66,47.33,0,0,0.21,0,0,0,0,0,0,0,1.05,0

76,18:45-19:00,37.33,12.45,73.45,0,28.01,47.5,15.83,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,7.07,0.22,214.54,7,15.03,115.54,91.29,15.03,0.22,0.22,15.84,46,13.66,46,0,0,0.03,0,0,0,0,0,0,0,0.16,0

77,19:00-19:15,37.33,12.45,73.45,0,27.21,46.5,15.5,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,6.92,0,214.54,6.61,0,115.54,91.29,32,0,0,15.5,44.67,14,44.67,0,0,0.02,0,0,0,0,0,0,0,0.12,0

78,19:15-19:30,37.33,12.45,73.45,0,26.01,46,15.33,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,6.92,0,214.54,6.61,0,115.54,91.29,32,0,0,15.34,43.67,14,43.67,0,0,0,0,0,0,0,0,0,0,0,0

79,19:30-19:45,37.33,12.45,73.45,0,25.01,52.5,17.5,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,6.92,0,214.54,6.61,0,115.54,91.29,32,0,0,17.5,50,14,50,0,0,0,0,0,0,0,0,0,0,0,0

80,19:45-20:00,37.33,12.45,73.45,0,24.21,53.5,17.83,273.25,12.45,8.58,31.29,5.02,37.33,193.28,37.33,6.92,0,214.54,6.61,0,115.54,91.29,32,0,0,17.84,51,13.34,51,0,0,0,0,0,0,0,0,0,0,0,0

81,20:00-20:15,37.33,12.45,73.45,0,14.21,55,18.33,273.25,12.45,8.48,31.29,5.02,37.33,193.28,37.33,6.53,0,214.54,6.61,32,115.54,91.29,32,0,0,18.34,51.67,13.34,51.67,0,0,0,0,0,0,0,0,0,0,0,0

82,20:15-20:30,37.33,12.45,73.45,0,14.01,56,18.67,273.25,12.45,8.48,31.29,5.02,37.33,193.28,37.33,6.53,0,214.54,6.61,32,115.54,91.29,32,0,0,18.66,51.67,13.34,51.67,0,0,0,0,0,0,0,0,0,0,0,0

83,20:30-20:45,37.33,12.45,73.45,0,13.81,56,18.67,273.25,12.45,8.48,31.29,5.02,37.33,193.28,37.33,6.53,0,214.54,6.61,32,115.54,91.29,32,0,0,18.66,51.67,13.34,51.67,0,0,0,0,0,0,0,0,0,0,0,0

